 sig=    1.000000000000000     
 dt=   5.0000000000000003E-010
 steps=     10000000
 x0=   0.1711000000000000         0.000000000000000      
    0.000000000000000     
 u=    59000.00000000000     
 v_perp=    100000.0000000000     
 
time(s)         r       z        zeta      s
    4.9500000000E-08    1.3828053674E+00   -5.9246289945E-04    2.0467112008E-03    1.7109999131E-01
    9.9500000000E-08    1.3828032038E+00   -1.1909062467E-03    4.1140977887E-03    1.7109996490E-01
    1.4950000000E-07    1.3827995882E+00   -1.7893414880E-03    6.1814874705E-03    1.7109992076E-01
    1.9950000000E-07    1.3827945205E+00   -2.3877645503E-03    8.2488818009E-03    1.7109985889E-01
    2.4950000000E-07    1.3827880010E+00   -2.9861713607E-03    1.0316282335E-02    1.7109977930E-01
    2.9950000000E-07    1.3827800295E+00   -3.5845578468E-03    1.2383690626E-02    1.7109968198E-01
    3.4950000000E-07    1.3827706062E+00   -4.1829199364E-03    1.4451108231E-02    1.7109956693E-01
    3.9950000000E-07    1.3827597313E+00   -4.7812535580E-03    1.6518536702E-02    1.7109943416E-01
    4.4950000000E-07    1.3827474048E+00   -5.3795546404E-03    1.8585977596E-02    1.7109928366E-01
    4.9950000000E-07    1.3827336268E+00   -5.9778191136E-03    2.0653432466E-02    1.7109911543E-01
    5.4950000000E-07    1.3827183976E+00   -6.5760429078E-03    2.2720902867E-02    1.7109892948E-01
    5.9950000000E-07    1.3827017172E+00   -7.1742219544E-03    2.4788390354E-02    1.7109872581E-01
    6.4950000000E-07    1.3826835859E+00   -7.7723521856E-03    2.6855896482E-02    1.7109850440E-01
    6.9950000000E-07    1.3826640039E+00   -8.3704295346E-03    2.8923422804E-02    1.7109826528E-01
    7.4950000000E-07    1.3826429713E+00   -8.9684499359E-03    3.0990970876E-02    1.7109800842E-01
    7.9950000000E-07    1.3826204885E+00   -9.5664093248E-03    3.3058542251E-02    1.7109773385E-01
    8.4950000000E-07    1.3825965556E+00   -1.0164303638E-02    3.5126138484E-02    1.7109744155E-01
    8.9950000000E-07    1.3825711729E+00   -1.0762128814E-02    3.7193761130E-02    1.7109713153E-01
    9.4950000000E-07    1.3825443407E+00   -1.1359880793E-02    3.9261411743E-02    1.7109680378E-01
    9.9950000000E-07    1.3825160593E+00   -1.1957555515E-02    4.1329091877E-02    1.7109645831E-01
    1.0495000000E-06    1.3824863290E+00   -1.2555148923E-02    4.3396803087E-02    1.7109609512E-01
    1.0995000000E-06    1.3824551501E+00   -1.3152656961E-02    4.5464546926E-02    1.7109571421E-01
    1.1495000000E-06    1.3824225230E+00   -1.3750075576E-02    4.7532324949E-02    1.7109531557E-01
    1.1995000000E-06    1.3823884479E+00   -1.4347400716E-02    4.9600138709E-02    1.7109489922E-01
    1.2495000000E-06    1.3823529254E+00   -1.4944628331E-02    5.1667989762E-02    1.7109446514E-01
    1.2995000000E-06    1.3823159557E+00   -1.5541754373E-02    5.3735879660E-02    1.7109401335E-01
    1.3495000000E-06    1.3822775393E+00   -1.6138774795E-02    5.5803809957E-02    1.7109354383E-01
    1.3995000000E-06    1.3822376766E+00   -1.6735685555E-02    5.7871782209E-02    1.7109305660E-01
    1.4495000000E-06    1.3821963681E+00   -1.7332482610E-02    5.9939797967E-02    1.7109255165E-01
    1.4995000000E-06    1.3821536141E+00   -1.7929161923E-02    6.2007858786E-02    1.7109202898E-01
    1.5495000000E-06    1.3821094152E+00   -1.8525719455E-02    6.4075966220E-02    1.7109148860E-01
    1.5995000000E-06    1.3820637718E+00   -1.9122151174E-02    6.6144121822E-02    1.7109093050E-01
    1.6495000000E-06    1.3820166844E+00   -1.9718453047E-02    6.8212327145E-02    1.7109035469E-01
    1.6995000000E-06    1.3819681535E+00   -2.0314621046E-02    7.0280583744E-02    1.7108976116E-01
    1.7495000000E-06    1.3819181798E+00   -2.0910651145E-02    7.2348893170E-02    1.7108914992E-01
    1.7995000000E-06    1.3818667636E+00   -2.1506539321E-02    7.4417256978E-02    1.7108852097E-01
    1.8495000000E-06    1.3818139056E+00   -2.2102281554E-02    7.6485676720E-02    1.7108787430E-01
    1.8995000000E-06    1.3817596064E+00   -2.2697873826E-02    7.8554153950E-02    1.7108720993E-01
    1.9495000000E-06    1.3817038665E+00   -2.3293312123E-02    8.0622690220E-02    1.7108652784E-01
    1.9995000000E-06    1.3816466865E+00   -2.3888592435E-02    8.2691287083E-02    1.7108582805E-01
    2.0495000000E-06    1.3815880671E+00   -2.4483710754E-02    8.4759946093E-02    1.7108511054E-01
    2.0995000000E-06    1.3815280089E+00   -2.5078663075E-02    8.6828668801E-02    1.7108437533E-01
    2.1495000000E-06    1.3814665126E+00   -2.5673445398E-02    8.8897456760E-02    1.7108362242E-01
    2.1995000000E-06    1.3814035788E+00   -2.6268053726E-02    9.0966311522E-02    1.7108285180E-01
    2.2495000000E-06    1.3813392082E+00   -2.6862484064E-02    9.3035234641E-02    1.7108206347E-01
    2.2995000000E-06    1.3812734015E+00   -2.7456732423E-02    9.5104227667E-02    1.7108125744E-01
    2.3495000000E-06    1.3812061595E+00   -2.8050794816E-02    9.7173292154E-02    1.7108043371E-01
    2.3995000000E-06    1.3811374827E+00   -2.8644667262E-02    9.9242429652E-02    1.7107959228E-01
    2.4495000000E-06    1.3810673721E+00   -2.9238345780E-02    1.0131164171E-01    1.7107873315E-01
    2.4995000000E-06    1.3809958284E+00   -2.9831826398E-02    1.0338092989E-01    1.7107785632E-01
    2.5495000000E-06    1.3809228523E+00   -3.0425105144E-02    1.0545029574E-01    1.7107696180E-01
    2.5995000000E-06    1.3808484446E+00   -3.1018178052E-02    1.0751974080E-01    1.7107604957E-01
    2.6495000000E-06    1.3807726061E+00   -3.1611041160E-02    1.0958926663E-01    1.7107511965E-01
