 sig=    1.000000000000000     
 dt=   2.0000000000000001E-009
 steps=      3000000
 x0=   0.1711000000000000         0.000000000000000      
    0.000000000000000     
 u=    40000.00000000000     
 v_perp=    500000.0000000000     
 
time(s)         r       z        zeta      s
    9.8000000000E-08    1.3828057459E+00   -9.7803106828E-06    2.8961940191E-03    1.7110013884E-01
    1.9800000000E-07    1.3828047192E+00   -1.9766416776E-05    5.8515119056E-03    1.7110056675E-01
    2.9800000000E-07    1.3828029987E+00   -2.9765085185E-05    8.8068660089E-03    1.7110128377E-01
    3.9800000000E-07    1.3828005844E+00   -3.9782660038E-05    1.1762274620E-02    1.7110228990E-01
    4.9800000000E-07    1.3827974761E+00   -4.9825484484E-05    1.4717756028E-02    1.7110358510E-01
    5.9800000000E-07    1.3827936737E+00   -5.9899900353E-05    1.7673328523E-02    1.7110516934E-01
    6.9800000000E-07    1.3827891771E+00   -7.0012247832E-05    2.0629010394E-02    1.7110704259E-01
    7.9800000000E-07    1.3827839860E+00   -8.0168865133E-05    2.3584819926E-02    1.7110920480E-01
    8.9800000000E-07    1.3827781003E+00   -9.0376088160E-05    2.6540775406E-02    1.7111165593E-01
    9.9800000000E-07    1.3827715196E+00   -1.0064025018E-04    2.9496895118E-02    1.7111439590E-01
    1.0980000000E-06    1.3827642436E+00   -1.1096768148E-04    3.2453197344E-02    1.7111742466E-01
    1.1980000000E-06    1.3827562721E+00   -1.2136470905E-04    3.5409700364E-02    1.7112074214E-01
    1.2980000000E-06    1.3827476047E+00   -1.3183765626E-04    3.8366422456E-02    1.7112434825E-01
    1.3980000000E-06    1.3827382411E+00   -1.4239284249E-04    4.1323381895E-02    1.7112824291E-01
    1.4980000000E-06    1.3827281807E+00   -1.5303658283E-04    4.4280596953E-02    1.7113242603E-01
    1.5980000000E-06    1.3827174232E+00   -1.6377518772E-04    4.7238085902E-02    1.7113689750E-01
    1.6980000000E-06    1.3827059680E+00   -1.7461496266E-04    5.0195867007E-02    1.7114165723E-01
    1.7980000000E-06    1.3826938148E+00   -1.8556220779E-04    5.3153958531E-02    1.7114670509E-01
    1.8980000000E-06    1.3826809629E+00   -1.9662321764E-04    5.6112378736E-02    1.7115204096E-01
    1.9980000000E-06    1.3826674118E+00   -2.0780428075E-04    5.9071145876E-02    1.7115766473E-01
    2.0980000000E-06    1.3826531609E+00   -2.1911167932E-04    6.2030278205E-02    1.7116357624E-01
    2.1980000000E-06    1.3826382095E+00   -2.3055168890E-04    6.4989793971E-02    1.7116977537E-01
    2.2980000000E-06    1.3826225571E+00   -2.4213057802E-04    6.7949711418E-02    1.7117626196E-01
    2.3980000000E-06    1.3826062029E+00   -2.5385460788E-04    7.0910048785E-02    1.7118303587E-01
    2.4980000000E-06    1.3825891462E+00   -2.6573003197E-04    7.3870824307E-02    1.7119009691E-01
    2.5980000000E-06    1.3825713862E+00   -2.7776309575E-04    7.6832056213E-02    1.7119744494E-01
    2.6980000000E-06    1.3825529223E+00   -2.8996003630E-04    7.9793762729E-02    1.7120507976E-01
    2.7980000000E-06    1.3825337535E+00   -3.0232708198E-04    8.2755962073E-02    1.7121300120E-01
    2.8980000000E-06    1.3825138791E+00   -3.1487045204E-04    8.5718672460E-02    1.7122120907E-01
    2.9980000000E-06    1.3824932981E+00   -3.2759635634E-04    8.8681912097E-02    1.7122970317E-01
    3.0980000000E-06    1.3824720097E+00   -3.4051099493E-04    9.1645699187E-02    1.7123848329E-01
    3.1980000000E-06    1.3824500130E+00   -3.5362055774E-04    9.4610051925E-02    1.7124754923E-01
    3.2980000000E-06    1.3824273070E+00   -3.6693122421E-04    9.7574988500E-02    1.7125690076E-01
    3.3980000000E-06    1.3824038907E+00   -3.8044916295E-04    1.0054052710E-01    1.7126653766E-01
    3.4980000000E-06    1.3823797630E+00   -3.9418053134E-04    1.0350668589E-01    1.7127645971E-01
    3.5980000000E-06    1.3823549230E+00   -4.0813147522E-04    1.0647348305E-01    1.7128666665E-01
    3.6980000000E-06    1.3823293696E+00   -4.2230812851E-04    1.0944093673E-01    1.7129715824E-01
    3.7980000000E-06    1.3823031016E+00   -4.3671661283E-04    1.1240906510E-01    1.7130793423E-01
    3.8980000000E-06    1.3822761180E+00   -4.5136303717E-04    1.1537788630E-01    1.7131899436E-01
    3.9980000000E-06    1.3822484174E+00   -4.6625349748E-04    1.1834741847E-01    1.7133033836E-01
    4.0980000000E-06    1.3822199989E+00   -4.8139407635E-04    1.2131767973E-01    1.7134196596E-01
    4.1980000000E-06    1.3821908611E+00   -4.9679084259E-04    1.2428868822E-01    1.7135387686E-01
    4.2980000000E-06    1.3821610027E+00   -5.1244985090E-04    1.2726046204E-01    1.7136607080E-01
    4.3980000000E-06    1.3821304226E+00   -5.2837714148E-04    1.3023301930E-01    1.7137854746E-01
    4.4980000000E-06    1.3820991193E+00   -5.4457873964E-04    1.3320637810E-01    1.7139130654E-01
    4.5980000000E-06    1.3820670915E+00   -5.6106065544E-04    1.3618055653E-01    1.7140434774E-01
    4.6980000000E-06    1.3820343379E+00   -5.7782888331E-04    1.3915557266E-01    1.7141767074E-01
    4.7980000000E-06    1.3820008570E+00   -5.9488940164E-04    1.4213144456E-01    1.7143127521E-01
    4.8980000000E-06    1.3819666474E+00   -6.1224817243E-04    1.4510819030E-01    1.7144516082E-01
    4.9980000000E-06    1.3819317077E+00   -6.2991114088E-04    1.4808582792E-01    1.7145932723E-01
    5.0980000000E-06    1.3818960364E+00   -6.4788423503E-04    1.5106437545E-01    1.7147377409E-01
    5.1980000000E-06    1.3818596319E+00   -6.6617336530E-04    1.5404385094E-01    1.7148850105E-01
    5.2980000000E-06    1.3818224927E+00   -6.8478442420E-04    1.5702427239E-01    1.7150350775E-01
    5.3980000000E-06    1.3817846171E+00   -7.0372328583E-04    1.6000565782E-01    1.7151879383E-01
    5.4980000000E-06    1.3817460037E+00   -7.2299580555E-04    1.6298802522E-01    1.7153435890E-01
    5.5980000000E-06    1.3817066508E+00   -7.4260781954E-04    1.6597139257E-01    1.7155020258E-01
    5.6980000000E-06    1.3816665566E+00   -7.6256514444E-04    1.6895577785E-01    1.7156632449E-01
    5.7980000000E-06    1.3816257196E+00   -7.8287357688E-04    1.7194119902E-01    1.7158272422E-01
    5.8980000000E-06    1.3815841379E+00   -8.0353889314E-04    1.7492767404E-01    1.7159940137E-01
    5.9980000000E-06    1.3815418098E+00   -8.2456684868E-04    1.7791522083E-01    1.7161635553E-01
    6.0980000000E-06    1.3814987336E+00   -8.4596317776E-04    1.8090385733E-01    1.7163358629E-01
    6.1980000000E-06    1.3814549075E+00   -8.6773359304E-04    1.8389360145E-01    1.7165109321E-01
    6.2980000000E-06    1.3814103295E+00   -8.8988378509E-04    1.8688447109E-01    1.7166887585E-01
    6.3980000000E-06    1.3813649979E+00   -9.1241942206E-04    1.8987648414E-01    1.7168693379E-01
    6.4980000000E-06    1.3813189107E+00   -9.3534614919E-04    1.9286965847E-01    1.7170526656E-01
