 sig=    1.000000000000000     
 dt=   2.0000000000000001E-009
 steps=      5000000
 x0=   0.1711000000000000         0.000000000000000      
    0.000000000000000     
 u=    85000.00000000000     
 v_perp=    500000.0000000000     
 
time(s)         r       z        zeta      s
    9.8000000000E-08    1.3828025525E+00   -9.0988256466E-04    5.9857127611E-03    1.7109973659E-01
    1.9800000000E-07    1.3827916838E+00   -1.8382820069E-03    1.2093562604E-02    1.7109892475E-01
    2.9800000000E-07    1.3827734727E+00   -2.7665757348E-03    1.8201371256E-02    1.7109756439E-01
    3.9800000000E-07    1.3827479208E+00   -3.6947103751E-03    2.4309117912E-02    1.7109565552E-01
    4.9800000000E-07    1.3827150306E+00   -4.6226325787E-03    3.0416781768E-02    1.7109319820E-01
    5.9800000000E-07    1.3826748052E+00   -5.5502890281E-03    3.6524342016E-02    1.7109019246E-01
    6.9800000000E-07    1.3826272484E+00   -6.4776264460E-03    4.2631777848E-02    1.7108663837E-01
    7.9800000000E-07    1.3825723648E+00   -7.4045916028E-03    4.8739068455E-02    1.7108253598E-01
    8.9800000000E-07    1.3825101596E+00   -8.3311313247E-03    5.4846193022E-02    1.7107788538E-01
    9.9800000000E-07    1.3824406387E+00   -9.2571925019E-03    6.0953130735E-02    1.7107268665E-01
    1.0980000000E-06    1.3823638088E+00   -1.0182722096E-02    6.7059860774E-02    1.7106693990E-01
    1.1980000000E-06    1.3822796772E+00   -1.1107667148E-02    7.3166362318E-02    1.7106064523E-01
    1.2980000000E-06    1.3821882519E+00   -1.2031974787E-02    7.9272614539E-02    1.7105380276E-01
    1.3980000000E-06    1.3820895415E+00   -1.2955592235E-02    8.5378596608E-02    1.7104641261E-01
    1.4980000000E-06    1.3819835556E+00   -1.3878466820E-02    9.1484287688E-02    1.7103847494E-01
    1.5980000000E-06    1.3818703041E+00   -1.4800545977E-02    9.7589666938E-02    1.7102998988E-01
    1.6980000000E-06    1.3817497978E+00   -1.5721777262E-02    1.0369471351E-01    1.7102095760E-01
    1.7980000000E-06    1.3816220481E+00   -1.6642108353E-02    1.0979940656E-01    1.7101137826E-01
    1.8980000000E-06    1.3814870673E+00   -1.7561487065E-02    1.1590372521E-01    1.7100125205E-01
    1.9980000000E-06    1.3813448680E+00   -1.8479861350E-02    1.2200764861E-01    1.7099057915E-01
    2.0980000000E-06    1.3811954637E+00   -1.9397179310E-02    1.2811115588E-01    1.7097935977E-01
    2.1980000000E-06    1.3810388687E+00   -2.0313389201E-02    1.3421422614E-01    1.7096759411E-01
    2.2980000000E-06    1.3808750977E+00   -2.1228439441E-02    1.4031683849E-01    1.7095528239E-01
    2.3980000000E-06    1.3807041661E+00   -2.2142278617E-02    1.4641897204E-01    1.7094242485E-01
    2.4980000000E-06    1.3805260903E+00   -2.3054855493E-02    1.5252060587E-01    1.7092902171E-01
    2.5980000000E-06    1.3803408868E+00   -2.3966119017E-02    1.5862171907E-01    1.7091507324E-01
    2.6980000000E-06    1.3801485733E+00   -2.4876018325E-02    1.6472229069E-01    1.7090057968E-01
    2.7980000000E-06    1.3799491678E+00   -2.5784502752E-02    1.7082229981E-01    1.7088554131E-01
    2.8980000000E-06    1.3797426891E+00   -2.6691521833E-02    1.7692172545E-01    1.7086995840E-01
    2.9980000000E-06    1.3795291566E+00   -2.7597025318E-02    1.8302054665E-01    1.7085383125E-01
