 sig=    1.000000000000000     
 dt=   2.0000000000000001E-009
 steps=      5000000
 x0=   0.1711000000000000         0.000000000000000      
    0.000000000000000     
 u=    60000.00000000000     
 v_perp=    300000.0000000000     
 
time(s)         r       z        zeta      s
    9.8000000000E-08    1.3828037548E+00   -9.3302124023E-04    4.1700461230E-03    1.7109986296E-01
    1.9800000000E-07    1.3827965918E+00   -1.8850543748E-03    8.4251864809E-03    1.7109944060E-01
    2.9800000000E-07    1.3827845893E+00   -2.8370280069E-03    1.2680309108E-02    1.7109873286E-01
    3.9800000000E-07    1.3827677481E+00   -3.7889120916E-03    1.6935405049E-02    1.7109773975E-01
    4.9800000000E-07    1.3827460692E+00   -4.7406765931E-03    2.1190465346E-02    1.7109646129E-01
    5.9800000000E-07    1.3827195537E+00   -5.6922914882E-03    2.5445481042E-02    1.7109489748E-01
    6.9800000000E-07    1.3826882034E+00   -6.6437267684E-03    2.9700443178E-02    1.7109304836E-01
    7.9800000000E-07    1.3826520199E+00   -7.5949524439E-03    3.3955342792E-02    1.7109091392E-01
    8.9800000000E-07    1.3826110055E+00   -8.5459385463E-03    3.8210170920E-02    1.7108849421E-01
    9.9800000000E-07    1.3825651624E+00   -9.4966551315E-03    4.2464918596E-02    1.7108578925E-01
    1.0980000000E-06    1.3825144934E+00   -1.0447072283E-02    4.6719576851E-02    1.7108279907E-01
    1.1980000000E-06    1.3824590015E+00   -1.1397160115E-02    5.0974136711E-02    1.7107952370E-01
    1.2980000000E-06    1.3823986899E+00   -1.2346888774E-02    5.5228589202E-02    1.7107596319E-01
    1.3980000000E-06    1.3823335620E+00   -1.3296228445E-02    5.9482925343E-02    1.7107211756E-01
    1.4980000000E-06    1.3822636217E+00   -1.4245149351E-02    6.3737136149E-02    1.7106798687E-01
    1.5980000000E-06    1.3821888731E+00   -1.5193621759E-02    6.7991212633E-02    1.7106357116E-01
    1.6980000000E-06    1.3821093204E+00   -1.6141615980E-02    7.2245145799E-02    1.7105887048E-01
    1.7980000000E-06    1.3820249684E+00   -1.7089102375E-02    7.6498926650E-02    1.7105388488E-01
    1.8980000000E-06    1.3819358220E+00   -1.8036051355E-02    8.0752546181E-02    1.7104861443E-01
    1.9980000000E-06    1.3818418863E+00   -1.8982433388E-02    8.5005995381E-02    1.7104305918E-01
    2.0980000000E-06    1.3817431668E+00   -1.9928218995E-02    8.9259265233E-02    1.7103721919E-01
    2.1980000000E-06    1.3816396692E+00   -2.0873378762E-02    9.3512346714E-02    1.7103109453E-01
    2.2980000000E-06    1.3815313995E+00   -2.1817883336E-02    9.7765230794E-02    1.7102468527E-01
    2.3980000000E-06    1.3814183640E+00   -2.2761703429E-02    1.0201790843E-01    1.7101799147E-01
    2.4980000000E-06    1.3813005693E+00   -2.3704809826E-02    1.0627037059E-01    1.7101101323E-01
    2.5980000000E-06    1.3811780222E+00   -2.4647173379E-02    1.1052260821E-01    1.7100375061E-01
    2.6980000000E-06    1.3810507297E+00   -2.5588765017E-02    1.1477461223E-01    1.7099620370E-01
    2.7980000000E-06    1.3809186993E+00   -2.6529555748E-02    1.1902637358E-01    1.7098837258E-01
    2.8980000000E-06    1.3807819386E+00   -2.7469516658E-02    1.2327788318E-01    1.7098025734E-01
    2.9980000000E-06    1.3806404554E+00   -2.8408618918E-02    1.2752913195E-01    1.7097185807E-01
    3.0980000000E-06    1.3804942580E+00   -2.9346833782E-02    1.3178011078E-01    1.7096317487E-01
    3.1980000000E-06    1.3803433548E+00   -3.0284132595E-02    1.3603081056E-01    1.7095420783E-01
    3.2980000000E-06    1.3801877544E+00   -3.1220486794E-02    1.4028122218E-01    1.7094495705E-01
    3.3980000000E-06    1.3800274658E+00   -3.2155867909E-02    1.4453133651E-01    1.7093542265E-01
    3.4980000000E-06    1.3798624983E+00   -3.3090247565E-02    1.4878114440E-01    1.7092560472E-01
    3.5980000000E-06    1.3796928613E+00   -3.4023597490E-02    1.5303063670E-01    1.7091550337E-01
    3.6980000000E-06    1.3795185646E+00   -3.4955889511E-02    1.5727980426E-01    1.7090511872E-01
    3.7980000000E-06    1.3793396181E+00   -3.5887095562E-02    1.6152863788E-01    1.7089445089E-01
    3.8980000000E-06    1.3791560322E+00   -3.6817187681E-02    1.6577712838E-01    1.7088349998E-01
    3.9980000000E-06    1.3789678172E+00   -3.7746138020E-02    1.7002526656E-01    1.7087226614E-01
    4.0980000000E-06    1.3787749840E+00   -3.8673918840E-02    1.7427304319E-01    1.7086074948E-01
    4.1980000000E-06    1.3785775436E+00   -3.9600502519E-02    1.7852044906E-01    1.7084895012E-01
    4.2980000000E-06    1.3783755073E+00   -4.0525861549E-02    1.8276747492E-01    1.7083686821E-01
    4.3980000000E-06    1.3781688865E+00   -4.1449968547E-02    1.8701411150E-01    1.7082450387E-01
    4.4980000000E-06    1.3779576930E+00   -4.2372796247E-02    1.9126034953E-01    1.7081185725E-01
    4.5980000000E-06    1.3777419388E+00   -4.3294317511E-02    1.9550617973E-01    1.7079892848E-01
    4.6980000000E-06    1.3775216362E+00   -4.4214505326E-02    1.9975159278E-01    1.7078571771E-01
    4.7980000000E-06    1.3772967977E+00   -4.5133332809E-02    2.0399657937E-01    1.7077222509E-01
    4.8980000000E-06    1.3770674359E+00   -4.6050773210E-02    2.0824113016E-01    1.7075845076E-01
    4.9980000000E-06    1.3768335639E+00   -4.6966799910E-02    2.1248523579E-01    1.7074439487E-01
    5.0980000000E-06    1.3765951949E+00   -4.7881386428E-02    2.1672888689E-01    1.7073005759E-01
    5.1980000000E-06    1.3763523423E+00   -4.8794506421E-02    2.2097207407E-01    1.7071543907E-01
    5.2980000000E-06    1.3761050197E+00   -4.9706133687E-02    2.2521478792E-01    1.7070053948E-01
    5.3980000000E-06    1.3758532412E+00   -5.0616242166E-02    2.2945701901E-01    1.7068535897E-01
    5.4980000000E-06    1.3755970208E+00   -5.1524805943E-02    2.3369875790E-01    1.7066989772E-01
    5.5980000000E-06    1.3753363729E+00   -5.2431799250E-02    2.3793999512E-01    1.7065415589E-01
    5.6980000000E-06    1.3750713122E+00   -5.3337196467E-02    2.4218072119E-01    1.7063813367E-01
    5.7980000000E-06    1.3748018533E+00   -5.4240972127E-02    2.4642092660E-01    1.7062183122E-01
    5.8980000000E-06    1.3745280114E+00   -5.5143100914E-02    2.5066060183E-01    1.7060524873E-01
    5.9980000000E-06    1.3742498018E+00   -5.6043557669E-02    2.5489973732E-01    1.7058838638E-01
    6.0980000000E-06    1.3739672398E+00   -5.6942317388E-02    2.5913832352E-01    1.7057124435E-01
    6.1980000000E-06    1.3736803413E+00   -5.7839355226E-02    2.6337635082E-01    1.7055382283E-01
    6.2980000000E-06    1.3733891221E+00   -5.8734646501E-02    2.6761380962E-01    1.7053612201E-01
    6.3980000000E-06    1.3730935984E+00   -5.9628166689E-02    2.7185069028E-01    1.7051814210E-01
    6.4980000000E-06    1.3727937865E+00   -6.0519891436E-02    2.7608698315E-01    1.7049988328E-01
    6.5980000000E-06    1.3724897029E+00   -6.1409796548E-02    2.8032267853E-01    1.7048134575E-01
