 sig=    1.000000000000000      inputfile=
 /home/rjrj524/project3/20251121_pwo/nc/wout_pwO_nfp2_A6.nc                                                                                                                                              
 dt=   1.0000000000000000E-008
 steps=      2000000
 x0=   7.4600000000000000E-002    4.710000000000000      
   -2.857000000000000     
 u=    2500.000000000000     
 v_perp=    20000.00000000000     
 
time(s)         r       z        zeta      s
    4.9000000000E-07    8.2987698478E-01    1.8300972373E-01   -2.8557348103E+00    7.4601130996E-02
    9.9000000000E-07    8.2985474825E-01    1.8333604643E-01   -2.8544402358E+00    7.4602284130E-02
    1.4900000000E-06    8.2983289050E-01    1.8366325868E-01   -2.8531420664E+00    7.4603436312E-02
    1.9900000000E-06    8.2981141534E-01    1.8399135842E-01   -2.8518403076E+00    7.4604587544E-02
    2.4900000000E-06    8.2979032658E-01    1.8432034353E-01   -2.8505349652E+00    7.4605737826E-02
    2.9900000000E-06    8.2976962807E-01    1.8465021192E-01   -2.8492260447E+00    7.4606887162E-02
    3.4900000000E-06    8.2974932362E-01    1.8498096146E-01   -2.8479135519E+00    7.4608035551E-02
    3.9900000000E-06    8.2972941706E-01    1.8531259001E-01   -2.8465974926E+00    7.4609182995E-02
    4.4900000000E-06    8.2970991223E-01    1.8564509542E-01   -2.8452778725E+00    7.4610329496E-02
    4.9900000000E-06    8.2969081296E-01    1.8597847551E-01   -2.8439546973E+00    7.4611475055E-02
    5.4900000000E-06    8.2967212308E-01    1.8631272810E-01   -2.8426279730E+00    7.4612619674E-02
    5.9900000000E-06    8.2965384643E-01    1.8664785099E-01   -2.8412977052E+00    7.4613763354E-02
    6.4900000000E-06    8.2963598684E-01    1.8698384195E-01   -2.8399639000E+00    7.4614906096E-02
    6.9900000000E-06    8.2961854816E-01    1.8732069877E-01   -2.8386265631E+00    7.4616047902E-02
    7.4900000000E-06    8.2960153422E-01    1.8765841918E-01   -2.8372857005E+00    7.4617188774E-02
    7.9900000000E-06    8.2958494887E-01    1.8799700093E-01   -2.8359413181E+00    7.4618328712E-02
    8.4900000000E-06    8.2956879594E-01    1.8833644174E-01   -2.8345934219E+00    7.4619467719E-02
    8.9900000000E-06    8.2955307928E-01    1.8867673930E-01   -2.8332420179E+00    7.4620605795E-02
    9.4900000000E-06    8.2953780272E-01    1.8901789132E-01   -2.8318871120E+00    7.4621742942E-02
    9.9900000000E-06    8.2952297012E-01    1.8935989546E-01   -2.8305287104E+00    7.4622879161E-02
    1.0490000000E-05    8.2950858532E-01    1.8970274939E-01   -2.8291668190E+00    7.4624014454E-02
    1.0990000000E-05    8.2949465215E-01    1.9004645074E-01   -2.8278014440E+00    7.4625148823E-02
    1.1490000000E-05    8.2948117446E-01    1.9039099714E-01   -2.8264325915E+00    7.4626282268E-02
    1.1990000000E-05    8.2946815610E-01    1.9073638620E-01   -2.8250602676E+00    7.4627414790E-02
    1.2490000000E-05    8.2945560090E-01    1.9108261552E-01   -2.8236844785E+00    7.4628546392E-02
    1.2990000000E-05    8.2944351272E-01    1.9142968268E-01   -2.8223052304E+00    7.4629677075E-02
    1.3490000000E-05    8.2943189539E-01    1.9177758523E-01   -2.8209225294E+00    7.4630806839E-02
    1.3990000000E-05    8.2942075275E-01    1.9212632074E-01   -2.8195363819E+00    7.4631935686E-02
    1.4490000000E-05    8.2941008865E-01    1.9247588672E-01   -2.8181467941E+00    7.4633063618E-02
    1.4990000000E-05    8.2939990692E-01    1.9282628070E-01   -2.8167537722E+00    7.4634190635E-02
    1.5490000000E-05    8.2939021141E-01    1.9317750018E-01   -2.8153573227E+00    7.4635316739E-02
    1.5990000000E-05    8.2938100595E-01    1.9352954263E-01   -2.8139574518E+00    7.4636441931E-02
    1.6490000000E-05    8.2937229439E-01    1.9388240553E-01   -2.8125541659E+00    7.4637566212E-02
    1.6990000000E-05    8.2936408054E-01    1.9423608634E-01   -2.8111474714E+00    7.4638689583E-02
    1.7490000000E-05    8.2935636826E-01    1.9459058248E-01   -2.8097373747E+00    7.4639812046E-02
    1.7990000000E-05    8.2934916137E-01    1.9494589138E-01   -2.8083238822E+00    7.4640933601E-02
    1.8490000000E-05    8.2934246370E-01    1.9530201044E-01   -2.8069070005E+00    7.4642054249E-02
    1.8990000000E-05    8.2933627908E-01    1.9565893706E-01   -2.8054867359E+00    7.4643173992E-02
    1.9490000000E-05    8.2933061134E-01    1.9601666860E-01   -2.8040630951E+00    7.4644292831E-02
    1.9990000000E-05    8.2932546430E-01    1.9637520243E-01   -2.8026360845E+00    7.4645410766E-02
    2.0490000000E-05    8.2932084179E-01    1.9673453588E-01   -2.8012057108E+00    7.4646527798E-02
    2.0990000000E-05    8.2931674762E-01    1.9709466628E-01   -2.7997719804E+00    7.4647643928E-02
    2.1490000000E-05    8.2931318561E-01    1.9745559094E-01   -2.7983349001E+00    7.4648759157E-02
    2.1990000000E-05    8.2931015958E-01    1.9781730715E-01   -2.7968944765E+00    7.4649873487E-02
    2.2490000000E-05    8.2930767334E-01    1.9817981219E-01   -2.7954507161E+00    7.4650986916E-02
    2.2990000000E-05    8.2930573070E-01    1.9854310333E-01   -2.7940036258E+00    7.4652099447E-02
    2.3490000000E-05    8.2930433546E-01    1.9890717780E-01   -2.7925532122E+00    7.4653211080E-02
    2.3990000000E-05    8.2930349142E-01    1.9927203285E-01   -2.7910994821E+00    7.4654321815E-02
    2.4490000000E-05    8.2930320240E-01    1.9963766567E-01   -2.7896424422E+00    7.4655431653E-02
    2.4990000000E-05    8.2930347217E-01    2.0000407348E-01   -2.7881820993E+00    7.4656540595E-02
    2.5490000000E-05    8.2930430454E-01    2.0037125344E-01   -2.7867184602E+00    7.4657648640E-02
    2.5990000000E-05    8.2930570329E-01    2.0073920274E-01   -2.7852515318E+00    7.4658755790E-02
    2.6490000000E-05    8.2930767221E-01    2.0110791851E-01   -2.7837813209E+00    7.4659862045E-02
    2.6990000000E-05    8.2931021507E-01    2.0147739790E-01   -2.7823078344E+00    7.4660967405E-02
    2.7490000000E-05    8.2931333566E-01    2.0184763803E-01   -2.7808310792E+00    7.4662071870E-02
    2.7990000000E-05    8.2931703775E-01    2.0221863598E-01   -2.7793510622E+00    7.4663175441E-02
    2.8490000000E-05    8.2932132510E-01    2.0259038886E-01   -2.7778677905E+00    7.4664278118E-02
    2.8990000000E-05    8.2932620148E-01    2.0296289373E-01   -2.7763812708E+00    7.4665379900E-02
    2.9490000000E-05    8.2933167065E-01    2.0333614765E-01   -2.7748915104E+00    7.4666480787E-02
    2.9990000000E-05    8.2933773636E-01    2.0371014766E-01   -2.7733985162E+00    7.4667580781E-02
    3.0490000000E-05    8.2934440236E-01    2.0408489078E-01   -2.7719022952E+00    7.4668679879E-02
    3.0990000000E-05    8.2935167239E-01    2.0446037402E-01   -2.7704028546E+00    7.4669778083E-02
    3.1490000000E-05    8.2935955020E-01    2.0483659437E-01   -2.7689002014E+00    7.4670875393E-02
    3.1990000000E-05    8.2936803951E-01    2.0521354881E-01   -2.7673943427E+00    7.4671971807E-02
    3.2490000000E-05    8.2937714405E-01    2.0559123429E-01   -2.7658852858E+00    7.4673067325E-02
    3.2990000000E-05    8.2938686755E-01    2.0596964777E-01   -2.7643730377E+00    7.4674161947E-02
    3.3490000000E-05    8.2939721372E-01    2.0634878616E-01   -2.7628576056E+00    7.4675255672E-02
    3.3990000000E-05    8.2940818628E-01    2.0672864640E-01   -2.7613389969E+00    7.4676348501E-02
    3.4490000000E-05    8.2941978892E-01    2.0710922536E-01   -2.7598172187E+00    7.4677440431E-02
    3.4990000000E-05    8.2943202535E-01    2.0749051993E-01   -2.7582922783E+00    7.4678531462E-02
    3.5490000000E-05    8.2944489926E-01    2.0787252699E-01   -2.7567641830E+00    7.4679621594E-02
    3.5990000000E-05    8.2945841434E-01    2.0825524337E-01   -2.7552329400E+00    7.4680710826E-02
    3.6490000000E-05    8.2947257425E-01    2.0863866592E-01   -2.7536985568E+00    7.4681799156E-02
    3.6990000000E-05    8.2948738268E-01    2.0902279145E-01   -2.7521610406E+00    7.4682886583E-02
    3.7490000000E-05    8.2950284330E-01    2.0940761677E-01   -2.7506203990E+00    7.4683973107E-02
    3.7990000000E-05    8.2951895975E-01    2.0979313867E-01   -2.7490766392E+00    7.4685058725E-02
    3.8490000000E-05    8.2953573570E-01    2.1017935391E-01   -2.7475297687E+00    7.4686143438E-02
    3.8990000000E-05    8.2955317479E-01    2.1056625925E-01   -2.7459797949E+00    7.4687227242E-02
    3.9490000000E-05    8.2957128064E-01    2.1095385145E-01   -2.7444267254E+00    7.4688310138E-02
    3.9990000000E-05    8.2959005691E-01    2.1134212721E-01   -2.7428705676E+00    7.4689392123E-02
    4.0490000000E-05    8.2960950719E-01    2.1173108326E-01   -2.7413113290E+00    7.4690473195E-02
    4.0990000000E-05    8.2962963512E-01    2.1212071628E-01   -2.7397490172E+00    7.4691553353E-02
    4.1490000000E-05    8.2965044430E-01    2.1251102296E-01   -2.7381836398E+00    7.4692632594E-02
    4.1990000000E-05    8.2967193832E-01    2.1290199996E-01   -2.7366152043E+00    7.4693710918E-02
    4.2490000000E-05    8.2969412077E-01    2.1329364393E-01   -2.7350437183E+00    7.4694788322E-02
    4.2990000000E-05    8.2971699524E-01    2.1368595150E-01   -2.7334691895E+00    7.4695864803E-02
    4.3490000000E-05    8.2974056530E-01    2.1407891930E-01   -2.7318916255E+00    7.4696940360E-02
    4.3990000000E-05    8.2976483452E-01    2.1447254392E-01   -2.7303110341E+00    7.4698014990E-02
    4.4490000000E-05    8.2978980645E-01    2.1486682195E-01   -2.7287274229E+00    7.4699088690E-02
    4.4990000000E-05    8.2981548464E-01    2.1526174997E-01   -2.7271407995E+00    7.4700161459E-02
    4.5490000000E-05    8.2984187263E-01    2.1565732452E-01   -2.7255511719E+00    7.4701233293E-02
    4.5990000000E-05    8.2986897395E-01    2.1605354217E-01   -2.7239585477E+00    7.4702304190E-02
    4.6490000000E-05    8.2989679211E-01    2.1645039942E-01   -2.7223629348E+00    7.4703374147E-02
    4.6990000000E-05    8.2992533063E-01    2.1684789280E-01   -2.7207643408E+00    7.4704443161E-02
    4.7490000000E-05    8.2995459301E-01    2.1724601880E-01   -2.7191627738E+00    7.4705511229E-02
    4.7990000000E-05    8.2998458275E-01    2.1764477391E-01   -2.7175582415E+00    7.4706578348E-02
    4.8490000000E-05    8.3001530332E-01    2.1804415458E-01   -2.7159507518E+00    7.4707644514E-02
    4.8990000000E-05    8.3004675819E-01    2.1844415727E-01   -2.7143403126E+00    7.4708709725E-02
    4.9490000000E-05    8.3007895084E-01    2.1884477842E-01   -2.7127269318E+00    7.4709773976E-02
    4.9990000000E-05    8.3011188471E-01    2.1924601446E-01   -2.7111106174E+00    7.4710837264E-02
    5.0490000000E-05    8.3014556324E-01    2.1964786178E-01   -2.7094913773E+00    7.4711899586E-02
    5.0990000000E-05    8.3017998986E-01    2.2005031678E-01   -2.7078692195E+00    7.4712960937E-02
    5.1490000000E-05    8.3021516800E-01    2.2045337585E-01   -2.7062441521E+00    7.4714021314E-02
    5.1990000000E-05    8.3025110107E-01    2.2085703533E-01   -2.7046161830E+00    7.4715080713E-02
    5.2490000000E-05    8.3028779246E-01    2.2126129158E-01   -2.7029853203E+00    7.4716139130E-02
    5.2990000000E-05    8.3032524557E-01    2.2166614094E-01   -2.7013515721E+00    7.4717196559E-02
    5.3490000000E-05    8.3036346377E-01    2.2207157973E-01   -2.6997149464E+00    7.4718252998E-02
    5.3990000000E-05    8.3040245043E-01    2.2247760424E-01   -2.6980754515E+00    7.4719308441E-02
    5.4490000000E-05    8.3044220890E-01    2.2288421077E-01   -2.6964330953E+00    7.4720362885E-02
    5.4990000000E-05    8.3048274254E-01    2.2329139559E-01   -2.6947878861E+00    7.4721416323E-02
    5.5490000000E-05    8.3052405466E-01    2.2369915497E-01   -2.6931398320E+00    7.4722468752E-02
    5.5990000000E-05    8.3056614859E-01    2.2410748515E-01   -2.6914889413E+00    7.4723520166E-02
    5.6490000000E-05    8.3060902765E-01    2.2451638236E-01   -2.6898352221E+00    7.4724570561E-02
    5.6990000000E-05    8.3065269512E-01    2.2492584283E-01   -2.6881786828E+00    7.4725619931E-02
    5.7490000000E-05    8.3069715430E-01    2.2533586275E-01   -2.6865193314E+00    7.4726668272E-02
    5.7990000000E-05    8.3074240845E-01    2.2574643832E-01   -2.6848571765E+00    7.4727715576E-02
    5.8490000000E-05    8.3078846084E-01    2.2615756571E-01   -2.6831922261E+00    7.4728761840E-02
    5.8990000000E-05    8.3083531471E-01    2.2656924108E-01   -2.6815244888E+00    7.4729807058E-02
    5.9490000000E-05    8.3088297330E-01    2.2698146058E-01   -2.6798539727E+00    7.4730851223E-02
    5.9990000000E-05    8.3093143983E-01    2.2739422035E-01   -2.6781806863E+00    7.4731894330E-02
    6.0490000000E-05    8.3098071752E-01    2.2780751649E-01   -2.6765046380E+00    7.4732936373E-02
    6.0990000000E-05    8.3103080956E-01    2.2822134513E-01   -2.6748258361E+00    7.4733977345E-02
    6.1490000000E-05    8.3108171913E-01    2.2863570234E-01   -2.6731442891E+00    7.4735017241E-02
    6.1990000000E-05    8.3113344941E-01    2.2905058420E-01   -2.6714600054E+00    7.4736056055E-02
    6.2490000000E-05    8.3118600356E-01    2.2946598679E-01   -2.6697729935E+00    7.4737093779E-02
    6.2990000000E-05    8.3123938471E-01    2.2988190614E-01   -2.6680832618E+00    7.4738130407E-02
    6.3490000000E-05    8.3129359600E-01    2.3029833830E-01   -2.6663908190E+00    7.4739165933E-02
    6.3990000000E-05    8.3134864055E-01    2.3071527928E-01   -2.6646956735E+00    7.4740200349E-02
    6.4490000000E-05    8.3140452146E-01    2.3113272510E-01   -2.6629978338E+00    7.4741233649E-02
    6.4990000000E-05    8.3146124182E-01    2.3155067175E-01   -2.6612973085E+00    7.4742265826E-02
    6.5490000000E-05    8.3151880470E-01    2.3196911521E-01   -2.6595941063E+00    7.4743296872E-02
    6.5990000000E-05    8.3157721317E-01    2.3238805146E-01   -2.6578882356E+00    7.4744326781E-02
    6.6490000000E-05    8.3163647028E-01    2.3280747644E-01   -2.6561797052E+00    7.4745355544E-02
    6.6990000000E-05    8.3169657906E-01    2.3322738609E-01   -2.6544685237E+00    7.4746383154E-02
    6.7490000000E-05    8.3175754252E-01    2.3364777636E-01   -2.6527546997E+00    7.4747409604E-02
    6.7990000000E-05    8.3181936367E-01    2.3406864314E-01   -2.6510382419E+00    7.4748434885E-02
    6.8490000000E-05    8.3188204551E-01    2.3448998234E-01   -2.6493191591E+00    7.4749458991E-02
    6.8990000000E-05    8.3194559100E-01    2.3491178985E-01   -2.6475974599E+00    7.4750481912E-02
    6.9490000000E-05    8.3201000310E-01    2.3533406155E-01   -2.6458731531E+00    7.4751503641E-02
    6.9990000000E-05    8.3207528476E-01    2.3575679329E-01   -2.6441462475E+00    7.4752524170E-02
    7.0490000000E-05    8.3214143891E-01    2.3617998093E-01   -2.6424167518E+00    7.4753543490E-02
    7.0990000000E-05    8.3220846846E-01    2.3660362031E-01   -2.6406846749E+00    7.4754561592E-02
    7.1490000000E-05    8.3227637631E-01    2.3702770724E-01   -2.6389500255E+00    7.4755578468E-02
    7.1990000000E-05    8.3234516535E-01    2.3745223753E-01   -2.6372128125E+00    7.4756594110E-02
    7.2490000000E-05    8.3241483844E-01    2.3787720699E-01   -2.6354730449E+00    7.4757608508E-02
    7.2990000000E-05    8.3248539843E-01    2.3830261140E-01   -2.6337307313E+00    7.4758621654E-02
