 sig=    1.000000000000000      inputfile=
 /home/rjrj524/project3/20251121_pwo/nc/wout_pwO_nfp2_A6.nc                                                                                                                                              
 dt=   1.0000000000000000E-008
 steps=      2000000
 x0=   7.4600000000000000E-002    4.710000000000000      
   -2.857000000000000     
 u=    1000.000000000000     
 v_perp=   -30000.00000000000     
 
time(s)         r       z        zeta      s
    4.9000000000E-07    8.2988779859E-01    1.8282085848E-01   -2.8564909815E+00    7.4602473647E-02
    9.9000000000E-07    8.2987615219E-01    1.8295557160E-01   -2.8559636421E+00    7.4604996812E-02
    1.4900000000E-06    8.2986443514E-01    1.8309229634E-01   -2.8554282943E+00    7.4607518991E-02
    1.9900000000E-06    8.2985265076E-01    1.8323103142E-01   -2.8548849429E+00    7.4610040172E-02
    2.4900000000E-06    8.2984080241E-01    1.8337177551E-01   -2.8543335926E+00    7.4612560345E-02
    2.9900000000E-06    8.2982889351E-01    1.8351452729E-01   -2.8537742482E+00    7.4615079497E-02
    3.4900000000E-06    8.2981692753E-01    1.8365928539E-01   -2.8532069147E+00    7.4617597617E-02
    3.9900000000E-06    8.2980490798E-01    1.8380604843E-01   -2.8526315970E+00    7.4620114696E-02
    4.4900000000E-06    8.2979283844E-01    1.8395481501E-01   -2.8520483004E+00    7.4622630720E-02
    4.9900000000E-06    8.2978072252E-01    1.8410558368E-01   -2.8514570298E+00    7.4625145680E-02
    5.4900000000E-06    8.2976856389E-01    1.8425835299E-01   -2.8508577906E+00    7.4627659565E-02
    5.9900000000E-06    8.2975636627E-01    1.8441312145E-01   -2.8502505880E+00    7.4630172363E-02
    6.4900000000E-06    8.2974413342E-01    1.8456988756E-01   -2.8496354274E+00    7.4632684065E-02
    6.9900000000E-06    8.2973186917E-01    1.8472864977E-01   -2.8490123144E+00    7.4635194658E-02
    7.4900000000E-06    8.2971957737E-01    1.8488940653E-01   -2.8483812544E+00    7.4637704134E-02
    7.9900000000E-06    8.2970726195E-01    1.8505215625E-01   -2.8477422530E+00    7.4640212480E-02
    8.4900000000E-06    8.2969492687E-01    1.8521689731E-01   -2.8470953161E+00    7.4642719688E-02
    8.9900000000E-06    8.2968257613E-01    1.8538362808E-01   -2.8464404493E+00    7.4645225745E-02
    9.4900000000E-06    8.2967021380E-01    1.8555234688E-01   -2.8457776585E+00    7.4647730643E-02
    9.9900000000E-06    8.2965784400E-01    1.8572305204E-01   -2.8451069496E+00    7.4650234370E-02
    1.0490000000E-05    8.2964547087E-01    1.8589574182E-01   -2.8444283288E+00    7.4652736917E-02
    1.0990000000E-05    8.2963309862E-01    1.8607041448E-01   -2.8437418020E+00    7.4655238274E-02
    1.1490000000E-05    8.2962073151E-01    1.8624706826E-01   -2.8430473754E+00    7.4657738430E-02
    1.1990000000E-05    8.2960837383E-01    1.8642570134E-01   -2.8423450554E+00    7.4660237377E-02
    1.2490000000E-05    8.2959602993E-01    1.8660631190E-01   -2.8416348482E+00    7.4662735103E-02
    1.2990000000E-05    8.2958370421E-01    1.8678889809E-01   -2.8409167602E+00    7.4665231599E-02
    1.3490000000E-05    8.2957140111E-01    1.8697345803E-01   -2.8401907980E+00    7.4667726855E-02
    1.3990000000E-05    8.2955912511E-01    1.8715998979E-01   -2.8394569680E+00    7.4670220863E-02
    1.4490000000E-05    8.2954688074E-01    1.8734849145E-01   -2.8387152771E+00    7.4672713612E-02
    1.4990000000E-05    8.2953467260E-01    1.8753896103E-01   -2.8379657319E+00    7.4675205092E-02
    1.5490000000E-05    8.2952250531E-01    1.8773139654E-01   -2.8372083391E+00    7.4677695296E-02
    1.5990000000E-05    8.2951038353E-01    1.8792579596E-01   -2.8364431058E+00    7.4680184213E-02
    1.6490000000E-05    8.2949831198E-01    1.8812215724E-01   -2.8356700389E+00    7.4682671834E-02
    1.6990000000E-05    8.2948629543E-01    1.8832047828E-01   -2.8348891454E+00    7.4685158150E-02
    1.7490000000E-05    8.2947433869E-01    1.8852075698E-01   -2.8341004325E+00    7.4687643152E-02
    1.7990000000E-05    8.2946244660E-01    1.8872299120E-01   -2.8333039074E+00    7.4690126831E-02
    1.8490000000E-05    8.2945062407E-01    1.8892717877E-01   -2.8324995773E+00    7.4692609178E-02
    1.8990000000E-05    8.2943887604E-01    1.8913331749E-01   -2.8316874498E+00    7.4695090185E-02
    1.9490000000E-05    8.2942720748E-01    1.8934140513E-01   -2.8308675322E+00    7.4697569842E-02
    1.9990000000E-05    8.2941562343E-01    1.8955143943E-01   -2.8300398320E+00    7.4700048142E-02
    2.0490000000E-05    8.2940412897E-01    1.8976341810E-01   -2.8292043570E+00    7.4702525075E-02
    2.0990000000E-05    8.2939272920E-01    1.8997733881E-01   -2.8283611147E+00    7.4705000633E-02
    2.1490000000E-05    8.2938142929E-01    1.9019319923E-01   -2.8275101130E+00    7.4707474808E-02
    2.1990000000E-05    8.2937023444E-01    1.9041099696E-01   -2.8266513598E+00    7.4709947590E-02
    2.2490000000E-05    8.2935914989E-01    1.9063072959E-01   -2.8257848630E+00    7.4712418973E-02
    2.2990000000E-05    8.2934818093E-01    1.9085239469E-01   -2.8249106306E+00    7.4714888948E-02
    2.3490000000E-05    8.2933733288E-01    1.9107598976E-01   -2.8240286708E+00    7.4717357507E-02
    2.3990000000E-05    8.2932661112E-01    1.9130151232E-01   -2.8231389917E+00    7.4719824641E-02
    2.4490000000E-05    8.2931602106E-01    1.9152895981E-01   -2.8222416016E+00    7.4722290343E-02
    2.4990000000E-05    8.2930556814E-01    1.9175832967E-01   -2.8213365089E+00    7.4724754605E-02
    2.5490000000E-05    8.2929525787E-01    1.9198961930E-01   -2.8204237220E+00    7.4727217418E-02
    2.5990000000E-05    8.2928509577E-01    1.9222282605E-01   -2.8195032495E+00    7.4729678776E-02
    2.6490000000E-05    8.2927508742E-01    1.9245794727E-01   -2.8185750999E+00    7.4732138671E-02
    2.6990000000E-05    8.2926523844E-01    1.9269498025E-01   -2.8176392819E+00    7.4734597095E-02
    2.7490000000E-05    8.2925555447E-01    1.9293392225E-01   -2.8166958044E+00    7.4737054040E-02
    2.7990000000E-05    8.2924604121E-01    1.9317477052E-01   -2.8157446761E+00    7.4739509499E-02
    2.8490000000E-05    8.2923670439E-01    1.9341752226E-01   -2.8147859061E+00    7.4741963465E-02
    2.8990000000E-05    8.2922754978E-01    1.9366217462E-01   -2.8138195033E+00    7.4744415930E-02
    2.9490000000E-05    8.2921858320E-01    1.9390872475E-01   -2.8128454768E+00    7.4746866886E-02
    2.9990000000E-05    8.2920981047E-01    1.9415716974E-01   -2.8118638359E+00    7.4749316328E-02
    3.0490000000E-05    8.2920123750E-01    1.9440750666E-01   -2.8108745898E+00    7.4751764247E-02
    3.0990000000E-05    8.2919287021E-01    1.9465973254E-01   -2.8098777478E+00    7.4754210636E-02
    3.1490000000E-05    8.2918471454E-01    1.9491384439E-01   -2.8088733194E+00    7.4756655488E-02
    3.1990000000E-05    8.2917677651E-01    1.9516983915E-01   -2.8078613142E+00    7.4759098797E-02
    3.2490000000E-05    8.2916906214E-01    1.9542771376E-01   -2.8068417416E+00    7.4761540555E-02
    3.2990000000E-05    8.2916157749E-01    1.9568746511E-01   -2.8058146115E+00    7.4763980756E-02
    3.3490000000E-05    8.2915432868E-01    1.9594909007E-01   -2.8047799336E+00    7.4766419392E-02
    3.3990000000E-05    8.2914732185E-01    1.9621258545E-01   -2.8037377178E+00    7.4768856457E-02
    3.4490000000E-05    8.2914056317E-01    1.9647794804E-01   -2.8026879739E+00    7.4771291943E-02
    3.4990000000E-05    8.2913405884E-01    1.9674517459E-01   -2.8016307121E+00    7.4773725845E-02
    3.5490000000E-05    8.2912781512E-01    1.9701426182E-01   -2.8005659424E+00    7.4776158156E-02
    3.5990000000E-05    8.2912183829E-01    1.9728520641E-01   -2.7994936751E+00    7.4778588868E-02
    3.6490000000E-05    8.2911613465E-01    1.9755800501E-01   -2.7984139204E+00    7.4781017976E-02
    3.6990000000E-05    8.2911071055E-01    1.9783265421E-01   -2.7973266887E+00    7.4783445473E-02
    3.7490000000E-05    8.2910557237E-01    1.9810915059E-01   -2.7962319904E+00    7.4785871351E-02
    3.7990000000E-05    8.2910072652E-01    1.9838749069E-01   -2.7951298360E+00    7.4788295605E-02
    3.8490000000E-05    8.2909617944E-01    1.9866767100E-01   -2.7940202363E+00    7.4790718229E-02
    3.8990000000E-05    8.2909193762E-01    1.9894968798E-01   -2.7929032018E+00    7.4793139215E-02
    3.9490000000E-05    8.2908800755E-01    1.9923353806E-01   -2.7917787435E+00    7.4795558557E-02
    3.9990000000E-05    8.2908439578E-01    1.9951921762E-01   -2.7906468721E+00    7.4797976249E-02
    4.0490000000E-05    8.2908110888E-01    1.9980672301E-01   -2.7895075986E+00    7.4800392285E-02
    4.0990000000E-05    8.2907815344E-01    2.0009605054E-01   -2.7883609340E+00    7.4802806657E-02
    4.1490000000E-05    8.2907553609E-01    2.0038719649E-01   -2.7872068896E+00    7.4805219361E-02
    4.1990000000E-05    8.2907326350E-01    2.0068015708E-01   -2.7860454764E+00    7.4807630388E-02
    4.2490000000E-05    8.2907134236E-01    2.0097492851E-01   -2.7848767059E+00    7.4810039734E-02
    4.2990000000E-05    8.2906977937E-01    2.0127150695E-01   -2.7837005893E+00    7.4812447391E-02
    4.3490000000E-05    8.2906858129E-01    2.0156988851E-01   -2.7825171382E+00    7.4814853353E-02
    4.3990000000E-05    8.2906775488E-01    2.0187006927E-01   -2.7813263641E+00    7.4817257613E-02
    4.4490000000E-05    8.2906730696E-01    2.0217204527E-01   -2.7801282787E+00    7.4819660167E-02
    4.4990000000E-05    8.2906724436E-01    2.0247581252E-01   -2.7789228936E+00    7.4822061006E-02
    4.5490000000E-05    8.2906757392E-01    2.0278136698E-01   -2.7777102207E+00    7.4824460125E-02
    4.5990000000E-05    8.2906830252E-01    2.0308870457E-01   -2.7764902719E+00    7.4826857517E-02
    4.6490000000E-05    8.2906943709E-01    2.0339782118E-01   -2.7752630592E+00    7.4829253176E-02
    4.6990000000E-05    8.2907098455E-01    2.0370871266E-01   -2.7740285946E+00    7.4831647096E-02
    4.7490000000E-05    8.2907295186E-01    2.0402137481E-01   -2.7727868902E+00    7.4834039269E-02
    4.7990000000E-05    8.2907534600E-01    2.0433580339E-01   -2.7715379584E+00    7.4836429690E-02
    4.8490000000E-05    8.2907817399E-01    2.0465199413E-01   -2.7702818115E+00    7.4838818351E-02
    4.8990000000E-05    8.2908144286E-01    2.0496994271E-01   -2.7690184617E+00    7.4841205247E-02
    4.9490000000E-05    8.2908515965E-01    2.0528964479E-01   -2.7677479218E+00    7.4843590370E-02
    4.9990000000E-05    8.2908933146E-01    2.0561109596E-01   -2.7664702041E+00    7.4845973714E-02
    5.0490000000E-05    8.2909396538E-01    2.0593429179E-01   -2.7651853215E+00    7.4848355273E-02
    5.0990000000E-05    8.2909906854E-01    2.0625922779E-01   -2.7638932866E+00    7.4850735039E-02
    5.1490000000E-05    8.2910464808E-01    2.0658589946E-01   -2.7625941122E+00    7.4853113005E-02
    5.1990000000E-05    8.2911071117E-01    2.0691430224E-01   -2.7612878114E+00    7.4855489166E-02
    5.2490000000E-05    8.2911726500E-01    2.0724443151E-01   -2.7599743970E+00    7.4857863513E-02
    5.2990000000E-05    8.2912431677E-01    2.0757628265E-01   -2.7586538823E+00    7.4860236040E-02
    5.3490000000E-05    8.2913187372E-01    2.0790985096E-01   -2.7573262803E+00    7.4862606740E-02
    5.3990000000E-05    8.2913994308E-01    2.0824513173E-01   -2.7559916044E+00    7.4864975606E-02
    5.4490000000E-05    8.2914853213E-01    2.0858212018E-01   -2.7546498678E+00    7.4867342629E-02
    5.4990000000E-05    8.2915764816E-01    2.0892081152E-01   -2.7533010841E+00    7.4869707804E-02
    5.5490000000E-05    8.2916729846E-01    2.0926120088E-01   -2.7519452667E+00    7.4872071123E-02
    5.5990000000E-05    8.2917749037E-01    2.0960328337E-01   -2.7505824292E+00    7.4874432578E-02
    5.6490000000E-05    8.2918823120E-01    2.0994705407E-01   -2.7492125854E+00    7.4876792161E-02
    5.6990000000E-05    8.2919952833E-01    2.1029250799E-01   -2.7478357490E+00    7.4879149865E-02
    5.7490000000E-05    8.2921138912E-01    2.1063964012E-01   -2.7464519338E+00    7.4881505683E-02
    5.7990000000E-05    8.2922382096E-01    2.1098844539E-01   -2.7450611539E+00    7.4883859605E-02
    5.8490000000E-05    8.2923683125E-01    2.1133891870E-01   -2.7436634231E+00    7.4886211625E-02
    5.8990000000E-05    8.2925042741E-01    2.1169105490E-01   -2.7422587557E+00    7.4888561733E-02
    5.9490000000E-05    8.2926461687E-01    2.1204484881E-01   -2.7408471659E+00    7.4890909923E-02
    5.9990000000E-05    8.2927940708E-01    2.1240029519E-01   -2.7394286679E+00    7.4893256185E-02
    6.0490000000E-05    8.2929480549E-01    2.1275738876E-01   -2.7380032761E+00    7.4895600511E-02
    6.0990000000E-05    8.2931081958E-01    2.1311612421E-01   -2.7365710050E+00    7.4897942892E-02
    6.1490000000E-05    8.2932745685E-01    2.1347649617E-01   -2.7351318691E+00    7.4900283319E-02
    6.1990000000E-05    8.2934472479E-01    2.1383849924E-01   -2.7336858830E+00    7.4902621785E-02
    6.2490000000E-05    8.2936263092E-01    2.1420212797E-01   -2.7322330614E+00    7.4904958278E-02
    6.2990000000E-05    8.2938118277E-01    2.1456737686E-01   -2.7307734191E+00    7.4907292791E-02
    6.3490000000E-05    8.2940038788E-01    2.1493424039E-01   -2.7293069711E+00    7.4909625314E-02
    6.3990000000E-05    8.2942025378E-01    2.1530271296E-01   -2.7278337322E+00    7.4911955837E-02
    6.4490000000E-05    8.2944078804E-01    2.1567278896E-01   -2.7263537175E+00    7.4914284350E-02
    6.4990000000E-05    8.2946199821E-01    2.1604446272E-01   -2.7248669421E+00    7.4916610845E-02
    6.5490000000E-05    8.2948389186E-01    2.1641772852E-01   -2.7233734213E+00    7.4918935309E-02
    6.5990000000E-05    8.2950647659E-01    2.1679258063E-01   -2.7218731703E+00    7.4921257735E-02
    6.6490000000E-05    8.2952975996E-01    2.1716901322E-01   -2.7203662046E+00    7.4923578110E-02
    6.6990000000E-05    8.2955374957E-01    2.1754702047E-01   -2.7188525395E+00    7.4925896425E-02
    6.7490000000E-05    8.2957845303E-01    2.1792659648E-01   -2.7173321907E+00    7.4928212668E-02
    6.7990000000E-05    8.2960387792E-01    2.1830773533E-01   -2.7158051738E+00    7.4930526829E-02
    6.8490000000E-05    8.2963003186E-01    2.1869043104E-01   -2.7142715045E+00    7.4932838896E-02
    6.8990000000E-05    8.2965692247E-01    2.1907467759E-01   -2.7127311985E+00    7.4935148858E-02
    6.9490000000E-05    8.2968455735E-01    2.1946046892E-01   -2.7111842719E+00    7.4937456704E-02
    6.9990000000E-05    8.2971294413E-01    2.1984779892E-01   -2.7096307405E+00    7.4939762420E-02
    7.0490000000E-05    8.2974209042E-01    2.2023666144E-01   -2.7080706204E+00    7.4942065997E-02
    7.0990000000E-05    8.2977200385E-01    2.2062705029E-01   -2.7065039277E+00    7.4944367420E-02
    7.1490000000E-05    8.2980269205E-01    2.2101895921E-01   -2.7049306787E+00    7.4946666678E-02
    7.1990000000E-05    8.2983416264E-01    2.2141238193E-01   -2.7033508896E+00    7.4948963758E-02
    7.2490000000E-05    8.2986642325E-01    2.2180731212E-01   -2.7017645768E+00    7.4951258646E-02
    7.2990000000E-05    8.2989948150E-01    2.2220374341E-01   -2.7001717569E+00    7.4953551331E-02
    7.3490000000E-05    8.2993334502E-01    2.2260166937E-01   -2.6985724463E+00    7.4955841797E-02
    7.3990000000E-05    8.2996802144E-01    2.2300108355E-01   -2.6969666617E+00    7.4958130031E-02
    7.4490000000E-05    8.3000351837E-01    2.2340197943E-01   -2.6953544197E+00    7.4960416020E-02
    7.4990000000E-05    8.3003984344E-01    2.2380435047E-01   -2.6937357372E+00    7.4962699750E-02
    7.5490000000E-05    8.3007700427E-01    2.2420819006E-01   -2.6921106311E+00    7.4964981204E-02
    7.5990000000E-05    8.3011500847E-01    2.2461349158E-01   -2.6904791183E+00    7.4967260370E-02
    7.6490000000E-05    8.3015386365E-01    2.2502024832E-01   -2.6888412159E+00    7.4969537231E-02
    7.6990000000E-05    8.3019357741E-01    2.2542845357E-01   -2.6871969409E+00    7.4971811773E-02
    7.7490000000E-05    8.3023415737E-01    2.2583810055E-01   -2.6855463106E+00    7.4974083979E-02
    7.7990000000E-05    8.3027561110E-01    2.2624918244E-01   -2.6838893422E+00    7.4976353835E-02
    7.8490000000E-05    8.3031794621E-01    2.2666169237E-01   -2.6822260532E+00    7.4978621323E-02
    7.8990000000E-05    8.3036117028E-01    2.2707562344E-01   -2.6805564610E+00    7.4980886428E-02
    7.9490000000E-05    8.3040529088E-01    2.2749096870E-01   -2.6788805831E+00    7.4983149131E-02
    7.9990000000E-05    8.3045031557E-01    2.2790772114E-01   -2.6771984371E+00    7.4985409418E-02
    8.0490000000E-05    8.3049625192E-01    2.2832587373E-01   -2.6755100407E+00    7.4987667269E-02
    8.0990000000E-05    8.3054310748E-01    2.2874541938E-01   -2.6738154116E+00    7.4989922668E-02
    8.1490000000E-05    8.3059088978E-01    2.2916635097E-01   -2.6721145678E+00    7.4992175596E-02
    8.1990000000E-05    8.3063960637E-01    2.2958866130E-01   -2.6704075272E+00    7.4994426035E-02
    8.2490000000E-05    8.3068926475E-01    2.3001234318E-01   -2.6686943077E+00    7.4996673967E-02
    8.2990000000E-05    8.3073987244E-01    2.3043738933E-01   -2.6669749274E+00    7.4998919372E-02
    8.3490000000E-05    8.3079143693E-01    2.3086379244E-01   -2.6652494047E+00    7.5001162232E-02
    8.3990000000E-05    8.3084396571E-01    2.3129154517E-01   -2.6635177575E+00    7.5003402526E-02
    8.4490000000E-05    8.3089746625E-01    2.3172064011E-01   -2.6617800044E+00    7.5005640235E-02
    8.4990000000E-05    8.3095194601E-01    2.3215106983E-01   -2.6600361638E+00    7.5007875339E-02
    8.5490000000E-05    8.3100741243E-01    2.3258282685E-01   -2.6582862540E+00    7.5010107817E-02
    8.5990000000E-05    8.3106387295E-01    2.3301590362E-01   -2.6565302937E+00    7.5012337648E-02
    8.6490000000E-05    8.3112133497E-01    2.3345029259E-01   -2.6547683016E+00    7.5014564810E-02
    8.6990000000E-05    8.3117980590E-01    2.3388598613E-01   -2.6530002963E+00    7.5016789283E-02
    8.7490000000E-05    8.3123929312E-01    2.3432297659E-01   -2.6512262967E+00    7.5019011045E-02
    8.7990000000E-05    8.3129980399E-01    2.3476125625E-01   -2.6494463216E+00    7.5021230072E-02
    8.8490000000E-05    8.3136134587E-01    2.3520081738E-01   -2.6476603901E+00    7.5023446343E-02
    8.8990000000E-05    8.3142392608E-01    2.3564165217E-01   -2.6458685211E+00    7.5025659835E-02
    8.9490000000E-05    8.3148755195E-01    2.3608375280E-01   -2.6440707338E+00    7.5027870524E-02
    8.9990000000E-05    8.3155223075E-01    2.3652711138E-01   -2.6422670473E+00    7.5030078386E-02
    9.0490000000E-05    8.3161796977E-01    2.3697171999E-01   -2.6404574810E+00    7.5032283398E-02
    9.0990000000E-05    8.3168477626E-01    2.3741757067E-01   -2.6386420542E+00    7.5034485536E-02
    9.1490000000E-05    8.3175265745E-01    2.3786465540E-01   -2.6368207864E+00    7.5036684773E-02
    9.1990000000E-05    8.3182162055E-01    2.3831296614E-01   -2.6349936970E+00    7.5038881087E-02
    9.2490000000E-05    8.3189167276E-01    2.3876249479E-01   -2.6331608057E+00    7.5041074450E-02
    9.2990000000E-05    8.3196282124E-01    2.3921323320E-01   -2.6313221320E+00    7.5043264838E-02
    9.3490000000E-05    8.3203507314E-01    2.3966517320E-01   -2.6294776958E+00    7.5045452224E-02
    9.3990000000E-05    8.3210843557E-01    2.4011830656E-01   -2.6276275169E+00    7.5047636581E-02
    9.4490000000E-05    8.3218291565E-01    2.4057262502E-01   -2.6257716151E+00    7.5049817883E-02
    9.4990000000E-05    8.3225852043E-01    2.4102812026E-01   -2.6239100104E+00    7.5051996103E-02
    9.5490000000E-05    8.3233525697E-01    2.4148478393E-01   -2.6220427230E+00    7.5054171212E-02
    9.5990000000E-05    8.3241313229E-01    2.4194260764E-01   -2.6201697728E+00    7.5056343184E-02
    9.6490000000E-05    8.3249215338E-01    2.4240158294E-01   -2.6182911802E+00    7.5058511989E-02
    9.6990000000E-05    8.3257232723E-01    2.4286170136E-01   -2.6164069653E+00    7.5060677599E-02
    9.7490000000E-05    8.3265366076E-01    2.4332295438E-01   -2.6145171486E+00    7.5062839985E-02
    9.7990000000E-05    8.3273616089E-01    2.4378533343E-01   -2.6126217505E+00    7.5064999118E-02
    9.8490000000E-05    8.3281983452E-01    2.4424882990E-01   -2.6107207915E+00    7.5067154968E-02
    9.8990000000E-05    8.3290468849E-01    2.4471343515E-01   -2.6088142921E+00    7.5069307504E-02
    9.9490000000E-05    8.3299072964E-01    2.4517914049E-01   -2.6069022731E+00    7.5071456697E-02
    9.9990000000E-05    8.3307796476E-01    2.4564593718E-01   -2.6049847551E+00    7.5073602516E-02
    1.0049000000E-04    8.3316640063E-01    2.4611381646E-01   -2.6030617591E+00    7.5075744928E-02
    1.0099000000E-04    8.3325604397E-01    2.4658276950E-01   -2.6011333057E+00    7.5077883904E-02
    1.0149000000E-04    8.3334690150E-01    2.4705278746E-01   -2.5991994162E+00    7.5080019410E-02
    1.0199000000E-04    8.3343897989E-01    2.4752386144E-01   -2.5972601113E+00    7.5082151416E-02
    1.0249000000E-04    8.3353228578E-01    2.4799598250E-01   -2.5953154124E+00    7.5084279887E-02
