 sig=    1.000000000000000      inputfile=
 /home/rjrj524/project3/20251121_pwo/nc/wout_pwO_nfp2_A6.nc                                                                                                                                              
 dt=   1.0000000000000000E-008
 steps=      1000000
 x0=   7.0000000000000007E-002    3.077400000000000      
    6.411414000000000     
 u=    3000.000000000000     
 v_perp=    20000.00000000000     
 
time(s)         r       z        zeta      s
    4.9000000000E-07    1.2710795928E+00   -3.2776403490E-02    6.4124454142E+00    7.0002129076E-02
    9.9000000000E-07    1.2710516204E+00   -3.3403133967E-02    6.4135001772E+00    7.0004328622E-02
    1.4900000000E-06    1.2710232586E+00   -3.4031115066E-02    6.4145572924E+00    7.0006555474E-02
    1.9900000000E-06    1.2709945042E+00   -3.4660361173E-02    6.4156167893E+00    7.0008809644E-02
    2.4900000000E-06    1.2709653541E+00   -3.5290886630E-02    6.4166786974E+00    7.0011091147E-02
    2.9900000000E-06    1.2709358049E+00   -3.5922705735E-02    6.4177430464E+00    7.0013399995E-02
    3.4900000000E-06    1.2709058535E+00   -3.6555832737E-02    6.4188098658E+00    7.0015736199E-02
    3.9900000000E-06    1.2708754964E+00   -3.7190281839E-02    6.4198791852E+00    7.0018099772E-02
    4.4900000000E-06    1.2708447302E+00   -3.7826067198E-02    6.4209510341E+00    7.0020490725E-02
    4.9900000000E-06    1.2708135515E+00   -3.8463202917E-02    6.4220254422E+00    7.0022909070E-02
    5.4900000000E-06    1.2707819569E+00   -3.9101703054E-02    6.4231024392E+00    7.0025354816E-02
    5.9900000000E-06    1.2707499427E+00   -3.9741581611E-02    6.4241820544E+00    7.0027827975E-02
    6.4900000000E-06    1.2707175054E+00   -4.0382852540E-02    6.4252643177E+00    7.0030328556E-02
    6.9900000000E-06    1.2706846414E+00   -4.1025529738E-02    6.4263492586E+00    7.0032856568E-02
    7.4900000000E-06    1.2706513469E+00   -4.1669627044E-02    6.4274369067E+00    7.0035412021E-02
    7.9900000000E-06    1.2706176183E+00   -4.2315158238E-02    6.4285272917E+00    7.0037994923E-02
    8.4900000000E-06    1.2705834518E+00   -4.2962137042E-02    6.4296204431E+00    7.0040605281E-02
    8.9900000000E-06    1.2705488436E+00   -4.3610577120E-02    6.4307163906E+00    7.0043243102E-02
    9.4900000000E-06    1.2705137897E+00   -4.4260492075E-02    6.4318151639E+00    7.0045908395E-02
    9.9900000000E-06    1.2704782863E+00   -4.4911895449E-02    6.4329167925E+00    7.0048601165E-02
    1.0490000000E-05    1.2704423294E+00   -4.5564800724E-02    6.4340213061E+00    7.0051321417E-02
    1.0990000000E-05    1.2704059149E+00   -4.6219221315E-02    6.4351287343E+00    7.0054069157E-02
    1.1490000000E-05    1.2703690388E+00   -4.6875170575E-02    6.4362391068E+00    7.0056844389E-02
    1.1990000000E-05    1.2703316970E+00   -4.7532661789E-02    6.4373524531E+00    7.0059647117E-02
    1.2490000000E-05    1.2702938852E+00   -4.8191708175E-02    6.4384688029E+00    7.0062477345E-02
    1.2990000000E-05    1.2702555994E+00   -4.8852322884E-02    6.4395881859E+00    7.0065335074E-02
    1.3490000000E-05    1.2702168350E+00   -4.9514518995E-02    6.4407106316E+00    7.0068220307E-02
    1.3990000000E-05    1.2701775879E+00   -5.0178309518E-02    6.4418361697E+00    7.0071133046E-02
    1.4490000000E-05    1.2701378537E+00   -5.0843707388E-02    6.4429648298E+00    7.0074073289E-02
