 sig=    1.000000000000000      inputfile=
 /home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc                                                                                                                                               
 dt=   1.0000000000000000E-008
 steps=      2000000
 x0=   7.4600000000000000E-002    4.710000000000000      
   -2.857000000000000     
 u=    1000.000000000000     
 v_perp=    10000.00000000000     
 
time(s)         r       z        zeta      s
    4.9000000000E-07    7.9339151522E-01    1.5022221106E-01   -2.8564144644E+00    7.4601682206E-02
    9.9000000000E-07    7.9342479239E-01    1.5030838036E-01   -2.8558162080E+00    7.4603398959E-02
    1.4900000000E-06    7.9345815066E-01    1.5039464785E-01   -2.8552171728E+00    7.4605115928E-02
    1.9900000000E-06    7.9349159016E-01    1.5048101346E-01   -2.8546173589E+00    7.4606833115E-02
    2.4900000000E-06    7.9352511105E-01    1.5056747712E-01   -2.8540167664E+00    7.4608550519E-02
    2.9900000000E-06    7.9355871347E-01    1.5065403877E-01   -2.8534153955E+00    7.4610268141E-02
    3.4900000000E-06    7.9359239755E-01    1.5074069833E-01   -2.8528132461E+00    7.4611985981E-02
    3.9900000000E-06    7.9362616344E-01    1.5082745575E-01   -2.8522103185E+00    7.4613704039E-02
    4.4900000000E-06    7.9366001128E-01    1.5091431095E-01   -2.8516066128E+00    7.4615422314E-02
    4.9900000000E-06    7.9369394122E-01    1.5100126386E-01   -2.8510021290E+00    7.4617140807E-02
    5.4900000000E-06    7.9372795340E-01    1.5108831442E-01   -2.8503968673E+00    7.4618859519E-02
    5.9900000000E-06    7.9376204797E-01    1.5117546255E-01   -2.8497908277E+00    7.4620578449E-02
    6.4900000000E-06    7.9379622506E-01    1.5126270819E-01   -2.8491840105E+00    7.4622297597E-02
    6.9900000000E-06    7.9383048481E-01    1.5135005127E-01   -2.8485764156E+00    7.4624016963E-02
    7.4900000000E-06    7.9386482738E-01    1.5143749172E-01   -2.8479680433E+00    7.4625736548E-02
    7.9900000000E-06    7.9389925291E-01    1.5152502946E-01   -2.8473588936E+00    7.4627456351E-02
    8.4900000000E-06    7.9393376154E-01    1.5161266444E-01   -2.8467489667E+00    7.4629176373E-02
    8.9900000000E-06    7.9396835341E-01    1.5170039658E-01   -2.8461382626E+00    7.4630896614E-02
    9.4900000000E-06    7.9400302867E-01    1.5178822580E-01   -2.8455267815E+00    7.4632617074E-02
    9.9900000000E-06    7.9403778747E-01    1.5187615205E-01   -2.8449145235E+00    7.4634337753E-02
    1.0490000000E-05    7.9407262994E-01    1.5196417525E-01   -2.8443014887E+00    7.4636058651E-02
    1.0990000000E-05    7.9410755623E-01    1.5205229533E-01   -2.8436876772E+00    7.4637779768E-02
    1.1490000000E-05    7.9414256649E-01    1.5214051222E-01   -2.8430730892E+00    7.4639501104E-02
    1.1990000000E-05    7.9417766086E-01    1.5222882584E-01   -2.8424577248E+00    7.4641222659E-02
    1.2490000000E-05    7.9421283949E-01    1.5231723614E-01   -2.8418415840E+00    7.4642944434E-02
    1.2990000000E-05    7.9424810251E-01    1.5240574303E-01   -2.8412246671E+00    7.4644666429E-02
    1.3490000000E-05    7.9428345008E-01    1.5249434644E-01   -2.8406069740E+00    7.4646388643E-02
    1.3990000000E-05    7.9431888235E-01    1.5258304631E-01   -2.8399885051E+00    7.4648111076E-02
    1.4490000000E-05    7.9435439944E-01    1.5267184256E-01   -2.8393692603E+00    7.4649833730E-02
    1.4990000000E-05    7.9439000152E-01    1.5276073512E-01   -2.8387492397E+00    7.4651556603E-02
    1.5490000000E-05    7.9442568873E-01    1.5284972392E-01   -2.8381284436E+00    7.4653279697E-02
    1.5990000000E-05    7.9446146120E-01    1.5293880888E-01   -2.8375068721E+00    7.4655003010E-02
    1.6490000000E-05    7.9449731910E-01    1.5302798994E-01   -2.8368845252E+00    7.4656726544E-02
    1.6990000000E-05    7.9453326255E-01    1.5311726701E-01   -2.8362614031E+00    7.4658450298E-02
    1.7490000000E-05    7.9456929172E-01    1.5320664004E-01   -2.8356375059E+00    7.4660174272E-02
    1.7990000000E-05    7.9460540674E-01    1.5329610894E-01   -2.8350128337E+00    7.4661898466E-02
    1.8490000000E-05    7.9464160776E-01    1.5338567364E-01   -2.8343873867E+00    7.4663622881E-02
    1.8990000000E-05    7.9467789493E-01    1.5347533408E-01   -2.8337611651E+00    7.4665347517E-02
    1.9490000000E-05    7.9471426840E-01    1.5356509016E-01   -2.8331341688E+00    7.4667072373E-02
    1.9990000000E-05    7.9475072830E-01    1.5365494183E-01   -2.8325063981E+00    7.4668797450E-02
    2.0490000000E-05    7.9478727479E-01    1.5374488901E-01   -2.8318778531E+00    7.4670522748E-02
    2.0990000000E-05    7.9482390801E-01    1.5383493162E-01   -2.8312485338E+00    7.4672248267E-02
    2.1490000000E-05    7.9486062811E-01    1.5392506959E-01   -2.8306184406E+00    7.4673974007E-02
    2.1990000000E-05    7.9489743524E-01    1.5401530285E-01   -2.8299875733E+00    7.4675699968E-02
    2.2490000000E-05    7.9493432955E-01    1.5410563131E-01   -2.8293559323E+00    7.4677426150E-02
    2.2990000000E-05    7.9497131117E-01    1.5419605492E-01   -2.8287235177E+00    7.4679152553E-02
    2.3490000000E-05    7.9500838026E-01    1.5428657358E-01   -2.8280903295E+00    7.4680879178E-02
    2.3990000000E-05    7.9504553697E-01    1.5437718723E-01   -2.8274563679E+00    7.4682606024E-02
    2.4490000000E-05    7.9508278143E-01    1.5446789580E-01   -2.8268216331E+00    7.4684333092E-02
    2.4990000000E-05    7.9512011381E-01    1.5455869919E-01   -2.8261861251E+00    7.4686060381E-02
    2.5490000000E-05    7.9515753424E-01    1.5464959735E-01   -2.8255498441E+00    7.4687787892E-02
    2.5990000000E-05    7.9519504288E-01    1.5474059019E-01   -2.8249127903E+00    7.4689515624E-02
    2.6490000000E-05    7.9523263987E-01    1.5483167765E-01   -2.8242749638E+00    7.4691243579E-02
    2.6990000000E-05    7.9527032537E-01    1.5492285963E-01   -2.8236363647E+00    7.4692971755E-02
    2.7490000000E-05    7.9530809950E-01    1.5501413607E-01   -2.8229969931E+00    7.4694700153E-02
    2.7990000000E-05    7.9534596244E-01    1.5510550689E-01   -2.8223568493E+00    7.4696428774E-02
    2.8490000000E-05    7.9538391432E-01    1.5519697201E-01   -2.8217159332E+00    7.4698157616E-02
    2.8990000000E-05    7.9542195529E-01    1.5528853135E-01   -2.8210742452E+00    7.4699886681E-02
    2.9490000000E-05    7.9546008550E-01    1.5538018485E-01   -2.8204317853E+00    7.4701615968E-02
    2.9990000000E-05    7.9549830511E-01    1.5547193242E-01   -2.8197885536E+00    7.4703345477E-02
    3.0490000000E-05    7.9553661425E-01    1.5556377398E-01   -2.8191445504E+00    7.4705075209E-02
    3.0990000000E-05    7.9557501307E-01    1.5565570945E-01   -2.8184997757E+00    7.4706805163E-02
    3.1490000000E-05    7.9561350173E-01    1.5574773877E-01   -2.8178542297E+00    7.4708535340E-02
    3.1990000000E-05    7.9565208038E-01    1.5583986185E-01   -2.8172079125E+00    7.4710265740E-02
    3.2490000000E-05    7.9569074915E-01    1.5593207861E-01   -2.8165608243E+00    7.4711996362E-02
    3.2990000000E-05    7.9572950821E-01    1.5602438897E-01   -2.8159129652E+00    7.4713727207E-02
    3.3490000000E-05    7.9576835770E-01    1.5611679286E-01   -2.8152643354E+00    7.4715458275E-02
    3.3990000000E-05    7.9580729777E-01    1.5620929020E-01   -2.8146149350E+00    7.4717189566E-02
    3.4490000000E-05    7.9584632857E-01    1.5630188090E-01   -2.8139647642E+00    7.4718921080E-02
    3.4990000000E-05    7.9588545024E-01    1.5639456489E-01   -2.8133138230E+00    7.4720652817E-02
    3.5490000000E-05    7.9592466294E-01    1.5648734210E-01   -2.8126621118E+00    7.4722384777E-02
    3.5990000000E-05    7.9596396683E-01    1.5658021243E-01   -2.8120096305E+00    7.4724116961E-02
    3.6490000000E-05    7.9600336203E-01    1.5667317582E-01   -2.8113563795E+00    7.4725849368E-02
    3.6990000000E-05    7.9604284872E-01    1.5676623217E-01   -2.8107023587E+00    7.4727581998E-02
    3.7490000000E-05    7.9608242703E-01    1.5685938142E-01   -2.8100475684E+00    7.4729314852E-02
    3.7990000000E-05    7.9612209711E-01    1.5695262347E-01   -2.8093920087E+00    7.4731047929E-02
    3.8490000000E-05    7.9616185913E-01    1.5704595826E-01   -2.8087356798E+00    7.4732781230E-02
    3.8990000000E-05    7.9620171322E-01    1.5713938570E-01   -2.8080785818E+00    7.4734514754E-02
    3.9490000000E-05    7.9624165953E-01    1.5723290570E-01   -2.8074207149E+00    7.4736248502E-02
    3.9990000000E-05    7.9628169822E-01    1.5732651820E-01   -2.8067620792E+00    7.4737982474E-02
    4.0490000000E-05    7.9632182944E-01    1.5742022310E-01   -2.8061026749E+00    7.4739716670E-02
    4.0990000000E-05    7.9636205334E-01    1.5751402032E-01   -2.8054425022E+00    7.4741451090E-02
    4.1490000000E-05    7.9640237006E-01    1.5760790979E-01   -2.8047815612E+00    7.4743185733E-02
    4.1990000000E-05    7.9644277977E-01    1.5770189143E-01   -2.8041198520E+00    7.4744920601E-02
    4.2490000000E-05    7.9648328260E-01    1.5779596514E-01   -2.8034573748E+00    7.4746655693E-02
    4.2990000000E-05    7.9652387871E-01    1.5789013085E-01   -2.8027941298E+00    7.4748391009E-02
    4.3490000000E-05    7.9656456825E-01    1.5798438848E-01   -2.8021301172E+00    7.4750126549E-02
    4.3990000000E-05    7.9660535137E-01    1.5807873794E-01   -2.8014653370E+00    7.4751862314E-02
    4.4490000000E-05    7.9664622823E-01    1.5817317916E-01   -2.8007997895E+00    7.4753598303E-02
    4.4990000000E-05    7.9668719897E-01    1.5826771204E-01   -2.8001334748E+00    7.4755334516E-02
    4.5490000000E-05    7.9672826375E-01    1.5836233650E-01   -2.7994663931E+00    7.4757070954E-02
    4.5990000000E-05    7.9676942271E-01    1.5845705247E-01   -2.7987985446E+00    7.4758807617E-02
    4.6490000000E-05    7.9681067600E-01    1.5855185986E-01   -2.7981299294E+00    7.4760544504E-02
    4.6990000000E-05    7.9685202379E-01    1.5864675858E-01   -2.7974605476E+00    7.4762281615E-02
    4.7490000000E-05    7.9689346622E-01    1.5874174856E-01   -2.7967903995E+00    7.4764018952E-02
    4.7990000000E-05    7.9693500344E-01    1.5883682970E-01   -2.7961194852E+00    7.4765756513E-02
    4.8490000000E-05    7.9697663560E-01    1.5893200193E-01   -2.7954478048E+00    7.4767494299E-02
    4.8990000000E-05    7.9701836285E-01    1.5902726515E-01   -2.7947753586E+00    7.4769232310E-02
    4.9490000000E-05    7.9706018536E-01    1.5912261929E-01   -2.7941021468E+00    7.4770970546E-02
    4.9990000000E-05    7.9710210326E-01    1.5921806426E-01   -2.7934281693E+00    7.4772709007E-02
    5.0490000000E-05    7.9714411672E-01    1.5931359998E-01   -2.7927534266E+00    7.4774447693E-02
    5.0990000000E-05    7.9718622587E-01    1.5940922635E-01   -2.7920779186E+00    7.4776186604E-02
    5.1490000000E-05    7.9722843088E-01    1.5950494330E-01   -2.7914016457E+00    7.4777925741E-02
    5.1990000000E-05    7.9727073190E-01    1.5960075074E-01   -2.7907246079E+00    7.4779665102E-02
    5.2490000000E-05    7.9731312908E-01    1.5969664858E-01   -2.7900468054E+00    7.4781404689E-02
    5.2990000000E-05    7.9735562257E-01    1.5979263674E-01   -2.7893682385E+00    7.4783144501E-02
    5.3490000000E-05    7.9739821253E-01    1.5988871513E-01   -2.7886889072E+00    7.4784884539E-02
    5.3990000000E-05    7.9744089910E-01    1.5998488367E-01   -2.7880088118E+00    7.4786624802E-02
    5.4490000000E-05    7.9748368245E-01    1.6008114227E-01   -2.7873279524E+00    7.4788365291E-02
    5.4990000000E-05    7.9752656271E-01    1.6017749084E-01   -2.7866463292E+00    7.4790106005E-02
    5.5490000000E-05    7.9756954005E-01    1.6027392929E-01   -2.7859639424E+00    7.4791846945E-02
    5.5990000000E-05    7.9761261462E-01    1.6037045754E-01   -2.7852807922E+00    7.4793588110E-02
    5.6490000000E-05    7.9765578657E-01    1.6046707551E-01   -2.7845968787E+00    7.4795329501E-02
    5.6990000000E-05    7.9769905605E-01    1.6056378310E-01   -2.7839122021E+00    7.4797071118E-02
    5.7490000000E-05    7.9774242322E-01    1.6066058022E-01   -2.7832267626E+00    7.4798812961E-02
    5.7990000000E-05    7.9778588823E-01    1.6075746680E-01   -2.7825405604E+00    7.4800555029E-02
    5.8490000000E-05    7.9782945124E-01    1.6085444273E-01   -2.7818535956E+00    7.4802297323E-02
    5.8990000000E-05    7.9787311239E-01    1.6095150794E-01   -2.7811658685E+00    7.4804039844E-02
    5.9490000000E-05    7.9791687184E-01    1.6104866233E-01   -2.7804773792E+00    7.4805782590E-02
    5.9990000000E-05    7.9796072974E-01    1.6114590582E-01   -2.7797881280E+00    7.4807525562E-02
    6.0490000000E-05    7.9800468625E-01    1.6124323831E-01   -2.7790981149E+00    7.4809268761E-02
    6.0990000000E-05    7.9804874152E-01    1.6134065973E-01   -2.7784073402E+00    7.4811012185E-02
    6.1490000000E-05    7.9809289571E-01    1.6143816997E-01   -2.7777158040E+00    7.4812755836E-02
    6.1990000000E-05    7.9813714896E-01    1.6153576895E-01   -2.7770235066E+00    7.4814499713E-02
    6.2490000000E-05    7.9818150144E-01    1.6163345658E-01   -2.7763304482E+00    7.4816243816E-02
