 sig=    1.000000000000000      inputfile=
 /home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc                                                                                                                                               
 dt=   1.0000000000000000E-008
 steps=      2000000
 x0=   7.4600000000000000E-002   0.3140000000000000      
    9.392040000000000     
 u=   -5000.000000000000     
 v_perp=    100000.0000000000     
 
time(s)         r       z        zeta      s
    4.9000000000E-07    6.5434478414E-01   -3.6873260324E-02    9.3885925306E+00    7.4560868879E-02
    9.9000000000E-07    6.5438440129E-01   -3.7474488974E-02    9.3850464750E+00    7.4520816039E-02
    1.4900000000E-06    6.5442583069E-01   -3.8081463800E-02    9.3814718402E+00    7.4480636656E-02
    1.9900000000E-06    6.5446910195E-01   -3.8694189554E-02    9.3778685607E+00    7.4440328539E-02
    2.4900000000E-06    6.5451424514E-01   -3.9312671262E-02    9.3742365704E+00    7.4399889500E-02
    2.9900000000E-06    6.5456129171E-01   -3.9936915797E-02    9.3705758037E+00    7.4359317348E-02
    3.4900000000E-06    6.5461027413E-01   -4.0566931247E-02    9.3668861952E+00    7.4318609894E-02
    3.9900000000E-06    6.5466122521E-01   -4.1202725698E-02    9.3631676788E+00    7.4277764942E-02
    4.4900000000E-06    6.5471417811E-01   -4.1844307198E-02    9.3594201878E+00    7.4236780300E-02
    4.9900000000E-06    6.5476916634E-01   -4.2491683750E-02    9.3556436547E+00    7.4195653773E-02
    5.4900000000E-06    6.5482622374E-01   -4.3144863303E-02    9.3518380114E+00    7.4154383164E-02
    5.9900000000E-06    6.5488538450E-01   -4.3803853744E-02    9.3480031892E+00    7.4112966278E-02
    6.4900000000E-06    6.5494668317E-01   -4.4468662882E-02    9.3441391185E+00    7.4071400919E-02
    6.9900000000E-06    6.5501015446E-01   -4.5139298144E-02    9.3402457291E+00    7.4029684891E-02
    7.4900000000E-06    6.5507583324E-01   -4.5815766494E-02    9.3363229498E+00    7.3987816000E-02
    7.9900000000E-06    6.5514375478E-01   -4.6498074894E-02    9.3323707089E+00    7.3945792053E-02
    8.4900000000E-06    6.5521395479E-01   -4.7186230342E-02    9.3283889339E+00    7.3903610858E-02
    8.9900000000E-06    6.5528646940E-01   -4.7880239870E-02    9.3243775523E+00    7.3861270224E-02
    9.4900000000E-06    6.5536133519E-01   -4.8580110535E-02    9.3203364906E+00    7.3818767960E-02
    9.9900000000E-06    6.5543858920E-01   -4.9285849416E-02    9.3162656752E+00    7.3776101876E-02
    1.0490000000E-05    6.5551826888E-01   -4.9997463611E-02    9.3121650319E+00    7.3733269782E-02
    1.0990000000E-05    6.5560041225E-01   -5.0714960347E-02    9.3080344862E+00    7.3690269487E-02
    1.1490000000E-05    6.5568505781E-01   -5.1438346962E-02    9.3038739632E+00    7.3647098795E-02
    1.1990000000E-05    6.5577224444E-01   -5.2167630608E-02    9.2996833876E+00    7.3603755511E-02
    1.2490000000E-05    6.5586201139E-01   -5.2902818221E-02    9.2954626836E+00    7.3560237435E-02
    1.2990000000E-05    6.5595439825E-01   -5.3643916519E-02    9.2912117747E+00    7.3516542365E-02
    1.3490000000E-05    6.5604944498E-01   -5.4390931995E-02    9.2869305842E+00    7.3472668098E-02
    1.3990000000E-05    6.5614719192E-01   -5.5143870920E-02    9.2826190346E+00    7.3428612429E-02
    1.4490000000E-05    6.5624767980E-01   -5.5902739343E-02    9.2782770482E+00    7.3384373156E-02
    1.4990000000E-05    6.5635094976E-01   -5.6667543197E-02    9.2739045468E+00    7.3339948076E-02
    1.5490000000E-05    6.5645704346E-01   -5.7438288395E-02    9.2695014520E+00    7.3295334985E-02
    1.5990000000E-05    6.5656600306E-01   -5.8214980782E-02    9.2650676851E+00    7.3250531685E-02
    1.6490000000E-05    6.5667787117E-01   -5.8997626121E-02    9.2606031673E+00    7.3205535973E-02
    1.6990000000E-05    6.5679269092E-01   -5.9786230076E-02    9.2561078193E+00    7.3160345651E-02
    1.7490000000E-05    6.5691050591E-01   -6.0580798195E-02    9.2515815621E+00    7.3114958517E-02
    1.7990000000E-05    6.5703136023E-01   -6.1381335902E-02    9.2470243160E+00    7.3069372371E-02
    1.8490000000E-05    6.5715529843E-01   -6.2187848418E-02    9.2424360016E+00    7.3023585008E-02
    1.8990000000E-05    6.5728236541E-01   -6.3000340517E-02    9.2378165391E+00    7.2977594226E-02
    1.9490000000E-05    6.5741260646E-01   -6.3818816638E-02    9.2331658485E+00    7.2931397825E-02
    1.9990000000E-05    6.5754606731E-01   -6.4643280940E-02    9.2284838498E+00    7.2884993606E-02
    2.0490000000E-05    6.5768279415E-01   -6.5473737287E-02    9.2237704627E+00    7.2838379373E-02
    2.0990000000E-05    6.5782283358E-01   -6.6310189235E-02    9.2190256071E+00    7.2791552929E-02
    2.1490000000E-05    6.5796623268E-01   -6.7152640016E-02    9.2142492030E+00    7.2744512080E-02
    2.1990000000E-05    6.5811303899E-01   -6.8001092586E-02    9.2094411703E+00    7.2697254632E-02
    2.2490000000E-05    6.5826330101E-01   -6.8855550531E-02    9.2046014296E+00    7.2649778386E-02
    2.2990000000E-05    6.5841706828E-01   -6.9716018094E-02    9.1997299025E+00    7.2602081136E-02
    2.3490000000E-05    6.5857439102E-01   -7.0582499620E-02    9.1948265111E+00    7.2554160663E-02
    2.3990000000E-05    6.5873532018E-01   -7.1454999531E-02    9.1898911780E+00    7.2506014742E-02
    2.4490000000E-05    6.5889990745E-01   -7.2333522328E-02    9.1849238265E+00    7.2457641137E-02
    2.4990000000E-05    6.5906820521E-01   -7.3218072574E-02    9.1799243805E+00    7.2409037607E-02
    2.5490000000E-05    6.5924026652E-01   -7.4108654718E-02    9.1748927646E+00    7.2360201903E-02
    2.5990000000E-05    6.5941614331E-01   -7.5005269764E-02    9.1698289017E+00    7.2311131775E-02
    2.6490000000E-05    6.5959588618E-01   -7.5907914860E-02    9.1647327129E+00    7.2261824977E-02
    2.6990000000E-05    6.5977954577E-01   -7.6816585842E-02    9.1596041190E+00    7.2212279269E-02
    2.7490000000E-05    6.5996717277E-01   -7.7731277315E-02    9.1544430408E+00    7.2162492411E-02
    2.7990000000E-05    6.6015881798E-01   -7.8651982654E-02    9.1492493990E+00    7.2112462161E-02
    2.8490000000E-05    6.6035453226E-01   -7.9578693998E-02    9.1440231144E+00    7.2062186272E-02
    2.8990000000E-05    6.6055436686E-01   -8.0511402752E-02    9.1387641079E+00    7.2011662487E-02
    2.9490000000E-05    6.6075837600E-01   -8.1450104557E-02    9.1334723044E+00    7.1960888542E-02
    2.9990000000E-05    6.6096661628E-01   -8.2394798155E-02    9.1281476321E+00    7.1909862165E-02
    3.0490000000E-05    6.6117914529E-01   -8.3345482658E-02    9.1227900202E+00    7.1858581088E-02
    3.0990000000E-05    6.6139602154E-01   -8.4302157528E-02    9.1173993996E+00    7.1807043043E-02
    3.1490000000E-05    6.6161730452E-01   -8.5264822589E-02    9.1119757027E+00    7.1755245769E-02
    3.1990000000E-05    6.6184305470E-01   -8.6233478025E-02    9.1065188634E+00    7.1703187013E-02
    3.2490000000E-05    6.6207333294E-01   -8.7208123254E-02    9.1010288166E+00    7.1650864525E-02
    3.2990000000E-05    6.6230819886E-01   -8.8188753693E-02    9.0955054961E+00    7.1598276030E-02
    3.3490000000E-05    6.6254771171E-01   -8.9175362329E-02    9.0899488352E+00    7.1545419191E-02
    3.3990000000E-05    6.6279193064E-01   -9.0167940237E-02    9.0843587674E+00    7.1492291609E-02
    3.4490000000E-05    6.6304091467E-01   -9.1166476542E-02    9.0787352265E+00    7.1438890821E-02
    3.4990000000E-05    6.6329472275E-01   -9.2170958429E-02    9.0730781460E+00    7.1385214300E-02
    3.5490000000E-05    6.6355341373E-01   -9.3181371239E-02    9.0673874595E+00    7.1331259465E-02
    3.5990000000E-05    6.6381704731E-01   -9.4197700398E-02    9.0616631023E+00    7.1277023763E-02
    3.6490000000E-05    6.6408568585E-01   -9.5219935382E-02    9.0559050136E+00    7.1222504831E-02
    3.6990000000E-05    6.6435939480E-01   -9.6248070416E-02    9.0501131385E+00    7.1167700521E-02
    3.7490000000E-05    6.6463824253E-01   -9.7282104098E-02    9.0442874273E+00    7.1112608861E-02
    3.7990000000E-05    6.6492230013E-01   -9.8322038852E-02    9.0384278356E+00    7.1057228028E-02
    3.8490000000E-05    6.6521164100E-01   -9.9367879998E-02    9.0325343242E+00    7.1001556293E-02
    3.8990000000E-05    6.6550633663E-01   -1.0041962726E-01    9.0266068527E+00    7.0945591875E-02
    3.9490000000E-05    6.6580645289E-01   -1.0147726690E-01    9.0206453740E+00    7.0889332601E-02
    3.9990000000E-05    6.6611205243E-01   -1.0254077616E-01    9.0146498360E+00    7.0832775843E-02
    4.0490000000E-05    6.6642319546E-01   -1.0361012494E-01    9.0086201830E+00    7.0775918582E-02
    4.0990000000E-05    6.6673994044E-01   -1.0468527752E-01    9.0025563557E+00    7.0718757499E-02
    4.1490000000E-05    6.6706234522E-01   -1.0576619493E-01    8.9964582932E+00    7.0661289076E-02
    4.1990000000E-05    6.6739047544E-01   -1.0685285131E-01    8.9903259443E+00    7.0603509772E-02
    4.2490000000E-05    6.6772440683E-01   -1.0794523893E-01    8.9841592720E+00    7.0545416278E-02
    4.2990000000E-05    6.6806421730E-01   -1.0904335325E-01    8.9779582430E+00    7.0487005572E-02
    4.3490000000E-05    6.6840998584E-01   -1.1014719062E-01    8.9717228269E+00    7.0428274862E-02
    4.3990000000E-05    6.6876179177E-01   -1.1125674671E-01    8.9654529952E+00    7.0369221527E-02
    4.4490000000E-05    6.6911971355E-01   -1.1237201400E-01    8.9591487197E+00    7.0309843046E-02
    4.4990000000E-05    6.6948382298E-01   -1.1349297079E-01    8.9528099642E+00    7.0250136923E-02
    4.5490000000E-05    6.6985418822E-01   -1.1461958664E-01    8.9464366892E+00    7.0190100641E-02
    4.5990000000E-05    6.7023087843E-01   -1.1575183129E-01    8.9400288572E+00    7.0129731672E-02
    4.6490000000E-05    6.7061396414E-01   -1.1688967529E-01    8.9335864341E+00    7.0069027500E-02
    4.6990000000E-05    6.7100351750E-01   -1.1803309059E-01    8.9271093893E+00    7.0007985646E-02
    4.7490000000E-05    6.7139961299E-01   -1.1918205186E-01    8.9205976974E+00    6.9946603690E-02
    4.7990000000E-05    6.7180232817E-01   -1.2033653786E-01    8.9140513388E+00    6.9884879279E-02
    4.8490000000E-05    6.7221174055E-01   -1.2149652562E-01    8.9074702961E+00    6.9822810110E-02
    4.8990000000E-05    6.7262792678E-01   -1.2266198880E-01    8.9008545529E+00    6.9760393923E-02
    4.9490000000E-05    6.7305096245E-01   -1.2383289739E-01    8.8942040932E+00    6.9697628489E-02
    4.9990000000E-05    6.7348092201E-01   -1.2500921757E-01    8.8875189019E+00    6.9634511604E-02
    5.0490000000E-05    6.7391788028E-01   -1.2619091447E-01    8.8807989662E+00    6.9571041089E-02
    5.0990000000E-05    6.7436191439E-01   -1.2737795584E-01    8.8740442787E+00    6.9507214808E-02
    5.1490000000E-05    6.7481310365E-01   -1.2857031183E-01    8.8672548375E+00    6.9443030684E-02
    5.1990000000E-05    6.7527152958E-01   -1.2976795499E-01    8.8604306465E+00    6.9378486711E-02
    5.2490000000E-05    6.7573727588E-01   -1.3097086029E-01    8.8535717158E+00    6.9313580961E-02
    5.2990000000E-05    6.7621042612E-01   -1.3217900078E-01    8.8466780586E+00    6.9248311594E-02
    5.3490000000E-05    6.7669105974E-01   -1.3339234028E-01    8.8397496864E+00    6.9182676838E-02
    5.3990000000E-05    6.7717925470E-01   -1.3461083821E-01    8.8327866122E+00    6.9116674984E-02
    5.4490000000E-05    6.7767508791E-01   -1.3583445050E-01    8.8257888514E+00    6.9050304379E-02
    5.4990000000E-05    6.7817863532E-01   -1.3706312970E-01    8.8187564218E+00    6.8983563426E-02
    5.5490000000E-05    6.7868997328E-01   -1.3829682755E-01    8.8116893455E+00    6.8916450581E-02
    5.5990000000E-05    6.7920918228E-01   -1.3953550178E-01    8.8045876544E+00    6.8848964370E-02
    5.6490000000E-05    6.7973634426E-01   -1.4077911123E-01    8.7974513860E+00    6.8781103397E-02
    5.6990000000E-05    6.8027154174E-01   -1.4202761433E-01    8.7902805833E+00    6.8712866348E-02
    5.7490000000E-05    6.8081485779E-01   -1.4328096896E-01    8.7830752944E+00    6.8644251990E-02
    5.7990000000E-05    6.8136637530E-01   -1.4453913117E-01    8.7758355718E+00    6.8575259174E-02
    5.8490000000E-05    6.8192617515E-01   -1.4580205196E-01    8.7685614701E+00    6.8505886825E-02
    5.8990000000E-05    6.8249433771E-01   -1.4706967988E-01    8.7612530480E+00    6.8436133939E-02
    5.9490000000E-05    6.8307094319E-01   -1.4834196184E-01    8.7539103692E+00    6.8365999580E-02
    5.9990000000E-05    6.8365607173E-01   -1.4961884321E-01    8.7465335023E+00    6.8295482883E-02
    6.0490000000E-05    6.8424980375E-01   -1.5090026844E-01    8.7391225215E+00    6.8224583046E-02
    6.0990000000E-05    6.8485222048E-01   -1.5218618208E-01    8.7316775077E+00    6.8153299330E-02
    6.1490000000E-05    6.8546340326E-01   -1.5347652753E-01    8.7241985473E+00    6.8081631053E-02
    6.1990000000E-05    6.8608343341E-01   -1.5477124681E-01    8.7166857321E+00    6.8009577588E-02
    6.2490000000E-05    6.8671239218E-01   -1.5607028046E-01    8.7091391596E+00    6.7937138362E-02
    6.2990000000E-05    6.8735036011E-01   -1.5737356656E-01    8.7015589317E+00    6.7864312858E-02
    6.3490000000E-05    6.8799741694E-01   -1.5868104052E-01    8.6939451552E+00    6.7791100615E-02
    6.3990000000E-05    6.8865364235E-01   -1.5999263649E-01    8.6862979423E+00    6.7717501235E-02
    6.4490000000E-05    6.8931911605E-01   -1.6130828749E-01    8.6786174114E+00    6.7643514377E-02
