 sig=    1.000000000000000      inputfile=
 /home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc                                                                                                                                               
 dt=   1.0000000000000000E-008
 steps=      2000000
 x0=   7.0999999999999994E-002   0.3140000000000000      
    3.112040000000000     
 u=    8000.000000000000     
 v_perp=    30000.00000000000     
 
time(s)         r       z        zeta      s
    4.9000000000E-07    6.5894543522E-01   -3.4127698189E-02    3.1173845617E+00    7.0996075153E-02
    9.9000000000E-07    6.5887711889E-01   -3.2997698461E-02    3.1228359650E+00    7.0992114936E-02
    1.4900000000E-06    6.5881185458E-01   -3.1867767028E-02    3.1282851126E+00    7.0988199895E-02
    1.9900000000E-06    6.5874963912E-01   -3.0737911555E-02    3.1337320023E+00    7.0984330027E-02
    2.4900000000E-06    6.5869046930E-01   -2.9608139620E-02    3.1391766324E+00    7.0980505332E-02
    2.9900000000E-06    6.5863434187E-01   -2.8478458720E-02    3.1446190009E+00    7.0976725809E-02
    3.4900000000E-06    6.5858125360E-01   -2.7348876267E-02    3.1500591062E+00    7.0972991462E-02
    3.9900000000E-06    6.5853120124E-01   -2.6219399596E-02    3.1554969467E+00    7.0969302294E-02
    4.4900000000E-06    6.5848418151E-01   -2.5090035968E-02    3.1609325209E+00    7.0965658311E-02
    4.9900000000E-06    6.5844019115E-01   -2.3960792573E-02    3.1663658276E+00    7.0962059520E-02
    5.4900000000E-06    6.5839922688E-01   -2.2831676532E-02    3.1717968655E+00    7.0958505930E-02
    5.9900000000E-06    6.5836128543E-01   -2.1702694905E-02    3.1772256336E+00    7.0954997550E-02
    6.4900000000E-06    6.5832636353E-01   -2.0573854695E-02    3.1826521310E+00    7.0951534391E-02
    6.9900000000E-06    6.5829445792E-01   -1.9445162850E-02    3.1880763568E+00    7.0948116465E-02
    7.4900000000E-06    6.5826556533E-01   -1.8316626271E-02    3.1934983105E+00    7.0944743786E-02
    7.9900000000E-06    6.5823968253E-01   -1.7188251815E-02    3.1989179916E+00    7.0941416368E-02
    8.4900000000E-06    6.5821680629E-01   -1.6060046301E-02    3.2043353997E+00    7.0938134225E-02
    8.9900000000E-06    6.5819693340E-01   -1.4932016518E-02    3.2097505347E+00    7.0934897375E-02
    9.4900000000E-06    6.5818006068E-01   -1.3804169225E-02    3.2151633966E+00    7.0931705833E-02
    9.9900000000E-06    6.5816618495E-01   -1.2676511158E-02    3.2205739855E+00    7.0928559617E-02
    1.0490000000E-05    6.5815530310E-01   -1.1549049040E-02    3.2259823017E+00    7.0925458746E-02
    1.0990000000E-05    6.5814741199E-01   -1.0421789578E-02    3.2313883457E+00    7.0922403238E-02
    1.1490000000E-05    6.5814250858E-01   -9.2947394759E-03    3.2367921182E+00    7.0919393114E-02
    1.1990000000E-05    6.5814058980E-01   -8.1679054330E-03    3.2421936199E+00    7.0916428395E-02
    1.2490000000E-05    6.5814165265E-01   -7.0412941528E-03    3.2475928518E+00    7.0913509100E-02
    1.2990000000E-05    6.5814569416E-01   -5.9149123458E-03    3.2529898151E+00    7.0910635253E-02
    1.3490000000E-05    6.5815271141E-01   -4.7887667340E-03    3.2583845111E+00    7.0907806875E-02
    1.3990000000E-05    6.5816270150E-01   -3.6628640552E-03    3.2637769413E+00    7.0905023989E-02
    1.4490000000E-05    6.5817566158E-01   -2.5372110666E-03    3.2691671074E+00    7.0902286620E-02
    1.4990000000E-05    6.5819158885E-01   -1.4118145482E-03    3.2745550111E+00    7.0899594791E-02
    1.5490000000E-05    6.5821048055E-01   -2.8668130611E-04    3.2799406545E+00    7.0896948527E-02
    1.5990000000E-05    6.5823233396E-01    8.3818182454E-04    3.2853240398E+00    7.0894347854E-02
    1.6490000000E-05    6.5825714641E-01    1.9627679771E-03    3.2907051693E+00    7.0891792799E-02
    1.6990000000E-05    6.5828491527E-01    3.0870702510E-03    3.2960840454E+00    7.0889283388E-02
    1.7490000000E-05    6.5831563796E-01    4.2110817102E-03    3.3014606709E+00    7.0886819650E-02
    1.7990000000E-05    6.5834931194E-01    5.3347953812E-03    3.3068350485E+00    7.0884401612E-02
    1.8490000000E-05    6.5838593472E-01    6.4582042519E-03    3.3122071814E+00    7.0882029304E-02
    1.8990000000E-05    6.5842550387E-01    7.5813012708E-03    3.3175770725E+00    7.0879702756E-02
