 sig=    1.000000000000000      inputfile=
 /home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc                                                                                                                                               
 dt=   2.0000000000000001E-009
 steps=      2000000
 x0=   7.4770000000000003E-002    3.077500000000000      
    6.411400000000000     
 u=    4000.000000000000     
 v_perp=    20000.00000000000     
 
time(s)         r       z        zeta      s
    9.8000000000E-08    1.3090820030E+00   -4.1678556542E-02    6.4116883527E+00    7.4769880717E-02
    1.9800000000E-07    1.3090677140E+00   -4.1754610400E-02    6.4119825886E+00    7.4769758806E-02
    2.9800000000E-07    1.3090533966E+00   -4.1830657598E-02    6.4122768231E+00    7.4769636699E-02
    3.9800000000E-07    1.3090390508E+00   -4.1906698124E-02    6.4125710560E+00    7.4769514396E-02
    4.9800000000E-07    1.3090246766E+00   -4.1982731964E-02    6.4128652873E+00    7.4769391897E-02
    5.9800000000E-07    1.3090102739E+00   -4.2058759107E-02    6.4131595172E+00    7.4769269202E-02
    6.9800000000E-07    1.3089958429E+00   -4.2134779540E-02    6.4134537455E+00    7.4769146310E-02
    7.9800000000E-07    1.3089813834E+00   -4.2210793250E-02    6.4137479724E+00    7.4769023223E-02
    8.9800000000E-07    1.3089668956E+00   -4.2286800224E-02    6.4140421977E+00    7.4768899940E-02
    9.9800000000E-07    1.3089523793E+00   -4.2362800450E-02    6.4143364214E+00    7.4768776461E-02
    1.0980000000E-06    1.3089378347E+00   -4.2438793915E-02    6.4146306437E+00    7.4768652786E-02
    1.1980000000E-06    1.3089232617E+00   -4.2514780608E-02    6.4149248644E+00    7.4768528914E-02
    1.2980000000E-06    1.3089086603E+00   -4.2590760514E-02    6.4152190835E+00    7.4768404847E-02
    1.3980000000E-06    1.3088940305E+00   -4.2666733621E-02    6.4155133012E+00    7.4768280584E-02
    1.4980000000E-06    1.3088793724E+00   -4.2742699918E-02    6.4158075173E+00    7.4768156125E-02
    1.5980000000E-06    1.3088646859E+00   -4.2818659390E-02    6.4161017319E+00    7.4768031470E-02
    1.6980000000E-06    1.3088499710E+00   -4.2894612026E-02    6.4163959449E+00    7.4767906618E-02
    1.7980000000E-06    1.3088352278E+00   -4.2970557814E-02    6.4166901564E+00    7.4767781571E-02
    1.8980000000E-06    1.3088204563E+00   -4.3046496739E-02    6.4169843663E+00    7.4767656328E-02
    1.9980000000E-06    1.3088056564E+00   -4.3122428791E-02    6.4172785748E+00    7.4767530889E-02
    2.0980000000E-06    1.3087908281E+00   -4.3198353956E-02    6.4175727816E+00    7.4767405254E-02
    2.1980000000E-06    1.3087759715E+00   -4.3274272222E-02    6.4178669870E+00    7.4767279423E-02
    2.2980000000E-06    1.3087610866E+00   -4.3350183576E-02    6.4181611907E+00    7.4767153396E-02
    2.3980000000E-06    1.3087461734E+00   -4.3426088005E-02    6.4184553930E+00    7.4767027173E-02
    2.4980000000E-06    1.3087312318E+00   -4.3501985498E-02    6.4187495937E+00    7.4766900754E-02
    2.5980000000E-06    1.3087162619E+00   -4.3577876041E-02    6.4190437928E+00    7.4766774139E-02
    2.6980000000E-06    1.3087012637E+00   -4.3653759622E-02    6.4193379904E+00    7.4766647328E-02
