 sig=    1.000000000000000      inputfile=
 /home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc                                                                                                                                               
 dt=   3.0000000000000000E-009
 steps=      3000000
 x0=   7.4770000000000003E-002    3.077500000000000      
    6.411400000000000     
 u=    8000.000000000000     
 v_perp=    20000.00000000000     
 
time(s)         r       z        zeta      s
    2.9700000000E-07    1.3090102746E+00   -4.2063529259E-02    6.4131461335E+00    7.4769556336E-02
    5.9700000000E-07    1.3089226661E+00   -4.2527470619E-02    6.4149099662E+00    7.4769103767E-02
    8.9700000000E-07    1.3088340142E+00   -4.2991196283E-02    6.4166738614E+00    7.4768646750E-02
    1.1970000000E-06    1.3087443197E+00   -4.3454703734E-02    6.4184378201E+00    7.4768185286E-02
    1.4970000000E-06    1.3086535833E+00   -4.3917990460E-02    6.4202018429E+00    7.4767719375E-02
    1.7970000000E-06    1.3085618058E+00   -4.4381053950E-02    6.4219659309E+00    7.4767249017E-02
    2.0970000000E-06    1.3084689879E+00   -4.4843891698E-02    6.4237300848E+00    7.4766774212E-02
    2.3970000000E-06    1.3083751305E+00   -4.5306501202E-02    6.4254943054E+00    7.4766294960E-02
    2.6970000000E-06    1.3082802342E+00   -4.5768879960E-02    6.4272585937E+00    7.4765811261E-02
    2.9970000000E-06    1.3081842999E+00   -4.6231025478E-02    6.4290229504E+00    7.4765323115E-02
    3.2970000000E-06    1.3080873283E+00   -4.6692935262E-02    6.4307873764E+00    7.4764830523E-02
    3.5970000000E-06    1.3079893203E+00   -4.7154606821E-02    6.4325518726E+00    7.4764333483E-02
    3.8970000000E-06    1.3078902767E+00   -4.7616037671E-02    6.4343164397E+00    7.4763831997E-02
    4.1970000000E-06    1.3077901982E+00   -4.8077225329E-02    6.4360810787E+00    7.4763326065E-02
    4.4970000000E-06    1.3076890857E+00   -4.8538167315E-02    6.4378457903E+00    7.4762815685E-02
    4.7970000000E-06    1.3075869401E+00   -4.8998861154E-02    6.4396105754E+00    7.4762300860E-02
    5.0970000000E-06    1.3074837621E+00   -4.9459304373E-02    6.4413754349E+00    7.4761781587E-02
    5.3970000000E-06    1.3073795527E+00   -4.9919494505E-02    6.4431403696E+00    7.4761257868E-02
    5.6970000000E-06    1.3072743126E+00   -5.0379429086E-02    6.4449053803E+00    7.4760729703E-02
    5.9970000000E-06    1.3071680428E+00   -5.0839105653E-02    6.4466704678E+00    7.4760197092E-02
    6.2970000000E-06    1.3070607441E+00   -5.1298521749E-02    6.4484356331E+00    7.4759660034E-02
    6.5970000000E-06    1.3069524174E+00   -5.1757674923E-02    6.4502008770E+00    7.4759118530E-02
    6.8970000000E-06    1.3068430636E+00   -5.2216562722E-02    6.4519662002E+00    7.4758572580E-02
    7.1970000000E-06    1.3067326835E+00   -5.2675182703E-02    6.4537316037E+00    7.4758022184E-02
    7.4970000000E-06    1.3066212782E+00   -5.3133532423E-02    6.4554970883E+00    7.4757467342E-02
    7.7970000000E-06    1.3065088484E+00   -5.3591609443E-02    6.4572626547E+00    7.4756908055E-02
    8.0970000000E-06    1.3063953952E+00   -5.4049411330E-02    6.4590283040E+00    7.4756344321E-02
    8.3970000000E-06    1.3062809194E+00   -5.4506935653E-02    6.4607940369E+00    7.4755776142E-02
    8.6970000000E-06    1.3061654221E+00   -5.4964179987E-02    6.4625598542E+00    7.4755203518E-02
    8.9970000000E-06    1.3060489040E+00   -5.5421141909E-02    6.4643257568E+00    7.4754626448E-02
    9.2970000000E-06    1.3059313663E+00   -5.5877819001E-02    6.4660917455E+00    7.4754044933E-02
    9.5970000000E-06    1.3058128098E+00   -5.6334208849E-02    6.4678578213E+00    7.4753458972E-02
    9.8970000000E-06    1.3056932356E+00   -5.6790309043E-02    6.4696239848E+00    7.4752868567E-02
    1.0197000000E-05    1.3055726445E+00   -5.7246117177E-02    6.4713902370E+00    7.4752273717E-02
    1.0497000000E-05    1.3054510376E+00   -5.7701630850E-02    6.4731565787E+00    7.4751674422E-02
    1.0797000000E-05    1.3053284159E+00   -5.8156847665E-02    6.4749230107E+00    7.4751070682E-02
    1.1097000000E-05    1.3052047804E+00   -5.8611765228E-02    6.4766895340E+00    7.4750462498E-02
    1.1397000000E-05    1.3050801321E+00   -5.9066381151E-02    6.4784561492E+00    7.4749849869E-02
    1.1697000000E-05    1.3049544720E+00   -5.9520693048E-02    6.4802228573E+00    7.4749232797E-02
    1.1997000000E-05    1.3048278011E+00   -5.9974698541E-02    6.4819896592E+00    7.4748611280E-02
    1.2297000000E-05    1.3047001204E+00   -6.0428395252E-02    6.4837565555E+00    7.4747985319E-02
    1.2597000000E-05    1.3045714311E+00   -6.0881780811E-02    6.4855235473E+00    7.4747354915E-02
    1.2897000000E-05    1.3044417341E+00   -6.1334852851E-02    6.4872906353E+00    7.4746720068E-02
    1.3197000000E-05    1.3043110305E+00   -6.1787609009E-02    6.4890578204E+00    7.4746080776E-02
    1.3497000000E-05    1.3041793214E+00   -6.2240046926E-02    6.4908251034E+00    7.4745437042E-02
