v_perp,v_para,output,dt,steps,compress,mass,nc,x1,x2,x3
1.00E+02,2.00E+04,dat1.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
2.00E+02,2.00E+04,dat2.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
300,2.00E+04,dat3.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
400,2.00E+04,dat4.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
500,2.00E+04,dat5.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
600,2.00E+04,dat6.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
700,2.00E+04,dat7.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
800,2.00E+04,dat8.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
900,2.00E+04,dat9.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
1000,2.00E+04,dat10.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
1.00E+02,2.00E+03,dat11.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
2.00E+02,2.00E+03,dat12.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
300,2.00E+03,dat13.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
400,2.00E+03,dat14.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
500,2.00E+03,dat15.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
600,2.00E+03,dat16.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
700,2.00E+03,dat17.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
800,2.00E+03,dat18.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
900,2.00E+03,dat19.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
1000,2.00E+03,dat20.dat,1.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
