 sig=    1.000000000000000      inputfile=
 /home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc                                                                                                                                               
 dt=   1.0000000000000001E-009
 steps=      5000000
 x0=   7.4800000000000005E-002    3.080000000000000      
    6.410000000000000     
 u=    2000.000000000000     
 v_perp=    200.0000000000000     
 
time(s)         r       z        zeta      s
    4.9900000000E-07    1.3092282351E+00   -4.0554600996E-02    6.4107323172E+00    7.4799989114E-02
    9.9900000000E-07    1.3091925290E+00   -4.0752981139E-02    6.4114661191E+00    7.4799978158E-02
    1.4990000000E-06    1.3091566371E+00   -4.0951326131E-02    6.4121999383E+00    7.4799967152E-02
    1.9990000000E-06    1.3091205594E+00   -4.1149635790E-02    6.4129337748E+00    7.4799956097E-02
    2.4990000000E-06    1.3090842961E+00   -4.1347909935E-02    6.4136676287E+00    7.4799944992E-02
    2.9990000000E-06    1.3090478470E+00   -4.1546148383E-02    6.4144015001E+00    7.4799933839E-02
    3.4990000000E-06    1.3090112123E+00   -4.1744350954E-02    6.4151353891E+00    7.4799922636E-02
    3.9990000000E-06    1.3089743921E+00   -4.1942517466E-02    6.4158692958E+00    7.4799911384E-02
    4.4990000000E-06    1.3089373863E+00   -4.2140647738E-02    6.4166032203E+00    7.4799900082E-02
    4.9990000000E-06    1.3089001951E+00   -4.2338741587E-02    6.4173371627E+00    7.4799888732E-02
    5.4990000000E-06    1.3088628184E+00   -4.2536798834E-02    6.4180711230E+00    7.4799877332E-02
    5.9990000000E-06    1.3088252563E+00   -4.2734819297E-02    6.4188051014E+00    7.4799865882E-02
    6.4990000000E-06    1.3087875089E+00   -4.2932802794E-02    6.4195390980E+00    7.4799854384E-02
    6.9990000000E-06    1.3087495763E+00   -4.3130749146E-02    6.4202731128E+00    7.4799842836E-02
    7.4990000000E-06    1.3087114584E+00   -4.3328658171E-02    6.4210071459E+00    7.4799831239E-02
    7.9990000000E-06    1.3086731552E+00   -4.3526529688E-02    6.4217411974E+00    7.4799819592E-02
