v_perp,v_para,output,dt,steps,compress,mass,nc,x1,x2,x3
1.00E+05,1.00E+04,dat1.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
1.00E+05,2.00E+04,dat2.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
1.00E+05,3.00E+04,dat3.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
1.00E+05,4E+04,dat4.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
1.00E+05,5E+04,dat5.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
1.00E+05,6E+04,dat6.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
1.00E+05,7E+04,dat7.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
1.00E+05,8E+04,dat8.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
1.00E+05,9E+04,dat9.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
1.00E+05,1.00E+05,dat10.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
2.00E+05,2.00E+04,dat11.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
2.00E+05,4.00E+04,dat12.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
2.00E+05,6.00E+04,dat13.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
2.00E+05,8.00E+04,dat14.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
2.00E+05,1.00E+05,dat15.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
2.00E+05,1.20E+05,dat16.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
2.00E+05,1.40E+05,dat17.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
2.00E+05,1.60E+05,dat18.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
2.00E+05,1.80E+05,dat19.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
2.00E+05,2.00E+05,dat20.dat,2.00E-09,5.00E+06,5.00E+02,1.84E+03,/home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc,7.48E-02,3.08E+00,6.41E+00
,,,,,,,,,,
