 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000001E-009
 steps=      1000000
 x0=   4.0000000000000001E-002    3.080000000000000      
    6.410000000000000     
 u=    88100.00000000000     
 v_perp=    219000.0000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-06    1.2429427847E+00   -1.5707578295E-01    6.6805918277E+00    4.4225327732E-02
    7.9980000000E-06    1.2007051490E+00   -2.7540160041E-01    7.0060071181E+00    5.0766822790E-02
    1.1998000000E-05    1.1220551737E+00   -3.6168546409E-01    7.4003463632E+00    5.7362508170E-02
    1.5998000000E-05    1.0169664367E+00   -3.8286077996E-01    7.8676526515E+00    6.2144309200E-02
    1.9998000000E-05    9.2313224377E-01   -3.2433825682E-01    8.3956675871E+00    6.3812338062E-02
    2.3998000000E-05    8.8205024120E-01   -2.0897667744E-01    8.9541073323E+00    6.2868553763E-02
    2.7998000000E-05    9.0533416898E-01   -8.0964268909E-02    9.5017931197E+00    5.9838862632E-02
    3.1998000000E-05    9.7135596750E-01    1.8572398410E-02    1.0012142485E+01    5.4638674741E-02
    3.5998000000E-05    1.0425900406E+00    6.8800745993E-02    1.0475337948E+01    4.8645072239E-02
    3.9998000000E-05    1.0997384203E+00    7.6495387286E-02    1.0881919978E+01    4.3712652745E-02
    4.3998000000E-05    1.1386730230E+00    6.2163977093E-02    1.1232977794E+01    4.0781402213E-02
    4.7998000000E-05    1.1626221560E+00    4.1287051450E-02    1.1536801742E+01    3.9959548447E-02
    5.1998000000E-05    1.1769222182E+00    1.9573653477E-02    1.1801139758E+01    4.0770492949E-02
    5.5998000000E-05    1.1853028128E+00   -5.4836196745E-04    1.2033695658E+01    4.2452806841E-02
    5.9998000000E-05    1.1901533153E+00   -1.7444611887E-02    1.2243513582E+01    4.4114226751E-02
    6.3998000000E-05    1.1925380479E+00   -3.0542785824E-02    1.2440702190E+01    4.4503200292E-02
    6.7998000000E-05    1.1920095583E+00   -4.0396320686E-02    1.2634423618E+01    4.2949488493E-02
    7.1998000000E-05    1.1873687375E+00   -5.0948619769E-02    1.2834925024E+01    4.0777259666E-02
    7.5998000000E-05    1.1785634412E+00   -6.5293819867E-02    1.3052381327E+01    3.7330120035E-02
    7.9998000000E-05    1.1651559332E+00   -8.3444076730E-02    1.3295570538E+01    3.3306377596E-02
    8.3998000000E-05    1.1447306235E+00   -1.0300032276E-01    1.3572482561E+01    3.0443897287E-02
    8.7998000000E-05    1.1136987455E+00   -1.1881339839E-01    1.3890144277E+01    2.9704083620E-02
    9.1998000000E-05    1.0677157429E+00   -1.2320538796E-01    1.4256340877E+01    3.1150456389E-02
    9.5998000000E-05    1.0041597700E+00   -1.0151978604E-01    1.4678499914E+01    3.4639773708E-02
    9.9998000000E-05    9.3119534902E-01   -3.5637087456E-02    1.5156250200E+01    3.9147792020E-02
    1.0399800000E-04    8.7331603282E-01    7.5842268110E-02    1.5680319019E+01    4.2661978289E-02
    1.0799800000E-04    8.6334308419E-01    2.0858517671E-01    1.6236744487E+01    4.4589267151E-02
    1.1199800000E-04    9.1516493833E-01    3.2202661261E-01    1.6794234519E+01    4.5053588912E-02
    1.1599800000E-04    1.0124717105E+00    3.7706028910E-01    1.7313595394E+01    4.3682558472E-02
    1.1999800000E-04    1.1158449982E+00    3.5716733660E-01    1.7770110407E+01    4.0249088396E-02
    1.2399800000E-04    1.1926720792E+00    2.7837515997E-01    1.8156190509E+01    3.5609909143E-02
    1.2799800000E-04    1.2348679383E+00    1.7133119975E-01    1.8477593997E+01    3.0894295605E-02
    1.3199800000E-04    1.2508275709E+00    5.8430175816E-02    1.8747199533E+01    2.7586969756E-02
    1.3599800000E-04    1.2504104259E+00   -5.3301927859E-02    1.8995538080E+01    2.7738806000E-02
    1.3999800000E-04    1.2333909432E+00   -1.6702233776E-01    1.9266857937E+01    3.1438599790E-02
    1.4399800000E-04    1.1897348139E+00   -2.7443235392E-01    1.9591714362E+01    3.6701896784E-02
    1.4799800000E-04    1.1117793229E+00   -3.5154936699E-01    1.9982963556E+01    4.1973506988E-02
    1.5199800000E-04    1.0097654820E+00   -3.6707614470E-01    2.0445354159E+01    4.5879856073E-02
    1.5599800000E-04    9.1840899743E-01   -3.0745162188E-01    2.0968589105E+01    4.7410903266E-02
    1.5999800000E-04    8.7585509340E-01   -1.9273732475E-01    2.1525008929E+01    4.6857310340E-02
    1.6399800000E-04    8.9343021244E-01   -6.3434560121E-02    2.2075614194E+01    4.4453507551E-02
    1.6799800000E-04    9.5324455153E-01    4.1580542708E-02    2.2593102657E+01    4.0051731813E-02
    1.7199800000E-04    1.0235114655E+00    9.9839227495E-02    2.3064930505E+01    3.4949982572E-02
    1.7599800000E-04    1.0837553276E+00    1.1425583967E-01    2.3480529111E+01    3.0848197493E-02
    1.7999800000E-04    1.1267927405E+00    1.0368253746E-01    2.3839932405E+01    2.8776345873E-02
    1.8399800000E-04    1.1549612530E+00    8.3612521386E-02    2.4151203124E+01    2.8831288232E-02
    1.8799800000E-04    1.1728593800E+00    6.1264132464E-02    2.4422331068E+01    3.0812636969E-02
    1.9199800000E-04    1.1841536757E+00    4.0680252459E-02    2.4660689279E+01    3.3859978486E-02
    1.9599800000E-04    1.1912395967E+00    2.3749260107E-02    2.4874998980E+01    3.6437801510E-02
