 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000001E-009
 steps=      1000000
 x0=   5.4800000000000001E-002    3.080000000000000      
    6.410000000000000     
 u=   -21100.00000000000     
 v_perp=    172000.0000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-06    1.2661511592E+00    6.0328535095E-03    6.3566425227E+00    5.5502988020E-02
    7.9980000000E-06    1.2660705327E+00    4.2295775632E-02    6.3057125195E+00    5.5407280333E-02
    1.1998000000E-05    1.2644790594E+00    8.1325903709E-02    6.2496646278E+00    5.4550916048E-02
    1.5998000000E-05    1.2606269045E+00    1.2678782351E-01    6.1810069112E+00    5.3017123914E-02
    1.9998000000E-05    1.2528849730E+00    1.8105926115E-01    6.0926855958E+00    5.1022657571E-02
    2.3998000000E-05    1.2384966123E+00    2.4385632787E-01    5.9790436753E+00    4.8963499072E-02
    2.7998000000E-05    1.2135699295E+00    3.1164817158E-01    5.8366521102E+00    4.7293868515E-02
    3.1998000000E-05    1.1735893148E+00    3.7834674522E-01    5.6640221655E+00    4.6397211473E-02
    3.5998000000E-05    1.1145372596E+00    4.3600064409E-01    5.4607413342E+00    4.6559413764E-02
    3.9998000000E-05    1.0347814486E+00    4.7518702794E-01    5.2268847561E+00    4.8006831227E-02
    4.3998000000E-05    9.3778673553E-01    4.8634421240E-01    4.9631083066E+00    5.0669520308E-02
    4.7998000000E-05    8.3180357612E-01    4.6255206474E-01    4.6690520701E+00    5.3946678594E-02
    5.1998000000E-05    7.2807225981E-01    4.0085803576E-01    4.3439351593E+00    5.7188057474E-02
    5.5998000000E-05    6.3947062215E-01    3.0369112406E-01    3.9887264256E+00    5.9886064087E-02
    5.9998000000E-05    5.7900852227E-01    1.8020753209E-01    3.6070670658E+00    6.1482121636E-02
    6.3998000000E-05    5.5430028323E-01    4.4325369067E-02    3.2093561472E+00    6.1437720017E-02
    6.7998000000E-05    5.6537725507E-01   -9.2317149770E-02    2.8126594211E+00    5.9689920592E-02
    7.1998000000E-05    6.0955389436E-01   -2.1988905689E-01    2.4338182064E+00    5.6168775059E-02
    7.5998000000E-05    6.8062346950E-01   -3.2698960368E-01    2.0826732552E+00    5.1573771200E-02
    7.9998000000E-05    7.6980749781E-01   -4.0418468265E-01    1.7620426108E+00    4.6312455140E-02
    8.3998000000E-05    8.6537933762E-01   -4.4778204774E-01    1.4728506949E+00    4.0897186988E-02
    8.7998000000E-05    9.5655157615E-01   -4.6078973217E-01    1.2133631722E+00    3.6019894865E-02
    9.1998000000E-05    1.0367315930E+00   -4.4877296361E-01    9.8141332282E-01    3.1999286303E-02
