 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   1.0000000000000000E-010
 steps=     20000000
 x0=   4.0000000000000001E-002    3.080000000000000      
    6.410000000000000     
 u=   -194544.1000000000     
 v_perp=    220905.1000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    4.9990000000E-07    1.2592152312E+00    7.8671554906E-03    6.3425343920E+00    4.0299808845E-02
    9.9990000000E-07    1.2587638484E+00    4.8087220230E-02    6.2751665655E+00    4.0199366136E-02
    1.4999000000E-06    1.2565484364E+00    8.7991733161E-02    6.2075374522E+00    3.9739782051E-02
    1.9999000000E-06    1.2525189646E+00    1.2723864416E-01    6.1392796222E+00    3.9016913562E-02
    2.4999000000E-06    1.2465909785E+00    1.6553680569E-01    6.0700745855E+00    3.8148869884E-02
    2.9999000000E-06    1.2386572668E+00    2.0259408406E-01    5.9996461684E+00    3.7244725104E-02
    3.4999000000E-06    1.2285958437E+00    2.3816875659E-01    5.9277816385E+00    3.6388616493E-02
    3.9999000000E-06    1.2162843217E+00    2.7203895828E-01    5.8543134566E+00    3.5639306344E-02
    4.4999000000E-06    1.2016121179E+00    3.0399414320E-01    5.7791087648E+00    3.5037140240E-02
    4.9999000000E-06    1.1844891791E+00    3.3382108643E-01    5.7020590494E+00    3.4609051473E-02
    5.4999000000E-06    1.1648549574E+00    3.6128593782E-01    5.6230721772E+00    3.4371304407E-02
    5.9999000000E-06    1.1426905574E+00    3.8612406568E-01    5.5420664913E+00    3.4332560730E-02
    6.4999000000E-06    1.1180245923E+00    4.0806368422E-01    5.4589750379E+00    3.4500559773E-02
    6.9999000000E-06    1.0909470242E+00    4.2683342319E-01    5.3737445346E+00    3.4887273669E-02
    7.4999000000E-06    1.0616214240E+00    4.4216659525E-01    5.2863341261E+00    3.5503749996E-02
    7.9999000000E-06    1.0302787328E+00    4.5381751406E-01    5.1967159832E+00    3.6348568409E-02
    8.4999000000E-06    9.9721396033E-01    4.6157112372E-01    5.1048636846E+00    3.7403516054E-02
    8.9999000000E-06    9.6276922492E-01    4.6525958463E-01    5.0107412813E+00    3.8638629758E-02
    9.4999000000E-06    9.2730254610E-01    4.6476754292E-01    4.9143041170E+00    4.0020332369E-02
    9.9999000000E-06    8.9120009869E-01    4.6001322232E-01    4.8154919919E+00    4.1516719854E-02
