 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   1.0000000000000000E-010
 steps=     20000000
 x0=   5.4800000000000001E-002    0.000000000000000      
    6.410000000000000     
 u=    75521.45000000000     
 v_perp=    60268.89000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    4.9990000000E-07    1.1854512010E+00   -6.4886750066E-02    6.4386100744E+00    5.4699810479E-02
    9.9990000000E-07    1.1844914333E+00   -6.7373328786E-02    6.4672659843E+00    5.4596662493E-02
    1.4999000000E-06    1.1834238179E+00   -6.9871008275E-02    6.4959659333E+00    5.4490019236E-02
    1.9999000000E-06    1.1822497407E+00   -7.2387971325E-02    6.5247132505E+00    5.4379034535E-02
    2.4999000000E-06    1.1809711212E+00   -7.4928894803E-02    6.5535121774E+00    5.4262721422E-02
    2.9999000000E-06    1.1795903413E+00   -7.7495224374E-02    6.5823678236E+00    5.4140118285E-02
    3.4999000000E-06    1.1781099436E+00   -8.0087946217E-02    6.6112852749E+00    5.4010438103E-02
    3.9999000000E-06    1.1765324040E+00   -8.2708355567E-02    6.6402694091E+00    5.3873190414E-02
    4.4999000000E-06    1.1748601741E+00   -8.5355955565E-02    6.6693257002E+00    5.3728255116E-02
    4.9999000000E-06    1.1730954235E+00   -8.8030132568E-02    6.6984596754E+00    5.3575881540E-02
    5.4999000000E-06    1.1712397042E+00   -9.0731992975E-02    6.7276762848E+00    5.3416627981E-02
    5.9999000000E-06    1.1692945508E+00   -9.3458488532E-02    6.7569819362E+00    5.3251275672E-02
    6.4999000000E-06    1.1672617251E+00   -9.6201661492E-02    6.7863847081E+00    5.3080704700E-02
    6.9999000000E-06    1.1651419884E+00   -9.8958128022E-02    6.8158909406E+00    5.2905771193E-02
    7.4999000000E-06    1.1629352208E+00   -1.0172672301E-01    6.8455059598E+00    5.2727265233E-02
    7.9999000000E-06    1.1606410739E+00   -1.0450390135E-01    6.8752356188E+00    5.2545906838E-02
    8.4999000000E-06    1.1582587921E+00   -1.0728531096E-01    6.9050856696E+00    5.2362366907E-02
    8.9999000000E-06    1.1557876048E+00   -1.1006402902E-01    6.9350622919E+00    5.2177322081E-02
    9.4999000000E-06    1.1532260014E+00   -1.1283478376E-01    6.9651706092E+00    5.1991490851E-02
    9.9999000000E-06    1.1505717151E+00   -1.1559361881E-01    6.9954148662E+00    5.1805694752E-02
    1.0499900000E-05    1.1478229339E+00   -1.1833256516E-01    7.0258002344E+00    5.1620902750E-02
    1.0999900000E-05    1.1449770671E+00   -1.2104585666E-01    7.0563306643E+00    5.1438164924E-02
    1.1499900000E-05    1.1420312633E+00   -1.2372764088E-01    7.0870098627E+00    5.1258550149E-02
    1.1999900000E-05    1.1389830153E+00   -1.2637004316E-01    7.1178420268E+00    5.1083094604E-02
    1.2499900000E-05    1.1358291672E+00   -1.2896725737E-01    7.1488304476E+00    5.0912725724E-02
    1.2999900000E-05    1.1325665197E+00   -1.3151327354E-01    7.1799783653E+00    5.0748210650E-02
    1.3499900000E-05    1.1291924275E+00   -1.3400019746E-01    7.2112895949E+00    5.0590128210E-02
    1.3999900000E-05    1.1257038506E+00   -1.3642156374E-01    7.2427673771E+00    5.0438847828E-02
    1.4499900000E-05    1.1220976304E+00   -1.3877130208E-01    7.2744147134E+00    5.0294543052E-02
    1.4999900000E-05    1.1183711273E+00   -1.4104194001E-01    7.3062349765E+00    5.0157233481E-02
    1.5499900000E-05    1.1145217407E+00   -1.4322611749E-01    7.3382313760E+00    5.0026824537E-02
    1.5999900000E-05    1.1105467427E+00   -1.4531696163E-01    7.3704068058E+00    4.9903145040E-02
    1.6499900000E-05    1.1064437348E+00   -1.4730689298E-01    7.4027642312E+00    4.9785984292E-02
    1.6999900000E-05    1.1022108029E+00   -1.4918740309E-01    7.4353067583E+00    4.9675117273E-02
    1.7499900000E-05    1.0978458923E+00   -1.5095058065E-01    7.4680371306E+00    4.9570314703E-02
    1.7999900000E-05    1.0933465946E+00   -1.5258942836E-01    7.5009576459E+00    4.9471345433E-02
    1.8499900000E-05    1.0887106393E+00   -1.5409669658E-01    7.5340705739E+00    4.9377977271E-02
    1.8999900000E-05    1.0839363473E+00   -1.5546405339E-01    7.5673784531E+00    4.9289974625E-02
    1.9499900000E-05    1.0790224418E+00   -1.5668263189E-01    7.6008839237E+00    4.9207093981E-02
    1.9999900000E-05    1.0739673927E+00   -1.5774427469E-01    7.6345893219E+00    4.9129081045E-02
    2.0499900000E-05    1.0687694139E+00   -1.5864139665E-01    7.6684967287E+00    4.9055673719E-02
    2.0999900000E-05    1.0634267040E+00   -1.5936647283E-01    7.7026081259E+00    4.8986611440E-02
    2.1499900000E-05    1.0579376253E+00   -1.5991173535E-01    7.7369254675E+00    4.8921646969E-02
    2.1999900000E-05    1.0523009164E+00   -1.6026890123E-01    7.7714507298E+00    4.8860557433E-02
    2.2499900000E-05    1.0465156332E+00   -1.6042936657E-01    7.8061857975E+00    4.8803152096E-02
    2.2999900000E-05    1.0405810536E+00   -1.6038443057E-01    7.8411323398E+00    4.8749275724E-02
    2.3499900000E-05    1.0344967415E+00   -1.6012528076E-01    7.8762917672E+00    4.8698807547E-02
    2.3999900000E-05    1.0282626513E+00   -1.5964295187E-01    7.9116652034E+00    4.8651656387E-02
    2.4499900000E-05    1.0218792663E+00   -1.5892827600E-01    7.9472534701E+00    4.8607753169E-02
    2.4999900000E-05    1.0153478114E+00   -1.5797178250E-01    7.9830571025E+00    4.8567042324E-02
    2.5499900000E-05    1.0086703916E+00   -1.5676372861E-01    8.0190763388E+00    4.8529473411E-02
    2.5999900000E-05    1.0018500498E+00   -1.5529423457E-01    8.0553110949E+00    4.8494993834E-02
    2.6499900000E-05    9.9489087290E-01   -1.5355336313E-01    8.0917609797E+00    4.8463543184E-02
    2.6999900000E-05    9.8779811773E-01   -1.5153118422E-01    8.1284253395E+00    4.8435049120E-02
