 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   5.0000000000000003E-010
 steps=      5000000
 x0=   5.9999999999999998E-002    0.000000000000000      
    6.410000000000000     
 u=    8100.000000000000     
 v_perp=    165000.0000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    9.9950000000E-07    1.1847725157E+00   -6.2152525492E-02    6.4168243392E+00    5.9629601395E-02
    1.9995000000E-06    1.1847462209E+00   -6.1165579956E-02    6.4239927513E+00    5.9266092616E-02
    2.9995000000E-06    1.1847043694E+00   -6.0218118465E-02    6.4315129091E+00    5.8909362673E-02
    3.9995000000E-06    1.1846461172E+00   -5.9310922725E-02    6.4393966805E+00    5.8559037837E-02
    4.9995000000E-06    1.1845705168E+00   -5.8445970207E-02    6.4476558982E+00    5.8214684241E-02
    5.9995000000E-06    1.1844763662E+00   -5.7630945596E-02    6.4563006603E+00    5.7875538781E-02
    6.9995000000E-06    1.1843628239E+00   -5.6865390827E-02    6.4653439971E+00    5.7540721321E-02
    7.9995000000E-06    1.1842296036E+00   -5.6138006423E-02    6.4748028210E+00    5.7209227074E-02
    8.9995000000E-06    1.1840750417E+00   -5.5464731591E-02    6.4846844646E+00    5.6879846373E-02
    9.9995000000E-06    1.1838976763E+00   -5.4856910983E-02    6.4949977496E+00    5.6551111403E-02
    1.0999500000E-05    1.1836970472E+00   -5.4307352337E-02    6.5057577543E+00    5.6221403276E-02
    1.1999500000E-05    1.1834729378E+00   -5.3805974550E-02    6.5169802204E+00    5.5888991675E-02
    1.2999500000E-05    1.1832234502E+00   -5.3372106478E-02    6.5286702306E+00    5.5552015155E-02
    1.3999500000E-05    1.1829474711E+00   -5.3010688580E-02    6.5408375108E+00    5.5208535429E-02
    1.4999500000E-05    1.1826445007E+00   -5.2716843760E-02    6.5534949023E+00    5.4856634919E-02
    1.5999500000E-05    1.1823141232E+00   -5.2485502241E-02    6.5666550222E+00    5.4494424350E-02
    1.6999500000E-05    1.1819543616E+00   -5.2333858532E-02    6.5803224351E+00    5.4120168778E-02
    1.7999500000E-05    1.1815644874E+00   -5.2258942769E-02    6.5945087762E+00    5.3732475096E-02
