 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   5.0000000000000003E-010
 steps=      5000000
 x0=   5.9999999999999998E-002    3.080000000000000      
    6.410000000000000     
 u=   -838.0000000000000     
 v_perp=    157000.0000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    9.9950000000E-07    1.2671715548E+00   -3.0050773520E-02    6.4101003192E+00    6.0232083937E-02
    1.9995000000E-06    1.2672800257E+00   -2.9082451785E-02    6.4107184970E+00    6.0461762489E-02
    2.9995000000E-06    1.2673742048E+00   -2.8417083619E-02    6.4118488462E+00    6.0690349118E-02
    3.9995000000E-06    1.2674548064E+00   -2.8054337024E-02    6.4134889607E+00    6.0919282579E-02
    4.9995000000E-06    1.2675221691E+00   -2.7998766612E-02    6.4156385730E+00    6.1150019399E-02
    5.9995000000E-06    1.2675764458E+00   -2.8247227343E-02    6.4183046004E+00    6.1384036219E-02
    6.9995000000E-06    1.2676174011E+00   -2.8801722153E-02    6.4214960346E+00    6.1622831348E-02
    7.9995000000E-06    1.2676443414E+00   -2.9672811097E-02    6.4252226163E+00    6.1867939421E-02
    8.9995000000E-06    1.2676562591E+00   -3.0868486936E-02    6.4294993368E+00    6.2120934906E-02
    9.9995000000E-06    1.2676517030E+00   -3.2400029386E-02    6.4343442121E+00    6.2383437498E-02
    1.0999500000E-05    1.2676287801E+00   -3.4279248301E-02    6.4397793995E+00    6.2657122360E-02
    1.1999500000E-05    1.2675850988E+00   -3.6518382754E-02    6.4458313253E+00    6.2943712370E-02
    1.2999500000E-05    1.2675176105E+00   -3.9134805069E-02    6.4525289526E+00    6.3244989796E-02
    1.3999500000E-05    1.2674226057E+00   -4.2146438456E-02    6.4599056050E+00    6.3562795157E-02
    1.4999500000E-05    1.2672955327E+00   -4.5575163961E-02    6.4679976589E+00    6.3899016782E-02
    1.5999500000E-05    1.2671311425E+00   -4.9435650798E-02    6.4768489885E+00    6.4255591903E-02
    1.6999500000E-05    1.2669229359E+00   -5.3753297921E-02    6.4865037326E+00    6.4634493516E-02
    1.7999500000E-05    1.2666632340E+00   -5.8553185468E-02    6.4970105319E+00    6.5037703239E-02
    1.8999500000E-05    1.2663430939E+00   -6.3857076080E-02    6.5084235187E+00    6.5467186385E-02
    1.9999500000E-05    1.2659519586E+00   -6.9688837318E-02    6.5207998319E+00    6.5924861444E-02
    2.0999500000E-05    1.2654773999E+00   -7.6074285977E-02    6.5341990935E+00    6.6412541661E-02
    2.1999500000E-05    1.2649050947E+00   -8.3034327707E-02    6.5486855157E+00    6.6931876556E-02
    2.2999500000E-05    1.2642183464E+00   -9.0591004819E-02    6.5643246202E+00    6.7484303670E-02
    2.3999500000E-05    1.2633979503E+00   -9.8762960712E-02    6.5811838526E+00    6.8070960491E-02
    2.4999500000E-05    1.2624221504E+00   -1.0756037285E-01    6.5993333825E+00    6.8692572349E-02
    2.5999500000E-05    1.2612660121E+00   -1.1699297631E-01    6.6188413040E+00    6.9349393019E-02
    2.6999500000E-05    1.2599014741E+00   -1.2706343047E-01    6.6397748956E+00    7.0041156769E-02
    2.7999500000E-05    1.2582973285E+00   -1.3776516481E-01    6.6621993616E+00    7.0767012534E-02
    2.8999500000E-05    1.2564191478E+00   -1.4908230701E-01    6.6861767431E+00    7.1525498251E-02
    2.9999500000E-05    1.2542292049E+00   -1.6099146746E-01    6.7117634397E+00    7.2314582026E-02
    3.0999500000E-05    1.2516870762E+00   -1.7345628468E-01    6.7390114096E+00    7.3131778720E-02
    3.1999500000E-05    1.2487494247E+00   -1.8643379803E-01    6.7679654920E+00    7.3974255606E-02
    3.2999500000E-05    1.2453714082E+00   -1.9986508177E-01    6.7986665175E+00    7.4838992744E-02
    3.3999500000E-05    1.2415062329E+00   -2.1368642481E-01    6.8311481181E+00    7.5722934993E-02
    3.4999500000E-05    1.2371066854E+00   -2.2782205030E-01    6.8654400806E+00    7.6623069984E-02
    3.5999500000E-05    1.2321260412E+00   -2.4218545694E-01    6.9015689467E+00    7.7536457273E-02
    3.6999500000E-05    1.2265186664E+00   -2.5668299706E-01    6.9395578946E+00    7.8460182473E-02
    3.7999500000E-05    1.2202407933E+00   -2.7121538088E-01    6.9794275176E+00    7.9391240640E-02
    3.8999500000E-05    1.2132525909E+00   -2.8567312542E-01    7.0211975994E+00    8.0326426854E-02
    3.9999500000E-05    1.2055186917E+00   -2.9994147910E-01    7.0648859320E+00    8.1262273923E-02
    4.0999500000E-05    1.1970092911E+00   -3.1390118104E-01    7.1105086569E+00    8.2195082155E-02
