 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   1.0000000000000000E-008
 steps=      8000000
 x0=   4.0000000000000001E-002    3.080000000000000      
    6.410000000000000     
 u=   -36900.00000000000     
 v_perp=    146000.0000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9990000000E-05    8.7253076154E-01    4.4085707925E-01    4.6977804929E+00    3.8895857538E-02
    7.9990000000E-05    8.9350155091E-01   -3.9515677307E-01    1.4757237646E+00    2.7003273655E-02
    1.1999000000E-04    1.2345457533E+00   -1.1265527044E-01   -6.7852945994E-02    1.1933795225E-02
    1.5999000000E-04    1.0532964107E+00    3.0006549115E-01   -1.3540208254E+00    3.3659893983E-03
    1.9999000000E-04    9.2746187894E-01   -2.2531811937E-01   -4.3262584881E+00    3.3942938829E-03
    2.3999000000E-04    1.2143368991E+00   -9.1963008005E-03   -5.8821034537E+00    5.1457839905E-03
    2.7999000000E-04    1.1830399532E+00    2.2959832388E-01   -6.6033768230E+00    1.3076748079E-02
    3.1999000000E-04    7.5219117285E-01    2.2488359083E-01   -8.4615399092E+00    3.6479161021E-02
    3.5999000000E-04    1.1012435699E+00   -4.1112712763E-01   -1.1593341970E+01    4.1044107043E-02
    3.9999000000E-04    1.2243793805E+00    2.5974338403E-01   -1.3007763622E+01    4.4500346920E-02
    4.3999000000E-04    6.2269249935E-01    1.7489665380E-02   -1.5801585849E+01    4.5499462296E-02
    4.7999000000E-04    1.1381954746E+00   -3.1884758337E-01   -1.8262752967E+01    1.6421735936E-02
    5.1999000000E-04    1.2250364325E+00   -1.1960510505E-02   -1.9209043382E+01    7.1576423219E-03
    5.5999000000E-04    8.6997321898E-01    2.5741294201E-01   -2.0871069797E+01    1.7474139776E-03
    5.9999000000E-04    1.0763309293E+00   -2.7205293620E-01   -2.3841091076E+01    1.7717789544E-03
    6.3999000000E-04    1.2306414253E+00    1.1184101932E-01   -2.5046782988E+01    9.6676170040E-03
