 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   1.0000000000000000E-008
 steps=      8000000
 x0=   5.4800000000000001E-002    0.000000000000000      
    6.410000000000000     
 u=    19800.00000000000     
 v_perp=    72400.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9990000000E-05    1.1408053255E+00   -1.2288436724E-01    7.1137192788E+00    4.9899199932E-02
    7.9990000000E-05    9.8164397103E-01   -1.4645472943E-01    8.1777863878E+00    4.7042864462E-02
    1.1999000000E-04    7.7830868566E-01    1.8499609456E-01    9.8015818390E+00    4.7033084359E-02
    1.5999000000E-04    1.0958890524E+00    3.9829344743E-01    1.1478201656E+01    4.6799490219E-02
    1.9999000000E-04    1.2599271420E+00    3.3610830305E-02    1.2512830002E+01    4.2472240454E-02
    2.3999000000E-04    1.1460076033E+00   -3.6077722905E-01    1.3469069713E+01    4.6418240092E-02
    2.7999000000E-04    8.0043607931E-01   -2.5202559195E-01    1.5065995748E+01    4.7362673200E-02
    3.1999000000E-04    9.5051289435E-01    1.2270986540E-01    1.6753307824E+01    4.6986436347E-02
    3.5999000000E-04    1.1322537152E+00    1.1930653526E-01    1.7884405197E+01    4.8719131071E-02
    3.9999000000E-04    1.1844224302E+00    5.1912341056E-02    1.8619888996E+01    5.3551937204E-02
    4.3999000000E-04    1.1843125074E+00   -1.2705696020E-03    1.9215461172E+01    5.4217514984E-02
    4.7999000000E-04    1.1359114429E+00   -8.0082102696E-02    1.9966299589E+01    5.1038711693E-02
    5.1999000000E-04    9.4263732687E-01   -7.8766971657E-02    2.1144687242E+01    5.1450879664E-02
    5.5999000000E-04    8.4444203829E-01    3.0551314161E-01    2.2861429401E+01    5.2600349575E-02
    5.9999000000E-04    1.1880986143E+00    3.0599416709E-01    2.4377265568E+01    5.0179096529E-02
    6.3999000000E-04    1.2574181683E+00   -1.1531361573E-01    2.5277728127E+01    4.6905671263E-02
    6.7999000000E-04    1.0303989298E+00   -4.3370840536E-01    2.6414150021E+01    5.0706004041E-02
    7.1999000000E-04    7.5364360479E-01   -1.1519833870E-01    2.8166465647E+01    5.0611348460E-02
    7.5999000000E-04    9.9083684084E-01    1.8257337908E-01    2.9722997769E+01    5.2073610864E-02
    7.9999000000E-04    1.1403022113E+00    1.5900064741E-01    3.0734237207E+01    5.6868949078E-02
    8.3999000000E-04    1.1846191134E+00    1.1462930332E-01    3.1422610057E+01    6.2788796038E-02
    8.7999000000E-04    1.1853320511E+00    5.2305740176E-02    3.2025825843E+01    6.4574005768E-02
    9.1999000000E-04    1.1329687297E+00   -3.1258533491E-02    3.2839153876E+01    6.4708493424E-02
    9.5999000000E-04    9.0171669380E-01    1.3262474847E-02    3.4132667014E+01    6.7895589991E-02
    9.9999000000E-04    9.4418828481E-01    3.9095562716E-01    3.5886874514E+01    6.9217669050E-02
    1.0399900000E-03    1.2454493920E+00    1.8031435579E-01    3.7226896740E+01    6.3421608774E-02
    1.0799900000E-03    1.2349467914E+00   -2.7858625317E-01    3.8101415854E+01    6.3514097340E-02
    1.1199900000E-03    8.7489589833E-01   -4.3012962782E-01    3.9478524193E+01    6.5542050111E-02
    1.1599900000E-03    7.7130229607E-01    3.4015137015E-02    4.1310385721E+01    6.7049668402E-02
    1.1999900000E-03    1.0305511514E+00    2.2056860262E-01    4.2673150472E+01    7.1647016697E-02
    1.2399900000E-03    1.1486490306E+00    1.9686795120E-01    4.3565481772E+01    7.8488957873E-02
