 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      4000000
 x0=   5.0000000000000003E-002  -0.9260000000000000      
   -3.140000000000000     
 u=   -665.0000000000000     
 v_perp=    7530.000000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    6.7441730314E-01    6.2533268225E-02   -3.1677915474E+00    4.9970982107E-02
    7.9980000000E-05    6.7527732890E-01    5.5211184802E-02   -3.1922000362E+00    4.9940864203E-02
    1.1998000000E-04    6.7611756391E-01    4.8944043399E-02   -3.2131011184E+00    4.9909825971E-02
    1.5998000000E-04    6.7688646663E-01    4.3756785773E-02   -3.2304038470E+00    4.9878033764E-02
    1.9998000000E-04    6.7754078167E-01    3.9668453417E-02   -3.2440354026E+00    4.9845650313E-02
    2.3998000000E-04    6.7804608098E-01    3.6692895846E-02   -3.2539403017E+00    4.9812832546E-02
    2.7998000000E-04    6.7837711397E-01    3.4839421687E-02   -3.2600795537E+00    4.9779731313E-02
    3.1998000000E-04    6.7851801672E-01    3.4113323855E-02   -3.2624299311E+00    4.9746492488E-02
    3.5998000000E-04    6.7846241842E-01    3.4516228869E-02   -3.2609834683E+00    4.9713258925E-02
    3.9998000000E-04    6.7821347058E-01    3.6046240346E-02   -3.2557472598E+00    4.9680172839E-02
    4.3998000000E-04    6.7778380969E-01    3.8697865854E-02   -3.2467435817E+00    4.9647378213E-02
    4.7998000000E-04    6.7719544779E-01    4.2461734768E-02   -3.2340103195E+00    4.9615022881E-02
    5.1998000000E-04    6.7647957195E-01    4.7324133848E-02   -3.2176016379E+00    4.9583259861E-02
    5.5998000000E-04    6.7567622598E-01    5.3266407981E-02   -3.1975887863E+00    4.9552247482E-02
    5.9998000000E-04    6.7483380400E-01    6.0264284701E-02   -3.1740608798E+00    4.9522147788E-02
    6.3998000000E-04    6.7400833123E-01    6.8287209567E-02   -3.1471254643E+00    4.9493122714E-02
    6.7998000000E-04    6.7326250635E-01    7.7297785855E-02   -3.1169086539E+00    4.9465327921E-02
    7.1998000000E-04    6.7266448405E-01    8.7251403079E-02   -3.0835546594E+00    4.9438904699E-02
    7.5998000000E-04    6.7228641314E-01    9.8096115647E-02   -3.0472246070E+00    4.9413971097E-02
    7.9998000000E-04    6.7220277707E-01    1.0977278752E-01   -3.0080946940E+00    4.9390614270E-02
    8.3998000000E-04    6.7248860668E-01    1.2221546101E-01   -2.9663538980E+00    4.9368886549E-02
    8.7998000000E-04    6.7321763877E-01    1.3535185575E-01   -2.9222016064E+00    4.9348807567E-02
    9.1998000000E-04    6.7446047539E-01    1.4910388120E-01   -2.8758455855E+00    4.9330373691E-02
    9.5998000000E-04    6.7628276487E-01    1.6338806968E-01   -2.8275006128E+00    4.9313573950E-02
    9.9998000000E-04    6.7874339501E-01    1.7811590819E-01   -2.7773878632E+00    4.9298409223E-02
    1.0399800000E-03    6.8189268347E-01    1.9319414029E-01   -2.7257348333E+00    4.9284909495E-02
    1.0799800000E-03    6.8577058078E-01    2.0852518391E-01   -2.6727753581E+00    4.9273143468E-02
    1.1199800000E-03    6.9040495948E-01    2.2400782795E-01   -2.6187492128E+00    4.9263216327E-02
    1.1599800000E-03    6.9581012505E-01    2.3953831923E-01   -2.5639009537E+00    4.9255255005E-02
    1.1999800000E-03    7.0198572446E-01    2.5501185618E-01   -2.5084779276E+00    4.9249384498E-02
    1.2399800000E-03    7.0891621779E-01    2.7032441331E-01   -2.4527276307E+00    4.9245702138E-02
    1.2799800000E-03    7.1657103376E-01    2.8537476855E-01   -2.3968946911E+00    4.9244257366E-02
    1.3199800000E-03    7.2490545883E-01    3.0006659384E-01   -2.3412177169E+00    4.9245042245E-02
    1.3599800000E-03    7.3386221853E-01    3.1431047210E-01   -2.2859261863E+00    4.9247993644E-02
    1.3999800000E-03    7.4337360449E-01    3.2802569715E-01   -2.2312375979E+00    4.9253004039E-02
    1.4399800000E-03    7.5336389896E-01    3.4114170656E-01   -2.1773552121E+00    4.9259935887E-02
    1.4799800000E-03    7.6375178673E-01    3.5359902258E-01   -2.1244667945E+00    4.9268635144E-02
    1.5199800000E-03    7.7445246116E-01    3.6534965311E-01   -2.0727446619E+00    4.9278941610E-02
    1.5599800000E-03    7.8537923581E-01    3.7635701336E-01   -2.0223470365E+00    4.9290695933E-02
    1.5999800000E-03    7.9644463075E-01    3.8659552109E-01   -1.9734203486E+00    4.9303744221E-02
    1.6399800000E-03    8.0756106149E-01    3.9605004716E-01   -1.9261018777E+00    4.9317941226E-02
    1.6799800000E-03    8.1864132641E-01    4.0471536576E-01   -1.8805220858E+00    4.9333152535E-02
    1.7199800000E-03    8.2959908786E-01    4.1259566584E-01   -1.8368061719E+00    4.9349255693E-02
    1.7599800000E-03    8.4034948074E-01    4.1970409715E-01   -1.7950746733E+00    4.9366140149E-02
    1.7999800000E-03    8.5080988830E-01    4.2606226798E-01   -1.7554432208E+00    4.9383706101E-02
    1.8399800000E-03    8.6090084127E-01    4.3169959980E-01   -1.7180217387E+00    4.9401862662E-02
    1.8799800000E-03    8.7054694686E-01    4.3665246884E-01   -1.6829134351E+00    4.9420525958E-02
    1.9199800000E-03    8.7967774270E-01    4.4096310975E-01   -1.6502138781E+00    4.9439617733E-02
    1.9599800000E-03    8.8822839050E-01    4.4467830118E-01   -1.6200103400E+00    4.9459064799E-02
    1.9999800000E-03    8.9614015938E-01    4.4784788605E-01   -1.5923814744E+00    4.9478799388E-02
    2.0399800000E-03    9.0336068622E-01    4.5052319550E-01   -1.5673972976E+00    4.9498760180E-02
    2.0799800000E-03    9.0984403044E-01    4.5275544724E-01   -1.5451193917E+00    4.9518893673E-02
    2.1199800000E-03    9.1555055975E-01    4.5459418181E-01   -1.5256012328E+00    4.9539155490E-02
