 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      4000000
 x0=   5.0000000000000003E-002   -1.330000000000000      
   -3.140000000000000     
 u=    292.0000000000000     
 v_perp=    17100.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    7.6219427881E-01    9.2092189523E-02   -3.1181864539E+00    4.9964707889E-02
    7.9980000000E-05    7.6041191336E-01    1.0300383728E-01   -3.0778898283E+00    4.9930165761E-02
    1.1998000000E-04    7.5848203709E-01    1.1875529854E-01   -3.0199445054E+00    4.9897321372E-02
    1.5998000000E-04    7.5715187007E-01    1.3899741834E-01   -2.9456322971E+00    4.9867765627E-02
    1.9998000000E-04    7.5729134447E-01    1.6318019778E-01   -2.8566926564E+00    4.9843626133E-02
    2.3998000000E-04    7.5978208092E-01    1.9054638316E-01   -2.7552334784E+00    4.9827039814E-02
    2.7998000000E-04    7.6539956723E-01    2.2016405994E-01   -2.6435800632E+00    4.9819509041E-02
    3.1998000000E-04    7.7471020149E-01    2.5096806443E-01   -2.5241865333E+00    4.9821593164E-02
    3.5998000000E-04    7.8798137353E-01    2.8178949473E-01   -2.3996861912E+00    4.9832932924E-02
    3.9998000000E-04    8.0510474083E-01    3.1140581266E-01   -2.2729614295E+00    4.9852175983E-02
    4.3998000000E-04    8.2557005854E-01    3.3865536149E-01   -2.1470408704E+00    4.9876763220E-02
    4.7998000000E-04    8.4852521185E-01    3.6259073610E-01   -2.0248407901E+00    4.9903186762E-02
    5.1998000000E-04    8.7289665917E-01    3.8259509362E-01   -1.9089625267E+00    4.9927971504E-02
    5.5998000000E-04    8.9751232794E-01    3.9842458115E-01   -1.8016584523E+00    4.9948575542E-02
    5.9998000000E-04    9.2119899136E-01    4.1019517981E-01   -1.7048920042E+00    4.9963460726E-02
    6.3998000000E-04    9.4285850130E-01    4.1833693654E-01   -1.6203912986E+00    4.9971687674E-02
    6.7998000000E-04    9.6152980085E-01    4.2351850837E-01   -1.5496653815E+00    4.9972760913E-02
    7.1998000000E-04    9.7643310642E-01    4.2653897327E-01   -1.4939920581E+00    4.9966861340E-02
    7.5998000000E-04    9.8698935063E-01    4.2819466802E-01   -1.4543897561E+00    4.9955125756E-02
    7.9998000000E-04    9.9281462609E-01    4.2914232052E-01   -1.4315845560E+00    4.9939679384E-02
    8.3998000000E-04    9.9369962410E-01    4.2978485481E-01   -1.4259833924E+00    4.9923379359E-02
    8.7998000000E-04    9.8959002512E-01    4.3020126003E-01   -1.4376604862E+00    4.9909376852E-02
    9.1998000000E-04    9.8058110442E-01    4.3013200582E-01   -1.4663588781E+00    4.9900609043E-02
    9.5998000000E-04    9.6692990045E-01    4.2902167132E-01   -1.5115066751E+00    4.9899300809E-02
