 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      4000000
 x0=   4.0000000000000001E-002    3.070000000000000      
   -3.140000000000000     
 u=    402.0000000000000     
 v_perp=    21800.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    9.5772608833E-01   -2.6466867815E-03   -3.1251940488E+00    3.9969147330E-02
    7.9980000000E-05    9.5778706580E-01    7.3125509341E-04   -3.1117685781E+00    3.9934871034E-02
    1.1998000000E-04    9.5783805248E-01    3.7659258522E-03   -3.0998734537E+00    3.9897774168E-02
    1.5998000000E-04    9.5787407547E-01    6.4299858276E-03   -3.0896293858E+00    3.9858464244E-02
    1.9998000000E-04    9.5789096535E-01    8.7018342261E-03   -3.0811337953E+00    3.9817562696E-02
    2.3998000000E-04    9.5788563636E-01    1.0565933059E-02   -3.0744587108E+00    3.9775700925E-02
    2.7998000000E-04    9.5785632394E-01    1.2012940004E-02   -3.0696486548E+00    3.9733515727E-02
    3.1998000000E-04    9.5780275577E-01    1.3039945819E-02   -3.0667189217E+00    3.9691643998E-02
    3.5998000000E-04    9.5772622947E-01    1.3650640786E-02   -3.0656544104E+00    3.9650716658E-02
    3.9998000000E-04    9.5762958363E-01    1.3855377091E-02   -3.0664091596E+00    3.9611351739E-02
    4.3998000000E-04    9.5751705830E-01    1.3671107828E-02   -3.0689066665E+00    3.9574146741E-02
    4.7998000000E-04    9.5739405203E-01    1.3121188562E-02   -3.0730409997E+00    3.9539670428E-02
    5.1998000000E-04    9.5726679474E-01    1.2234974285E-02   -3.0786786338E+00    3.9508454278E-02
    5.5998000000E-04    9.5714195365E-01    1.1047349668E-02   -3.0856609832E+00    3.9480983648E-02
    5.9998000000E-04    9.5702620259E-01    9.5982220403E-03   -3.0938074899E+00    3.9457689229E-02
