 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      4000000
 x0=   5.0000000000000003E-002  -2.5600000000000001E-002 
   -3.140000000000000     
 u=    206.0000000000000     
 v_perp=    14700.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    5.7184537709E-01    5.9274946097E-03   -3.1300293199E+00    4.9995888651E-02
    7.9980000000E-05    5.7186583255E-01    9.0243084964E-03   -3.1198343910E+00    4.9995137361E-02
    1.1998000000E-04    5.7190115341E-01    1.2142502857E-02   -3.1095741987E+00    4.9997787243E-02
    1.5998000000E-04    5.7195046865E-01    1.5231378682E-02   -3.0994036416E+00    5.0003836882E-02
    1.9998000000E-04    5.7201177758E-01    1.8240500289E-02   -3.0894768073E+00    5.0013245122E-02
    2.3998000000E-04    5.7208202663E-01    2.1120230733E-02   -3.0799453320E+00    5.0025931178E-02
    2.7998000000E-04    5.7215724846E-01    2.3822268823E-02   -3.0709567561E+00    5.0041774971E-02
    3.1998000000E-04    5.7223275786E-01    2.6300184560E-02   -3.0626528853E+00    5.0060617773E-02
    3.5998000000E-04    5.7230339596E-01    2.8509947886E-02   -3.0551681719E+00    5.0082263223E-02
    3.9998000000E-04    5.7236381156E-01    3.0410443707E-02   -3.0486281346E+00    5.0106478785E-02
    4.3998000000E-04    5.7240876646E-01    3.1963964598E-02   -3.0431478447E+00    5.0132997722E-02
    4.7998000000E-04    5.7243344957E-01    3.3136671642E-02   -3.0388305037E+00    5.0161521601E-02
    5.1998000000E-04    5.7243378382E-01    3.3899013662E-02   -3.0357661465E+00    5.0191723367E-02
    5.5998000000E-04    5.7240670951E-01    3.4226095657E-02   -3.0340304971E+00    5.0223250950E-02
    5.9998000000E-04    5.7235042865E-01    3.4097988496E-02   -3.0336840062E+00    5.0255731382E-02
    6.3998000000E-04    5.7226459373E-01    3.3500005750E-02   -3.0347711307E+00    5.0288775311E-02
    6.7998000000E-04    5.7215042710E-01    3.2422966108E-02   -3.0373198706E+00    5.0321981482E-02
    7.1998000000E-04    5.7201078101E-01    3.0863243484E-02   -3.0413413043E+00    5.0354941534E-02
    7.5998000000E-04    5.7185011755E-01    2.8822808366E-02   -3.0468294122E+00    5.0387245365E-02
    7.9998000000E-04    5.7167440886E-01    2.6309215215E-02   -3.0537611641E+00    5.0418486628E-02
    8.3998000000E-04    5.7149096255E-01    2.3335512143E-02   -3.0620968352E+00    5.0448268243E-02
    8.7998000000E-04    5.7130817982E-01    1.9920073897E-02   -3.0717805419E+00    5.0476207769E-02
    9.1998000000E-04    5.7113525717E-01    1.6086362016E-02   -3.0827409770E+00    5.0501942522E-02
    9.5998000000E-04    5.7098184482E-01    1.1862619093E-02   -3.0948923250E+00    5.0525134306E-02
    9.9998000000E-04    5.7085767699E-01    7.2815071689E-03   -3.1081353283E+00    5.0545473619E-02
    1.0399800000E-03    5.7077218932E-01    2.3797028814E-03   -3.1223584773E+00    5.0562683258E-02
    1.0799800000E-03    5.7073413898E-01   -2.8025366176E-03   -3.1374392929E+00    5.0576521255E-02
    1.1199800000E-03    5.7075124219E-01   -8.2218280896E-03   -3.1532456669E+00    5.0586783143E-02
    1.1599800000E-03    5.7082984278E-01   -1.3832128871E-02   -3.1696372360E+00    5.0593303661E-02
    1.1999800000E-03    5.7097461292E-01   -1.9585151523E-02   -3.1864668415E+00    5.0595957857E-02
    1.2399800000E-03    5.7118831127E-01   -2.5430814025E-02   -3.2035819530E+00    5.0594661697E-02
    1.2799800000E-03    5.7147160476E-01   -3.1317711638E-02   -3.2208260783E+00    5.0589372448E-02
    1.3199800000E-03    5.7182295828E-01   -3.7193599139E-02   -3.2380402021E+00    5.0580088941E-02
    1.3599800000E-03    5.7223859707E-01   -4.3005885648E-02   -3.2550642854E+00    5.0566851752E-02
    1.3999800000E-03    5.7271254151E-01   -4.8702125347E-02   -3.2717388792E+00    5.0549743189E-02
    1.4399800000E-03    5.7323673254E-01   -5.4230580966E-02   -3.2879067691E+00    5.0528886949E-02
    1.4799800000E-03    5.7380124384E-01   -5.9540835234E-02   -3.3034146865E+00    5.0504447535E-02
    1.5199800000E-03    5.7439457432E-01   -6.4584425223E-02   -3.3181151054E+00    5.0476629282E-02
    1.5599800000E-03    5.7500401537E-01   -6.9315495650E-02   -3.3318681008E+00    5.0445674890E-02
    1.5999800000E-03    5.7561608114E-01   -7.3691453963E-02   -3.3445432395E+00    5.0411863414E-02
    1.6399800000E-03    5.7621698546E-01   -7.7673608035E-02   -3.3560214682E+00    5.0375507648E-02
    1.6799800000E-03    5.7679314521E-01   -8.1227767359E-02   -3.3661969524E+00    5.0336950906E-02
    1.7199800000E-03    5.7733168695E-01   -8.4324790076E-02   -3.3749788145E+00    5.0296563205E-02
    1.7599800000E-03    5.7782093200E-01   -8.6941060467E-02   -3.3822927175E+00    5.0254736891E-02
    1.7999800000E-03    5.7825083193E-01   -8.9058872344E-02   -3.3880822563E+00    5.0211881757E-02
    1.8399800000E-03    5.7861332271E-01   -9.0666686077E-02   -3.3923101580E+00    5.0168419728E-02
    1.8799800000E-03    5.7890261307E-01   -9.1759379534E-02   -3.3949591322E+00    5.0124779098E-02
    1.9199800000E-03    5.7911537404E-01   -9.2338410168E-02   -3.3960323827E+00    5.0081388489E-02
    1.9599800000E-03    5.7925081302E-01   -9.2411858454E-02   -3.3955537629E+00    5.0038670782E-02
    1.9999800000E-03    5.7931063111E-01   -9.1994358952E-02   -3.3935675576E+00    4.9997037154E-02
    2.0399800000E-03    5.7929886760E-01   -9.1106920070E-02   -3.3901378953E+00    4.9956881346E-02
    2.0799800000E-03    5.7922164201E-01   -8.9776636392E-02   -3.3853478089E+00    4.9918574274E-02
    2.1199800000E-03    5.7908681541E-01   -8.8036312703E-02   -3.3792979512E+00    4.9882459086E-02
    2.1599800000E-03    5.7890357561E-01   -8.5923958398E-02   -3.3721050367E+00    4.9848846721E-02
    2.1999800000E-03    5.7868196717E-01   -8.3482159043E-02   -3.3639000554E+00    4.9818012040E-02
    2.2399800000E-03    5.7843242419E-01   -8.0757431408E-02   -3.3548262386E+00    4.9790190672E-02
    2.2799800000E-03    5.7816532047E-01   -7.7799545211E-02   -3.3450368920E+00    4.9765576647E-02
    2.3199800000E-03    5.7789055927E-01   -7.4660824816E-02   -3.3346931609E+00    4.9744320841E-02
    2.3599800000E-03    5.7761722193E-01   -7.1395446426E-02   -3.3239617878E+00    4.9726530186E-02
    2.3999800000E-03    5.7735328972E-01   -6.8058743523E-02   -3.3130129100E+00    4.9712267563E-02
    2.4399800000E-03    5.7710544768E-01   -6.4706529674E-02   -3.3020179331E+00    4.9701552263E-02
    2.4799800000E-03    5.7687897395E-01   -6.1394444197E-02   -3.2911475048E+00    4.9694360875E-02
    2.5199800000E-03    5.7667771368E-01   -5.8177323188E-02   -3.2805695943E+00    4.9690628485E-02
    2.5599800000E-03    5.7650413266E-01   -5.5108596452E-02   -3.2704476794E+00    4.9690250079E-02
    2.5999800000E-03    5.7635944276E-01   -5.2239710031E-02   -3.2609390307E+00    4.9693082101E-02
    2.6399800000E-03    5.7624378936E-01   -4.9619574215E-02   -3.2521930858E+00    4.9698944149E-02
    2.6799800000E-03    5.7615648833E-01   -4.7294037718E-02   -3.2443499045E+00    4.9707620843E-02
    2.7199800000E-03    5.7609629938E-01   -4.5305389893E-02   -3.2375387027E+00    4.9718863923E-02
    2.7599800000E-03    5.7606172056E-01   -4.3691894038E-02   -3.2318764705E+00    4.9732394667E-02
    2.7999800000E-03    5.7605128840E-01   -4.2487355978E-02   -3.2274666816E+00    4.9747906684E-02
    2.8399800000E-03    5.7606386741E-01   -4.1720732933E-02   -3.2243981132E+00    4.9765069166E-02
    2.8799800000E-03    5.7609891288E-01   -4.1415788323E-02   -3.2227437944E+00    4.9783530606E-02
    2.9199800000E-03    5.7615669234E-01   -4.1590798437E-02   -3.2225601047E+00    4.9802922975E-02
    2.9599800000E-03    5.7623845210E-01   -4.2258316847E-02   -3.2238860463E+00    4.9822866310E-02
    2.9999800000E-03    5.7634651873E-01   -4.3425001909E-02   -3.2267427076E+00    4.9842973597E-02
    3.0399800000E-03    5.7648432766E-01   -4.5091511665E-02   -3.2311329335E+00    4.9862855842E-02
    3.0799800000E-03    5.7665637518E-01   -4.7252468854E-02   -3.2370412115E+00    4.9882127147E-02
    3.1199800000E-03    5.7686809370E-01   -4.9896496568E-02   -3.2444337752E+00    4.9900409661E-02
    3.1599800000E-03    5.7712565345E-01   -5.3006322605E-02   -3.2532589184E+00    4.9917338223E-02
    3.1999800000E-03    5.7743569763E-01   -5.6558947963E-02   -3.2634475057E+00    4.9932564594E-02
    3.2399800000E-03    5.7780502529E-01   -6.0525880289E-02   -3.2749136485E+00    4.9945761206E-02
    3.2799800000E-03    5.7824022437E-01   -6.4873409964E-02   -3.2875555418E+00    4.9956624433E-02
    3.3199800000E-03    5.7874725650E-01   -6.9562904324E-02   -3.3012564547E+00    4.9964877327E-02
    3.3599800000E-03    5.7933104264E-01   -7.4551163001E-02   -3.3158857922E+00    4.9970271946E-02
    3.3999800000E-03    5.7999505340E-01   -7.9790812475E-02   -3.3313002398E+00    4.9972591507E-02
    3.4399800000E-03    5.8074091907E-01   -8.5230738284E-02   -3.3473450001E+00    4.9971652539E-02
    3.4799800000E-03    5.8156807773E-01   -9.0816561238E-02   -3.3638551422E+00    4.9967307181E-02
    3.5199800000E-03    5.8247348099E-01   -9.6491168105E-02   -3.3806571009E+00    4.9959445716E-02
    3.5599800000E-03    5.8345137796E-01   -1.0219530959E-01   -3.3975703684E+00    4.9947999318E-02
    3.5999800000E-03    5.8449319812E-01   -1.0786827779E-01   -3.4144094263E+00    4.9932942896E-02
