 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      4000000
 x0=   7.0000000000000007E-002    1.170000000000000      
   -3.140000000000000     
 u=   -114.0000000000000     
 v_perp=    19400.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    7.1877916462E-01   -1.0143319450E-01   -3.1594810104E+00    7.0173093636E-02
    7.9980000000E-05    7.1681740782E-01   -1.1546715026E-01   -3.2076662226E+00    7.0342791927E-02
    1.1998000000E-04    7.1495351949E-01   -1.3742562809E-01   -3.2831277141E+00    7.0504082521E-02
    1.5998000000E-04    7.1477132425E-01   -1.6651822350E-01   -3.3833378427E+00    7.0650301280E-02
    1.9998000000E-04    7.1809245572E-01   -2.0145077995E-01   -3.5047292786E+00    7.0774547458E-02
    2.3998000000E-04    7.2662820001E-01   -2.4051045521E-01   -3.6431875674E+00    7.0871960253E-02
    2.7998000000E-04    7.4166639213E-01   -2.8171402847E-01   -3.7945525902E+00    7.0940489654E-02
    3.1998000000E-04    7.6380507176E-01   -3.2283057251E-01   -3.9544811117E+00    7.0980029895E-02
    3.5998000000E-04    7.9272613923E-01   -3.6142884282E-01   -4.1180864732E+00    7.0992240325E-02
    3.9998000000E-04    8.2719655748E-01   -3.9521194700E-01   -4.2802962409E+00    7.0982922355E-02
    4.3998000000E-04    8.6533067548E-01   -4.2243065158E-01   -4.4364654162E+00    7.0962945779E-02
    4.7998000000E-04    9.0486868695E-01   -4.4211671465E-01   -4.5824830704E+00    7.0944067779E-02
    5.1998000000E-04    9.4340906880E-01   -4.5419973478E-01   -4.7146923214E+00    7.0936040881E-02
    5.5998000000E-04    9.7863631685E-01   -4.5953551554E-01   -4.8298159243E+00    7.0947403781E-02
    5.9998000000E-04    1.0085369858E+00   -4.5979262870E-01   -4.9248189748E+00    7.0984980829E-02
    6.3998000000E-04    1.0315876440E+00   -4.5715441270E-01   -4.9969057143E+00    7.1051230123E-02
    6.7998000000E-04    1.0468385379E+00   -4.5384499098E-01   -5.0437492367E+00    7.1142708955E-02
    7.1998000000E-04    1.0538327304E+00   -4.5160483307E-01   -5.0637548043E+00    7.1251219652E-02
    7.5998000000E-04    1.0524352075E+00   -4.5128617824E-01   -5.0561869162E+00    7.1366095037E-02
    7.9998000000E-04    1.0427207985E+00   -4.5266345999E-01   -5.0211977050E+00    7.1476038483E-02
    8.3998000000E-04    1.0250107638E+00   -4.5448288848E-01   -4.9598409183E+00    7.1570654831E-02
    8.7998000000E-04    1.0000315404E+00   -4.5475120536E-01   -4.8740443348E+00    7.1642401147E-02
