 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      4000000
 x0=   7.0000000000000007E-002   0.4740000000000000      
   -3.140000000000000     
 u=   -62.90000000000000     
 v_perp=    4100.000000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    5.6498486402E-01   -5.1283573495E-02   -3.1432263014E+00    7.0013490424E-02
    7.9980000000E-05    5.6498298321E-01   -5.2576108379E-02   -3.1470783298E+00    7.0026908948E-02
    1.1998000000E-04    5.6498448723E-01   -5.4073209524E-02   -3.1515502602E+00    7.0040234090E-02
    1.5998000000E-04    5.6499107877E-01   -5.5773163508E-02   -3.1566370223E+00    7.0053451350E-02
    1.9998000000E-04    5.6500467454E-01   -5.7674026924E-02   -3.1623328692E+00    7.0066546484E-02
    2.3998000000E-04    5.6502739578E-01   -5.9773634937E-02   -3.1686314077E+00    7.0079505529E-02
    2.7998000000E-04    5.6506155873E-01   -6.2069611314E-02   -3.1755256304E+00    7.0092314837E-02
    3.1998000000E-04    5.6510966451E-01   -6.4559379369E-02   -3.1830079518E+00    7.0104961102E-02
    3.5998000000E-04    5.6517438844E-01   -6.7240173672E-02   -3.1910702462E+00    7.0117431385E-02
    3.9998000000E-04    5.6525856885E-01   -7.0109052292E-02   -3.1997038879E+00    7.0129713141E-02
    4.3998000000E-04    5.6536519552E-01   -7.3162909305E-02   -3.2088997925E+00    7.0141794234E-02
    4.7998000000E-04    5.6549739799E-01   -7.6398487235E-02   -3.2186484579E+00    7.0153662953E-02
    5.1998000000E-04    5.6565843352E-01   -7.9812389034E-02   -3.2289400046E+00    7.0165308026E-02
    5.5998000000E-04    5.6585167514E-01   -8.3401089151E-02   -3.2397642136E+00    7.0176718621E-02
    5.9998000000E-04    5.6608059952E-01   -8.7160943217E-02   -3.2511105600E+00    7.0187884354E-02
    6.3998000000E-04    5.6634877483E-01   -9.1088195818E-02   -3.2629682420E+00    7.0198795275E-02
    6.7998000000E-04    5.6665984842E-01   -9.5178985843E-02   -3.2753262024E+00    7.0209441868E-02
    7.1998000000E-04    5.6701753442E-01   -9.9429348899E-02   -3.2881731418E+00    7.0219815023E-02
    7.5998000000E-04    5.6742560083E-01   -1.0383521632E-01   -3.3014975222E+00    7.0229906024E-02
    7.9998000000E-04    5.6788785613E-01   -1.0839241043E-01   -3.3152875594E+00    7.0239706517E-02
    8.3998000000E-04    5.6840813507E-01   -1.1309663570E-01   -3.3295312036E+00    7.0249208476E-02
    8.7998000000E-04    5.6899028331E-01   -1.1794346582E-01   -3.3442161077E+00    7.0258404170E-02
    9.1998000000E-04    5.6963814063E-01   -1.2292832659E-01   -3.3593295839E+00    7.0267286121E-02
    9.5998000000E-04    5.7035552241E-01   -1.2804647504E-01   -3.3748585483E+00    7.0275847059E-02
    9.9998000000E-04    5.7114619900E-01   -1.3329297527E-01   -3.3907894562E+00    7.0284079886E-02
    1.0399800000E-03    5.7201387271E-01   -1.3866267172E-01   -3.4071082293E+00    7.0291977627E-02
    1.0799800000E-03    5.7296215234E-01   -1.4415016109E-01   -3.4238001785E+00    7.0299533390E-02
    1.1199800000E-03    5.7399452499E-01   -1.4974976398E-01   -3.4408499253E+00    7.0306740335E-02
    1.1599800000E-03    5.7511432544E-01   -1.5545549804E-01   -3.4582413270E+00    7.0313591639E-02
