 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      4000000
 x0=   7.0000000000000007E-002   0.3740000000000000      
   -3.140000000000000     
 u=    37.10000000000000     
 v_perp=    1040.000000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    5.5225827611E-01   -3.9972242179E-02   -3.1382766973E+00    7.0000726952E-02
    7.9980000000E-05    5.5225890329E-01   -3.9409507347E-02   -3.1365844059E+00    7.0001456913E-02
    1.1998000000E-04    5.5226006922E-01   -3.8857433122E-02   -3.1349241189E+00    7.0002189476E-02
    1.5998000000E-04    5.5226174186E-01   -3.8316060450E-02   -3.1332959574E+00    7.0002924596E-02
    1.9998000000E-04    5.5226388971E-01   -3.7785429602E-02   -3.1317000404E+00    7.0003662225E-02
    2.3998000000E-04    5.5226648172E-01   -3.7265580168E-02   -3.1301364850E+00    7.0004402318E-02
    2.7998000000E-04    5.5226948738E-01   -3.6756551047E-02   -3.1286054062E+00    7.0005144827E-02
    3.1998000000E-04    5.5227287668E-01   -3.6258380435E-02   -3.1271069171E+00    7.0005889707E-02
    3.5998000000E-04    5.5227662016E-01   -3.5771105817E-02   -3.1256411286E+00    7.0006636909E-02
    3.9998000000E-04    5.5228068886E-01   -3.5294763956E-02   -3.1242081494E+00    7.0007386386E-02
    4.3998000000E-04    5.5228505439E-01   -3.4829390885E-02   -3.1228080863E+00    7.0008138089E-02
    4.7998000000E-04    5.5228968891E-01   -3.4375021899E-02   -3.1214410435E+00    7.0008891970E-02
    5.1998000000E-04    5.5229456515E-01   -3.3931691544E-02   -3.1201071235E+00    7.0009647980E-02
    5.5998000000E-04    5.5229965640E-01   -3.3499433610E-02   -3.1188064261E+00    7.0010406070E-02
    5.9998000000E-04    5.5230493653E-01   -3.3078281122E-02   -3.1175390493E+00    7.0011166191E-02
    6.3998000000E-04    5.5231038000E-01   -3.2668266332E-02   -3.1163050884E+00    7.0011928292E-02
    6.7998000000E-04    5.5231596188E-01   -3.2269420712E-02   -3.1151046367E+00    7.0012692324E-02
    7.1998000000E-04    5.5232165783E-01   -3.1881774945E-02   -3.1139377850E+00    7.0013458236E-02
    7.5998000000E-04    5.5232744413E-01   -3.1505358919E-02   -3.1128046219E+00    7.0014225977E-02
    7.9998000000E-04    5.5233329766E-01   -3.1140201718E-02   -3.1117052335E+00    7.0014995497E-02
    8.3998000000E-04    5.5233919597E-01   -3.0786331619E-02   -3.1106397035E+00    7.0015766744E-02
    8.7998000000E-04    5.5234511721E-01   -3.0443776080E-02   -3.1096081133E+00    7.0016539666E-02
    9.1998000000E-04    5.5235104018E-01   -3.0112561738E-02   -3.1086105418E+00    7.0017314212E-02
    9.5998000000E-04    5.5235694434E-01   -2.9792714399E-02   -3.1076470655E+00    7.0018090330E-02
    9.9998000000E-04    5.5236280979E-01   -2.9484259036E-02   -3.1067177583E+00    7.0018867966E-02
