 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      4000000
 x0=   5.9999999999999998E-002   7.4399999999999994E-002 
   -3.140000000000000     
 u=   -1940.000000000000     
 v_perp=    17800.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    5.5223743560E-01   -3.8181372367E-02   -3.2314906645E+00    6.0016655922E-02
    7.9980000000E-05    5.5485394890E-01   -6.9192794248E-02   -3.3233742278E+00    5.9996336962E-02
    1.1998000000E-04    5.5917805012E-01   -9.9756004875E-02   -3.4140612548E+00    5.9938693776E-02
    1.5998000000E-04    5.6505504746E-01   -1.2928699371E-01   -3.5018945960E+00    5.9843540114E-02
    1.9998000000E-04    5.7220160576E-01   -1.5716425912E-01   -3.5851287450E+00    5.9711828465E-02
    2.3998000000E-04    5.8021425389E-01   -1.8278215196E-01   -3.6620522071E+00    5.9546156088E-02
    2.7998000000E-04    5.8861100532E-01   -2.0563207054E-01   -3.7311534648E+00    5.9350555330E-02
    3.1998000000E-04    5.9688857099E-01   -2.2535243469E-01   -3.7912683374E+00    5.9129912929E-02
    3.5998000000E-04    6.0457740030E-01   -2.4173863722E-01   -3.8416263264E+00    5.8889334525E-02
    3.9998000000E-04    6.1127816628E-01   -2.5471622713E-01   -3.8817900547E+00    5.8633750264E-02
    4.3998000000E-04    6.1667690915E-01   -2.6429508321E-01   -3.9115537443E+00    5.8367752810E-02
    4.7998000000E-04    6.2055014388E-01   -2.7053262953E-01   -3.9308396703E+00    5.8095617347E-02
    5.1998000000E-04    6.2275416628E-01   -2.7348622628E-01   -3.9396534866E+00    5.7821368674E-02
    5.5998000000E-04    6.2322682132E-01   -2.7320686013E-01   -3.9380384249E+00    5.7548826724E-02
    5.9998000000E-04    6.2198138759E-01   -2.6972486699E-01   -3.9260733131E+00    5.7281714919E-02
    6.3998000000E-04    6.1910904575E-01   -2.6305886396E-01   -3.9038680857E+00    5.7023731571E-02
    6.7998000000E-04    6.1478027997E-01   -2.5322910302E-01   -3.8715835247E+00    5.6778681699E-02
    7.1998000000E-04    6.0923621924E-01   -2.4026288264E-01   -3.8294948512E+00    5.6550515873E-02
    7.5998000000E-04    6.0279582686E-01   -2.2424198792E-01   -3.7780429533E+00    5.6343361357E-02
    7.9998000000E-04    5.9584583954E-01   -2.0533892803E-01   -3.7179313564E+00    5.6161463786E-02
    8.3998000000E-04    5.8882066465E-01   -1.8385594717E-01   -3.6502083146E+00    5.6008941901E-02
    8.7998000000E-04    5.8216187999E-01   -1.6023810419E-01   -3.5762972760E+00    5.5889319067E-02
    9.1998000000E-04    5.7626284635E-01   -1.3504408165E-01   -3.4979227703E+00    5.5804909980E-02
    9.5998000000E-04    5.7142341239E-01   -1.0889274010E-01   -3.4169370790E+00    5.5756476344E-02
    9.9998000000E-04    5.6782469283E-01   -8.2402680732E-02   -3.3351507942E+00    5.5743452577E-02
    1.0399800000E-03    5.6552630498E-01   -5.6153946321E-02   -3.2542500524E+00    5.5764682181E-02
    1.0799800000E-03    5.6447936928E-01   -3.0686055735E-02   -3.1758103628E+00    5.5819216220E-02
    1.1199800000E-03    5.6454489009E-01   -6.5175616983E-03   -3.1013519874E+00    5.5906639533E-02
    1.1599800000E-03    5.6551021901E-01    1.5841898099E-02   -3.0323727630E+00    5.6026732779E-02
    1.1999800000E-03    5.6710280754E-01    3.5902981573E-02   -2.9703332989E+00    5.6178738401E-02
    1.2399800000E-03    5.6901054071E-01    5.3218495510E-02   -2.9166022628E+00    5.6360690665E-02
    1.2799800000E-03    5.7091776274E-01    6.7395730080E-02   -2.8723787820E+00    5.6569166865E-02
    1.3199800000E-03    5.7253266299E-01    7.8116072450E-02   -2.8386455511E+00    5.6799556580E-02
    1.3599800000E-03    5.7361580235E-01    8.5137921289E-02   -2.8161488959E+00    5.7046519772E-02
    1.3999800000E-03    5.7400614841E-01    8.8287859804E-02   -2.8053980880E+00    5.7304368868E-02
    1.4399800000E-03    5.7361349339E-01    8.7480342225E-02   -2.8067036713E+00    5.7567234109E-02
    1.4799800000E-03    5.7245549606E-01    8.2681768498E-02   -2.8201493801E+00    5.7829079744E-02
    1.5199800000E-03    5.7065158729E-01    7.3921282696E-02   -2.8455992014E+00    5.8083780058E-02
    1.5599800000E-03    5.6840849344E-01    6.1306514593E-02   -2.8826970106E+00    5.8325196136E-02
    1.5999800000E-03    5.6601614260E-01    4.5023721127E-02   -2.9308359059E+00    5.8547442606E-02
    1.6399800000E-03    5.6381188746E-01    2.5363487826E-02   -2.9891526055E+00    5.8745359855E-02
    1.6799800000E-03    5.6216792165E-01    2.7016651908E-03   -3.0565169316E+00    5.8915133188E-02
    1.7199800000E-03    5.6145327650E-01   -2.2512385338E-02   -3.1315901727E+00    5.9054604613E-02
    1.7599800000E-03    5.6199906121E-01   -4.9779406368E-02   -3.2129170438E+00    5.9162911764E-02
    1.7999800000E-03    5.6408102302E-01   -7.8582816269E-02   -3.2990088979E+00    5.9239570375E-02
    1.8399800000E-03    5.6790234164E-01   -1.0839241051E-01   -3.3883686316E+00    5.9283517752E-02
    1.8799800000E-03    5.7357307061E-01   -1.3863754243E-01   -3.4794161445E+00    5.9292868108E-02
    1.9199800000E-03    5.8107797005E-01   -1.6867486066E-01   -3.5703841991E+00    5.9265667060E-02
    1.9599800000E-03    5.9024367184E-01   -1.9779714125E-01   -3.6593240104E+00    5.9201127522E-02
    1.9999800000E-03    6.0073594299E-01   -2.2530846700E-01   -3.7442928397E+00    5.9100458140E-02
    2.0399800000E-03    6.1210513608E-01   -2.5063164458E-01   -3.8236280645E+00    5.8966825638E-02
    2.0799800000E-03    6.2385753676E-01   -2.7337836668E-01   -3.8961256354E+00    5.8804698304E-02
    2.1199800000E-03    6.3551246901E-01   -2.9334675410E-01   -3.9610328470E+00    5.8619052568E-02
    2.1599800000E-03    6.4663602534E-01   -3.1047428895E-01   -4.0179017079E+00    5.8414753882E-02
    2.1999800000E-03    6.5684928059E-01   -3.2477976816E-01   -4.0664317019E+00    5.8196200264E-02
    2.2399800000E-03    6.6581796079E-01   -3.3631594202E-01   -4.1063881368E+00    5.7967195462E-02
    2.2799800000E-03    6.7325948850E-01   -3.4514982262E-01   -4.1375641754E+00    5.7731014093E-02
    2.3199800000E-03    6.7894929674E-01   -3.5135050106E-01   -4.1597825470E+00    5.7490529234E-02
    2.3599800000E-03    6.8272623109E-01   -3.5498102221E-01   -4.1729138703E+00    5.7248367100E-02
    2.3999800000E-03    6.8449628669E-01   -3.5609198501E-01   -4.1768920904E+00    5.7007010234E-02
    2.4399800000E-03    6.8423517974E-01   -3.5471815651E-01   -4.1717264670E+00    5.6768828446E-02
    2.4799800000E-03    6.8199045306E-01   -3.5087871453E-01   -4.1575055430E+00    5.6536133424E-02
    2.5199800000E-03    6.7787651139E-01   -3.4457810416E-01   -4.1343966837E+00    5.6311211368E-02
    2.5599800000E-03    6.7207089699E-01   -3.3581153637E-01   -4.1026391954E+00    5.6096365200E-02
