 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      4000000
 x0=   5.9999999999999998E-002  -2.5600000000000001E-002 
   -3.140000000000000     
 u=   -292.0000000000000     
 v_perp=    6980.000000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    5.5069040975E-01   -1.4265923443E-03   -3.1536251874E+00    5.9997932701E-02
    7.9980000000E-05    5.5074065545E-01   -5.9959826329E-03   -3.1671379129E+00    5.9995024429E-02
    1.1998000000E-04    5.5082732769E-01   -1.0515634175E-02   -3.1805016787E+00    5.9991282460E-02
    1.5998000000E-04    5.5094895003E-01   -1.4975685426E-02   -3.1936870603E+00    5.9986714757E-02
    1.9998000000E-04    5.5110376410E-01   -1.9366367821E-02   -3.2066649000E+00    5.9981330866E-02
    2.3998000000E-04    5.5128974339E-01   -2.3678019939E-02   -3.2194063467E+00    5.9975142003E-02
    2.7998000000E-04    5.5150460910E-01   -2.7901104555E-02   -3.2318828992E+00    5.9968161147E-02
    3.1998000000E-04    5.5174584816E-01   -3.2026225760E-02   -3.2440664593E+00    5.9960403126E-02
    3.5998000000E-04    5.5201073345E-01   -3.6044148088E-02   -3.2559293899E+00    5.9951884698E-02
    3.9998000000E-04    5.5229634612E-01   -3.9945818058E-02   -3.2674445791E+00    5.9942624621E-02
    4.3998000000E-04    5.5259959998E-01   -4.3722387553E-02   -3.2785855105E+00    5.9932643709E-02
    4.7998000000E-04    5.5291726804E-01   -4.7365238879E-02   -3.2893263382E+00    5.9921964867E-02
    5.1998000000E-04    5.5324601089E-01   -5.0866011282E-02   -3.2996419664E+00    5.9910613110E-02
    5.5998000000E-04    5.5358240689E-01   -5.4216628622E-02   -3.3095081328E+00    5.9898615551E-02
    5.9998000000E-04    5.5392298391E-01   -5.7409327893E-02   -3.3189014951E+00    5.9886001381E-02
    6.3998000000E-04    5.5426425224E-01   -6.0436688191E-02   -3.3277997186E+00    5.9872801811E-02
    6.7998000000E-04    5.5460273845E-01   -6.3291659762E-02   -3.3361815643E+00    5.9859050006E-02
    7.1998000000E-04    5.5493501981E-01   -6.5967592708E-02   -3.3440269769E+00    5.9844780992E-02
    7.5998000000E-04    5.5525775875E-01   -6.8458264963E-02   -3.3513171701E+00    5.9830031550E-02
    7.9998000000E-04    5.5556773703E-01   -7.0757909165E-02   -3.3580347101E+00    5.9814840093E-02
    8.3998000000E-04    5.5586188909E-01   -7.2861238074E-02   -3.3641635940E+00    5.9799246532E-02
    8.7998000000E-04    5.5613733416E-01   -7.4763468241E-02   -3.3696893240E+00    5.9783292130E-02
    9.1998000000E-04    5.5639140661E-01   -7.6460341676E-02   -3.3745989756E+00    5.9767019351E-02
    9.5998000000E-04    5.5662168416E-01   -7.7948145312E-02   -3.3788812596E+00    5.9750471706E-02
    9.9998000000E-04    5.5682601343E-01   -7.9223728115E-02   -3.3825265770E+00    5.9733693589E-02
