 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      4000000
 x0=   5.9999999999999998E-002  -0.3260000000000000      
   -3.140000000000000     
 u=    1010.000000000000     
 v_perp=    20900.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    5.6557837325E-01    5.0313339831E-02   -3.0874607171E+00    5.9804275269E-02
    7.9980000000E-05    5.6647001154E-01    7.0070460621E-02   -3.0258838435E+00    5.9643707769E-02
    1.1998000000E-04    5.6831628501E-01    9.2210464841E-02   -2.9569898847E+00    5.9521914214E-02
    1.5998000000E-04    5.7134113027E-01    1.1611993440E-01   -2.8825959069E+00    5.9442242738E-02
    1.9998000000E-04    5.7567331707E-01    1.4111836074E-01   -2.8046945814E+00    5.9408132457E-02
    2.3998000000E-04    5.8130526064E-01    1.6643260724E-01   -2.7255435297E+00    5.9422673024E-02
    2.7998000000E-04    5.8805984396E-01    1.9121067004E-01   -2.6476517183E+00    5.9487555564E-02
    3.1998000000E-04    5.9558718331E-01    2.1459635132E-01   -2.5735855732E+00    5.9602133137E-02
    3.5998000000E-04    6.0340956915E-01    2.3583888537E-01   -2.5056733679E+00    5.9763241085E-02
    3.9998000000E-04    6.1099537783E-01    2.5437309880E-01   -2.4457731629E+00    5.9965794884E-02
    4.3998000000E-04    6.1782486652E-01    2.6983038126E-01   -2.3952016733E+00    6.0203721366E-02
    4.7998000000E-04    6.2344814462E-01    2.8200801702E-01   -2.3548331749E+00    6.0470743466E-02
    5.1998000000E-04    6.2750104590E-01    2.9080372992E-01   -2.3252354187E+00    6.0760791877E-02
    5.5998000000E-04    6.2971417051E-01    2.9616381318E-01   -2.3067880884E+00    6.1068113341E-02
    5.9998000000E-04    6.2991328819E-01    2.9804469764E-01   -2.2997470142E+00    6.1387167309E-02
    6.3998000000E-04    6.2802091637E-01    2.9639077687E-01   -2.3042770288E+00    6.1712499890E-02
    6.7998000000E-04    6.2406938489E-01    2.9113422529E-01   -2.3204845035E+00    6.2038510127E-02
    7.1998000000E-04    6.1819561488E-01    2.8219070217E-01   -2.3484066809E+00    6.2359243142E-02
    7.5998000000E-04    6.1064490501E-01    2.6947511267E-01   -2.3879934102E+00    6.2668231769E-02
    7.9998000000E-04    6.0177140213E-01    2.5293082742E-01   -2.4390447018E+00    6.2958354461E-02
    8.3998000000E-04    5.9205430273E-01    2.3260419190E-01   -2.5011136344E+00    6.3221864048E-02
    8.7998000000E-04    5.8207283902E-01    2.0870814253E-01   -2.5733112156E+00    6.3450689186E-02
    9.1998000000E-04    5.7246696769E-01    1.8169232924E-01   -2.6541635012E+00    6.3637167253E-02
    9.5998000000E-04    5.6385399987E-01    1.5224580925E-01   -2.7416220139E+00    6.3775257177E-02
    9.9998000000E-04    5.5673267081E-01    1.2121633121E-01   -2.8332938746E+00    6.3861713325E-02
    1.0399800000E-03    5.5141038944E-01    8.9469587265E-02   -2.9267589982E+00    6.3896411270E-02
    1.0799800000E-03    5.4799720079E-01    5.7795478262E-02   -3.0197948445E+00    6.3881176640E-02
    1.1199800000E-03    5.4644211256E-01    2.6901232552E-02   -3.1103901602E+00    6.3817809329E-02
    1.1599800000E-03    5.4656691363E-01   -2.5522043390E-03   -3.1966293218E+00    6.3706972004E-02
    1.1999800000E-03    5.4808585068E-01   -2.9922988185E-02   -3.2766170579E+00    6.3548873993E-02
    1.2399800000E-03    5.5062776912E-01   -5.4587866907E-02   -3.3485275017E+00    6.3345041134E-02
    1.2799800000E-03    5.5376309752E-01   -7.5977190397E-02   -3.4107065547E+00    6.3099567445E-02
    1.3199800000E-03    5.5703937806E-01   -9.3614531958E-02   -3.4617479471E+00    6.2819161000E-02
    1.3599800000E-03    5.6002741580E-01   -1.0713605916E-01   -3.5005443731E+00    6.2512348179E-02
    1.3999800000E-03    5.6236668700E-01   -1.1629680598E-01   -3.5263180370E+00    6.2188527526E-02
    1.4399800000E-03    5.6380978561E-01   -1.2095066356E-01   -3.5386509312E+00    6.1857086280E-02
    1.4799800000E-03    5.6422337470E-01   -1.2108527002E-01   -3.5374252413E+00    6.1527170142E-02
    1.5199800000E-03    5.6361261103E-01   -1.1678552167E-01   -3.5228614595E+00    6.1207702481E-02
    1.5599800000E-03    5.6211191358E-01   -1.0824286037E-01   -3.4955162597E+00    6.0907357560E-02
    1.5999800000E-03    5.5997155871E-01   -9.5741331720E-02   -3.4563007481E+00    6.0634317353E-02
    1.6399800000E-03    5.5751152368E-01   -7.9690303484E-02   -3.4064252779E+00    6.0396010724E-02
    1.6799800000E-03    5.5509189294E-01   -6.0587609778E-02   -3.3473949270E+00    6.0198578731E-02
    1.7199800000E-03    5.5306530100E-01   -3.9006457323E-02   -3.2809299804E+00    6.0046299642E-02
    1.7599800000E-03    5.5173858408E-01   -1.5558947518E-02   -3.2088800121E+00    5.9941402689E-02
    1.7999800000E-03    5.5134094584E-01    9.1273682185E-03   -3.1331340921E+00    5.9884573321E-02
    1.8399800000E-03    5.5200427684E-01    3.4417276031E-02   -3.0555772638E+00    5.9875951118E-02
    1.8799800000E-03    5.5375379992E-01    5.9668587125E-02   -2.9781104030E+00    5.9915870667E-02
    1.9199800000E-03    5.5650096062E-01    8.4221398769E-02   -2.9026941184E+00    6.0004827053E-02
    1.9599800000E-03    5.6003970133E-01    1.0739352445E-01   -2.8313756303E+00    6.0142680113E-02
    1.9999800000E-03    5.6405234129E-01    1.2849022585E-01   -2.7662393778E+00    6.0327668509E-02
    2.0399800000E-03    5.6813569846E-01    1.4684356117E-01   -2.7092852681E+00    6.0555972552E-02
    2.0799800000E-03    5.7184793565E-01    1.6187318748E-01   -2.6622973839E+00    6.0821933217E-02
    2.1199800000E-03    5.7476448762E-01    1.7311082894E-01   -2.6267214725E+00    6.1118659332E-02
    2.1599800000E-03    5.7653095095E-01    1.8022024866E-01   -2.6036440832E+00    6.1438665225E-02
    2.1999800000E-03    5.7690427285E-01    1.8297620419E-01   -2.5937859338E+00    6.1774028618E-02
    2.2399800000E-03    5.7577896263E-01    1.8124698770E-01   -2.5975289739E+00    6.2116709297E-02
    2.2799800000E-03    5.7319881554E-01    1.7498466227E-01   -2.6149501379E+00    6.2458518115E-02
    2.3199800000E-03    5.6935613446E-01    1.6423158702E-01   -2.6458336725E+00    6.2791065790E-02
    2.3599800000E-03    5.6458236037E-01    1.4913747565E-01   -2.6896225537E+00    6.3105472584E-02
    2.3999800000E-03    5.5932025304E-01    1.2998169831E-01   -2.7453849785E+00    6.3392833598E-02
    2.4399800000E-03    5.5407814077E-01    1.0717818120E-01   -2.8118273997E+00    6.3644549059E-02
    2.4799800000E-03    5.4937167167E-01    8.1265346325E-02   -2.8873615977E+00    6.3853166306E-02
    2.5199800000E-03    5.4566782494E-01    5.2867536801E-02   -2.9702012889E+00    6.4013309848E-02
    2.5599800000E-03    5.4334583867E-01    2.2633016100E-02   -3.0584539320E+00    6.4122326694E-02
    2.5999800000E-03    5.4267351927E-01   -8.7850260043E-03   -3.1502168085E+00    6.4179745603E-02
    2.6399800000E-03    5.4380123346E-01   -4.0739348091E-02   -3.2435996257E+00    6.4185858244E-02
    2.6799800000E-03    5.4675876671E-01   -7.2576445595E-02   -3.3366962343E+00    6.4140525607E-02
    2.7199800000E-03    5.5144399620E-01   -1.0360704968E-01   -3.4275211467E+00    6.4043220311E-02
    2.7599800000E-03    5.5760508564E-01   -1.3309017351E-01   -3.5139569760E+00    6.3894283894E-02
    2.7999800000E-03    5.6483260236E-01   -1.6025859722E-01   -3.5938048476E+00    6.3696350703E-02
    2.8399800000E-03    5.7258307006E-01   -1.8438536238E-01   -3.6649841648E+00    6.3454771035E-02
    2.8799800000E-03    5.8024848077E-01   -2.0488868395E-01   -3.7257387558E+00    6.3176845228E-02
    2.9199800000E-03    5.8723872479E-01   -2.2138376101E-01   -3.7747735481E+00    6.2870866990E-02
    2.9599800000E-03    5.9304722982E-01   -2.3366749713E-01   -3.8112756887E+00    6.2545267632E-02
    2.9999800000E-03    5.9729069823E-01   -2.4167301912E-01   -3.8348213597E+00    6.2208185543E-02
    3.0399800000E-03    5.9972872319E-01   -2.4542433248E-01   -3.8452485606E+00    6.1867302609E-02
    3.0799800000E-03    6.0025521838E-01   -2.4497084205E-01   -3.8425898913E+00    6.1529943029E-02
    3.1199800000E-03    5.9890182408E-01   -2.4038458352E-01   -3.8270237511E+00    6.1203240368E-02
    3.1599800000E-03    5.9583229892E-01   -2.3176135395E-01   -3.7988972409E+00    6.0894264916E-02
    3.1999800000E-03    5.9133907143E-01   -2.1925289140E-01   -3.7587824869E+00    6.0610110074E-02
    3.2399800000E-03    5.8582522560E-01   -2.0310096928E-01   -3.7075778527E+00    6.0357843279E-02
    3.2799800000E-03    5.7978029508E-01   -1.8369291742E-01   -3.6466061866E+00    6.0144227153E-02
    3.3199800000E-03    5.7373109565E-01   -1.6159040114E-01   -3.5776582098E+00    5.9975090952E-02
    3.3599800000E-03    5.6817145852E-01   -1.3750907543E-01   -3.5029238289E+00    5.9854521436E-02
    3.3999800000E-03    5.6348766095E-01   -1.1224164483E-01   -3.4248039502E+00    5.9784186173E-02
    3.4399800000E-03    5.5992021699E-01   -8.6582214990E-02   -3.3456648505E+00    5.9763473337E-02
    3.4799800000E-03    5.5755789002E-01   -6.1274670281E-02   -3.2677001068E+00    5.9790503960E-02
    3.5199800000E-03    5.5635448994E-01   -3.7005938510E-02   -3.1929316401E+00    5.9863303497E-02
    3.5599800000E-03    5.5615491139E-01   -1.4428638835E-02   -3.1232774744E+00    5.9980345138E-02
    3.5999800000E-03    5.5671804673E-01    5.8260373027E-03   -3.0606026021E+00    6.0140179184E-02
    3.6399800000E-03    5.5773776068E-01    2.3162796816E-02   -3.0067088488E+00    6.0340434912E-02
    3.6799800000E-03    5.5888571683E-01    3.7038368404E-02   -2.9632413817E+00    6.0576910843E-02
    3.7199800000E-03    5.5985398560E-01    4.6991756327E-02   -2.9315902813E+00    6.0843409879E-02
    3.7599800000E-03    5.6039843875E-01    5.2663498341E-02   -2.9128210571E+00    6.1132078213E-02
    3.7999800000E-03    5.6036253691E-01    5.3820633687E-02   -2.9076485811E+00    6.1433932200E-02
    3.8399800000E-03    5.5970857228E-01    5.0348174281E-02   -2.9164201965E+00    6.1739369973E-02
    3.8799800000E-03    5.5853227651E-01    4.2246086184E-02   -2.9391059987E+00    6.2038576909E-02
    3.9199800000E-03    5.5705030305E-01    2.9645754996E-02   -2.9752923682E+00    6.2322031163E-02
    3.9599800000E-03    5.5558026350E-01    1.2818559902E-02   -3.0241654780E+00    6.2581073220E-02
    3.9999800000E-03    5.5450971253E-01   -7.8296671721E-03   -3.0845189811E+00    6.2808790015E-02
    4.0399800000E-03    5.5425420648E-01   -3.1786993771E-02   -3.1548352954E+00    6.3000475203E-02
    4.0799800000E-03    5.5521011693E-01   -5.8467210828E-02   -3.2334044267E+00    6.3153167793E-02
    4.1199800000E-03    5.5772669640E-01   -8.7252699095E-02   -3.3184340309E+00    6.3264584954E-02
    4.1599800000E-03    5.6207375985E-01   -1.1749466821E-01   -3.4080836238E+00    6.3331881014E-02
    4.1999800000E-03    5.6840818851E-01   -1.4847340266E-01   -3.5003469908E+00    6.3351419425E-02
    4.2399800000E-03    5.7671905316E-01   -1.7935010916E-01   -3.5929045118E+00    6.3320009839E-02
    4.2799800000E-03    5.8677590247E-01   -2.0918930773E-01   -3.6831611991E+00    6.3236736094E-02
    4.3199800000E-03    5.9813130547E-01   -2.3708572619E-01   -3.7685648349E+00    6.3104001406E-02
    4.3599800000E-03    6.1019579659E-01   -2.6232263860E-01   -3.8470143634E+00    6.2927203547E-02
    4.3999800000E-03    6.2234512543E-01   -2.8445363484E-01   -3.9170571004E+00    6.2713569071E-02
    4.4399800000E-03    6.3399063987E-01   -3.0327015259E-01   -3.9778085793E+00    6.2470899465E-02
    4.4799800000E-03    6.4461801434E-01   -3.1872289307E-01   -4.0287246082E+00    6.2206653834E-02
    4.5199800000E-03    6.5379267647E-01   -3.3084419972E-01   -4.0694243498E+00    6.1927386370E-02
    4.5599800000E-03    6.6115583902E-01   -3.3969859411E-01   -4.0996225163E+00    6.1638753161E-02
    4.5999800000E-03    6.6643957403E-01   -3.4536199538E-01   -4.1191075770E+00    6.1345721197E-02
    4.6399800000E-03    6.6947204217E-01   -3.4790681027E-01   -4.1277617918E+00    6.1052761817E-02
    4.6799800000E-03    6.7018526098E-01   -3.4739478046E-01   -4.1255757795E+00    6.0764056619E-02
    4.7199800000E-03    6.6861448737E-01   -3.4387409490E-01   -4.1126670992E+00    6.0483602206E-02
    4.7599800000E-03    6.6489522106E-01   -3.3738223793E-01   -4.0892840508E+00    6.0215343292E-02
    4.7999800000E-03    6.5925629050E-01   -3.2795392175E-01   -4.0558005082E+00    5.9963282749E-02
    4.8399800000E-03    6.5200811638E-01   -3.1563409406E-01   -4.0127119740E+00    5.9731701249E-02
    4.8799800000E-03    6.4353546453E-01   -3.0049945850E-01   -3.9606367601E+00    5.9525336507E-02
    4.9199800000E-03    6.3427881693E-01   -2.8268677964E-01   -3.9003642834E+00    5.9349446888E-02
    4.9599800000E-03    6.2471995733E-01   -2.6243551158E-01   -3.8329441599E+00    5.9209626854E-02
    4.9999800000E-03    6.1536714959E-01   -2.4014259642E-01   -3.7598108663E+00    5.9111154542E-02
    5.0399800000E-03    6.0671183930E-01   -2.1640140397E-01   -3.6828940135E+00    5.9058031755E-02
    5.0799800000E-03    5.9916408578E-01   -1.9199102596E-01   -3.6045905029E+00    5.9052114776E-02
    5.1199800000E-03    5.9298693995E-01   -1.6779766777E-01   -3.5275437873E+00    5.9092812356E-02
    5.1599800000E-03    5.8826192106E-01   -1.4469954170E-01   -3.4543271045E+00    5.9177519556E-02
    5.1999800000E-03    5.8490401558E-01   -1.2347837310E-01   -3.3872092512E+00    5.9302441657E-02
    5.2399800000E-03    5.8271285733E-01   -1.0479232676E-01   -3.3280941035E+00    5.9463263845E-02
    5.2799800000E-03    5.8142731590E-01   -8.9190224424E-02   -3.2785809761E+00    5.9655369580E-02
    5.3199800000E-03    5.8077194234E-01   -7.7131715369E-02   -3.2400329122E+00    5.9873659992E-02
    5.3599800000E-03    5.8051443543E-01   -6.9000158469E-02   -3.2135741760E+00    6.0112363249E-02
    5.3999800000E-03    5.8047914792E-01   -6.5080644988E-02   -3.2000574595E+00    6.0365031459E-02
    5.4399800000E-03    5.8056992837E-01   -6.5541967780E-02   -3.2000095672E+00    6.0624565397E-02
    5.4799800000E-03    5.8080428459E-01   -7.0433307285E-02   -3.2135817791E+00    6.0883517206E-02
    5.5199800000E-03    5.8129870893E-01   -7.9672707638E-02   -3.2405539496E+00    6.1134429230E-02
    5.5599800000E-03    5.8228416257E-01   -9.3066126612E-02   -3.2803508883E+00    6.1370196091E-02
    5.5999800000E-03    5.8406720971E-01   -1.1031178350E-01   -3.3321045979E+00    6.1584401094E-02
    5.6399800000E-03    5.8699902237E-01   -1.3100675812E-01   -3.3946926962E+00    6.1771323375E-02
    5.6799800000E-03    5.9145176929E-01   -1.5464293435E-01   -3.4667124725E+00    6.1925907245E-02
    5.7199800000E-03    5.9775795105E-01   -1.8057159561E-01   -3.5463963576E+00    6.2043657629E-02
    5.7599800000E-03    6.0614151930E-01   -2.0797888942E-01   -3.6315299496E+00    6.2120673448E-02
    5.7999800000E-03    6.1664305554E-01   -2.3591770023E-01   -3.7195306085E+00    6.2154110385E-02
    5.8399800000E-03    6.2908361484E-01   -2.6341927886E-01   -3.8077400798E+00    6.2143087243E-02
    5.8799800000E-03    6.4308889732E-01   -2.8962938822E-01   -3.8937703266E+00    6.2089547481E-02
    5.9199800000E-03    6.5814686231E-01   -3.1388517232E-01   -3.9756684172E+00    6.1998194863E-02
    5.9599800000E-03    6.7366506743E-01   -3.3571550897E-01   -4.0518575683E+00    6.1875269534E-02
    5.9999800000E-03    6.8901538012E-01   -3.5481000775E-01   -4.1210121795E+00    6.1726996663E-02
    6.0399800000E-03    7.0357352697E-01   -3.7099398951E-01   -4.1819969835E+00    6.1558682966E-02
    6.0799800000E-03    7.1676168467E-01   -3.8420912008E-01   -4.2338627269E+00    6.1374719563E-02
    6.1199800000E-03    7.2807880107E-01   -3.9448641871E-01   -4.2758506596E+00    6.1178990841E-02
    6.1599800000E-03    7.3711769722E-01   -4.0191197799E-01   -4.3073851820E+00    6.0975195201E-02
