 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      4000000
 x0=   4.0000000000000001E-002   7.4399999999999994E-002 
   -3.140000000000000     
 u=    738.0000000000000     
 v_perp=    9990.000000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    5.9586137262E-01    5.1008223599E-03   -3.1061540340E+00    4.0008770936E-02
    7.9980000000E-05    5.9619971614E-01    1.5628822394E-02   -3.0729975639E+00    4.0021537516E-02
    1.1998000000E-04    5.9672336647E-01    2.5858692857E-02   -3.0407599878E+00    4.0038254531E-02
    1.5998000000E-04    5.9740983698E-01    3.5722371712E-02   -3.0096494553E+00    4.0058857003E-02
    1.9998000000E-04    5.9823260261E-01    4.5154061345E-02   -2.9798684748E+00    4.0083251387E-02
    2.3998000000E-04    5.9916178969E-01    5.4090784705E-02   -2.9516122901E+00    4.0111311422E-02
    2.7998000000E-04    6.0016496995E-01    6.2472938346E-02   -2.9250671978E+00    4.0142875986E-02
    3.1998000000E-04    6.0120803846E-01    7.0244808356E-02   -2.9004089113E+00    4.0177749249E-02
    3.5998000000E-04    6.0225614864E-01    7.7355018576E-02   -2.8778010609E+00    4.0215702961E-02
    3.9998000000E-04    6.0327464388E-01    8.3756963017E-02   -2.8573939773E+00    4.0256480364E-02
    4.3998000000E-04    6.0422996753E-01    8.9409163987E-02   -2.8393237535E+00    4.0299800976E-02
    4.7998000000E-04    6.0509061427E-01    9.4275330668E-02   -2.8237113431E+00    4.0345365376E-02
    5.1998000000E-04    6.0582801618E-01    9.8324362697E-02   -2.8106618792E+00    4.0392859558E-02
    5.5998000000E-04    6.0641734551E-01    1.0153030570E-01   -2.8002641561E+00    4.0441958579E-02
    5.9998000000E-04    6.0683821342E-01    1.0387228108E-01   -2.7925902429E+00    4.0492329411E-02
    6.3998000000E-04    6.0707524789E-01    1.0533441148E-01   -2.7876952011E+00    4.0543633010E-02
    6.7998000000E-04    6.0711860997E-01    1.0590558893E-01   -2.7856167203E+00    4.0595525812E-02
