 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      4000000
 x0=   4.0000000000000001E-002   -1.830000000000000      
   -3.140000000000000     
 u=   -406.0000000000000     
 v_perp=    13700.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    8.5939789576E-01    7.7919813617E-02   -3.1516906045E+00    4.0055808762E-02
    7.9980000000E-05    8.5959812887E-01    7.7524028480E-02   -3.1536258649E+00    4.0112075425E-02
    1.1998000000E-04    8.5911825069E-01    7.9432390765E-02   -3.1457726404E+00    4.0168258383E-02
    1.5998000000E-04    8.5800898174E-01    8.3636808708E-02   -3.1282079473E+00    4.0223845188E-02
    1.9998000000E-04    8.5638969546E-01    9.0114795189E-02   -3.1011149594E+00    4.0278342213E-02
    2.3998000000E-04    8.5444409856E-01    9.8820659002E-02   -3.0647913153E+00    4.0331281565E-02
    2.7998000000E-04    8.5241266480E-01    1.0967384132E-01   -3.0196579482E+00    4.0382213523E-02
    3.1998000000E-04    8.5058016775E-01    1.2254726722E-01   -2.9662633354E+00    4.0430689173E-02
    3.5998000000E-04    8.4925834977E-01    1.3725894919E-01   -2.9052778458E+00    4.0476248178E-02
    3.9998000000E-04    8.4876486882E-01    1.5356924088E-01   -2.8374761828E+00    4.0518429702E-02
    4.3998000000E-04    8.4940101242E-01    1.7118382406E-01   -2.7637130017E+00    4.0556810772E-02
    4.7998000000E-04    8.5143096611E-01    1.8975973152E-01   -2.6849044234E+00    4.0591048881E-02
    5.1998000000E-04    8.5506419710E-01    2.0891065253E-01   -2.6020296568E+00    4.0620887062E-02
    5.5998000000E-04    8.6043837495E-01    2.2821090522E-01   -2.5161565897E+00    4.0646095855E-02
    5.9998000000E-04    8.6760010102E-01    2.4720311038E-01   -2.4284754969E+00    4.0666375234E-02
    6.3998000000E-04    8.7648532051E-01    2.6541768298E-01   -2.3403101311E+00    4.0681282284E-02
