 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   1.0000000000000000E-008
 steps=      8000000
 x0=   4.0000000000000001E-002    0.000000000000000      
    6.410000000000000     
 u=    70400.00000000000     
 v_perp=    36500.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    1.9990000000E-05    1.0889729673E+00   -1.6710818257E-01    7.5299175558E+00    3.6237676935E-02
    3.9990000000E-05    8.4544059303E-01   -5.8713186018E-02    8.8736407292E+00    3.5622797261E-02
    5.9990000000E-05    8.4213365215E-01    3.1383564526E-01    1.0399140612E+01    3.5996535066E-02
    7.9990000000E-05    1.1562699995E+00    3.3457266589E-01    1.1725696828E+01    3.5208311397E-02
    9.9990000000E-05    1.2485555614E+00   -1.1243210195E-01    1.2779954407E+01    3.3115743114E-02
    1.1999000000E-04    1.0196832413E+00   -4.0391826865E-01    1.3926326375E+01    3.5844809858E-02
    1.3999000000E-04    7.7535705420E-01   -1.5898188474E-01    1.5385335282E+01    3.5532945909E-02
    1.5999000000E-04    9.4863593808E-01    1.6018743129E-01    1.6866683604E+01    3.5546133153E-02
    1.7999000000E-04    1.1466746895E+00    1.4292313146E-01    1.8108643289E+01    3.8044147666E-02
    1.9999000000E-04    1.1914857884E+00    2.1271615607E-02    1.9183506227E+01    4.1024783734E-02
    2.1999000000E-04    1.0995974371E+00   -1.0688856333E-01    2.0310902903E+01    3.9814938482E-02
    2.3999000000E-04    8.6296837027E-01    5.0138039154E-03    2.1659506391E+01    4.1597147315E-02
    2.5999000000E-04    9.0631234099E-01    3.4312509016E-01    2.3157212775E+01    4.2436809526E-02
    2.7999000000E-04    1.1996727736E+00    2.5949969389E-01    2.4428384202E+01    3.9823736526E-02
    2.9999000000E-04    1.2336653487E+00   -2.2416097881E-01    2.5465214667E+01    3.8381828684E-02
    3.1999000000E-04    9.4700517641E-01   -4.2519096215E-01    2.6658575827E+01    3.9475557877E-02
    3.3999000000E-04    7.3101229966E-01   -1.0082606354E-01    2.8169687721E+01    3.9117845145E-02
    3.5999000000E-04    9.3541134660E-01    2.2314077110E-01    2.9651224295E+01    4.1222337437E-02
    3.7999000000E-04    1.1435397426E+00    2.2071144357E-01    3.0881670965E+01    4.6004682029E-02
    3.9999000000E-04    1.1999344210E+00    9.9842645188E-02    3.1958963733E+01    5.0685993692E-02
    4.1999000000E-04    1.1169777504E+00   -4.8076626008E-02    3.3089066206E+01    5.2893854689E-02
    4.3999000000E-04    8.9684072317E-01    6.8626114504E-02    3.4431875523E+01    5.7280235146E-02
    4.5999000000E-04    9.7406328495E-01    3.5912368971E-01    3.5890003436E+01    5.8225972761E-02
    4.7999000000E-04    1.2346413774E+00    1.6551368333E-01    3.7106883776E+01    5.3117875731E-02
    4.9999000000E-04    1.2106747020E+00   -3.3744156906E-01    3.8138934846E+01    5.2578428273E-02
    5.1999000000E-04    8.6421116433E-01   -4.4227473072E-01    3.9376973212E+01    5.1505669273E-02
    5.3999000000E-04    6.7395360143E-01   -4.0804645969E-02    4.0942648669E+01    5.1842163335E-02
    5.5999000000E-04    9.0244949464E-01    3.0834544642E-01    4.2428579081E+01    5.7678507506E-02
    5.7999000000E-04    1.1407585774E+00    3.2997036869E-01    4.3651427096E+01    6.4909803729E-02
    5.9999000000E-04    1.2253081566E+00    1.8014790315E-01    4.4730652980E+01    7.1908068974E-02
    6.1999000000E-04    1.1357272227E+00   -2.5174582422E-02    4.5857792101E+01    7.7983366773E-02
