 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   1.0000000000000000E-008
 steps=      8000000
 x0=   4.0000000000000001E-002    0.000000000000000      
    6.410000000000000     
 u=   -10600.00000000000     
 v_perp=    120000.0000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    1.9990000000E-05    1.1948044588E+00   -2.5213802941E-02    6.2826812967E+00    3.7621909360E-02
    3.9990000000E-05    1.1942825918E+00    8.4556767013E-03    6.1663687678E+00    3.7115841803E-02
    5.9990000000E-05    1.1878296251E+00    4.8499260197E-02    6.0020378673E+00    3.8880272310E-02
    7.9990000000E-05    1.1665072249E+00    1.0146959529E-01    5.7277322894E+00    4.3786200356E-02
    9.9990000000E-05    1.1101506021E+00    1.6560932970E-01    5.2803638640E+00    5.0680280733E-02
    1.1999000000E-04    9.7189365587E-01    1.9947736330E-01    4.5917817709E+00    5.5784107998E-02
    1.3999000000E-04    7.5171582332E-01    2.4118836331E-02    3.5436642473E+00    6.0320315009E-02
    1.5999000000E-04    7.9247505782E-01   -3.5330513742E-01    2.1677826513E+00    6.2932453168E-02
    1.7999000000E-04    1.1288345894E+00   -3.9875764174E-01    9.8763354120E-01    6.4068869069E-02
    1.9999000000E-04    1.2674676571E+00   -8.6424844618E-02    2.5386994943E-01    7.2741273398E-02
    2.1999000000E-04    1.2529840116E+00    2.3901093066E-01   -2.7324775994E-01    7.0767598861E-02
    2.3999000000E-04    1.0303793083E+00    4.9565855488E-01   -1.1173479589E+00    6.7809966864E-02
    2.5999000000E-04    6.4801826114E-01    3.0546269359E-01   -2.3787511215E+00    7.1207800117E-02
    2.7999000000E-04    6.3583957893E-01   -1.6964709222E-01   -3.8408780685E+00    6.3297998234E-02
    2.9999000000E-04    9.1083651965E-01   -4.1304366903E-01   -4.9668968702E+00    4.7027431321E-02
    3.1999000000E-04    1.1267299165E+00   -3.7804782362E-01   -5.7484879489E+00    3.4344019706E-02
    3.3999000000E-04    1.2190015804E+00   -2.4424119170E-01   -6.3019750576E+00    2.7265543512E-02
    3.5999000000E-04    1.2352275260E+00   -8.8304670589E-02   -6.7090812264E+00    2.4107616026E-02
    3.7999000000E-04    1.1946685149E+00    1.0036398037E-01   -7.1995600749E+00    1.9199165168E-02
    3.9999000000E-04    1.0285975687E+00    2.3546029238E-01   -8.0398578869E+00    1.2364112734E-02
    4.1999000000E-04    8.7177046703E-01    5.3953298397E-02   -9.2535544208E+00    9.4406740795E-03
    4.3999000000E-04    9.8642457630E-01   -1.7776649999E-01   -1.0494164109E+01    1.2199525613E-02
    4.5999000000E-04    1.1631555536E+00   -1.1457654456E-01   -1.1404914566E+01    1.8440280265E-02
    4.7999000000E-04    1.2218555058E+00    4.8700510192E-02   -1.1948517432E+01    2.3305115626E-02
    4.9999000000E-04    1.2239219644E+00    1.7650693754E-01   -1.2316493841E+01    2.7022684716E-02
    5.1999000000E-04    1.1860551484E+00    2.9033691048E-01   -1.2728350139E+01    3.2909851854E-02
    5.3999000000E-04    1.0790635208E+00    3.7449573739E-01   -1.3298435575E+01    4.2226665131E-02
    5.5999000000E-04    8.6016690514E-01    3.6367421982E-01   -1.4101264193E+01    5.4986389761E-02
    5.7999000000E-04    6.2488079527E-01    7.1526041878E-02   -1.5268625231E+01    7.0099524220E-02
    5.9999000000E-04    7.1796859519E-01   -3.8424279137E-01   -1.6727932388E+01    7.6126609131E-02
    6.1999000000E-04    1.1081285934E+00   -4.6511101669E-01   -1.7921933587E+01    7.4191861911E-02
    6.3999000000E-04    1.2696739362E+00   -1.5543416943E-01   -1.8688042237E+01    8.0476975818E-02
    6.5999000000E-04    1.2581087703E+00    1.8140724854E-01   -1.9218537695E+01    7.8744028905E-02
    6.7999000000E-04    1.0497098652E+00    4.5525692261E-01   -2.0071686981E+01    7.1082764483E-02
    6.9999000000E-04    7.1925942477E-01    2.7744466125E-01   -2.1355325865E+01    7.0842254166E-02
    7.1999000000E-04    7.7622831447E-01   -1.0550098135E-01   -2.2699044573E+01    6.5715515890E-02
    7.3999000000E-04    9.9559298324E-01   -2.2994198427E-01   -2.3657643683E+01    5.8869091977E-02
    7.5999000000E-04    1.1178900303E+00   -1.8872206927E-01   -2.4290945435E+01    5.2048562975E-02
    7.7999000000E-04    1.1694725963E+00   -1.3144440776E-01   -2.4709562994E+01    4.4667430719E-02
    7.9999000000E-04    1.1889654531E+00   -8.3704585893E-02   -2.4965631503E+01    3.9129890252E-02
    8.1999000000E-04    1.1952164416E+00   -4.4628349116E-02   -2.5125671038E+01    3.5702710003E-02
    8.3999000000E-04    1.1956097262E+00   -7.6819548587E-03   -2.5261329618E+01    3.4425216883E-02
    8.5999000000E-04    1.1893398114E+00    3.5373639082E-02   -2.5437790498E+01    3.5755327372E-02
    8.7999000000E-04    1.1676658932E+00    9.2137056815E-02   -2.5721571558E+01    4.0330891706E-02
    8.9999000000E-04    1.1092902248E+00    1.6008429784E-01   -2.6182852396E+01    4.6595509604E-02
    9.1999000000E-04    9.6424613307E-01    1.9060739885E-01   -2.6897906577E+01    5.0918957741E-02
    9.3999000000E-04    7.4808893745E-01   -3.2476402658E-03   -2.7982090202E+01    5.4448621019E-02
    9.5999000000E-04    8.2340599843E-01   -3.6771060881E-01   -2.9357608228E+01    5.6055673126E-02
    9.7999000000E-04    1.1485989640E+00   -3.6896176647E-01   -3.0494114606E+01    5.7680998530E-02
    9.9999000000E-04    1.2667497102E+00   -5.7032258733E-02   -3.1187010306E+01    6.6001602152E-02
    1.0199900000E-03    1.2449703246E+00    2.5845950732E-01   -3.1714287926E+01    6.3488375880E-02
    1.0399900000E-03    1.0115690450E+00    4.9525804957E-01   -3.2566726895E+01    6.2058548823E-02
    1.0599900000E-03    6.3678885214E-01    2.8705836588E-01   -3.3831288438E+01    6.6410810204E-02
    1.0799900000E-03    6.3607809554E-01   -1.9164061512E-01   -3.5296991446E+01    5.9057605222E-02
    1.0999900000E-03    9.2390125222E-01   -4.2716943932E-01   -3.6429191633E+01    4.3182466576E-02
    1.1199900000E-03    1.1439973726E+00   -3.7328565212E-01   -3.7216887647E+01    3.1188257372E-02
