 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   7.0000000000000007E-002    3.070000000000000      
   -3.140000000000000     
 u=   -4210.000000000000     
 v_perp=    37100.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    1.0057088953E+00   -4.4551026970E-02   -3.2994416558E+00    6.9993850741E-02
    7.9980000000E-05    1.0083778989E+00   -7.7960086421E-02   -3.4567356197E+00    7.0233195941E-02
    1.1998000000E-04    1.0138684986E+00   -1.0652649267E-01   -3.6035071262E+00    7.0717290740E-02
    1.5998000000E-04    1.0213380524E+00   -1.2834275523E-01   -3.7293698950E+00    7.1416522467E-02
    1.9998000000E-04    1.0290451128E+00   -1.4255140930E-01   -3.8239270258E+00    7.2296243976E-02
    2.3998000000E-04    1.0349641466E+00   -1.4925138668E-01   -3.8784835397E+00    7.3312297655E-02
    2.7998000000E-04    1.0375901566E+00   -1.4890540017E-01   -3.8874335244E+00    7.4402991958E-02
    3.1998000000E-04    1.0365552066E+00   -1.4161404564E-01   -3.8493728340E+00    7.5494494123E-02
    3.5998000000E-04    1.0327418800E+00   -1.2685960859E-01   -3.7673649977E+00    7.6515234634E-02
    3.9998000000E-04    1.0277994808E+00   -1.0397629548E-01   -3.6482265055E+00    7.7408250889E-02
    4.3998000000E-04    1.0232806710E+00   -7.2886597944E-02   -3.5012127202E+00    7.8125349301E-02
    4.7998000000E-04    1.0198794651E+00   -3.4492809759E-02   -3.3356693131E+00    7.8620368090E-02
    5.1998000000E-04    1.0175360680E+00    9.0602790292E-03   -3.1587475580E+00    7.8897758954E-02
    5.5998000000E-04    1.0162619249E+00    5.3860548109E-02   -2.9759082801E+00    7.8956931483E-02
    5.9998000000E-04    1.0168280573E+00    9.6105347212E-02   -2.7916408930E+00    7.8747687859E-02
    6.3998000000E-04    1.0203566388E+00    1.3274488297E-01   -2.6147815565E+00    7.8305577125E-02
    6.7998000000E-04    1.0266790948E+00    1.6139681050E-01   -2.4584594662E+00    7.7659581564E-02
    7.1998000000E-04    1.0338615128E+00    1.8129683289E-01   -2.3350529935E+00    7.6816569309E-02
    7.5998000000E-04    1.0390821204E+00    1.9312845182E-01   -2.2551184497E+00    7.5814768128E-02
    7.9998000000E-04    1.0398511938E+00    1.9811845259E-01   -2.2265244033E+00    7.4734854354E-02
    8.3998000000E-04    1.0352114680E+00    1.9682773258E-01   -2.2520481385E+00    7.3678969151E-02
    8.7998000000E-04    1.0262649451E+00    1.8862074359E-01   -2.3281452110E+00    7.2745333328E-02
    9.1998000000E-04    1.0156658776E+00    1.7248672050E-01   -2.4460891856E+00    7.2006672877E-02
    9.5998000000E-04    1.0064550100E+00    1.4830451054E-01   -2.5943741981E+00    7.1498900405E-02
    9.9998000000E-04    1.0009362102E+00    1.1752318653E-01   -2.7601143108E+00    7.1228622779E-02
    1.0399800000E-03    9.9993901086E-01    8.3087928863E-02   -2.9293957897E+00    7.1194425889E-02
    1.0799800000E-03    1.0026820108E+00    4.8638082516E-02   -3.0895614419E+00    7.1404755070E-02
    1.1199800000E-03    1.0076754487E+00    1.7162377807E-02   -3.2330192195E+00    7.1865923835E-02
    1.1599800000E-03    1.0136792081E+00   -9.5094972697E-03   -3.3567055399E+00    7.2533209711E-02
    1.1999800000E-03    1.0197529878E+00   -3.0054506390E-02   -3.4568660818E+00    7.3341148493E-02
    1.2399800000E-03    1.0250153318E+00   -4.3498592508E-02   -3.5279268684E+00    7.4255036774E-02
    1.2799800000E-03    1.0286480455E+00   -4.9470842346E-02   -3.5649074853E+00    7.5249446113E-02
    1.3199800000E-03    1.0300887091E+00   -4.7926171694E-02   -3.5649342315E+00    7.6287283162E-02
    1.3599800000E-03    1.0292043251E+00   -3.8793338864E-02   -3.5277009208E+00    7.7324707940E-02
    1.3999800000E-03    1.0262742696E+00   -2.1947760138E-02   -3.4554306617E+00    7.8323174108E-02
    1.4399800000E-03    1.0217740511E+00    2.4847456304E-03   -3.3522384494E+00    7.9251926107E-02
    1.4799800000E-03    1.0160981406E+00    3.3814569738E-02   -3.2219584478E+00    8.0056487145E-02
    1.5199800000E-03    1.0097523431E+00    7.0946203211E-02   -3.0655261279E+00    8.0662948842E-02
    1.5599800000E-03    1.0044215138E+00    1.1189471282E-01   -2.8852553927E+00    8.1072710778E-02
    1.5999800000E-03    1.0029028874E+00    1.5312782491E-01   -2.6907775988E+00    8.1279769222E-02
    1.6399800000E-03    1.0071645042E+00    1.9040284215E-01   -2.4963501069E+00    8.1217774166E-02
    1.6799800000E-03    1.0169493302E+00    2.2030736363E-01   -2.3159097150E+00    8.0847666148E-02
    1.7199800000E-03    1.0295996867E+00    2.4107538069E-01   -2.1635673406E+00    8.0179225196E-02
    1.7599800000E-03    1.0404552641E+00    2.5304480785E-01   -2.0559988689E+00    7.9266963683E-02
    1.7999800000E-03    1.0446588645E+00    2.5846688554E-01   -2.0079994693E+00    7.8215138226E-02
    1.8399800000E-03    1.0397059617E+00    2.5903561458E-01   -2.0263229254E+00    7.7160733317E-02
    1.8799800000E-03    1.0267389613E+00    2.5372952288E-01   -2.1074046018E+00    7.6240621942E-02
    1.9199800000E-03    1.0100459114E+00    2.4006913434E-01   -2.2385229227E+00    7.5558806550E-02
    1.9599800000E-03    9.9489918414E-01    2.1718356176E-01   -2.4020645435E+00    7.5169485433E-02
    1.9999800000E-03    9.8510725071E-01    1.8697654162E-01   -2.5809087736E+00    7.5092386431E-02
    2.0399800000E-03    9.8213083010E-01    1.5319528288E-01   -2.7597640871E+00    7.5327128877E-02
    2.0799800000E-03    9.8512412837E-01    1.2032397443E-01   -2.9240172663E+00    7.5837123245E-02
    2.1199800000E-03    9.9152467892E-01    9.2326050910E-02   -3.0612561863E+00    7.6549857541E-02
    2.1599800000E-03    9.9837797796E-01    7.1887085372E-02   -3.1626551100E+00    7.7397587431E-02
    2.1999800000E-03    1.0034679936E+00    6.0434003676E-02   -3.2226887246E+00    7.8340266499E-02
    2.2399800000E-03    1.0055576177E+00    5.8489888701E-02   -3.2385919905E+00    7.9341186506E-02
    2.2799800000E-03    1.0041571586E+00    6.6148415649E-02   -3.2094302222E+00    8.0354385366E-02
    2.3199800000E-03    9.9944881710E-01    8.3253441327E-02   -3.1358300929E+00    8.1340004964E-02
    2.3599800000E-03    9.9255215598E-01    1.0914386379E-01   -3.0206396201E+00    8.2264884771E-02
