 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   7.0000000000000007E-002    3.070000000000000      
   -3.140000000000000     
 u=    865.0000000000000     
 v_perp=    41600.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    1.0058658942E+00   -2.2006055979E-04   -3.1104518144E+00    6.9848170796E-02
    7.9980000000E-05    1.0058482837E+00    7.3103842259E-03   -3.0858714466E+00    6.9685449337E-02
    1.1998000000E-04    1.0057362750E+00    1.3600825933E-02   -3.0665196268E+00    6.9519357483E-02
    1.5998000000E-04    1.0055404966E+00    1.8643154041E-02   -3.0524404487E+00    6.9356366856E-02
    1.9998000000E-04    1.0052780296E+00    2.2491505581E-02   -3.0434257042E+00    6.9202642375E-02
    2.3998000000E-04    1.0049714285E+00    2.5264497817E-02   -3.0390056960E+00    6.9064260916E-02
    2.7998000000E-04    1.0046463443E+00    2.7135056985E-02   -3.0384690056E+00    6.8946980329E-02
    3.1998000000E-04    1.0043281876E+00    2.8317113350E-02   -3.0408991992E+00    6.8855720312E-02
    3.5998000000E-04    1.0040377008E+00    2.9058531252E-02   -3.0452234195E+00    6.8794071445E-02
    3.9998000000E-04    1.0037871427E+00    2.9631399259E-02   -3.0502671859E+00    6.8763961899E-02
    4.3998000000E-04    1.0035779957E+00    3.0319488014E-02   -3.0548096473E+00    6.8765427230E-02
    4.7998000000E-04    1.0034004023E+00    3.1405722522E-02   -3.0576340739E+00    6.8796458990E-02
    5.1998000000E-04    1.0032342513E+00    3.3161190376E-02   -3.0575703418E+00    6.8852908547E-02
    5.5998000000E-04    1.0030516740E+00    3.5835877599E-02   -3.0535289246E+00    6.8928423540E-02
    5.9998000000E-04    1.0028207596E+00    3.9649839861E-02   -3.0445295954E+00    6.9014419032E-02
    6.3998000000E-04    1.0025105227E+00    4.4782288597E-02   -3.0297339563E+00    6.9100157379E-02
    6.7998000000E-04    1.0020969973E+00    5.1356937531E-02   -3.0084997013E+00    6.9173142849E-02
    7.1998000000E-04    1.0015707909E+00    5.9417871775E-02   -2.9804787602E+00    6.9220140656E-02
    7.5998000000E-04    1.0009456102E+00    6.8891503922E-02   -2.9457775812E+00    6.9228935424E-02
    7.9998000000E-04    1.0002627737E+00    7.9545332859E-02   -2.9051655531E+00    6.9190474519E-02
    8.3998000000E-04    9.9958332843E-01    9.0966567062E-02   -2.8602475350E+00    6.9100460445E-02
    8.7998000000E-04    9.9896275611E-01    1.0258575371E-01   -2.8134713022E+00    6.8959586946E-02
    9.1998000000E-04    9.9842450052E-01    1.1373527858E-01   -2.7678888731E+00    6.8772578257E-02
    9.5998000000E-04    9.9793535374E-01    1.2375514696E-01   -2.7267449284E+00    6.8546997015E-02
    9.9998000000E-04    9.9738718506E-01    1.3211987507E-01   -2.6930340604E+00    6.8293168277E-02
    1.0399800000E-03    9.9664742382E-01    1.3846335987E-01   -2.6690880593E+00    6.8024627442E-02
    1.0799800000E-03    9.9561352096E-01    1.4259585420E-01   -2.6562936034E+00    6.7757620773E-02
    1.1199800000E-03    9.9425445597E-01    1.4450877798E-01   -2.6549415656E+00    6.7510099552E-02
    1.1599800000E-03    9.9263342997E-01    1.4436229493E-01   -2.6641888294E+00    6.7299748713E-02
    1.1999800000E-03    9.9088499063E-01    1.4248280317E-01   -2.6821757581E+00    6.7141935260E-02
    1.2399800000E-03    9.8916998097E-01    1.3935718627E-01   -2.7062102288E+00    6.7048253681E-02
    1.2799800000E-03    9.8762821688E-01    1.3560575558E-01   -2.7330111564E+00    6.7025351775E-02
    1.3199800000E-03    9.8633709093E-01    1.3193533706E-01   -2.7590236547E+00    6.7074286866E-02
    1.3599800000E-03    9.8529568146E-01    1.2906880894E-01   -2.7807671909E+00    6.7190566814E-02
    1.3999800000E-03    9.8443312860E-01    1.2767016993E-01   -2.7951789173E+00    6.7364788870E-02
    1.4399800000E-03    9.8363962680E-01    1.2827364167E-01   -2.7999059419E+00    6.7583861120E-02
    1.4799800000E-03    9.8285611799E-01    1.3116553977E-01   -2.7934930582E+00    6.7831911665E-02
    1.5199800000E-03    9.8208443783E-01    1.3638131154E-01   -2.7755320484E+00    6.8090468593E-02
    1.5599800000E-03    9.8134593610E-01    1.4376318264E-01   -2.7467225943E+00    6.8340120631E-02
    1.5999800000E-03    9.8073905211E-01    1.5289777585E-01   -2.7087526678E+00    6.8561713616E-02
    1.6399800000E-03    9.8036619501E-01    1.6320953522E-01   -2.6641345795E+00    6.8737632636E-02
    1.6799800000E-03    9.8029250647E-01    1.7402317538E-01   -2.6159513165E+00    6.8853998675E-02
    1.7199800000E-03    9.8050376175E-01    1.8464362440E-01   -2.5675698947E+00    6.8902671251E-02
    1.7599800000E-03    9.8087323060E-01    1.9444294110E-01   -2.5223612499E+00    6.8882780388E-02
    1.7999800000E-03    9.8117815753E-01    2.0290863511E-01   -2.4834416388E+00    6.8801153266E-02
    1.8399800000E-03    9.8114445354E-01    2.0967260646E-01   -2.4534267711E+00    6.8671571482E-02
    1.8799800000E-03    9.8052450159E-01    2.1451299986E-01   -2.4341696115E+00    6.8513117328E-02
    1.9199800000E-03    9.7918090401E-01    2.1734478834E-01   -2.4265082463E+00    6.8347743339E-02
    1.9599800000E-03    9.7711848200E-01    2.1823545919E-01   -2.4301042389E+00    6.8197579422E-02
    1.9999800000E-03    9.7448196411E-01    2.1741432370E-01   -2.4434270188E+00    6.8082442519E-02
    2.0399800000E-03    9.7152222804E-01    2.1526761158E-01   -2.4639027933E+00    6.8017690496E-02
    2.0799800000E-03    9.6852201740E-01    2.1233076257E-01   -2.4882053229E+00    6.8012669430E-02
    2.1199800000E-03    9.6571967367E-01    2.0925688011E-01   -2.5126257488E+00    6.8069892682E-02
    2.1599800000E-03    9.6326882785E-01    2.0674955325E-01   -2.5334604438E+00    6.8184882970E-02
    2.1999800000E-03    9.6123373684E-01    2.0547900281E-01   -2.5473817342E+00    6.8346644772E-02
    2.2399800000E-03    9.5962230053E-01    2.0599192910E-01   -2.5517634130E+00    6.8538786062E-02
    2.2799800000E-03    9.5843783623E-01    2.0863170694E-01   -2.5449408492E+00    6.8741166806E-02
    2.3199800000E-03    9.5771413722E-01    2.1348618516E-01   -2.5264002598E+00    6.8931996165E-02
    2.3599800000E-03    9.5750996732E-01    2.2037311868E-01   -2.4968764164E+00    6.9090364612E-02
    2.3999800000E-03    9.5788745184E-01    2.2884730748E-01   -2.4583330031E+00    6.9198886427E-02
    2.4399800000E-03    9.5885474839E-01    2.3824431495E-01   -2.4138522138E+00    6.9245898840E-02
    2.4799800000E-03    9.6027609584E-01    2.4777284735E-01   -2.3674270879E+00    6.9226893831E-02
    2.5199800000E-03    9.6182155654E-01    2.5662756739E-01   -2.3236067582E+00    6.9145024574E-02
    2.5599800000E-03    9.6299143753E-01    2.6410378087E-01   -2.2869664823E+00    6.9010814807E-02
    2.5999800000E-03    9.6322615738E-01    2.6968529132E-01   -2.2614344695E+00    6.8841257244E-02
    2.6399800000E-03    9.6208436382E-01    2.7307553243E-01   -2.2495988182E+00    6.8658059402E-02
    2.6799800000E-03    9.5940787352E-01    2.7419232750E-01   -2.2521818635E+00    6.8484731123E-02
    2.7199800000E-03    9.5538024858E-01    2.7317472593E-01   -2.2678489650E+00    6.8343005627E-02
    2.7599800000E-03    9.5046812523E-01    2.7040445949E-01   -2.2934000274E+00    6.8249535401E-02
    2.7999800000E-03    9.4527021615E-01    2.6652094027E-01   -2.3242745425E+00    6.8213764373E-02
    2.8399800000E-03    9.4034746760E-01    2.6238313780E-01   -2.3552425514E+00    6.8237261835E-02
    2.8799800000E-03    9.3610890065E-01    2.5895748269E-01   -2.3811417356E+00    6.8314166547E-02
    2.9199800000E-03    9.3278778507E-01    2.5715520889E-01   -2.3975494695E+00    6.8432369505E-02
    2.9599800000E-03    9.3049371678E-01    2.5766416156E-01   -2.4013241781E+00    6.8575280743E-02
    2.9999800000E-03    9.2928841128E-01    2.6081649935E-01   -2.3909852844E+00    6.8724039380E-02
    3.0399800000E-03    9.2921579209E-01    2.6652336336E-01   -2.3669157348E+00    6.8859951756E-02
    3.0799800000E-03    9.3026432654E-01    2.7428469910E-01   -2.3313669337E+00    6.8966866486E-02
    3.1199800000E-03    9.3228979820E-01    2.8327028994E-01   -2.2882446133E+00    6.9033091631E-02
    3.1599800000E-03    9.3491977562E-01    2.9247749984E-01   -2.2426615363E+00    6.9052704721E-02
    3.1999800000E-03    9.3751991288E-01    3.0092720768E-01   -2.2002610184E+00    6.9026473759E-02
    3.2399800000E-03    9.3928769337E-01    3.0782937056E-01   -2.1663749588E+00    6.8962379561E-02
    3.2799800000E-03    9.3946143216E-01    3.1266248449E-01   -2.1451594823E+00    6.8875170674E-02
    3.3199800000E-03    9.3755646324E-01    3.1516929478E-01   -2.1388933088E+00    6.8784289653E-02
    3.3599800000E-03    9.3352401430E-01    3.1532732368E-01   -2.1475920505E+00    6.8710270091E-02
    3.3999800000E-03    9.2776729855E-01    3.1335414374E-01   -2.1690072998E+00    6.8670671027E-02
    3.4399800000E-03    9.2101739984E-01    3.0974671456E-01   -2.1989936358E+00    6.8676928817E-02
    3.4799800000E-03    9.1412407575E-01    3.0529774513E-01   -2.2321646610E+00    6.8732962116E-02
    3.5199800000E-03    9.0784961992E-01    3.0102710029E-01   -2.2627182066E+00    6.8835496928E-02
    3.5599800000E-03    9.0274995159E-01    2.9801392384E-01   -2.2852928043E+00    6.8975479287E-02
    3.5999800000E-03    8.9915951221E-01    2.9717971108E-01   -2.2957290151E+00    6.9139937956E-02
    3.6399800000E-03    8.9724465635E-01    2.9908980911E-01   -2.2916410239E+00    6.9313895869E-02
    3.6799800000E-03    8.9705850945E-01    3.0382844441E-01   -2.2727383072E+00    6.9482112487E-02
    3.7199800000E-03    8.9853802820E-01    3.1097813987E-01   -2.2408703519E+00    6.9630647314E-02
    3.7599800000E-03    9.0143284867E-01    3.1971044117E-01   -2.1997904666E+00    6.9748322170E-02
    3.7999800000E-03    9.0521895391E-01    3.2896976763E-01   -2.1546464658E+00    6.9828141912E-02
    3.8399800000E-03    9.0908280619E-01    3.3769857140E-01   -2.1112394297E+00    6.9868601351E-02
    3.8799800000E-03    9.1203034191E-01    3.4502809848E-01   -2.0751495651E+00    6.9874498266E-02
    3.9199800000E-03    9.1310534331E-01    3.5037236141E-01   -2.0508785475E+00    6.9856668117E-02
    3.9599800000E-03    9.1164069542E-01    3.5342030881E-01   -2.0411656046E+00    6.9830190914E-02
    3.9999800000E-03    9.0744509267E-01    3.5408763103E-01   -2.0465911509E+00    6.9811249863E-02
    4.0399800000E-03    9.0085744027E-01    3.5250319638E-01   -2.0655158630E+00    6.9813570039E-02
    4.0799800000E-03    8.9265440081E-01    3.4905111516E-01   -2.0943465464E+00    6.9845654892E-02
    4.1199800000E-03    8.8384935044E-01    3.4441750160E-01   -2.1280801653E+00    6.9909686008E-02
    4.1599800000E-03    8.7545890212E-01    3.3956530322E-01   -2.1610461500E+00    7.0002188554E-02
    4.1999800000E-03    8.6831957251E-01    3.3559934417E-01   -2.1877398242E+00    7.0115845437E-02
