 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   7.0000000000000007E-002    3.070000000000000      
    6.280000000000000     
 u=    1340.000000000000     
 v_perp=    26000.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    1.2717455446E+00   -5.3776142315E-02    6.3246739315E+00    7.0172510805E-02
    7.9980000000E-05    1.2698542567E+00   -9.2974546005E-02    6.3926857717E+00    7.0517567073E-02
    1.1998000000E-04    1.2638063879E+00   -1.5408886824E-01    6.5020332789E+00    7.1077320083E-02
    1.5998000000E-04    1.2465849437E+00   -2.4029554939E-01    6.6724335102E+00    7.1802875655E-02
    1.9998000000E-04    1.2054842938E+00   -3.3982295197E-01    6.9166417223E+00    7.2529869564E-02
    2.3998000000E-04    1.1266345592E+00   -4.2603629172E-01    7.2393514698E+00    7.3101654620E-02
    2.7998000000E-04    1.0073598721E+00   -4.6370985616E-01    7.6411000328E+00    7.3379993912E-02
    3.1998000000E-04    8.7415517907E-01   -4.2567697213E-01    8.1129878620E+00    7.3399459287E-02
    3.5998000000E-04    7.6977851841E-01   -3.1754790066E-01    8.6373696912E+00    7.3394613054E-02
    3.9998000000E-04    7.2949416731E-01   -1.7139607997E-01    9.1776418844E+00    7.3543237099E-02
    4.3998000000E-04    7.5889466842E-01   -3.0012411864E-02    9.6825091073E+00    7.3848959225E-02
    4.7998000000E-04    8.2744126418E-01    7.5843110771E-02    1.0118617887E+01    7.4161417005E-02
    5.1998000000E-04    9.0274852228E-01    1.3822549041E-01    1.0478841290E+01    7.4476945654E-02
    5.5998000000E-04    9.6541705001E-01    1.6693514886E-01    1.0768282099E+01    7.4810874606E-02
    5.9998000000E-04    1.0108468847E+00    1.7649763952E-01    1.0994263643E+01    7.5176591806E-02
    6.3998000000E-04    1.0417530598E+00    1.7744084653E-01    1.1164793782E+01    7.5579429548E-02
    6.7998000000E-04    1.0618025643E+00    1.7563274468E-01    1.1287529001E+01    7.6035868744E-02
    7.1998000000E-04    1.0736464642E+00    1.7396295553E-01    1.1367685595E+01    7.6542213734E-02
    7.5998000000E-04    1.0788433762E+00    1.7374660113E-01    1.1408224635E+01    7.7085892910E-02
    7.9998000000E-04    1.0780864346E+00    1.7546733179E-01    1.1410577560E+01    7.7647928388E-02
    8.3998000000E-04    1.0713146392E+00    1.7910122408E-01    1.1374917703E+01    7.8206329365E-02
    8.7998000000E-04    1.0577030969E+00    1.8411167378E-01    1.1300124193E+01    7.8744573838E-02
    9.1998000000E-04    1.0355252568E+00    1.8913580695E-01    1.1183500537E+01    7.9258552446E-02
    9.5998000000E-04    1.0019961134E+00    1.9111050025E-01    1.1020029125E+01    7.9754823687E-02
    9.9998000000E-04    9.5362235384E-01    1.8362907650E-01    1.0801858439E+01    8.0248848022E-02
    1.0399800000E-03    8.8858759271E-01    1.5547082200E-01    1.0520328289E+01    8.0750337571E-02
    1.0799800000E-03    8.1194028073E-01    9.2425361639E-02    1.0167487803E+01    8.1254902153E-02
    1.1199800000E-03    7.4118529162E-01   -1.5019025310E-02    9.7365010713E+00    8.1748470346E-02
    1.1599800000E-03    7.0754121641E-01   -1.6041118702E-01    9.2320614851E+00    8.2216213460E-02
    1.1999800000E-03    7.4613648877E-01   -3.1420385888E-01    8.6861099620E+00    8.2483801402E-02
    1.2399800000E-03    8.5448641776E-01   -4.3130427077E-01    8.1530483782E+00    8.2530724461E-02
    1.2799800000E-03    9.9587787650E-01   -4.7578154468E-01    7.6713033792E+00    8.2550772229E-02
    1.3199800000E-03    1.1244475163E+00   -4.3827924135E-01    7.2590569975E+00    8.2846261296E-02
