 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   7.0000000000000007E-002    3.070000000000000      
   -3.140000000000000     
 u=   -4830.000000000000     
 v_perp=    28700.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    1.0057608399E+00   -5.0258671024E-02   -3.3221521612E+00    7.0004295369E-02
    7.9980000000E-05    1.0090576948E+00   -8.8721117232E-02   -3.5027001172E+00    7.0178988451E-02
    1.1998000000E-04    1.0161327291E+00   -1.2176693769E-01   -3.6753791877E+00    7.0520514909E-02
    1.5998000000E-04    1.0264587626E+00   -1.4766213799E-01   -3.8321410550E+00    7.1014132219E-02
    1.9998000000E-04    1.0383938354E+00   -1.6566642609E-01   -3.9644153266E+00    7.1652367914E-02
    2.3998000000E-04    1.0495704154E+00   -1.7621462193E-01   -4.0637680257E+00    7.2421684445E-02
    2.7998000000E-04    1.0575458906E+00   -1.8072732057E-01   -4.1228120912E+00    7.3290813366E-02
    3.1998000000E-04    1.0605879164E+00   -1.8073153533E-01   -4.1366427181E+00    7.4213862161E-02
    3.5998000000E-04    1.0582393908E+00   -1.7674074655E-01   -4.1039196333E+00    7.5138234381E-02
    3.9998000000E-04    1.0514434392E+00   -1.6784879742E-01   -4.0271566312E+00    7.6010725303E-02
    4.3998000000E-04    1.0422076606E+00   -1.5238422688E-01   -3.9121197980E+00    7.6785299641E-02
    4.7998000000E-04    1.0328971588E+00   -1.2896934395E-01   -3.7664568150E+00    7.7434027876E-02
    5.1998000000E-04    1.0254013345E+00   -9.7234693959E-02   -3.5984739573E+00    7.7946700161E-02
    5.5998000000E-04    1.0204943381E+00   -5.7955658884E-02   -3.4164022921E+00    7.8307424490E-02
    5.9998000000E-04    1.0177960840E+00   -1.2977732706E-02   -3.2266952217E+00    7.8501058415E-02
    6.3998000000E-04    1.0167642303E+00    3.4190947161E-02   -3.0335072007E+00    7.8549137066E-02
    6.7998000000E-04    1.0177128717E+00    7.9159117491E-02   -2.8400602358E+00    7.8429881597E-02
    7.1998000000E-04    1.0217696905E+00    1.1884968657E-01   -2.6508900627E+00    7.8140292422E-02
    7.5998000000E-04    1.0295073082E+00    1.5115404046E-01   -2.4740075039E+00    7.7704376090E-02
    7.9998000000E-04    1.0399771112E+00    1.7495777960E-01   -2.3184620498E+00    7.7119974351E-02
    8.3998000000E-04    1.0509200862E+00    1.9045581275E-01   -2.1932528007E+00    7.6388377875E-02
    8.7998000000E-04    1.0594402290E+00    1.9913805413E-01   -2.1072611397E+00    7.5539313014E-02
    9.1998000000E-04    1.0629808687E+00    2.0310646059E-01   -2.0675259795E+00    7.4624853008E-02
    9.5998000000E-04    1.0602378681E+00    2.0366313258E-01   -2.0773823877E+00    7.3705070482E-02
    9.9998000000E-04    1.0515856008E+00    2.0031944174E-01   -2.1357334095E+00    7.2839784322E-02
    1.0399800000E-03    1.0389861338E+00    1.9118777795E-01   -2.2372936444E+00    7.2082748747E-02
    1.0799800000E-03    1.0253762219E+00    1.7440348627E-01   -2.3737585763E+00    7.1472242514E-02
    1.1199800000E-03    1.0136589224E+00    1.4935999702E-01   -2.5357036569E+00    7.1022594165E-02
    1.1599800000E-03    1.0058993220E+00    1.1691800708E-01   -2.7138090673E+00    7.0730239868E-02
    1.1999800000E-03    1.0029009451E+00    7.9079250951E-02   -2.8988462792E+00    7.0594859177E-02
    1.2399800000E-03    1.0041135261E+00    3.8527312776E-02   -3.0826624036E+00    7.0631632121E-02
    1.2799800000E-03    1.0083311860E+00   -1.8706194450E-03   -3.2604217176E+00    7.0841589624E-02
    1.3199800000E-03    1.0146866449E+00   -3.9125579098E-02   -3.4290597686E+00    7.1184044705E-02
    1.3599800000E-03    1.0227595550E+00   -7.0514311678E-02   -3.5836620146E+00    7.1648484661E-02
    1.3999800000E-03    1.0319819814E+00   -9.4620546736E-02   -3.7181626940E+00    7.2246856674E-02
    1.4399800000E-03    1.0412367702E+00   -1.1128704968E-01   -3.8263871664E+00    7.2970330902E-02
    1.4799800000E-03    1.0490396618E+00   -1.2113154708E-01   -3.9024756739E+00    7.3794863893E-02
    1.5199800000E-03    1.0539979916E+00   -1.2511338738E-01   -3.9416850417E+00    7.4688174910E-02
    1.5599800000E-03    1.0552696529E+00   -1.2394970550E-01   -3.9412896227E+00    7.5612139836E-02
    1.5999800000E-03    1.0528194258E+00   -1.1765908155E-01   -3.9011382828E+00    7.6525954608E-02
    1.6399800000E-03    1.0474059557E+00   -1.0551013124E-01   -3.8236880237E+00    7.7389971003E-02
    1.6799800000E-03    1.0402834879E+00   -8.6440093243E-02   -3.7135054986E+00    7.8169684036E-02
    1.7199800000E-03    1.0327031301E+00   -5.9641102558E-02   -3.5763771225E+00    7.8838455776E-02
    1.7599800000E-03    1.0254508040E+00   -2.5059962635E-02   -3.4182743051E+00    7.9386244782E-02
    1.7999800000E-03    1.0187733154E+00    1.5867255518E-02   -3.2446115521E+00    7.9823416189E-02
    1.8399800000E-03    1.0129124228E+00    6.0112061866E-02   -3.0587101313E+00    8.0117097422E-02
    1.8799800000E-03    1.0091927899E+00    1.0462762222E-01   -2.8622652687E+00    8.0245284671E-02
    1.9199800000E-03    1.0099074736E+00    1.4644640915E-01   -2.6612121005E+00    8.0228664327E-02
    1.9599800000E-03    1.0164547098E+00    1.8251652259E-01   -2.4650722378E+00    8.0049577669E-02
    1.9999800000E-03    1.0283690660E+00    2.1047599783E-01   -2.2832142746E+00    7.9680818293E-02
    2.0399800000E-03    1.0433469833E+00    2.2919819434E-01   -2.1255969855E+00    7.9115150528E-02
    2.0799800000E-03    1.0575670771E+00    2.3942909860E-01   -2.0041632044E+00    7.8376240534E-02
    2.1199800000E-03    1.0668769559E+00    2.4395886760E-01   -1.9300205728E+00    7.7517585658E-02
    2.1599800000E-03    1.0683929071E+00    2.4582348327E-01   -1.9101094205E+00    7.6609292760E-02
    2.1999800000E-03    1.0613343456E+00    2.4591470960E-01   -1.9460440209E+00    7.5725505544E-02
    2.2399800000E-03    1.0471776465E+00    2.4226220576E-01   -2.0340844464E+00    7.4937318212E-02
    2.2799800000E-03    1.0293835004E+00    2.3158380855E-01   -2.1655985141E+00    7.4304109451E-02
    2.3199800000E-03    1.0123119332E+00    2.1180479631E-01   -2.3287238132E+00    7.3861930499E-02
    2.3599800000E-03    9.9959990925E-01    1.8326619499E-01   -2.5114945759E+00    7.3620469305E-02
    2.3999800000E-03    9.9324949236E-01    1.4813330206E-01   -2.7036091545E+00    7.3572205787E-02
    2.4399800000E-03    9.9353757236E-01    1.0953345966E-01   -2.8952527674E+00    7.3696748219E-02
    2.4799800000E-03    9.9906492882E-01    7.0863411431E-02   -3.0769504150E+00    7.3965577262E-02
    2.5199800000E-03    1.0075021373E+00    3.5010423918E-02   -3.2417963353E+00    7.4375475970E-02
    2.5599800000E-03    1.0169450227E+00    3.8140627561E-03   -3.3873168416E+00    7.4938128698E-02
    2.5999800000E-03    1.0263334615E+00   -2.1670978966E-02   -3.5125763893E+00    7.5617016101E-02
    2.6399800000E-03    1.0349019461E+00   -4.0660183645E-02   -3.6141638887E+00    7.6373296028E-02
    2.6799800000E-03    1.0418711111E+00   -5.2960726877E-02   -3.6874249003E+00    7.7194942769E-02
    2.7199800000E-03    1.0464901515E+00   -5.8931015498E-02   -3.7285329194E+00    7.8069102163E-02
    2.7599800000E-03    1.0482370962E+00   -5.8988748240E-02   -3.7352253011E+00    7.8972744076E-02
    2.7999800000E-03    1.0469862532E+00   -5.3222671575E-02   -3.7070628593E+00    7.9877627380E-02
    2.8399800000E-03    1.0430280974E+00   -4.1299842138E-02   -3.6454769740E+00    8.0756601267E-02
    2.8799800000E-03    1.0369206704E+00   -2.2706956841E-02   -3.5535619688E+00    8.1589676662E-02
    2.9199800000E-03    1.0292258161E+00    2.7453227111E-03   -3.4354442488E+00    8.2362556373E-02
