 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   7.0000000000000007E-002    3.070000000000000      
    0.000000000000000     
 u=   -390.0000000000000     
 v_perp=    13200.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    1.2723167398E+00   -2.2042601202E-02   -9.6034389914E-03    7.0022824224E-02
    7.9980000000E-05    1.2723478962E+00   -1.6880400040E-02   -1.7443311600E-02    7.0037393185E-02
    1.1998000000E-04    1.2723565212E+00   -1.2380877212E-02   -2.4195380839E-02    7.0044937893E-02
    1.5998000000E-04    1.2723486044E+00   -8.1826362958E-03   -3.0453302885E-02    7.0046152250E-02
    1.9998000000E-04    1.2723248314E+00   -3.9479796495E-03   -3.6770899151E-02    7.0041219238E-02
    2.3998000000E-04    1.2722810988E+00    6.6401702739E-04   -4.3707257962E-02    7.0029819546E-02
    2.7998000000E-04    1.2722074539E+00    6.0247085068E-03   -5.1872328376E-02    7.0011106263E-02
    3.1998000000E-04    1.2720851307E+00    1.2564707009E-02   -6.1976069008E-02    6.9983646059E-02
    3.5998000000E-04    1.2718807439E+00    2.0805074062E-02   -7.4883929523E-02    6.9945332804E-02
    3.9998000000E-04    1.2715358159E+00    3.1389845989E-02   -9.1680385384E-02    6.9893293997E-02
    4.3998000000E-04    1.2709484867E+00    4.5114511487E-02   -1.1373922113E-01    6.9823845739E-02
    4.7998000000E-04    1.2699423852E+00    6.2935493225E-02   -1.4279177589E-01    6.9732628651E-02
    5.1998000000E-04    1.2682157080E+00    8.5927690601E-02   -1.8096832147E-01    6.9615193421E-02
    5.5998000000E-04    1.2652639354E+00    1.1513297048E-01   -2.3076028472E-01    6.9468442409E-02
    5.9998000000E-04    1.2602791087E+00    1.5123696998E-01   -2.9482689372E-01    6.9293107862E-02
    6.3998000000E-04    1.2520565058E+00    1.9409703567E-01   -3.7561308999E-01    6.9096063892E-02
    6.7998000000E-04    1.2389760146E+00    2.4235220252E-01   -4.7494109035E-01    6.8889337706E-02
