 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   4.0000000000000001E-002    1.770000000000000      
   -3.140000000000000     
 u=    5480.000000000000     
 v_perp=    29700.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    8.6543073027E-01   -3.3972121274E-02   -2.9421163744E+00    3.9733473152E-02
    7.9980000000E-05    8.8186815296E-01   -2.9860880021E-03   -2.8014083912E+00    3.9428131377E-02
    1.1998000000E-04    8.9217842713E-01    1.3756486978E-02   -2.7214997356E+00    3.9090296294E-02
    1.5998000000E-04    8.9357556919E-01    1.7785311507E-02   -2.7038036739E+00    3.8740252186E-02
    1.9998000000E-04    8.8561926516E-01    9.3832850492E-03   -2.7486749544E+00    3.8403494152E-02
    2.3998000000E-04    8.7011315830E-01   -1.2668029241E-02   -2.8554423360E+00    3.8100864514E-02
    2.7998000000E-04    8.5140999160E-01   -5.0082700693E-02   -3.0219254855E+00    3.7839550896E-02
    3.1998000000E-04    8.3660033149E-01   -1.0284207237E-01   -3.2423923039E+00    3.7614111581E-02
    3.5998000000E-04    8.3407823450E-01   -1.6665429333E-01   -3.5043602673E+00    3.7428544463E-02
    3.9998000000E-04    8.4977479247E-01   -2.3292627176E-01   -3.7898753549E+00    3.7294297830E-02
    4.3998000000E-04    8.8435609757E-01   -2.9105028088E-01   -4.0780353844E+00    3.7225142309E-02
    4.7998000000E-04    9.3202435891E-01   -3.3173901174E-01   -4.3455643430E+00    3.7259469628E-02
    5.1998000000E-04    9.8255435563E-01   -3.5175011427E-01   -4.5732511892E+00    3.7431977853E-02
    5.5998000000E-04    1.0257199179E+00   -3.5502170260E-01   -4.7467791912E+00    3.7756623910E-02
    5.9998000000E-04    1.0542983743E+00   -3.5029646039E-01   -4.8546610622E+00    3.8215579803E-02
    6.3998000000E-04    1.0649053991E+00   -3.4634830362E-01   -4.8894831147E+00    3.8758037242E-02
    6.7998000000E-04    1.0568412469E+00   -3.4687149437E-01   -4.8486253229E+00    3.9318340078E-02
    7.1998000000E-04    1.0311313102E+00   -3.4845765846E-01   -4.7342473715E+00    3.9826872046E-02
    7.5998000000E-04    9.9153894320E-01   -3.4245344914E-01   -4.5536780177E+00    4.0219770554E-02
    7.9998000000E-04    9.4570060858E-01   -3.2016496341E-01   -4.3188445226E+00    4.0460289019E-02
    8.3998000000E-04    9.0409394866E-01   -2.7791878277E-01   -4.0451601186E+00    4.0548120837E-02
    8.7998000000E-04    8.7634069652E-01   -2.1958518868E-01   -3.7533473021E+00    4.0503614961E-02
    9.1998000000E-04    8.6676958849E-01   -1.5461701154E-01   -3.4666604773E+00    4.0343992215E-02
    9.5998000000E-04    8.7348649538E-01   -9.3024242518E-02   -3.2046306678E+00    4.0079666580E-02
    9.9998000000E-04    8.9016777506E-01   -4.2415207278E-02   -2.9833773025E+00    3.9714503073E-02
    1.0399800000E-03    9.0906282234E-01   -5.8652066998E-03   -2.8123912683E+00    3.9250621522E-02
    1.0799800000E-03    9.2423331313E-01    1.7365723732E-02   -2.6951151325E+00    3.8714571984E-02
    1.1199800000E-03    9.3221203596E-01    2.9191302799E-02   -2.6332677070E+00    3.8143542963E-02
    1.1599800000E-03    9.3149347579E-01    3.0934524696E-02   -2.6280386221E+00    3.7567016852E-02
    1.1999800000E-03    9.2208823643E-01    2.2561749045E-02   -2.6795843412E+00    3.7008850912E-02
    1.2399800000E-03    9.0558507393E-01    2.6762166828E-03   -2.7869341903E+00    3.6496014419E-02
    1.2799800000E-03    8.8551809764E-01   -3.0718391963E-02   -2.9483640373E+00    3.6060008794E-02
    1.3199800000E-03    8.6775233589E-01   -7.8528385076E-02   -3.1605427880E+00    3.5720029097E-02
    1.3599800000E-03    8.5989322532E-01   -1.3799336457E-01   -3.4144401318E+00    3.5472151545E-02
    1.3999800000E-03    8.6828071398E-01   -2.0171412061E-01   -3.6938884020E+00    3.5316102178E-02
    1.4399800000E-03    8.9484791631E-01   -2.5988504596E-01   -3.9796803899E+00    3.5262895643E-02
    1.4799800000E-03    9.3579406871E-01   -3.0296791268E-01   -4.2494455473E+00    3.5333510702E-02
    1.5199800000E-03    9.8206737959E-01   -3.2626105592E-01   -4.4822298448E+00    3.5554579950E-02
    1.5599800000E-03    1.0234633563E+00   -3.3234740986E-01   -4.6625103222E+00    3.5939875178E-02
    1.5999800000E-03    1.0521989393E+00   -3.2913458502E-01   -4.7781927360E+00    3.6469713814E-02
    1.6399800000E-03    1.0642276461E+00   -3.2530938036E-01   -4.8211243281E+00    3.7091056182E-02
    1.6799800000E-03    1.0584593691E+00   -3.2516127563E-01   -4.7880750241E+00    3.7736911022E-02
    1.7199800000E-03    1.0358397922E+00   -3.2604617666E-01   -4.6807949823E+00    3.8336599931E-02
    1.7599800000E-03    1.0000348671E+00   -3.1993713866E-01   -4.5063052163E+00    3.8821225942E-02
    1.7999800000E-03    9.5845604585E-01   -2.9834266206E-01   -4.2763807921E+00    3.9145251785E-02
