 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   4.0000000000000001E-002   7.4399999999999994E-002 
   -3.140000000000000     
 u=    5470.000000000000     
 v_perp=    45300.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    6.0095095675E-01    7.0050433049E-02   -2.8972921363E+00    4.0472481108E-02
    7.9980000000E-05    6.1209005060E-01    1.3066057576E-01   -2.7004136373E+00    4.1582010121E-02
    1.1998000000E-04    6.2110382733E-01    1.6743800014E-01   -2.5777544968E+00    4.3171944244E-02
    1.5998000000E-04    6.2133983116E-01    1.7609547875E-01   -2.5449754821E+00    4.5033509630E-02
    1.9998000000E-04    6.1100061200E-01    1.5479221207E-01   -2.6075979609E+00    4.6973033757E-02
    2.3998000000E-04    5.9428950970E-01    1.0305198838E-01   -2.7636859636E+00    4.8760267397E-02
    2.7998000000E-04    5.8063771416E-01    2.4024939027E-02   -3.0009038105E+00    5.0075222492E-02
    3.1998000000E-04    5.8078618862E-01   -7.2919684160E-02   -3.2919200397E+00    5.0707453180E-02
    3.5998000000E-04    6.0124696923E-01   -1.7410357591E-01   -3.5997094621E+00    5.0646687733E-02
    3.9998000000E-04    6.3992893114E-01   -2.6356376373E-01   -3.8833718484E+00    4.9879497883E-02
    4.3998000000E-04    6.8600079139E-01   -3.3003474128E-01   -4.1125045180E+00    4.8612304971E-02
    4.7998000000E-04    7.2765721628E-01   -3.7207313953E-01   -4.2760408120E+00    4.7115040212E-02
    5.1998000000E-04    7.5560224827E-01   -3.9220762361E-01   -4.3662100917E+00    4.5551817646E-02
    5.5998000000E-04    7.6457346894E-01   -3.9360505029E-01   -4.3779583351E+00    4.4039233237E-02
    5.9998000000E-04    7.5413864836E-01   -3.7781535014E-01   -4.3115726043E+00    4.2673594438E-02
    6.3998000000E-04    7.2849616070E-01   -3.4431906820E-01   -4.1731471733E+00    4.1528967866E-02
    6.7998000000E-04    6.9549611030E-01   -2.9243597801E-01   -3.9739123804E+00    4.0674979731E-02
    7.1998000000E-04    6.6480661471E-01   -2.2444756115E-01   -3.7310369527E+00    4.0232746957E-02
    7.5998000000E-04    6.4515106128E-01   -1.4950731719E-01   -3.4758611766E+00    4.0305604542E-02
    7.9998000000E-04    6.3861458168E-01   -8.1633455237E-02   -3.2495478850E+00    4.0848138747E-02
    8.3998000000E-04    6.3989119321E-01   -3.2869212473E-02   -3.0866728037E+00    4.1773464962E-02
    8.7998000000E-04    6.4161943916E-01   -1.2068890690E-02   -3.0145708580E+00    4.2954380561E-02
    9.1998000000E-04    6.3984365664E-01   -2.3621158210E-02   -3.0475710639E+00    4.4209560636E-02
    9.5998000000E-04    6.3718695639E-01   -6.6674478346E-02   -3.1824292717E+00    4.5336549292E-02
    9.9998000000E-04    6.4184192996E-01   -1.3487050400E-01   -3.3995620051E+00    4.6150893416E-02
    1.0399800000E-03    6.6295076060E-01   -2.1698881245E-01   -3.6687776540E+00    4.6558869525E-02
    1.0799800000E-03    7.0381390083E-01   -2.9719852222E-01   -3.9502983027E+00    4.6506121089E-02
    1.1199800000E-03    7.5729468877E-01   -3.6112685185E-01   -4.2059074599E+00    4.6060115618E-02
    1.1599800000E-03    8.1062949137E-01   -4.0279167379E-01   -4.4100052181E+00    4.5390480832E-02
    1.1999800000E-03    8.5182578513E-01   -4.2366893706E-01   -4.5450802571E+00    4.4632446293E-02
    1.2399800000E-03    8.7254656413E-01   -4.2877172875E-01   -4.5992631712E+00    4.3883281860E-02
    1.2799800000E-03    8.6964103697E-01   -4.2182783819E-01   -4.5677916727E+00    4.3196021964E-02
