 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   4.0000000000000001E-002   -2.030000000000000      
   -3.140000000000000     
 u=   -490.0000000000000     
 v_perp=    28300.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    8.8927779659E-01    7.6714201918E-02   -3.1416561780E+00    4.0325280270E-02
    7.9980000000E-05    8.8736102089E-01    8.4880845201E-02   -3.1073004477E+00    4.0644887194E-02
    1.1998000000E-04    8.8384746924E-01    1.0105216343E-01   -3.0381717217E+00    4.0942677659E-02
    1.5998000000E-04    8.8029773904E-01    1.2464403513E-01   -2.9372259546E+00    4.1205387045E-02
    1.9998000000E-04    8.7875223023E-01    1.5438237619E-01   -2.8092948398E+00    4.1422988839E-02
    2.3998000000E-04    8.8124075553E-01    1.8821552351E-01   -2.6607077587E+00    4.1587107763E-02
    2.7998000000E-04    8.8923465404E-01    2.2344751707E-01   -2.4988680347E+00    4.1690367349E-02
    3.1998000000E-04    9.0312820569E-01    2.5692616908E-01   -2.3327165987E+00    4.1727853073E-02
    3.5998000000E-04    9.2177179503E-01    2.8556065418E-01   -2.1729938031E+00    4.1697405823E-02
    3.9998000000E-04    9.4247876549E-01    3.0734866725E-01   -2.0306009455E+00    4.1598722852E-02
    4.3998000000E-04    9.6181403436E-01    3.2204119134E-01   -1.9145775055E+00    4.1435476546E-02
    4.7998000000E-04    9.7655457926E-01    3.3082925099E-01   -1.8315773595E+00    4.1218901510E-02
    5.1998000000E-04    9.8431645762E-01    3.3540188933E-01   -1.7861000060E+00    4.0968588824E-02
    5.5998000000E-04    9.8379993325E-01    3.3695607681E-01   -1.7805038073E+00    4.0709891360E-02
    5.9998000000E-04    9.7485886894E-01    3.3553437093E-01   -1.8148849919E+00    4.0469534745E-02
    6.3998000000E-04    9.5849019155E-01    3.2999906225E-01   -1.8871037599E+00    4.0270815914E-02
    6.7998000000E-04    9.3678220615E-01    3.1862208040E-01   -1.9929862832E+00    4.0129988064E-02
    7.1998000000E-04    9.1276387495E-01    2.9999419482E-01   -2.1264457244E+00    4.0054462597E-02
    7.5998000000E-04    8.8991847115E-01    2.7398168817E-01   -2.2792263341E+00    4.0043314130E-02
    7.9998000000E-04    8.7134720426E-01    2.4223626329E-01   -2.4408986593E+00    4.0089311330E-02
    8.3998000000E-04    8.5884317900E-01    2.0781223607E-01   -2.6003071572E+00    4.0182814512E-02
    8.7998000000E-04    8.5252754405E-01    1.7413959115E-01   -2.7475827775E+00    4.0316185526E-02
    9.1998000000E-04    8.5120232549E-01    1.4426168226E-01   -2.8746168414E+00    4.0483575211E-02
    9.5998000000E-04    8.5291378685E-01    1.2057260932E-01   -2.9745548542E+00    4.0678306679E-02
    9.9998000000E-04    8.5548091216E-01    1.0470815012E-01   -3.0418936215E+00    4.0892777219E-02
    1.0399800000E-03    8.5711828429E-01    9.7555337309E-02   -3.0729501490E+00    4.1119133022E-02
    1.0799800000E-03    8.5687887669E-01    9.9448027475E-02   -3.0660284536E+00    4.1349127686E-02
    1.1199800000E-03    8.5485290070E-01    1.1034456784E-01   -3.0213708584E+00    4.1574146245E-02
    1.1599800000E-03    8.5216591428E-01    1.2979977263E-01   -2.9411628892E+00    4.1785611403E-02
    1.1999800000E-03    8.5072217957E-01    1.5676608826E-01   -2.8295355563E+00    4.1975296710E-02
    1.2399800000E-03    8.5269139660E-01    1.8944464203E-01   -2.6922704630E+00    4.2135563514E-02
    1.2799800000E-03    8.5995915843E-01    2.2528775383E-01   -2.5364252671E+00    4.2260725892E-02
    1.3199800000E-03    8.7350904555E-01    2.6109051992E-01   -2.3706318232E+00    4.2346228684E-02
    1.3599800000E-03    8.9280025768E-01    2.9338385328E-01   -2.2054785100E+00    4.2385355218E-02
    1.3999800000E-03    9.1556271728E-01    3.1942519740E-01   -2.0522211289E+00    4.2370429392E-02
    1.4399800000E-03    9.3843087310E-01    3.3813152805E-01   -1.9205881414E+00    4.2298319441E-02
    1.4799800000E-03    9.5793920598E-01    3.5010533964E-01   -1.8179717581E+00    4.2173707482E-02
    1.5199800000E-03    9.7121930007E-01    3.5693263605E-01   -1.7497470635E+00    4.2009317536E-02
    1.5599800000E-03    9.7635357132E-01    3.6023290446E-01   -1.7194227538E+00    4.1824443804E-02
    1.5999800000E-03    9.7250072846E-01    3.6081165076E-01   -1.7284634719E+00    4.1641887442E-02
    1.6399800000E-03    9.5990746328E-01    3.5824803272E-01   -1.7761596263E+00    4.1483858982E-02
    1.6799800000E-03    9.3991644841E-01    3.5108199755E-01   -1.8597385222E+00    4.1367953212E-02
    1.7199800000E-03    9.1490677977E-01    3.3752561641E-01   -1.9746342286E+00    4.1304597563E-02
    1.7599800000E-03    8.8806978806E-01    3.1638530425E-01   -2.1145784277E+00    4.1296594464E-02
    1.7999800000E-03    8.6294645364E-01    2.8787230413E-01   -2.2712686516E+00    4.1338981281E-02
    1.8399800000E-03    8.4260577122E-01    2.5397435042E-01   -2.4343328747E+00    4.1419303350E-02
    1.8799800000E-03    8.2873018391E-01    2.1799155689E-01   -2.5927114042E+00    4.1523063167E-02
    1.9199800000E-03    8.2130644913E-01    1.8351378693E-01   -2.7365118652E+00    4.1641212706E-02
    1.9599800000E-03    8.1896138735E-01    1.5368521808E-01   -2.8575491844E+00    4.1770654634E-02
    1.9999800000E-03    8.1958643275E-01    1.3091106195E-01   -2.9491203027E+00    4.1909671795E-02
    2.0399800000E-03    8.2104442613E-01    1.1677123018E-01   -3.0061288819E+00    4.2055526656E-02
    2.0799800000E-03    8.2173987489E-01    1.1209674176E-01   -3.0254086656E+00    4.2204920221E-02
    2.1199800000E-03    8.2103052468E-01    1.1714507075E-01   -3.0058552417E+00    4.2354449807E-02
    2.1599800000E-03    8.1939178722E-01    1.3170165224E-01   -2.9484228940E+00    4.2500502005E-02
    2.1999800000E-03    8.1829612525E-01    1.5499936261E-01   -2.8561132868E+00    4.2639337386E-02
    2.2399800000E-03    8.1982627952E-01    1.8554944946E-01   -2.7338465755E+00    4.2768046849E-02
    2.2799800000E-03    8.2610349053E-01    2.2105683267E-01   -2.5881541419E+00    4.2885344329E-02
    2.3199800000E-03    8.3862277203E-01    2.5846577668E-01   -2.4271042024E+00    4.2989339680E-02
    2.3599800000E-03    8.5754242960E-01    2.9422106724E-01   -2.2605647108E+00    4.3073104847E-02
    2.3999800000E-03    8.8129089809E-01    3.2501500593E-01   -2.0995760293E+00    4.3124834966E-02
    2.4399800000E-03    9.0689265365E-01    3.4880906040E-01   -1.9544241557E+00    4.3135083707E-02
    2.4799800000E-03    9.3084121928E-01    3.6529448030E-01   -1.8333118000E+00    4.3102360494E-02
    2.5199800000E-03    9.4990040783E-01    3.7553473623E-01   -1.7424414000E+00    4.3032632852E-02
    2.5599800000E-03    9.6156222012E-01    3.8120368096E-01   -1.6863388131E+00    4.2937577170E-02
    2.5999800000E-03    9.6427656529E-01    3.8371484393E-01   -1.6677778268E+00    4.2833289162E-02
