 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   7.0000000000000007E-002    3.070000000000000      
    0.000000000000000     
 u=   -1330.000000000000     
 v_perp=    8440.000000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    1.2723149320E+00   -5.7207536747E-03   -3.6683453774E-02    7.0004561221E-02
    7.9980000000E-05    1.2719588577E+00    1.6955179635E-02   -7.3576383604E-02    6.9994548222E-02
    1.1998000000E-04    1.2711394723E+00    4.0403860666E-02   -1.1193801590E-01    6.9969838478E-02
    1.5998000000E-04    1.2697503431E+00    6.5249774245E-02   -1.5304530456E-01    6.9930475411E-02
    1.9998000000E-04    1.2676110223E+00    9.2026633003E-02   -1.9815576742E-01    6.9876899643E-02
    2.3998000000E-04    1.2644549168E+00    1.2110902987E-01   -2.4846609647E-01    6.9810284500E-02
    2.7998000000E-04    1.2599192302E+00    1.5263370844E-01   -3.0504735804E-01    6.9732819086E-02
    3.1998000000E-04    1.2535441011E+00    1.8643475341E-01   -3.6877403437E-01    6.9647674951E-02
    3.5998000000E-04    1.2447872150E+00    2.2202462202E-01   -4.4028327662E-01    6.9558474338E-02
    3.9998000000E-04    1.2330550885E+00    2.5863340060E-01   -5.1999536067E-01    6.9468529795E-02
    4.3998000000E-04    1.2177470689E+00    2.9528134404E-01   -6.0818166164E-01    6.9380527730E-02
    4.7998000000E-04    1.1983072879E+00    3.3084337557E-01   -7.0502830718E-01    6.9296848310E-02
    5.1998000000E-04    1.1742802561E+00    3.6408338565E-01   -8.1067274438E-01    6.9219795365E-02
    5.5998000000E-04    1.1453704272E+00    3.9365975367E-01   -9.2523222871E-01    6.9151396145E-02
    5.9998000000E-04    1.1115274004E+00    4.1812441824E-01   -1.0487932848E+00    6.9093581794E-02
    6.3998000000E-04    1.0730883414E+00    4.3597512114E-01   -1.1812998524E+00    6.9048577181E-02
    6.7998000000E-04    1.0309313881E+00    4.4583521076E-01   -1.3224401282E+00    6.9017784275E-02
