 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   7.0000000000000007E-002  -0.3260000000000000      
   -3.140000000000000     
 u=    5630.000000000000     
 v_perp=    28100.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    5.5470639658E-01    1.2680258560E-01   -2.8668213283E+00    6.9664362910E-02
    7.9980000000E-05    5.7809166998E-01    2.1773113017E-01   -2.5889990440E+00    6.9662454849E-02
    1.1998000000E-04    6.1598062088E-01    3.0183488885E-01   -2.3242268326E+00    7.0007255886E-02
    1.5998000000E-04    6.6355532436E-01    3.7288235009E-01   -2.0847732050E+00    7.0634107343E-02
    1.9998000000E-04    7.1446430995E-01    4.2801021673E-01   -1.8769716802E+00    7.1474297699E-02
    2.3998000000E-04    7.6225376846E-01    4.6728116013E-01   -1.7056650867E+00    7.2504153447E-02
    2.7998000000E-04    8.0165729457E-01    4.9296838604E-01   -1.5742960240E+00    7.3682999862E-02
    3.1998000000E-04    8.2882395776E-01    5.0817143200E-01   -1.4855838746E+00    7.4960368787E-02
    3.5998000000E-04    8.4139223491E-01    5.1567585347E-01   -1.4411863977E+00    7.6303988037E-02
    3.9998000000E-04    8.3826963959E-01    5.1697936273E-01   -1.4417358918E+00    7.7698722328E-02
    4.3998000000E-04    8.1930469287E-01    5.1173833828E-01   -1.4872531424E+00    7.9135710862E-02
    4.7998000000E-04    7.8533932896E-01    4.9775752228E-01   -1.5772005803E+00    8.0598542365E-02
    5.1998000000E-04    7.3860303612E-01    4.7148238809E-01   -1.7103108145E+00    8.2046009521E-02
