 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   7.0000000000000007E-002    3.070000000000000      
    6.280000000000000     
 u=    1010.000000000000     
 v_perp=    24600.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    1.2719225994E+00   -4.7628973061E-02    6.3142606765E+00    7.0139329070E-02
    7.9980000000E-05    1.2707570063E+00   -7.7805968233E-02    6.3665873680E+00    7.0400226038E-02
    1.1998000000E-04    1.2671669515E+00   -1.2533904721E-01    6.4500524462E+00    7.0826218487E-02
    1.5998000000E-04    1.2570169753E+00   -1.9559592253E-01    6.5810679068E+00    7.1422433809E-02
    1.9998000000E-04    1.2317583854E+00   -2.8519742409E-01    6.7737731009E+00    7.2091345579E-02
    2.3998000000E-04    1.1792513411E+00   -3.7749575188E-01    7.0349652771E+00    7.2697546743E-02
    2.7998000000E-04    1.0898697635E+00   -4.4626102148E-01    7.3670837655E+00    7.3124225374E-02
    3.1998000000E-04    9.6880271210E-01   -4.6114518980E-01    7.7682738041E+00    7.3279315047E-02
    3.5998000000E-04    8.4587896686E-01   -4.0646120803E-01    8.2285872514E+00    7.3269419126E-02
    3.9998000000E-04    7.5687852805E-01   -2.9392787729E-01    8.7304528270E+00    7.3282744462E-02
    4.3998000000E-04    7.2883033044E-01   -1.5373157976E-01    9.2391780792E+00    7.3443531081E-02
    4.7998000000E-04    7.6126065905E-01   -2.2034852882E-02    9.7111770662E+00    7.3725369193E-02
    5.1998000000E-04    8.2659754078E-01    7.6854805551E-02    1.0120661693E+01    7.4009731763E-02
    5.5998000000E-04    8.9777462314E-01    1.3688884233E-01    1.0462195397E+01    7.4297591173E-02
    5.9998000000E-04    9.5818355459E-01    1.6619705954E-01    1.0740097908E+01    7.4599876371E-02
    6.3998000000E-04    1.0032224702E+00    1.7711965329E-01    1.0960537579E+01    7.4929752052E-02
    6.7998000000E-04    1.0347601499E+00    1.7911282543E-01    1.1130141128E+01    7.5287517422E-02
    7.1998000000E-04    1.0559356849E+00    1.7777377941E-01    1.1255634384E+01    7.5687366371E-02
    7.5998000000E-04    1.0692141602E+00    1.7602079348E-01    1.1341970011E+01    7.6129169977E-02
    7.9998000000E-04    1.0761546242E+00    1.7526815161E-01    1.1392129319E+01    7.6604679464E-02
    8.3998000000E-04    1.0775710592E+00    1.7612043217E-01    1.1407710607E+01    7.7100953737E-02
    8.7998000000E-04    1.0736515439E+00    1.7870568181E-01    1.1389248513E+01    7.7601227729E-02
    9.1998000000E-04    1.0639809311E+00    1.8276943113E-01    1.1336260004E+01    7.8090104081E-02
    9.5998000000E-04    1.0474793240E+00    1.8753838701E-01    1.1247120333E+01    7.8559694879E-02
    9.9998000000E-04    1.0222715003E+00    1.9128926426E-01    1.1118679175E+01    7.9011342787E-02
    1.0399800000E-03    9.8565577825E-01    1.9041204391E-01    1.0945608825E+01    7.9452569158E-02
    1.0799800000E-03    9.3484726544E-01    1.7801200557E-01    1.0720678777E+01    7.9896256455E-02
    1.1199800000E-03    8.6963016938E-01    1.4342103090E-01    1.0436945153E+01    8.0342635941E-02
    1.1599800000E-03    7.9670165926E-01    7.4802585551E-02    1.0087598189E+01    8.0790661150E-02
    1.1999800000E-03    7.3347745796E-01   -3.3678837365E-02    9.6681656100E+00    8.1224490636E-02
    1.2399800000E-03    7.0805329104E-01   -1.7376712574E-01    9.1850476259E+00    8.1629399279E-02
    1.2799800000E-03    7.4889710153E-01   -3.1816301535E-01    8.6688041039E+00    8.1851168186E-02
    1.3199800000E-03    8.5130404437E-01   -4.2858789908E-01    8.1656482870E+00    8.1889379471E-02
    1.3599800000E-03    9.8410292014E-01   -4.7477217306E-01    7.7079217968E+00    8.1898637151E-02
    1.3999800000E-03    1.1087185142E+00   -4.4718905620E-01    7.3112378197E+00    8.2120286752E-02
    1.4399800000E-03    1.1960295715E+00   -3.6592699936E-01    6.9856347716E+00    8.2657405388E-02
