 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   7.0000000000000007E-002   0.9740000000000000      
   -3.140000000000000     
 u=    8480.000000000000     
 v_perp=    37600.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
0.000040 0.687206 0.006962 3.456815 0.071269
0.000080 0.705607 0.058396 3.636019 0.072711
0.000120 0.708597 0.069041 3.674862 0.074237
0.000160 0.693921 0.039090 3.571908 0.075789
0.000200 0.669550 -0.034337 3.327697 0.077304
0.000240 0.657892 -0.150091 2.952835 0.078563
0.000280 0.692185 -0.287443 2.493933 0.079306
0.000320 0.783711 -0.408578 2.018109 0.079515
0.000360 0.908044 -0.478607 1.582039 0.079365
0.000400 1.027729 -0.486977 1.223900 0.079264
0.000440 1.109918 -0.457112 0.975688 0.079610
0.000480 1.145864 -0.430576 0.861830 0.080359
0.000520 1.140646 -0.432954 0.890877 0.081255
0.000560 1.093459 -0.459361 1.062865 0.082056
0.000600 1.002348 -0.476131 1.366199 0.082499
0.000640 0.887323 -0.444315 1.768942 0.082580
0.000680 0.787257 -0.355648 2.229555 0.082600
0.000720 0.734287 -0.235581 2.691968 0.082842
