 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   7.0000000000000007E-002  -0.7260000000000000      
   -3.140000000000000     
 u=   -6650.000000000000     
 v_perp=    40300.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
0.000040 0.618924 -0.008527 2.895370 0.068251
0.000080 0.629150 -0.048876 2.771784 0.066237
0.000120 0.629997 -0.047279 2.781006 0.064207
0.000160 0.621701 -0.004738 2.920694 0.062336
0.000200 0.614128 0.074687 3.176272 0.060853
0.000240 0.623805 0.179031 3.512441 0.059960
0.000280 0.663137 0.289544 3.882294 0.059685
0.000320 0.728658 0.384449 4.235886 0.060040
0.000360 0.803782 0.450559 4.539152 0.060866
0.000400 0.870344 0.487632 4.771334 0.062038
0.000440 0.914157 0.504424 4.917978 0.063437
0.000480 0.928013 0.511280 4.973032 0.064984
0.000520 0.909546 0.512373 4.935162 0.066658
0.000560 0.859127 0.502746 4.804902 0.068440
0.000600 0.781924 0.470239 4.585790 0.070231
0.000640 0.691424 0.402460 4.287645 0.071808
0.000680 0.607730 0.294927 3.922987 0.072942
0.000720 0.552820 0.157887 3.511074 0.073318
0.000760 0.537433 0.014485 3.092326 0.072755
0.000800 0.555270 -0.115255 2.715791 0.071238
0.000840 0.590794 -0.215939 2.421015 0.068930
0.000880 0.627415 -0.281901 2.219791 0.066263
0.000920 0.653508 -0.316177 2.109497 0.063454
0.000960 0.662801 -0.323060 2.087625 0.060666
0.001000 0.653997 -0.304524 2.152940 0.058042
0.001040 0.630559 -0.259798 2.304115 0.055715
0.001080 0.600244 -0.186720 2.540421 0.053819
0.001120 0.575187 -0.087281 2.852136 0.052558
0.001160 0.567929 0.027182 3.206652 0.052149
0.001200 0.583659 0.141342 3.561213 0.052587
0.001240 0.616770 0.239252 3.872093 0.053833
0.001280 0.654222 0.310899 4.111026 0.055689
0.001320 0.684252 0.356204 4.272147 0.057995
0.001360 0.698136 0.377459 4.351181 0.060628
0.001400 0.691033 0.375777 4.343976 0.063458
0.001440 0.663306 0.349521 4.249646 0.066345
0.001480 0.620868 0.294577 4.069913 0.069129
0.001520 0.574253 0.206253 3.804079 0.071623
0.001560 0.538420 0.084609 3.452523 0.073534
0.001600 0.530376 -0.058414 3.039504 0.074461
0.001640 0.560759 -0.205370 2.612333 0.074422
0.001680 0.627726 -0.334491 2.218499 0.073432
0.001720 0.713974 -0.427475 1.885769 0.071835
0.001760 0.797622 -0.481392 1.627117 0.069881
0.001800 0.861537 -0.504917 1.452443 0.067817
0.001840 0.896104 -0.510410 1.368373 0.065823
0.001880 0.898631 -0.506461 1.376623 0.063960
0.001920 0.870108 -0.493524 1.476790 0.062250
0.001960 0.815227 -0.464413 1.665553 0.060752
0.002000 0.744868 -0.409642 1.932797 0.059583
0.002040 0.675349 -0.325019 2.262150 0.058858
0.002080 0.624572 -0.217248 2.629045 0.058735
0.002120 0.603237 -0.105020 2.990315 0.059328
0.002160 0.605920 -0.008852 3.296254 0.060600
0.002200 0.616933 0.055759 3.504110 0.062437
0.002240 0.622339 0.081427 3.589853 0.064584
0.002280 0.616715 0.066648 3.547609 0.066835
0.002320 0.603374 0.010491 3.376838 0.068987
0.002360 0.595246 -0.083843 3.089633 0.070742
0.002400 0.612000 -0.202847 2.722351 0.071823
0.002440 0.667791 -0.324659 2.323664 0.072236
0.002480 0.756726 -0.422736 1.943391 0.072005
0.002520 0.856864 -0.481476 1.614835 0.071373
0.002560 0.945391 -0.502154 1.360937 0.070600
0.002600 1.005458 -0.499926 1.198667 0.069916
0.002640 1.029600 -0.493351 1.140307 0.069434
0.002680 1.016539 -0.491752 1.192380 0.069057
0.002720 0.968225 -0.488999 1.351533 0.068653
0.002760 0.892668 -0.468211 1.604703 0.068227
0.002800 0.806935 -0.415150 1.930894 0.067903
0.002840 0.733056 -0.329866 2.299778 0.067836
0.002880 0.689201 -0.228555 2.668707 0.068180
0.002920 0.677928 -0.134908 2.987725 0.068900
0.002960 0.683966 -0.069530 3.208693 0.069942
0.003000 0.688932 -0.043534 3.298735 0.071161
0.003040 0.684793 -0.059644 3.247226 0.072420
0.003080 0.677085 -0.117322 3.058019 0.073586
0.003120 0.683895 -0.208573 2.755720 0.074471
0.003160 0.724728 -0.313381 2.386642 0.074979
0.003200 0.803018 -0.405273 2.000874 0.075076
0.003240 0.901451 -0.461323 1.646197 0.074938
0.003280 0.994033 -0.475920 1.359737 0.074863
0.003320 1.057439 -0.464979 1.172644 0.075096
0.003360 1.080610 -0.454680 1.110249 0.075632
0.003400 1.062398 -0.458011 1.182677 0.076243
0.003440 1.005240 -0.463062 1.381990 0.076678
0.003480 0.921688 -0.444181 1.681940 0.076835
0.003520 0.836789 -0.386937 2.046068 0.076829
0.003560 0.776167 -0.300199 2.428086 0.076853
0.003600 0.751553 -0.208621 2.773596 0.077044
0.003640 0.753505 -0.136538 3.033973 0.077428
0.003680 0.761299 -0.098632 3.172116 0.077868
0.003720 0.760726 -0.098855 3.172148 0.078308
0.003760 0.752389 -0.137510 3.033597 0.078766
0.003800 0.751760 -0.210754 2.771719 0.079169
0.003840 0.780362 -0.302876 2.423874 0.079361
0.003880 0.847335 -0.387767 2.039364 0.079380
0.003920 0.939565 -0.438718 1.673662 0.079426
0.003960 1.028603 -0.446585 1.375868 0.079801
0.004000 1.087359 -0.429863 1.187945 0.080667
0.004040 1.104428 -0.419801 1.140685 0.081864
