 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   7.0000000000000007E-002   -2.430000000000000      
   -3.140000000000000     
 u=    497.0000000000000     
 v_perp=    53200.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
0.000040 0.976398 0.096418 3.207241 0.071831
0.000080 0.969039 0.130790 3.357926 0.073512
0.000120 0.963992 0.179384 3.580832 0.074734
0.000160 0.969847 0.232706 3.847791 0.075196
0.000200 0.990038 0.277211 4.116048 0.074839
0.000240 1.015354 0.303256 4.329208 0.073741
0.000280 1.027752 0.313720 4.431386 0.072136
0.000320 1.016120 0.315583 4.396483 0.070506
0.000360 0.984781 0.304601 4.237545 0.069343
0.000400 0.950479 0.273720 4.001020 0.068878
0.000440 0.928875 0.229181 3.749495 0.069087
0.000480 0.922693 0.187183 3.540635 0.069883
0.000520 0.924208 0.161779 3.416619 0.071097
0.000560 0.924490 0.159844 3.400417 0.072495
0.000600 0.921218 0.182684 3.497202 0.073820
0.000640 0.920890 0.226709 3.694659 0.074819
0.000680 0.934353 0.280416 3.959035 0.075301
0.000720 0.964986 0.326133 4.236022 0.075167
0.000760 0.999835 0.351790 4.459066 0.074364
0.000800 1.017810 0.361651 4.571361 0.073064
0.000840 1.006581 0.364762 4.546822 0.071709
0.000880 0.969112 0.357078 4.395249 0.070759
0.000920 0.922122 0.328552 4.158126 0.070433
0.000960 0.885761 0.282352 3.897864 0.070662
0.001000 0.868118 0.236201 3.679961 0.071268
0.001040 0.863113 0.208280 3.555244 0.072080
0.001080 0.861659 0.208341 3.551259 0.072957
0.001120 0.862702 0.237417 3.670785 0.073774
0.001160 0.874833 0.287753 3.891432 0.074401
0.001200 0.906127 0.342301 4.166286 0.074691
0.001240 0.950889 0.382259 4.431217 0.074509
0.001280 0.989209 0.401471 4.622437 0.073832
0.001320 1.001506 0.408850 4.696142 0.072876
0.001360 0.980010 0.410703 4.637618 0.072009
0.001400 0.931045 0.399347 4.463876 0.071524
