 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   5.9999999999999998E-002  -2.5600000000000001E-002 
   -3.140000000000000     
 u=    4990.000000000000     
 v_perp=    13100.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
0.000040 0.556086 0.080982 3.377443 0.060028
0.000080 0.571921 0.156969 3.607211 0.060129
0.000120 0.597301 0.228779 3.827677 0.060300
0.000160 0.630693 0.294134 4.035685 0.060532
0.000200 0.670285 0.351358 4.230154 0.060813
0.000240 0.714022 0.399327 4.410539 0.061138
0.000280 0.759601 0.437615 4.576101 0.061502
0.000320 0.804897 0.466663 4.726591 0.061895
0.000360 0.848254 0.487509 4.862276 0.062301
0.000400 0.888483 0.501454 4.983586 0.062710
0.000440 0.924851 0.509880 5.091080 0.063116
0.000480 0.957014 0.514110 5.185428 0.063514
0.000520 0.984875 0.515326 5.267254 0.063902
0.000560 1.008457 0.514547 5.337041 0.064278
0.000600 1.027856 0.512638 5.395152 0.064644
0.000640 1.043212 0.510315 5.441876 0.065001
0.000680 1.054683 0.508148 5.477441 0.065350
0.000720 1.062420 0.506564 5.502019 0.065693
0.000760 1.066537 0.505849 5.515728 0.066034
0.000800 1.067101 0.506156 5.518644 0.066375
0.000840 1.064122 0.507504 5.510802 0.066718
0.000880 1.057551 0.509780 5.492205 0.067068
0.000920 1.047284 0.512739 5.462805 0.067425
0.000960 1.033177 0.516007 5.422501 0.067794
0.001000 1.015058 0.519074 5.371117 0.068176
0.001040 0.992758 0.521293 5.308413 0.068574
0.001080 0.966139 0.521873 5.234070 0.068988
0.001120 0.935113 0.519867 5.147665 0.069419
0.001160 0.899672 0.514159 5.048616 0.069867
0.001200 0.859970 0.503453 4.936212 0.070327
0.001240 0.816485 0.486318 4.809777 0.070794
0.001280 0.770167 0.461298 4.668770 0.071261
0.001320 0.722478 0.427046 4.512685 0.071711
0.001360 0.675412 0.382594 4.341207 0.072131
0.001400 0.631392 0.327807 4.154669 0.072512
0.001440 0.592767 0.263508 3.953561 0.072848
0.001480 0.561508 0.191158 3.738003 0.073129
0.001520 0.539381 0.112861 3.509137 0.073342
0.001560 0.527837 0.031062 3.270303 0.073470
