 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   4.0000000000000001E-002  -2.5600000000000001E-002 
   -3.140000000000000     
 u=   -1450.000000000000     
 v_perp=    31300.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
0.000040 0.595644 -0.019108 3.078304 0.039948
0.000080 0.596992 -0.039345 3.017954 0.039835
0.000120 0.598946 -0.057172 2.964989 0.039667
0.000160 0.601151 -0.071807 2.921863 0.039455
0.000200 0.603238 -0.082656 2.890485 0.039212
0.000240 0.604890 -0.089352 2.872115 0.038951
0.000280 0.605904 -0.091744 2.867222 0.038690
0.000320 0.606222 -0.089967 2.875455 0.038441
0.000360 0.605933 -0.084405 2.895638 0.038220
0.000400 0.605231 -0.075661 2.925851 0.038038
0.000440 0.604358 -0.064528 2.963573 0.037902
0.000480 0.603539 -0.051923 3.005866 0.037820
0.000520 0.602933 -0.038849 3.049576 0.037792
0.000560 0.602605 -0.026335 3.091489 0.037819
0.000600 0.602524 -0.015381 3.128502 0.037896
0.000640 0.602592 -0.006906 3.157782 0.038019
0.000680 0.602680 -0.001679 3.176913 0.038177
0.000720 0.602678 -0.000275 3.184044 0.038360
0.000760 0.602557 -0.003047 3.178055 0.038553
0.000800 0.602398 -0.010094 3.158657 0.038743
0.000840 0.602375 -0.021230 3.126386 0.038916
0.000880 0.602741 -0.036003 3.082606 0.039057
0.000920 0.603784 -0.053749 3.029421 0.039159
0.000960 0.605745 -0.073613 2.969469 0.039212
0.001000 0.608750 -0.094599 2.905761 0.039212
0.001040 0.612768 -0.115628 2.841578 0.039157
0.001080 0.617588 -0.135590 2.780352 0.039046
0.001120 0.622815 -0.153412 2.725452 0.038883
0.001160 0.627928 -0.168156 2.679917 0.038678
0.001200 0.632405 -0.179131 2.646214 0.038440
0.001240 0.635800 -0.185907 2.625984 0.038185
0.001280 0.637830 -0.188328 2.619949 0.037927
0.001320 0.638440 -0.186514 2.627896 0.037682
0.001360 0.637757 -0.180814 2.648637 0.037462
0.001400 0.636100 -0.171829 2.680153 0.037281
0.001440 0.633895 -0.160387 2.719688 0.037148
0.001480 0.631565 -0.147487 2.763896 0.037068
0.001520 0.629457 -0.134231 2.809152 0.037043
0.001560 0.627796 -0.121734 2.851861 0.037071
0.001600 0.626676 -0.111027 2.888716 0.037147
0.001640 0.626093 -0.103007 2.916873 0.037263
0.001680 0.626001 -0.098384 2.934073 0.037408
0.001720 0.626364 -0.097652 2.938733 0.037570
0.001760 0.627202 -0.101063 2.930018 0.037739
0.001800 0.628625 -0.108618 2.907879 0.037899
0.001840 0.630813 -0.120059 2.873067 0.038040
0.001880 0.633976 -0.134857 2.827120 0.038149
0.001920 0.638304 -0.152238 2.772353 0.038216
0.001960 0.643880 -0.171193 2.711818 0.038234
0.002000 0.650596 -0.190544 2.649168 0.038198
0.002040 0.658116 -0.209055 2.588363 0.038110
0.002080 0.665901 -0.225598 2.533213 0.037975
0.002120 0.673303 -0.239284 2.486941 0.037801
0.002160 0.679693 -0.249521 2.451949 0.037601
0.002200 0.684573 -0.255995 2.429789 0.037386
0.002240 0.687619 -0.258598 2.421214 0.037167
0.002280 0.688723 -0.257395 2.426240 0.036956
0.002320 0.688004 -0.252600 2.444177 0.036763
