 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   5.9999999999999998E-002   0.2740000000000000      
   -3.140000000000000     
 u=   -2460.000000000000     
 v_perp=    39800.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    5.6305794649E-01   -7.1822570347E-02   -3.2682053536E+00    6.0555901392E-02
    7.9980000000E-05    5.7017148691E-01   -1.2347666853E-01   -3.4194013769E+00    6.0885985731E-02
    1.1998000000E-04    5.8383004427E-01   -1.7832733727E-01   -3.5820872133E+00    6.0944815191E-02
    1.5998000000E-04    6.0367086860E-01   -2.3103399542E-01   -3.7416551313E+00    6.0706697654E-02
    1.9998000000E-04    6.2710696071E-01   -2.7641287610E-01   -3.8833994536E+00    6.0202807636E-02
    2.3998000000E-04    6.5052140278E-01   -3.1162209884E-01   -3.9980442366E+00    5.9511939649E-02
    2.7998000000E-04    6.7064547727E-01   -3.3600539568E-01   -4.0811148939E+00    5.8719870722E-02
    3.1998000000E-04    6.8498858092E-01   -3.4983692677E-01   -4.1301145571E+00    5.7894599832E-02
    3.5998000000E-04    6.9210025344E-01   -3.5367580238E-01   -4.1438057427E+00    5.7087195736E-02
    3.9998000000E-04    6.9169420976E-01   -3.4810223484E-01   -4.1225749261E+00    5.6339746676E-02
    4.3998000000E-04    6.8464338104E-01   -3.3367484443E-01   -4.0686596526E+00    5.5689845363E-02
    4.7998000000E-04    6.7280191474E-01   -3.1112922266E-01   -3.9862784392E+00    5.5174815398E-02
    5.1998000000E-04    6.5867273695E-01   -2.8178642083E-01   -3.8819233398E+00    5.4834840008E-02
    5.5998000000E-04    6.4495996819E-01   -2.4805811991E-01   -3.7649839573E+00    5.4707067494E-02
    5.9998000000E-04    6.3395132553E-01   -2.1375180409E-01   -3.6482265436E+00    5.4804905124E-02
    6.3998000000E-04    6.2677218431E-01   -1.8357719972E-01   -3.5463946387E+00    5.5105196785E-02
    6.7998000000E-04    6.2325254552E-01   -1.6193776228E-01   -3.4728384502E+00    5.5560458394E-02
    7.1998000000E-04    6.2259346980E-01   -1.5200733452E-01   -3.4371044571E+00    5.6114311383E-02
    7.5998000000E-04    6.2427240902E-01   -1.5545430412E-01   -3.4443507183E+00    5.6704864632E-02
    7.9998000000E-04    6.2868071854E-01   -1.7237960564E-01   -3.4951788072E+00    5.7268280770E-02
    8.3998000000E-04    6.3710816595E-01   -2.0120247690E-01   -3.5854359625E+00    5.7746677407E-02
    8.7998000000E-04    6.5115008124E-01   -2.3860287627E-01   -3.7061841577E+00    5.8090021457E-02
    9.1998000000E-04    6.7166151173E-01   -2.7990318326E-01   -3.8447853841E+00    5.8257978094E-02
    9.5998000000E-04    6.9785581200E-01   -3.2013389988E-01   -3.9874672486E+00    5.8237291662E-02
    9.9998000000E-04    7.2717599435E-01   -3.5517030059E-01   -4.1214699840E+00    5.8052473776E-02
    1.0399800000E-03    7.5603803001E-01   -3.8245103183E-01   -4.2361994021E+00    5.7746163522E-02
    1.0799800000E-03    7.8086948801E-01   -4.0109406072E-01   -4.3237983111E+00    5.7362862548E-02
    1.1199800000E-03    7.9874685993E-01   -4.1135565613E-01   -4.3787905532E+00    5.6943676884E-02
    1.1599800000E-03    8.0781904422E-01   -4.1389790280E-01   -4.3977851538E+00    5.6522628834E-02
    1.1999800000E-03    8.0749180670E-01   -4.0928025168E-01   -4.3798639071E+00    5.6125383454E-02
    1.2399800000E-03    7.9859436959E-01   -3.9773034213E-01   -4.3268414419E+00    5.5772053643E-02
    1.2799800000E-03    7.8321379609E-01   -3.7936102515E-01   -4.2432925388E+00    5.5481272612E-02
    1.3199800000E-03    7.6432288898E-01   -3.5472443000E-01   -4.1364870624E+00    5.5273615142E-02
    1.3599800000E-03    7.4525224992E-01   -3.2543697308E-01   -4.0164582586E+00    5.5170361088E-02
    1.3999800000E-03    7.2896136909E-01   -2.9450307499E-01   -3.8958277880E+00    5.5184903580E-02
    1.4399800000E-03    7.1725370656E-01   -2.6591542559E-01   -3.7883306453E+00    5.5312524223E-02
    1.4799800000E-03    7.1048141113E-01   -2.4367827446E-01   -3.7064134907E+00    5.5529661418E-02
    1.5199800000E-03    7.0806453716E-01   -2.3094028200E-01   -3.6594796291E+00    5.5803095211E-02
    1.5599800000E-03    7.0938000098E-01   -2.2953516458E-01   -3.6530799640E+00    5.6097195774E-02
    1.5999800000E-03    7.1444738318E-01   -2.3977795633E-01   -3.6885024379E+00    5.6375908351E-02
    1.6399800000E-03    7.2410026396E-01   -2.6040047260E-01   -3.7626660545E+00    5.6603732768E-02
    1.6799800000E-03    7.3949547734E-01   -2.8861757341E-01   -3.8683642854E+00    5.6748604464E-02
    1.7199800000E-03    7.6114920133E-01   -3.2038370219E-01   -3.9946405729E+00    5.6789590270E-02
    1.7599800000E-03    7.8798968609E-01   -3.5111581472E-01   -4.1277992403E+00    5.6727851152E-02
    1.7999800000E-03    8.1715317420E-01   -3.7693238842E-01   -4.2536457036E+00    5.6590464885E-02
    1.8399800000E-03    8.4474097636E-01   -3.9560515955E-01   -4.3595409207E+00    5.6417863527E-02
    1.8799800000E-03    8.6679265809E-01   -4.0663645619E-01   -4.4352188279E+00    5.6244107850E-02
    1.9199800000E-03    8.8016907813E-01   -4.1064304187E-01   -4.4732940369E+00    5.6087374316E-02
    1.9599800000E-03    8.8322109577E-01   -4.0841469757E-01   -4.4698978066E+00    5.5950859001E-02
    1.9999800000E-03    8.7611268233E-01   -4.0018370817E-01   -4.4251550647E+00    5.5827816834E-02
    2.0399800000E-03    8.6080652908E-01   -3.8560525598E-01   -4.3433160709E+00    5.5708707875E-02
    2.0799800000E-03    8.4068823141E-01   -3.6449572002E-01   -4.2325711720E+00    5.5588531695E-02
    2.1199800000E-03    8.1981567590E-01   -3.3784077841E-01   -4.1047055288E+00    5.5471575888E-02
    2.1599800000E-03    8.0185164620E-01   -3.0839582613E-01   -3.9744445312E+00    5.5368922973E-02
    2.1999800000E-03    7.8901322181E-01   -2.8032507084E-01   -3.8576536703E+00    5.5289203906E-02
    2.2399800000E-03    7.8167299938E-01   -2.5799219442E-01   -3.7684578603E+00    5.5232668060E-02
    2.2799800000E-03    7.7900712322E-01   -2.4479270739E-01   -3.7170961454E+00    5.5191411261E-02
    2.3199800000E-03    7.8014437803E-01   -2.4259558313E-01   -3.7091975023E+00    5.5151833855E-02
    2.3599800000E-03    7.8500485461E-01   -2.5158720184E-01   -3.7456001169E+00    5.5098604534E-02
    2.3999800000E-03    7.9441907770E-01   -2.7024213654E-01   -3.8222899862E+00    5.5019798753E-02
    2.4399800000E-03    8.0947243516E-01   -2.9539070989E-01   -3.9304507973E+00    5.4912541429E-02
    2.4799800000E-03    8.3033345417E-01   -3.2261326442E-01   -4.0568344046E+00    5.4787662289E-02
    2.5199800000E-03    8.5529858734E-01   -3.4729546164E-01   -4.1853026476E+00    5.4670015141E-02
    2.5599800000E-03    8.8085179175E-01   -3.6606373451E-01   -4.2996486832E+00    5.4589203937E-02
    2.5999800000E-03    9.0268539352E-01   -3.7760451329E-01   -4.3860810491E+00    5.4564305152E-02
    2.6399800000E-03    9.1701173184E-01   -3.8228968177E-01   -4.4344587117E+00    5.4595142117E-02
    2.6799800000E-03    9.2154887908E-01   -3.8101131185E-01   -4.4389207959E+00    5.4662347508E-02
    2.7199800000E-03    9.1602906379E-01   -3.7408171776E-01   -4.3983808702E+00    5.4733369226E-02
    2.7599800000E-03    9.0225977349E-01   -3.6099370258E-01   -4.3167421320E+00    5.4772775486E-02
    2.7999800000E-03    8.8374195232E-01   -3.4123669772E-01   -4.2027500949E+00    5.4753247084E-02
    2.8399800000E-03    8.6478416753E-01   -3.1558201313E-01   -4.0696115167E+00    5.4663287585E-02
    2.8799800000E-03    8.4914413567E-01   -2.8685781940E-01   -3.9339612431E+00    5.4508180865E-02
    2.9199800000E-03    8.3874823523E-01   -2.5944475529E-01   -3.8132518045E+00    5.4303285759E-02
    2.9599800000E-03    8.3342831336E-01   -2.3780669054E-01   -3.7223638793E+00    5.4065123837E-02
    2.9999800000E-03    8.3188645105E-01   -2.2524963572E-01   -3.6715872190E+00    5.3806691696E-02
    3.0399800000E-03    8.3302537837E-01   -2.2344641186E-01   -3.6661399751E+00    5.3538659532E-02
    3.0799800000E-03    8.3679308883E-01   -2.3238724228E-01   -3.7061505341E+00    5.3272035986E-02
    3.1199800000E-03    8.4420405133E-01   -2.5040033417E-01   -3.7866989822E+00    5.3020110945E-02
    3.1599800000E-03    8.5655550047E-01   -2.7421396454E-01   -3.8978789002E+00    5.2800790293E-02
    3.1999800000E-03    8.7416080821E-01   -2.9936755903E-01   -4.0251503188E+00    5.2637805478E-02
    3.2399800000E-03    8.9535184327E-01   -3.2134029514E-01   -4.1509664459E+00    5.2556807389E-02
    3.2799800000E-03    9.1655728683E-01   -3.3707745872E-01   -4.2579860958E+00    5.2575002104E-02
    3.3199800000E-03    9.3354513762E-01   -3.4569872059E-01   -4.3320208888E+00    5.2690852624E-02
    3.3599800000E-03    9.4290468573E-01   -3.4780830499E-01   -4.3634464162E+00    5.2879731000E-02
    3.3999800000E-03    9.4304895242E-01   -3.4411506441E-01   -4.3478118813E+00    5.3097263311E-02
    3.4399800000E-03    9.3462544495E-01   -3.3450354347E-01   -4.2862312362E+00    5.3290243267E-02
    3.4799800000E-03    9.2038125198E-01   -3.1830477057E-01   -4.1854684589E+00    5.3411726509E-02
    3.5199800000E-03    9.0437453462E-01   -2.9559509741E-01   -4.0576763013E+00    5.3433235390E-02
    3.5599800000E-03    8.9057678454E-01   -2.6838004388E-01   -3.9193572772E+00    5.3347464303E-02
    3.5999800000E-03    8.8131606508E-01   -2.4052638653E-01   -3.7886103292E+00    5.3162072431E-02
    3.6399800000E-03    8.7670230216E-01   -2.1639844300E-01   -3.6813869937E+00    5.2893013348E-02
    3.6799800000E-03    8.7534105119E-01   -1.9951103175E-01   -3.6092414542E+00    5.2562129402E-02
    3.7199800000E-03    8.7570109065E-01   -1.9196664949E-01   -3.5790171864E+00    5.2196554600E-02
    3.7599800000E-03    8.7708493031E-01   -1.9445749381E-01   -3.5930401982E+00    5.1827178173E-02
    3.7999800000E-03    8.8003578620E-01   -2.0632681010E-01   -3.6492152198E+00    5.1485999766E-02
    3.8399800000E-03    8.8590494650E-01   -2.2560072954E-01   -3.7411124542E+00    5.1204141365E-02
    3.8799800000E-03    8.9605586302E-01   -2.4901327863E-01   -3.8580472916E+00    5.1010174773E-02
    3.9199800000E-03    9.1070635173E-01   -2.7240336672E-01   -3.9852500901E+00    5.0927684402E-02
    3.9599800000E-03    9.2813626045E-01   -2.9176857720E-01   -4.1052254910E+00    5.0971994765E-02
    3.9999800000E-03    9.4486663213E-01   -3.0466040270E-01   -4.2008730988E+00    5.1144949268E-02
    4.0399800000E-03    9.5703152378E-01   -3.1062126758E-01   -4.2586319024E+00    5.1427586196E-02
    4.0799800000E-03    9.6188951045E-01   -3.1026594041E-01   -4.2702142864E+00    5.1776625706E-02
    4.1199800000E-03    9.5877916806E-01   -3.0393941248E-01   -4.2333722195E+00    5.2131198943E-02
    4.1599800000E-03    9.4931991403E-01   -2.9126009795E-01   -4.1522076316E+00    5.2428624778E-02
    4.1999800000E-03    9.3689676098E-01   -2.7194213433E-01   -4.0369537845E+00    5.2619923424E-02
    4.2399800000E-03    9.2532778441E-01   -2.4710792244E-01   -3.9027001716E+00    5.2675241668E-02
    4.2799800000E-03    9.1722800654E-01   -2.1966642306E-01   -3.7664712296E+00    5.2580752934E-02
    4.3199800000E-03    9.1318870727E-01   -1.9336538455E-01   -3.6436716799E+00    5.2338932101E-02
    4.3599800000E-03    9.1222303958E-01   -1.7159740956E-01   -3.5462306664E+00    5.1971066492E-02
    4.3999800000E-03    9.1273652923E-01   -1.5682229841E-01   -3.4825283389E+00    5.1512949357E-02
    4.4399800000E-03    9.1343228389E-01   -1.5043186236E-01   -3.4574941175E+00    5.1007388295E-02
    4.4799800000E-03    9.1390056240E-01   -1.5279224165E-01   -3.4725052757E+00    5.0500799173E-02
    4.5199800000E-03    9.1463870237E-01   -1.6334802344E-01   -3.5253231157E+00    5.0038909862E-02
    4.5599800000E-03    9.1695379625E-01   -1.8054334519E-01   -3.6102780587E+00    4.9663704725E-02
    4.5999800000E-03    9.2223843607E-01   -2.0189818112E-01   -3.7185740676E+00    4.9411752908E-02
    4.6399800000E-03    9.3121174331E-01   -2.2423475434E-01   -3.8386325555E+00    4.9310752622E-02
    4.6799800000E-03    9.4331674749E-01   -2.4415308274E-01   -3.9563924749E+00    4.9374232762E-02
    4.7199800000E-03    9.5643740889E-01   -2.5892277521E-01   -4.0565217195E+00    4.9598052925E-02
    4.7599800000E-03    9.6748257200E-01   -2.6725194320E-01   -4.1249861889E+00    4.9958692423E-02
    4.7999800000E-03    9.7365587160E-01   -2.6913294384E-01   -4.1516960624E+00    5.0411212234E-02
    4.8399800000E-03    9.7367977030E-01   -2.6485045430E-01   -4.1322164183E+00    5.0892153963E-02
    4.8799800000E-03    9.6823798395E-01   -2.5434116484E-01   -4.0684465604E+00    5.1330416279E-02
    4.9199800000E-03    9.5973971068E-01   -2.3742009435E-01   -3.9682829591E+00    5.1660972692E-02
    4.9599800000E-03    9.5119053946E-01   -2.1474887453E-01   -3.8440175437E+00    5.1835196459E-02
    4.9999800000E-03    9.4491950441E-01   -1.8825927954E-01   -3.7095973077E+00    5.1826829273E-02
    5.0399800000E-03    9.4188205828E-01   -1.6073004291E-01   -3.5781621190E+00    5.1635622970E-02
    5.0799800000E-03    9.4169313668E-01   -1.3512922304E-01   -3.4610805566E+00    5.1284118376E-02
    5.1199800000E-03    9.4315295210E-01   -1.1405774090E-01   -3.3677687435E+00    5.0809732186E-02
    5.1599800000E-03    9.4484649666E-01   -9.9433909818E-02   -3.3053146426E+00    5.0257241942E-02
    5.1999800000E-03    9.4569911662E-01   -9.2389143318E-02   -3.2780876098E+00    4.9671348210E-02
    5.2399800000E-03    9.4534295176E-01   -9.3295378193E-02   -3.2875639370E+00    4.9093609419E-02
    5.2799800000E-03    9.4419056199E-01   -1.0180978194E-01   -3.3322011556E+00    4.8563546278E-02
    5.3199800000E-03    9.4330132676E-01   -1.1684447035E-01   -3.4075036456E+00    4.8119778616E-02
    5.3599800000E-03    9.4399531932E-01   -1.3654016465E-01   -3.5061658650E+00    4.7798555697E-02
    5.3999800000E-03    9.4733021194E-01   -1.5839869263E-01   -3.6186562706E+00    4.7628830022E-02
    5.4399800000E-03    9.5362684237E-01   -1.7961084125E-01   -3.7339432654E+00    4.7629129146E-02
    5.4799800000E-03    9.6212686872E-01   -1.9758133436E-01   -3.8400725116E+00    4.7804726444E-02
    5.5199800000E-03    9.7106789764E-01   -2.1041777716E-01   -3.9249754924E+00    4.8143572606E-02
    5.5599800000E-03    9.7826518863E-01   -2.1715929438E-01   -3.9780178123E+00    4.8612751618E-02
    5.5999800000E-03    9.8191952278E-01   -2.1762207452E-01   -3.9918967615E+00    4.9160335265E-02
    5.6399800000E-03    9.8137861617E-01   -2.1185990906E-01   -3.9640742688E+00    4.9721418429E-02
