 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   7.0000000000000007E-002    2.270000000000000      
   -3.140000000000000     
 u=   -2570.000000000000     
 v_perp=    3310.000000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    9.5598339815E-01   -1.1265734208E-01   -3.2391086550E+00    6.9983240614E-02
    7.9980000000E-05    9.5029872506E-01   -1.3402312911E-01   -3.3391418034E+00    6.9968579873E-02
    1.1998000000E-04    9.4661909573E-01   -1.5554562986E-01   -3.4399328839E+00    6.9956234088E-02
    1.5998000000E-04    9.4508101135E-01   -1.7694685876E-01   -3.5413253495E+00    6.9946328706E-02
    1.9998000000E-04    9.4577823867E-01   -1.9793056608E-01   -3.6431249283E+00    6.9938937241E-02
    2.3998000000E-04    9.4876542486E-01   -2.1818432722E-01   -3.7451068649E+00    6.9934078928E-02
    2.7998000000E-04    9.5405979698E-01   -2.3738186936E-01   -3.8470246796E+00    6.9931716163E-02
    3.1998000000E-04    9.6163976851E-01   -2.5518610384E-01   -3.9486173773E+00    6.9931786140E-02
    3.5998000000E-04    9.7143964590E-01   -2.7125425077E-01   -4.0496146129E+00    6.9934262357E-02
    3.9998000000E-04    9.8334181823E-01   -2.8524622554E-01   -4.1497413312E+00    6.9939208989E-02
    4.3998000000E-04    9.9717005139E-01   -2.9683621711E-01   -4.2487237445E+00    6.9946792342E-02
    4.7998000000E-04    1.0126879687E+00   -3.0572603190E-01   -4.3462972501E+00    6.9957244420E-02
    5.1998000000E-04    1.0296050070E+00   -3.1165818515E-01   -4.4422147630E+00    6.9970806729E-02
    5.5998000000E-04    1.0475891619E+00   -3.1442720972E-01   -4.5362522947E+00    6.9987687171E-02
    5.9998000000E-04    1.0662835182E+00   -3.1388884153E-01   -4.6282093046E+00    7.0008032549E-02
    6.3998000000E-04    1.0853232616E+00   -3.0996765699E-01   -4.7179050391E+00    7.0031888106E-02
    6.7998000000E-04    1.1043513863E+00   -3.0266329626E-01   -4.8051761691E+00    7.0059129851E-02
    7.1998000000E-04    1.1230329609E+00   -2.9205355825E-01   -4.8898808996E+00    7.0089408496E-02
    7.5998000000E-04    1.1410680123E+00   -2.7829114228E-01   -4.9719090846E+00    7.0122166158E-02
    7.9998000000E-04    1.1582020050E+00   -2.6159203736E-01   -5.0511918824E+00    7.0156734445E-02
    8.3998000000E-04    1.1742321771E+00   -2.4221779962E-01   -5.1277045179E+00    7.0192449874E-02
