 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   5.9999999999999998E-002   7.4399999999999994E-002 
   -3.140000000000000     
 u=   -1900.000000000000     
 v_perp=    40300.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    5.5245404957E-01   -3.9794827241E-02   -3.2312798735E+00    6.0104466874E-02
    7.9980000000E-05    5.5577635561E-01   -7.3703723958E-02   -3.3269186871E+00    6.0059748443E-02
    1.1998000000E-04    5.6130552921E-01   -1.0705821924E-01   -3.4212849623E+00    5.9863864993E-02
    1.5998000000E-04    5.6853455348E-01   -1.3772202412E-01   -3.5081195313E+00    5.9524340202E-02
    1.9998000000E-04    5.7645921733E-01   -1.6352384618E-01   -3.5810460148E+00    5.9062686842E-02
    2.3998000000E-04    5.8382731191E-01   -1.8272048692E-01   -3.6345406331E+00    5.8516596059E-02
    2.7998000000E-04    5.8948487216E-01   -1.9428773989E-01   -3.6651401400E+00    5.7935429314E-02
    3.1998000000E-04    5.9274729335E-01   -1.9805215901E-01   -3.6718910536E+00    5.7371138721E-02
    3.5998000000E-04    5.9356754206E-01   -1.9462844738E-01   -3.6563204983E+00    5.6873759043E-02
    3.9998000000E-04    5.9243668450E-01   -1.8529919409E-01   -3.6223856064E+00    5.6485353545E-02
    4.3998000000E-04    5.9022200603E-01   -1.7198480095E-01   -3.5760367070E+00    5.6236363042E-02
    4.7998000000E-04    5.8783995056E-01   -1.5706904554E-01   -3.5246987750E+00    5.6141592685E-02
    5.1998000000E-04    5.8597670227E-01   -1.4309439359E-01   -3.4762940864E+00    5.6198475687E-02
    5.5998000000E-04    5.8499594071E-01   -1.3242360355E-01   -3.4381462121E+00    5.6388485792E-02
    5.9998000000E-04    5.8504099736E-01   -1.2699108361E-01   -3.4161922330E+00    5.6681479887E-02
    6.3998000000E-04    5.8618801652E-01   -1.2814356122E-01   -3.4146259372E+00    5.7039192595E-02
    6.7998000000E-04    5.8864215824E-01   -1.3657060129E-01   -3.4356638368E+00    5.7418113323E-02
    7.1998000000E-04    5.9279694308E-01   -1.5222417874E-01   -3.4794021455E+00    5.7772356295E-02
    7.5998000000E-04    5.9921319073E-01   -1.7423833033E-01   -3.5435106882E+00    5.8057651993E-02
    7.9998000000E-04    6.0836017421E-01   -2.0086412743E-01   -3.6231054191E+00    5.8236845813E-02
    8.3998000000E-04    6.2029782317E-01   -2.2960619749E-01   -3.7110270775E+00    5.8285872808E-02
    8.7998000000E-04    6.3441865003E-01   -2.5771094294E-01   -3.7991565154E+00    5.8199194780E-02
    9.1998000000E-04    6.4955101190E-01   -2.8284547123E-01   -3.8801937435E+00    5.7991350254E-02
    9.5998000000E-04    6.6425653189E-01   -3.0344933850E-01   -3.9486288144E+00    5.7691754992E-02
    9.9998000000E-04    6.7714140348E-01   -3.1867413333E-01   -4.0006426097E+00    5.7335114113E-02
    1.0399800000E-03    6.8708770241E-01   -3.2818661373E-01   -4.0337970245E+00    5.6954572678E-02
    1.0799800000E-03    6.9338520264E-01   -3.3201196992E-01   -4.0469847596E+00    5.6578713716E-02
    1.1199800000E-03    6.9588070115E-01   -3.3044689898E-01   -4.0404569589E+00    5.6232536801E-02
    1.1599800000E-03    6.9493985316E-01   -3.2402777012E-01   -4.0159156476E+00    5.5938144554E-02
    1.1999800000E-03    6.9138054786E-01   -3.1356799954E-01   -3.9765334040E+00    5.5714710283E-02
    1.2399800000E-03    6.8631056525E-01   -3.0022452110E-01   -3.9269058050E+00    5.5577227778E-02
    1.2799800000E-03    6.8093618252E-01   -2.8553198474E-01   -3.8728432785E+00    5.5534392996E-02
    1.3199800000E-03    6.7633400505E-01   -2.7133545082E-01   -3.8209476349E+00    5.5585728338E-02
    1.3599800000E-03    6.7330112837E-01   -2.5959207816E-01   -3.7779154309E+00    5.5720034706E-02
    1.3999800000E-03    6.7232607087E-01   -2.5207954587E-01   -3.7496777920E+00    5.5916854342E-02
    1.4399800000E-03    6.7367528925E-01   -2.5009946954E-01   -3.7405908467E+00    5.6149968977E-02
    1.4799800000E-03    6.7754458221E-01   -2.5425808549E-01   -3.7528544714E+00    5.6390819093E-02
    1.5199800000E-03    6.8415878151E-01   -2.6436400700E-01   -3.7862539577E+00    5.6610974950E-02
    1.5599800000E-03    6.9371864212E-01   -2.7945059416E-01   -3.8382394586E+00    5.6784404144E-02
    1.5999800000E-03    7.0623249386E-01   -2.9791548981E-01   -3.9042611551E+00    5.6890488669E-02
    1.6399800000E-03    7.2131297106E-01   -3.1776587039E-01   -3.9782973478E+00    5.6917571116E-02
    1.6799800000E-03    7.3803911831E-01   -3.3694855745E-01   -4.0535609398E+00    5.6865143092E-02
    1.7199800000E-03    7.5503819708E-01   -3.5369688805E-01   -4.1233225526E+00    5.6743003263E-02
    1.7599800000E-03    7.7072125497E-01   -3.6677056350E-01   -4.1816663250E+00    5.6568015015E-02
    1.7999800000E-03    7.8359644598E-01   -3.7549360309E-01   -4.2239464633E+00    5.6359912710E-02
    1.8399800000E-03    7.9252489754E-01   -3.7963478323E-01   -4.2470032863E+00    5.6137631132E-02
    1.8799800000E-03    7.9688587568E-01   -3.7924928540E-01   -4.2493193766E+00    5.5917081414E-02
    1.9199800000E-03    7.9671905374E-01   -3.7455512926E-01   -4.2311379366E+00    5.5710782670E-02
    1.9599800000E-03    7.9269658675E-01   -3.6593122456E-01   -4.1945556647E+00    5.5528601612E-02
    1.9999800000E-03    7.8598656413E-01   -3.5401485528E-01   -4.1435022223E+00    5.5378565042E-02
    2.0399800000E-03    7.7806057549E-01   -3.3982182271E-01   -4.0835513347E+00    5.5266826764E-02
    2.0799800000E-03    7.7041450642E-01   -3.2480719510E-01   -4.0215302655E+00    5.5196403743E-02
    2.1199800000E-03    7.6428652433E-01   -3.1076524502E-01   -3.9648253134E+00    5.5165411474E-02
    2.1599800000E-03    7.6049738088E-01   -2.9955096116E-01   -3.9204170229E+00    5.5166282080E-02
    2.1999800000E-03    7.5946985612E-01   -2.9272605333E-01   -3.8939036726E+00    5.5186670999E-02
    2.2399800000E-03    7.6138485375E-01   -2.9125905548E-01   -3.8887747905E+00    5.5211479931E-02
    2.2799800000E-03    7.6634318418E-01   -2.9534611948E-01   -3.9060082959E+00    5.5225225867E-02
    2.3199800000E-03    7.7440576575E-01   -3.0436054221E-01   -3.9439418757E+00    5.5214541443E-02
    2.3599800000E-03    7.8547060703E-01   -3.1693494510E-01   -3.9983966451E+00    5.5170792423E-02
    2.3999800000E-03    7.9905955358E-01   -3.3119424756E-01   -4.0631092097E+00    5.5092347368E-02
    2.4399800000E-03    8.1416484067E-01   -3.4512599335E-01   -4.1305163197E+00    5.4985310615E-02
    2.4799800000E-03    8.2928670577E-01   -3.5698249119E-01   -4.1927661998E+00    5.4861462240E-02
    2.5199800000E-03    8.4269174309E-01   -3.6554765141E-01   -4.2426872951E+00    5.4733705697E-02
    2.5599800000E-03    8.5277804833E-01   -3.7017875988E-01   -4.2745492383E+00    5.4611419585E-02
    2.5999800000E-03    8.5841563357E-01   -3.7066897291E-01   -4.2846184507E+00    5.4498089472E-02
    2.6399800000E-03    8.5920046435E-01   -3.6705153316E-01   -4.2715290238E+00    5.4391650094E-02
    2.6799800000E-03    8.5555482606E-01   -3.5949577196E-01   -4.2364653998E+00    5.4286611694E-02
    2.7199800000E-03    8.4863780109E-01   -3.4837881186E-01   -4.1831470776E+00    5.4176887868E-02
    2.7599800000E-03    8.4008211487E-01   -3.3447815129E-01   -4.1175896395E+00    5.4058232955E-02
    2.7999800000E-03    8.3161233069E-01   -3.1912286612E-01   -4.0475699067E+00    5.3929279399E-02
    2.8399800000E-03    8.2465382516E-01   -3.0413659311E-01   -3.9817063967E+00    5.3790860472E-02
    2.8799800000E-03    8.2008670146E-01   -2.9152758874E-01   -3.9282235998E+00    5.3644497946E-02
    2.9199800000E-03    8.1826170897E-01   -2.8305047714E-01   -3.8937239333E+00    5.3491287238E-02
    2.9599800000E-03    8.1922944507E-01   -2.7982749919E-01   -3.8823046366E+00    5.3331776110E-02
    2.9999800000E-03    8.2298303698E-01   -2.8213110445E-01   -3.8950998006E+00    5.3166861263E-02
    3.0399800000E-03    8.2953607202E-01   -2.8933057448E-01   -3.9301554290E+00    5.2999245280E-02
    3.0799800000E-03    8.3878515606E-01   -2.9999426841E-01   -3.9825941231E+00    5.2834660880E-02
    3.1199800000E-03    8.5025507498E-01   -3.1216098817E-01   -4.0451359368E+00    5.2682042697E-02
    3.1599800000E-03    8.6291608361E-01   -3.2376109931E-01   -4.1090481484E+00    5.2551826412E-02
    3.1999800000E-03    8.7523354481E-01   -3.3306426909E-01   -4.1654195988E+00    5.2452398469E-02
    3.2399800000E-03    8.8548019915E-01   -3.3895317813E-01   -4.2064328949E+00    5.2386298069E-02
    3.2799800000E-03    8.9218844075E-01   -3.4090637228E-01   -4.2263342864E+00    5.2348121244E-02
    3.3199800000E-03    8.9454126522E-01   -3.3878652495E-01   -4.2220415818E+00    5.2325065123E-02
    3.3599800000E-03    8.9258596045E-01   -3.3264649917E-01   -4.1934619084E+00    5.2299857196E-02
    3.3999800000E-03    8.8722571293E-01   -3.2272241764E-01   -4.1435635214E+00    5.2255070284E-02
    3.4399800000E-03    8.7998219178E-01   -3.0962108678E-01   -4.0781749579E+00    5.2177393541E-02
    3.4799800000E-03    8.7257305189E-01   -2.9453023105E-01   -4.0054050338E+00    5.2060323696E-02
    3.5199800000E-03    8.6641955442E-01   -2.7922454865E-01   -3.9345647608E+00    5.1904329786E-02
    3.5599800000E-03    8.6231509056E-01   -2.6576233219E-01   -3.8746959424E+00    5.1715128878E-02
    3.5999800000E-03    8.6048276817E-01   -2.5599835739E-01   -3.8331595326E+00    5.1501736144E-02
    3.6399800000E-03    8.6084371907E-01   -2.5118878771E-01   -3.8147080438E+00    5.1275056395E-02
    3.6799800000E-03    8.6329892218E-01   -2.5178001720E-01   -3.8210600173E+00    5.1047382768E-02
    3.7199800000E-03    8.6786598926E-01   -2.5735257105E-01   -3.8508054813E+00    5.0832110384E-02
    3.7599800000E-03    8.7461242610E-01   -2.6668081854E-01   -3.8995302600E+00    5.0643121427E-02
    3.7999800000E-03    8.8338485445E-01   -2.7793503334E-01   -3.9601934173E+00    5.0493870848E-02
    3.8399800000E-03    8.9350016886E-01   -2.8905878458E-01   -4.0239174775E+00    5.0395387755E-02
    3.8799800000E-03    9.0371242475E-01   -2.9821421652E-01   -4.0812390795E+00    5.0353349855E-02
    3.9199800000E-03    9.1246466430E-01   -3.0412398435E-01   -4.1235664741E+00    5.0365349168E-02
    3.9599800000E-03    9.1834078307E-01   -3.0613592267E-01   -4.1444348871E+00    5.0419594784E-02
    3.9999800000E-03    9.2051823114E-01   -3.0404121500E-01   -4.1403334187E+00    5.0496081771E-02
    4.0399800000E-03    9.1903118541E-01   -2.9787578725E-01   -4.1111215966E+00    5.0570347545E-02
    4.0799800000E-03    9.1475344198E-01   -2.8791284186E-01   -4.0600869202E+00    5.0618654817E-02
    4.1199800000E-03    9.0910364096E-01   -2.7484367100E-01   -3.9935910300E+00    5.0622548605E-02
    4.1599800000E-03    9.0357364572E-01   -2.5993212082E-01   -3.9201796306E+00    5.0571252338E-02
    4.1999800000E-03    8.9926698921E-01   -2.4492617301E-01   -3.8491744870E+00    5.0462040104E-02
    4.2399800000E-03    8.9666139508E-01   -2.3171816640E-01   -3.7891262051E+00    5.0299714756E-02
    4.2799800000E-03    8.9570753292E-01   -2.2193742200E-01   -3.7466593097E+00    5.0095734924E-02
    4.3199800000E-03    8.9617057066E-01   -2.1665281740E-01   -3.7259200365E+00    4.9866973551E-02
    4.3599800000E-03    8.9788920452E-01   -2.1626129507E-01   -3.7284253581E+00    4.9633929302E-02
    4.3999800000E-03    9.0088307738E-01   -2.2047927744E-01   -3.7530944145E+00    4.9418527861E-02
    4.4399800000E-03    9.0534901452E-01   -2.2836785377E-01   -3.7963845088E+00    4.9241905645E-02
    4.4799800000E-03    9.1140087433E-01   -2.3846129056E-01   -3.8524935252E+00    4.9122255421E-02
    4.5199800000E-03    9.1877779881E-01   -2.4900150074E-01   -3.9137830117E+00    4.9072431610E-02
    4.5599800000E-03    9.2673196551E-01   -2.5824749895E-01   -3.9715836983E+00    4.9097658623E-02
    4.5999800000E-03    9.3410944036E-01   -2.6480757078E-01   -4.0173788284E+00    4.9193884371E-02
    4.6399800000E-03    9.3967429383E-01   -2.6781829398E-01   -4.0441282331E+00    4.9347035370E-02
    4.6799800000E-03    9.4253870220E-01   -2.6689579727E-01   -4.0473780254E+00    4.9533800029E-02
    4.7199800000E-03    9.4248249160E-01   -2.6198205422E-01   -4.0259242847E+00    4.9724520056E-02
    4.7599800000E-03    9.4003523914E-01   -2.5326537838E-01   -3.9819502508E+00    4.9887898236E-02
    4.7999800000E-03    9.3624941929E-01   -2.4127201345E-01   -3.9206232746E+00    4.9995944828E-02
    4.8399800000E-03    9.3229978227E-01   -2.2696842300E-01   -3.8491538066E+00    5.0027752575E-02
    4.8799800000E-03    9.2908520899E-01   -2.1171242259E-01   -3.7754970777E+00    4.9972138583E-02
    4.9199800000E-03    9.2702205794E-01   -1.9703629543E-01   -3.7071366518E+00    4.9829063934E-02
    4.9599800000E-03    9.2608723608E-01   -1.8438209451E-01   -3.6503082400E+00    4.9609154654E-02
    4.9999800000E-03    9.2603812150E-01   -1.7488903548E-01   -3.6096621857E+00    4.9331433254E-02
    5.0399800000E-03    9.2656676539E-01   -1.6931450574E-01   -3.5881017835E+00    4.9020141862E-02
    5.0799800000E-03    9.2753040358E-01   -1.6793361076E-01   -3.5866677697E+00    4.8701770726E-02
