 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   5.9999999999999998E-002   -1.230000000000000      
   -3.140000000000000     
 u=    4800.000000000000     
 v_perp=    7380.000000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    7.3238339988E-01    1.5020974802E-01   -2.9313511251E+00    5.9972072039E-02
    7.9980000000E-05    7.3780810683E-01    2.0957499670E-01   -2.7187538999E+00    5.9952264975E-02
    1.1998000000E-04    7.5468227125E-01    2.6695192009E-01   -2.5051254917E+00    5.9941687610E-02
    1.5998000000E-04    7.8234554147E-01    3.1979750912E-01   -2.2932508073E+00    5.9939527493E-02
    1.9998000000E-04    8.1927182025E-01    3.6573763734E-01   -2.0857032193E+00    5.9944028304E-02
    2.3998000000E-04    8.6341889129E-01    4.0273691011E-01   -1.8845268146E+00    5.9951831023E-02
    2.7998000000E-04    9.1255016178E-01    4.2920856654E-01   -1.6911062380E+00    5.9958996898E-02
    3.1998000000E-04    9.6433779008E-01    4.4403210764E-01   -1.5063221634E+00    5.9962075667E-02
    3.5998000000E-04    1.0163265653E+00    4.4662299517E-01   -1.3307237866E+00    5.9956725098E-02
    3.9998000000E-04    1.0660090967E+00    4.3714990594E-01   -1.1647090234E+00    5.9937739735E-02
    4.3998000000E-04    1.1112105817E+00    4.1668707784E-01   -1.0086097766E+00    5.9902359784E-02
    4.7998000000E-04    1.1505280712E+00    3.8697578321E-01   -8.6255226880E-01    5.9851825553E-02
    5.1998000000E-04    1.1833894978E+00    3.4994348172E-01   -7.2638306194E-01    5.9788489411E-02
    5.5998000000E-04    1.2098152754E+00    3.0740068924E-01   -5.9983278476E-01    5.9714463892E-02
    5.9998000000E-04    1.2302065393E+00    2.6099025465E-01   -4.8261608586E-01    5.9632661030E-02
    6.3998000000E-04    1.2452257521E+00    2.1221783287E-01   -3.7437510337E-01    5.9546939647E-02
    6.7998000000E-04    1.2556976556E+00    1.6242945983E-01   -2.7455981019E-01    5.9462865504E-02
    7.1998000000E-04    1.2624916645E+00    1.1268224985E-01   -1.8220595480E-01    5.9388978067E-02
    7.5998000000E-04    1.2663847123E+00    6.3549609810E-02   -9.5693682397E-02    5.9335467179E-02
    7.9998000000E-04    1.2679337343E+00    1.5019856957E-02   -1.2711881009E-02    5.9310773310E-02
    8.3998000000E-04    1.2673926550E+00   -3.3368782568E-02    6.9518657248E-02    5.9319046114E-02
    8.7998000000E-04    1.2646803116E+00   -8.2184467437E-02    1.5388474620E-01    5.9359248410E-02
    9.1998000000E-04    1.2593902628E+00   -1.3170665166E-01    2.4299501249E-01    5.9425310734E-02
    9.5998000000E-04    1.2508468690E+00   -1.8166255474E-01    3.3886158331E-01    5.9507662601E-02
    9.9998000000E-04    1.2382139246E+00   -2.3121031797E-01    4.4278560270E-01    5.9596492814E-02
    1.0399800000E-03    1.2206335006E+00   -2.7911035539E-01    5.5551195068E-01    5.9684608452E-02
    1.0799800000E-03    1.1973569849E+00   -3.2390586081E-01    6.7748918805E-01    5.9767311558E-02
    1.1199800000E-03    1.1678530112E+00   -3.6400151118E-01    8.0903946498E-01    5.9841033668E-02
    1.1599800000E-03    1.1319112454E+00   -3.9764898233E-01    9.5044861844E-01    5.9903168446E-02
    1.1999800000E-03    1.0898034736E+00   -4.2293817416E-01    1.1019508372E+00    5.9951382902E-02
    1.2399800000E-03    1.0425320611E+00   -4.3797255326E-01    1.2635485677E+00    5.9983284246E-02
    1.2799800000E-03    9.9195262324E-01   -4.4131132573E-01    1.4349462006E+00    5.9999264032E-02
    1.3199800000E-03    9.4049145277E-01   -4.3237847693E-01    1.6157152571E+00    6.0003468122E-02
    1.3599800000E-03    8.9067672802E-01   -4.1147083068E-01    1.8053355861E+00    6.0000623480E-02
    1.3999800000E-03    8.4491530132E-01   -3.7951596763E-01    2.0030352376E+00    5.9994308163E-02
