 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   5.0000000000000003E-002   7.4399999999999994E-002 
   -3.140000000000000     
 u=    4070.000000000000     
 v_perp=    16000.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    5.7593576417E-01    5.4834219229E-02   -2.9515365071E+00    5.0060891124E-02
    7.9980000000E-05    5.8578180435E-01    1.1410839081E-01   -2.7685687284E+00    5.0195987004E-02
    1.1998000000E-04    6.0106823523E-01    1.6969050955E-01   -2.5951991747E+00    5.0401826177E-02
    1.5998000000E-04    6.2046468420E-01    2.2017565929E-01   -2.4347118024E+00    5.0665795019E-02
    1.9998000000E-04    6.4248725054E-01    2.6469510947E-01   -2.2889667553E+00    5.0976404052E-02
    2.3998000000E-04    6.6575543037E-01    3.0297038972E-01   -2.1584823836E+00    5.1327165165E-02
    2.7998000000E-04    6.8901944729E-01    3.3509164668E-01   -2.0433547095E+00    5.1713730664E-02
    3.1998000000E-04    7.1108866559E-01    3.6129333468E-01   -1.9439188120E+00    5.2131488271E-02
    3.5998000000E-04    7.3084067239E-01    3.8194540128E-01   -1.8607494476E+00    5.2575353143E-02
    3.9998000000E-04    7.4732655564E-01    3.9753479629E-01   -1.7943493114E+00    5.3040117002E-02
    4.3998000000E-04    7.5983922139E-01    4.0860429017E-01   -1.7449952976E+00    5.3520891816E-02
    4.7998000000E-04    7.6790875419E-01    4.1564609887E-01   -1.7127770955E+00    5.4013418126E-02
    5.1998000000E-04    7.7125999919E-01    4.1900882606E-01   -1.6976932988E+00    5.4514109298E-02
    5.5998000000E-04    7.6976851194E-01    4.1884513427E-01   -1.6997357905E+00    5.5019987086E-02
    5.9998000000E-04    7.6343937417E-01    4.1508618157E-01   -1.7189285219E+00    5.5528123783E-02
    6.3998000000E-04    7.5241366468E-01    4.0744676529E-01   -1.7553243898E+00    5.6035265853E-02
    6.7998000000E-04    7.3700143300E-01    3.9545140108E-01   -1.8089625465E+00    5.6537472299E-02
    7.1998000000E-04    7.1773521015E-01    3.7849961081E-01   -1.8797770831E+00    5.7029898248E-02
    7.5998000000E-04    6.9541452399E-01    3.5596608670E-01   -1.9674986502E+00    5.7507060954E-02
    7.9998000000E-04    6.7108947118E-01    3.2732384499E-01   -2.0716704083E+00    5.7962987995E-02
    8.3998000000E-04    6.4597093845E-01    2.9218409243E-01   -2.1918708089E+00    5.8391663706E-02
    8.7998000000E-04    6.2132785212E-01    2.5029710140E-01   -2.3280322214E+00    5.8787509989E-02
    9.1998000000E-04    5.9851050131E-01    2.0161827277E-01   -2.4802889760E+00    5.9144971086E-02
    9.5998000000E-04    5.7902852096E-01    1.4657669355E-01   -2.6481547512E+00    5.9454442581E-02
    9.9998000000E-04    5.6448187847E-01    8.6233374531E-02   -2.8297482570E+00    5.9698288019E-02
    1.0399800000E-03    5.5631493956E-01    2.2098139966E-02   -3.0217903751E+00    5.9860565786E-02
    1.0799800000E-03    5.5559590047E-01   -4.4160270105E-02   -3.2200896383E+00    5.9942210800E-02
    1.1199800000E-03    5.6295070796E-01   -1.1088728610E-01   -3.4202460609E+00    5.9951004551E-02
    1.1599800000E-03    5.7849686401E-01   -1.7626061261E-01   -3.6178476032E+00    5.9885432897E-02
    1.1999800000E-03    6.0162814103E-01   -2.3811718862E-01   -3.8083234036E+00    5.9744147262E-02
    1.2399800000E-03    6.3102429693E-01   -2.9444733947E-01   -3.9881134225E+00    5.9536323205E-02
    1.2799800000E-03    6.6504099631E-01   -3.4393704770E-01   -4.1556102969E+00    5.9276109815E-02
    1.3199800000E-03    7.0188392941E-01   -3.8585357910E-01   -4.3100170864E+00    5.8975131244E-02
