 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   4.9999999999999998E-008
 steps=      1000000
 x0=   7.0000000000000007E-002   0.6740000000000000      
   -3.140000000000000     
 u=   -224.0000000000000     
 v_perp=    6650.000000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    9.9950000000E-05    5.9858015670E-01   -7.7761793161E-02   -3.1728090651E+00    7.0096624102E-02
    1.9995000000E-04    5.9867847697E-01   -9.2937287049E-02   -3.2196632450E+00    7.0187629508E-02
    2.9995000000E-04    5.9949951413E-01   -1.1228930358E-01   -3.2795922014E+00    7.0271199504E-02
    3.9995000000E-04    6.0153348435E-01   -1.3540267274E-01   -3.3514267858E+00    7.0346076816E-02
    4.9995000000E-04    6.0530834828E-01   -1.6177846066E-01   -3.4338171866E+00    7.0411580177E-02
    5.9995000000E-04    6.1134247965E-01   -1.9081853779E-01   -3.5252079694E+00    7.0467368268E-02
    6.9995000000E-04    6.2008180855E-01   -2.2180167530E-01   -3.6237856204E+00    7.0512956277E-02
    7.9995000000E-04    6.3182480375E-01   -2.5388567490E-01   -3.7274953565E+00    7.0547401989E-02
    8.9995000000E-04    6.4665698270E-01   -2.8615821861E-01   -3.8341784216E+00    7.0569618304E-02
    9.9995000000E-04    6.6441701178E-01   -3.1771167678E-01   -3.9417331360E+00    7.0579128574E-02
    1.0999500000E-03    6.8470114891E-01   -3.4770752090E-01   -4.0481894951E+00    7.0576448188E-02
    1.1999500000E-03    7.0691220778E-01   -3.7543661595E-01   -4.1517524335E+00    7.0562729746E-02
    1.2999500000E-03    7.3034992735E-01   -4.0037935922E-01   -4.2508900705E+00    7.0539257677E-02
    1.3999500000E-03    7.5429820870E-01   -4.2222945107E-01   -4.3443780741E+00    7.0507321052E-02
    1.4999500000E-03    7.7806086230E-01   -4.4086569757E-01   -4.4312082871E+00    7.0468270418E-02
    1.5999500000E-03    8.0095520931E-01   -4.5630843026E-01   -4.5104411625E+00    7.0423451879E-02
    1.6999500000E-03    8.2230918535E-01   -4.6869406453E-01   -4.5811341040E+00    7.0374070136E-02
    1.7999500000E-03    8.4148505515E-01   -4.7826213296E-01   -4.6423731041E+00    7.0321139723E-02
    1.8999500000E-03    8.5791723543E-01   -4.8533292217E-01   -4.6933448875E+00    7.0265531132E-02
    1.9999500000E-03    8.7114265801E-01   -4.9026682011E-01   -4.7333883398E+00    7.0208023125E-02
    2.0999500000E-03    8.8081344572E-01   -4.9341289048E-01   -4.7620092740E+00    7.0149313935E-02
    2.1999500000E-03    8.8669482835E-01   -4.9505913104E-01   -4.7788726587E+00    7.0090009873E-02
    2.2999500000E-03    8.8865667835E-01   -4.9539339644E-01   -4.7837896697E+00    7.0030627357E-02
    2.3999500000E-03    8.8666581425E-01   -4.9447945383E-01   -4.7767088830E+00    6.9971624207E-02
    2.4999500000E-03    8.8078315450E-01   -4.9224985088E-01   -4.7577141524E+00    6.9913451378E-02
    2.5999500000E-03    8.7116682540E-01   -4.8851593032E-01   -4.7270291695E+00    6.9856603316E-02
    2.6999500000E-03    8.5807949403E-01   -4.8299440987E-01   -4.6850279156E+00    6.9801645870E-02
    2.7999500000E-03    8.4189540041E-01   -4.7534843701E-01   -4.6322476266E+00    6.9749215130E-02
    2.8999500000E-03    8.2309997454E-01   -4.6523810664E-01   -4.5693945336E+00    6.9700005814E-02
    2.9999500000E-03    8.0227457902E-01   -4.5237118429E-01   -4.4973262713E+00    6.9654786589E-02
    3.0999500000E-03    7.8006486889E-01   -4.3654229884E-01   -4.4170008367E+00    6.9614459454E-02
    3.1999500000E-03    7.5714401092E-01   -4.1765464103E-01   -4.3294123697E+00    6.9580114767E-02
    3.2999500000E-03    7.3419077868E-01   -3.9573375869E-01   -4.2355731711E+00    6.9552995959E-02
    3.3999500000E-03    7.1189057470E-01   -3.7095294340E-01   -4.1365934344E+00    6.9534373117E-02
    3.4999500000E-03    6.9093449619E-01   -3.4367185937E-01   -4.0338204293E+00    6.9525448989E-02
    3.5999500000E-03    6.7197691779E-01   -3.1445519621E-01   -3.9289102366E+00    6.9527327961E-02
    3.6999500000E-03    6.5555034067E-01   -2.8403965463E-01   -3.8237640294E+00    6.9540827145E-02
    3.7999500000E-03    6.4198519170E-01   -2.5326637969E-01   -3.7204150609E+00    6.9566062744E-02
    3.8999500000E-03    6.3137367281E-01   -2.2301651659E-01   -3.6209574318E+00    6.9602276560E-02
    3.9999500000E-03    6.2357772866E-01   -1.9415559895E-01   -3.5274792901E+00    6.9648276824E-02
    4.0999500000E-03    6.1826983339E-01   -1.6748130046E-01   -3.4419582948E+00    6.9703092346E-02
    4.1999500000E-03    6.1499641213E-01   -1.4368885319E-01   -3.3661721250E+00    6.9766184745E-02
    4.2999500000E-03    6.1324781831E-01   -1.2336399060E-01   -3.3016713532E+00    6.9837135398E-02
    4.3999500000E-03    6.1252054818E-01   -1.0699005593E-01   -3.2497850499E+00    6.9915220475E-02
    4.4999500000E-03    6.1236758895E-01   -9.4952052449E-02   -3.2116116596E+00    6.9999215641E-02
    4.5999500000E-03    6.1243817026E-01   -8.7533763008E-02   -3.1879864465E+00    7.0087455722E-02
    4.6999500000E-03    6.1250738843E-01   -8.4912874201E-02   -3.1794443227E+00    7.0178001703E-02
    4.7999500000E-03    6.1249476465E-01   -8.7157818668E-02   -3.1861941871E+00    7.0268792255E-02
    4.8999500000E-03    6.1247114115E-01   -9.4226422047E-02   -3.2081090695E+00    7.0357752018E-02
    4.9999500000E-03    6.1265400469E-01   -1.0596572594E-01   -3.2447315197E+00    7.0442898024E-02
    5.0999500000E-03    6.1339130192E-01   -1.2211356199E-01   -3.2952943992E+00    7.0522489512E-02
    5.1999500000E-03    6.1513396816E-01   -1.4230210936E-01   -3.3587541377E+00    7.0595208830E-02
    5.2999500000E-03    6.1839759656E-01   -1.6606033231E-01   -3.4338231998E+00    7.0660259419E-02
    5.3999500000E-03    6.2371335528E-01   -1.9281061443E-01   -3.5189844164E+00    7.0717214623E-02
    5.4999500000E-03    6.3156729119E-01   -2.2186227965E-01   -3.6124927062E+00    7.0765597789E-02
    5.5999500000E-03    6.4233053095E-01   -2.5241729241E-01   -3.7124050937E+00    7.0804508907E-02
    5.6999500000E-03    6.5619112553E-01   -2.8360083140E-01   -3.8166641917E+00    7.0832756416E-02
    5.7999500000E-03    6.7310240694E-01   -3.1450852362E-01   -3.9231885859E+00    7.0849491808E-02
    5.8999500000E-03    6.9276260971E-01   -3.4425982317E-01   -4.0299257746E+00    7.0854705482E-02
    5.9999500000E-03    7.1464559110E-01   -3.7206738839E-01   -4.1349252475E+00    7.0849126373E-02
    6.0999500000E-03    7.3808613185E-01   -3.9731534003E-01   -4.2364715233E+00    7.0833865441E-02
    6.1999500000E-03    7.6237301529E-01   -4.1960024554E-01   -4.3331626518E+00    7.0810248843E-02
    6.2999500000E-03    7.8679343951E-01   -4.3871431416E-01   -4.4238322217E+00    7.0779741750E-02
    6.3999500000E-03    8.1063237571E-01   -4.5460842836E-01   -4.5073993255E+00    7.0743767148E-02
    6.4999500000E-03    8.3317364454E-01   -4.6737196386E-01   -4.5827926588E+00    7.0703528216E-02
    6.5999500000E-03    8.5372836797E-01   -4.7722401757E-01   -4.6489824630E+00    7.0659988133E-02
