 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   4.9999999999999998E-008
 steps=      1000000
 x0=   7.0000000000000007E-002   7.4399999999999994E-002 
   -3.140000000000000     
 u=   -1650.000000000000     
 v_perp=    9570.000000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    9.9950000000E-05    5.3580557520E-01   -7.4690393427E-02   -3.3358022961E+00    7.0000216212E-02
    1.9995000000E-04    5.4736841249E-01   -1.4017447009E-01   -3.5282137299E+00    6.9935143301E-02
    2.9995000000E-04    5.6563090095E-01   -2.0164742618E-01   -3.7098500359E+00    6.9802582592E-02
    3.9995000000E-04    5.8858558405E-01   -2.5631243078E-01   -3.8740918626E+00    6.9609922290E-02
    4.9995000000E-04    6.1376134298E-01   -3.0253656267E-01   -4.0172858753E+00    6.9370372009E-02
    5.9995000000E-04    6.3889886381E-01   -3.4001524287E-01   -4.1384966602E+00    6.9096038064E-02
    6.9995000000E-04    6.6200157068E-01   -3.6903332447E-01   -4.2372632497E+00    6.8796302063E-02
    7.9995000000E-04    6.8126567955E-01   -3.9003992604E-01   -4.3126296080E+00    6.8478260871E-02
    8.9995000000E-04    6.9521507381E-01   -4.0357386508E-01   -4.3635311760E+00    6.8147945037E-02
    9.9995000000E-04    7.0284399611E-01   -4.1015673122E-01   -4.3892162776E+00    6.7811319583E-02
    1.0999500000E-03    7.0366057336E-01   -4.1013488770E-01   -4.3893470538E+00    6.7474450584E-02
    1.1999500000E-03    6.9767629716E-01   -4.0357161649E-01   -4.3639887760E+00    6.7143371863E-02
    1.2999500000E-03    6.8540233609E-01   -3.9025188328E-01   -4.3136055338E+00    6.6823965499E-02
    1.3999500000E-03    6.6784157984E-01   -3.6978251771E-01   -4.2390867833E+00    6.6521778748E-02
    1.4999500000E-03    6.4643713538E-01   -3.4174864775E-01   -4.1416577454E+00    6.6242185338E-02
    1.5999500000E-03    6.2292814588E-01   -3.0581977081E-01   -4.0225089031E+00    6.5991365680E-02
    1.6999500000E-03    5.9921845049E-01   -2.6183062572E-01   -3.8824637844E+00    6.5777661102E-02
    1.7999500000E-03    5.7741999282E-01   -2.1014880458E-01   -3.7228637156E+00    6.5611868099E-02
    1.8999500000E-03    5.5980938183E-01   -1.5236190891E-01   -3.5476982583E+00    6.5505081654E-02
    1.9999500000E-03    5.4821505771E-01   -9.1215088156E-02   -3.3639218975E+00    6.5462551713E-02
    2.0999500000E-03    5.4339231422E-01   -2.9530643794E-02   -3.1790013218E+00    6.5481424779E-02
    2.1999500000E-03    5.4505386121E-01    3.0278919049E-02   -2.9998097081E+00    6.5560695182E-02
    2.2999500000E-03    5.5208357465E-01    8.5858475358E-02   -2.8333148502E+00    6.5704887906E-02
    2.3999500000E-03    5.6269069238E-01    1.3491707366E-01   -2.6861118061E+00    6.5912147368E-02
    2.4999500000E-03    5.7471327673E-01    1.7563062537E-01   -2.5632778677E+00    6.6170002146E-02
    2.5999500000E-03    5.8601049722E-01    2.0692618755E-01   -2.4679521343E+00    6.6463887595E-02
    2.6999500000E-03    5.9480616804E-01    2.2844232755E-01   -2.4015902904E+00    6.6782415719E-02
    2.7999500000E-03    5.9985741166E-01    2.4023880288E-01   -2.3646344527E+00    6.7116774110E-02
    2.8999500000E-03    6.0048638992E-01    2.4244258930E-01   -2.3571633802E+00    6.7459174875E-02
    2.9999500000E-03    5.9656241422E-01    2.3504514173E-01   -2.3792456188E+00    6.7802034431E-02
    3.0999500000E-03    5.8850732670E-01    2.1785209593E-01   -2.4309996404E+00    6.8137630418E-02
    3.1999500000E-03    5.7730533305E-01    1.9062245612E-01   -2.5124433019E+00    6.8457562732E-02
