 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   4.9999999999999998E-008
 steps=      1000000
 x0=   7.0000000000000007E-002  -0.2260000000000000      
   -3.140000000000000     
 u=   -262.0000000000000     
 v_perp=    8510.000000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    9.9950000000E-05    5.3878384227E-01    1.6783886007E-02   -3.1666478432E+00    6.9924268536E-02
    1.9995000000E-04    5.3887792562E-01    1.0399647464E-02   -3.1848251331E+00    6.9843635718E-02
    2.9995000000E-04    5.3895710392E-01    7.0037032318E-03   -3.1941304143E+00    6.9760299875E-02
    3.9995000000E-04    5.3896696182E-01    6.6508831887E-03   -3.1944044730E+00    6.9676575891E-02
    4.9995000000E-04    5.3890191945E-01    9.3157657045E-03   -3.1857235820E+00    6.9594814111E-02
    5.9995000000E-04    5.3880416514E-01    1.4894216571E-02   -3.1683951400E+00    6.9517278559E-02
    6.9995000000E-04    5.3875712554E-01    2.3209372981E-02   -3.1429415546E+00    6.9446037858E-02
    7.9995000000E-04    5.3887417228E-01    3.4021369738E-02   -3.1100723655E+00    6.9382889512E-02
    8.9995000000E-04    5.3928453218E-01    4.7039975304E-02   -3.0706477784E+00    6.9329337489E-02
    9.9995000000E-04    5.4011828087E-01    6.1937509518E-02   -3.0256407039E+00    6.9286630679E-02
    1.0999500000E-03    5.4149146240E-01    7.8357701208E-02   -2.9761080637E+00    6.9255847420E-02
    1.1999500000E-03    5.4349201326E-01    9.5917397054E-02   -2.9231830620E+00    6.9237981609E-02
    1.2999500000E-03    5.4616566279E-01    1.1420049671E-01   -2.8680909448E+00    6.9233971104E-02
    1.3999500000E-03    5.4950127883E-01    1.3274866013E-01   -2.8121758220E+00    6.9244628233E-02
    1.4999500000E-03    5.5341743300E-01    1.5105804104E-01   -2.7569125754E+00    6.9270481119E-02
    1.5999500000E-03    5.5775508787E-01    1.6859142577E-01   -2.7038771408E+00    6.9311589152E-02
    1.6999500000E-03    5.6228239579E-01    1.8480841091E-01   -2.6546667565E+00    6.9367418210E-02
    1.7999500000E-03    5.6671434989E-01    1.9920569679E-01   -2.6107902961E+00    6.9436829891E-02
    1.8999500000E-03    5.7074383670E-01    2.1135295349E-01   -2.5735666836E+00    6.9518176016E-02
    1.9999500000E-03    5.7407582691E-01    2.2091211069E-01   -2.5440620182E+00    6.9609444639E-02
    2.0999500000E-03    5.7645729449E-01    2.2763802517E-01   -2.5230736541E+00    6.9708401247E-02
    2.1999500000E-03    5.7769906498E-01    2.3136669517E-01   -2.5111477067E+00    6.9812691636E-02
    2.2999500000E-03    5.7768952778E-01    2.3200008917E-01   -2.5086083361E+00    6.9919900330E-02
    2.3999500000E-03    5.7640175073E-01    2.2949480297E-01   -2.5155805352E+00    7.0027574989E-02
    2.4999500000E-03    5.7389577147E-01    2.2385913545E-01   -2.5319961550E+00    7.0133234593E-02
    2.5999500000E-03    5.7031670694E-01    2.1516019120E-01   -2.5575805665E+00    7.0234380355E-02
    2.6999500000E-03    5.6588782161E-01    2.0353970217E-01   -2.5918244198E+00    7.0328528154E-02
    2.7999500000E-03    5.6089549783E-01    1.8923188738E-01   -2.6339527838E+00    7.0413281651E-02
    2.8999500000E-03    5.5566375952E-01    1.7257323841E-01   -2.6829134177E+00    7.0486459743E-02
    2.9999500000E-03    5.5051985299E-01    1.5399474808E-01   -2.7374083935E+00    7.0546270339E-02
    3.0999500000E-03    5.4575748210E-01    1.3399360739E-01   -2.7959764559E+00    7.0591481469E-02
    3.1999500000E-03    5.4160706147E-01    1.1309185008E-01   -2.8571040232E+00    7.0621513491E-02
    3.2999500000E-03    5.3822035408E-01    9.1797937723E-02   -2.9193236000E+00    7.0636390429E-02
    3.3999500000E-03    5.3567003418E-01    7.0585234154E-02   -2.9812650820E+00    7.0636556753E-02
    3.4999500000E-03    5.3395862387E-01    4.9890373468E-02   -3.0416550725E+00    7.0622644930E-02
    3.5999500000E-03    5.3303008917E-01    3.0123407753E-02   -3.0992881578E+00    7.0595307547E-02
    3.6999500000E-03    5.3278054132E-01    1.1677757869E-02   -3.1530025861E+00    7.0555186190E-02
    3.7999500000E-03    5.3306834010E-01   -5.0681563746E-03   -3.2016806696E+00    7.0503009873E-02
    3.8999500000E-03    5.3372563135E-01   -1.9758829135E-02   -3.2442750001E+00    7.0439750839E-02
    3.9999500000E-03    5.3457266237E-01   -3.2075320213E-02   -3.2798487185E+00    7.0366750826E-02
    4.0999500000E-03    5.3543445365E-01   -4.1749668398E-02   -3.3076161979E+00    7.0285764860E-02
    4.1999500000E-03    5.3615804661E-01   -4.8576614229E-02   -3.3269760210E+00    7.0198920794E-02
    4.2999500000E-03    5.3662803669E-01   -5.2421489565E-02   -3.3375343903E+00    7.0108622738E-02
    4.3999500000E-03    5.3677787597E-01   -5.3225101486E-02   -3.3391184633E+00    7.0017431088E-02
    4.4999500000E-03    5.3659559003E-01   -5.1005833002E-02   -3.3317812227E+00    6.9927943117E-02
    4.5999500000E-03    5.3612338714E-01   -4.5858936788E-02   -3.3157991425E+00    6.9842679172E-02
    4.6999500000E-03    5.3545138653E-01   -3.7952620634E-02   -3.2916627054E+00    6.9763973792E-02
    4.7999500000E-03    5.3470607533E-01   -2.7521388496E-02   -3.2600587229E+00    6.9693874584E-02
    4.8999500000E-03    5.3403503027E-01   -1.4856558256E-02   -3.2218437938E+00    6.9634063009E-02
    4.9999500000E-03    5.3358997336E-01   -2.9442327486E-04   -3.1780099998E+00    6.9585822441E-02
    5.0999500000E-03    5.3351050894E-01    1.5796897785E-02   -3.1296473144E+00    6.9550071982E-02
    5.1999500000E-03    5.3391008793E-01    3.3029174188E-02   -3.0779090188E+00    6.9527461763E-02
    5.2999500000E-03    5.3486490421E-01    5.1001429040E-02   -3.0239880902E+00    6.9518492327E-02
    5.3999500000E-03    5.3640543497E-01    6.9301379580E-02   -2.9691096525E+00    6.9523597579E-02
    5.4999500000E-03    5.3850993310E-01    8.7502291413E-02   -2.9145369227E+00    6.9543140616E-02
    5.5999500000E-03    5.4109987937E-01    1.0515980767E-01   -2.8615790163E+00    6.9577314038E-02
    5.6999500000E-03    5.4403892480E-01    1.2181469825E-01   -2.8115843605E+00    6.9625987008E-02
    5.7999500000E-03    5.4713802954E-01    1.3700548095E-01   -2.7659079185E+00    6.9688568894E-02
    5.8999500000E-03    5.5016899050E-01    1.5029000756E-01   -2.7258529018E+00    6.9763947117E-02
    5.9999500000E-03    5.5288605671E-01    1.6127008151E-01   -2.6926006451E+00    6.9850516249E-02
    6.0999500000E-03    5.5505256714E-01    1.6961242129E-01   -2.6671489482E+00    6.9946273333E-02
    6.1999500000E-03    5.5646759245E-01    1.7506088544E-01   -2.6502718810E+00    7.0048933658E-02
    6.2999500000E-03    5.5698822751E-01    1.7743995851E-01   -2.6425021974E+00    7.0156032246E-02
    6.3999500000E-03    5.5654516500E-01    1.7665360190E-01   -2.6441278424E+00    7.0264995380E-02
    6.4999500000E-03    5.5515062331E-01    1.7268365628E-01   -2.6551908531E+00    7.0373191796E-02
    6.5999500000E-03    5.5289858849E-01    1.6559124665E-01   -2.6754849744E+00    7.0477980424E-02
    6.6999500000E-03    5.4995680122E-01    1.5551963341E-01   -2.7045532456E+00    7.0576773437E-02
    6.7999500000E-03    5.4655064670E-01    1.4269609483E-01   -2.7416949190E+00    7.0667124575E-02
    6.8999500000E-03    5.4293984245E-01    1.2742744572E-01   -2.7859886048E+00    7.0746844844E-02
    6.9999500000E-03    5.3939108710E-01    1.1008668941E-01   -2.8363368899E+00    7.0814132117E-02
    7.0999500000E-03    5.3615128333E-01    9.1090969802E-02   -2.8915263442E+00    7.0867678883E-02
    7.1999500000E-03    5.3342637704E-01    7.0877363872E-02   -2.9502893487E+00    7.0906710256E-02
    7.2999500000E-03    5.3136847810E-01    4.9884046693E-02   -3.0113505645E+00    7.0930917833E-02
    7.3999500000E-03    5.3007059723E-01    2.8541043065E-02   -3.0734489788E+00    7.0940304788E-02
    7.4999500000E-03    5.2956624867E-01    7.2694827338E-03   -3.1353401744E+00    7.0935010931E-02
    7.5999500000E-03    5.2983131908E-01   -1.3515477224E-02   -3.1957920051E+00    7.0915206097E-02
    7.6999500000E-03    5.3078722500E-01   -3.3403061859E-02   -3.2535859491E+00    7.0881106333E-02
    7.7999500000E-03    5.3230594843E-01   -5.1989427682E-02   -3.3075296753E+00    7.0833098102E-02
    7.8999500000E-03    5.3421816723E-01   -6.8884883544E-02   -3.3564802441E+00    7.0771897589E-02
    7.9999500000E-03    5.3632539269E-01   -8.3724985594E-02   -3.3993748767E+00    7.0698663222E-02
    8.0999500000E-03    5.3841614150E-01   -9.6183987049E-02   -3.4352658390E+00    7.0615018006E-02
    8.1999500000E-03    5.4028499449E-01   -1.0598877124E-01   -3.4633552660E+00    7.0522989980E-02
    8.2999500000E-03    5.4175248356E-01   -1.1293043332E-01   -3.4830265776E+00    7.0424909540E-02
    8.3999500000E-03    5.4268312506E-01   -1.1687214504E-01   -3.4938695225E+00    7.0323299449E-02
    8.4999500000E-03    5.4299904888E-01   -1.1775308281E-01   -3.4956974279E+00    7.0220775939E-02
    8.5999500000E-03    5.4268725418E-01   -1.1558969011E-01   -3.4885555355E+00    7.0119961718E-02
    8.6999500000E-03    5.4179947499E-01   -1.1047597951E-01   -3.4727196023E+00    7.0023409687E-02
    8.7999500000E-03    5.4044495133E-01   -1.0258146267E-01   -3.4486872723E+00    6.9933528273E-02
    8.8999500000E-03    5.3877700724E-01   -9.2146517609E-02   -3.4171609154E+00    6.9852499785E-02
