 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      2000000
 x0=   5.9999999999999998E-002  -2.5600000000000001E-002 
   -3.140000000000000     
 u=    4990.000000000000     
 v_perp=    13100.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    5.5608606452E-01    8.0981764442E-02   -2.9057368644E+00    6.0027715441E-02
    7.9980000000E-05    5.7192056829E-01    1.5696932442E-01   -2.6759686458E+00    6.0128557501E-02
    1.1998000000E-04    5.9730131762E-01    2.2877929538E-01   -2.4555026782E+00    6.0300327688E-02
    1.5998000000E-04    6.3069298135E-01    2.9413440863E-01   -2.2474951469E+00    6.0531650558E-02
    1.9998000000E-04    6.7028467778E-01    3.5135761307E-01   -2.0530258884E+00    6.0812937786E-02
    2.3998000000E-04    7.1402242205E-01    3.9932687828E-01   -1.8726413668E+00    6.1138249711E-02
    2.7998000000E-04    7.5960085449E-01    4.3761477766E-01   -1.7070791321E+00    6.1502136376E-02
    3.1998000000E-04    8.0489741628E-01    4.6666336789E-01   -1.5565886348E+00    6.1894626932E-02
    3.5998000000E-04    8.4825445688E-01    4.8750898128E-01   -1.4209037708E+00    6.2301260657E-02
    3.9998000000E-04    8.8848337232E-01    5.0145404762E-01   -1.2995942621E+00    6.2710432145E-02
    4.3998000000E-04    9.2485099068E-01    5.0987979912E-01   -1.1921002326E+00    6.3115931471E-02
    4.7998000000E-04    9.5701440416E-01    5.1411025824E-01   -1.0977523572E+00    6.3513992507E-02
    5.1998000000E-04    9.8487479968E-01    5.1532623918E-01   -1.0159261622E+00    6.3901877801E-02
    5.5998000000E-04    1.0084571010E+00    5.1454716440E-01   -9.4613881741E-01    6.4278488321E-02
    5.9998000000E-04    1.0278560424E+00    5.1263820744E-01   -8.8802762268E-01    6.4644338252E-02
    6.3998000000E-04    1.0432117175E+00    5.1031541454E-01   -8.4130412636E-01    6.5000823428E-02
    6.7998000000E-04    1.0546834569E+00    5.0814840626E-01   -8.0573912973E-01    6.5349757358E-02
    7.1998000000E-04    1.0624202556E+00    5.0656372733E-01   -7.8116134764E-01    6.5693300058E-02
    7.5998000000E-04    1.0665373365E+00    5.0584900837E-01   -7.6745202036E-01    6.6033980321E-02
    7.9998000000E-04    1.0671013494E+00    5.0615633950E-01   -7.6453648342E-01    6.6374614421E-02
    8.3998000000E-04    1.0641219895E+00    5.0750443271E-01   -7.7237762877E-01    6.6718156691E-02
    8.7998000000E-04    1.0575505373E+00    5.0978013692E-01   -7.9097540763E-01    6.7067523462E-02
    9.1998000000E-04    1.0472842459E+00    5.1273939002E-01   -8.2037485886E-01    6.7425433254E-02
    9.5998000000E-04    1.0331766753E+00    5.1600678464E-01   -8.6067939529E-01    6.7794326174E-02
    9.9998000000E-04    1.0150579215E+00    5.1907386819E-01   -9.1206258741E-01    6.8176396135E-02
    1.0399800000E-03    9.9275847255E-01    5.2129328624E-01   -9.7476738560E-01    6.8573688594E-02
    1.0799800000E-03    9.6613918392E-01    5.2187311976E-01   -1.0491104914E+00    6.8987896882E-02
    1.1199800000E-03    9.3511321819E-01    5.1986737257E-01   -1.1355149999E+00    6.9419474806E-02
    1.1599800000E-03    8.9967226184E-01    5.1415897290E-01   -1.2345635304E+00    6.9866799582E-02
    1.1999800000E-03    8.5997015706E-01    5.0345267509E-01   -1.3469682767E+00    7.0326628855E-02
    1.2399800000E-03    8.1648513593E-01    4.8631823764E-01   -1.4734033597E+00    7.0794268538E-02
    1.2799800000E-03    7.7016687232E-01    4.6129830501E-01   -1.6144095100E+00    7.1260608132E-02
    1.3199800000E-03    7.2247761746E-01    4.2704626141E-01   -1.7704953391E+00    7.1710735306E-02
    1.3599800000E-03    6.7541184567E-01    3.8259379518E-01   -1.9419728785E+00    7.2130723015E-02
    1.3999800000E-03    6.3139170185E-01    3.2780668276E-01   -2.1285114607E+00    7.2512160051E-02
    1.4399800000E-03    5.9276737018E-01    2.6350800869E-01   -2.3296194773E+00    7.2847894677E-02
    1.4799800000E-03    5.6150821388E-01    1.9115819895E-01   -2.5451766364E+00    7.3129355451E-02
    1.5199800000E-03    5.3938117361E-01    1.1286149179E-01   -2.7740429900E+00    7.3341781193E-02
    1.5599800000E-03    5.2783699294E-01    3.1061863496E-02   -3.0128772937E+00    7.3470070128E-02
    1.5999800000E-03    5.2781336696E-01   -5.2168771222E-02   -3.2565086458E+00    7.3517763193E-02
    1.6399800000E-03    5.3978425741E-01   -1.3506528967E-01   -3.4991375730E+00    7.3491518989E-02
    1.6799800000E-03    5.6365322615E-01   -2.1539187864E-01   -3.7354224513E+00    7.3385801501E-02
    1.7199800000E-03    5.9839237275E-01   -2.9017318638E-01   -3.9610855097E+00    7.3205037633E-02
    1.7599800000E-03    6.4215043265E-01   -3.5659796112E-01   -4.1739774884E+00    7.2965008914E-02
    1.7999800000E-03    6.9248425896E-01   -4.1259083365E-01   -4.3732146591E+00    7.2679085391E-02
    1.8399800000E-03    7.4654789173E-01   -4.5705360746E-01   -4.5579958132E+00    7.2351994407E-02
    1.8799800000E-03    8.0162761784E-01   -4.9001917633E-01   -4.7279666538E+00    7.1992125468E-02
    1.9199800000E-03    8.5539430868E-01   -5.1232716161E-01   -4.8830502775E+00    7.1617174880E-02
    1.9599800000E-03    9.0604430148E-01   -5.2533830996E-01   -5.0233739047E+00    7.1242493015E-02
    1.9999800000E-03    9.5241036550E-01   -5.3070170412E-01   -5.1494256218E+00    7.0878003957E-02
    2.0399800000E-03    9.9381948355E-01   -5.3011025850E-01   -5.2618239493E+00    7.0530230445E-02
    2.0799800000E-03    1.0299149978E+00   -5.2517526731E-01   -5.3610716010E+00    7.0202976289E-02
    2.1199800000E-03    1.0605828572E+00   -5.1738694696E-01   -5.4475045017E+00    6.9898907931E-02
    2.1599800000E-03    1.0859102387E+00   -5.0809693036E-01   -5.5212692473E+00    6.9619755978E-02
    2.1999800000E-03    1.1061312702E+00   -4.9850507406E-01   -5.5823340958E+00    6.9365196056E-02
    2.2399800000E-03    1.1215628832E+00   -4.8964320203E-01   -5.6305617458E+00    6.9132681322E-02
    2.2799800000E-03    1.1325396815E+00   -4.8235430751E-01   -5.6657835128E+00    6.8918195762E-02
    2.3199800000E-03    1.1393540951E+00   -4.7727383508E-01   -5.6878446195E+00    6.8716966311E-02
    2.3599800000E-03    1.1422112832E+00   -4.7481530129E-01   -5.6966270865E+00    6.8523870858E-02
    2.3999800000E-03    1.1412015634E+00   -4.7515996874E-01   -5.6920603395E+00    6.8333668290E-02
    2.4399800000E-03    1.1362888879E+00   -4.7825127692E-01   -5.6741243534E+00    6.8141146932E-02
    2.4799800000E-03    1.1273145289E+00   -4.8379444610E-01   -5.6428471095E+00    6.7941251302E-02
    2.5199800000E-03    1.1140157265E+00   -4.9126141415E-01   -5.5982969039E+00    6.7729236947E-02
    2.5599800000E-03    1.0960657683E+00   -4.9989677004E-01   -5.5405669750E+00    6.7500923727E-02
    2.5999800000E-03    1.0731332545E+00   -5.0872947859E-01   -5.4697501835E+00    6.7253214925E-02
    2.6399800000E-03    1.0449510825E+00   -5.1659366981E-01   -5.3858931512E+00    6.6984878900E-02
    2.6799800000E-03    1.0113964276E+00   -5.2215057869E-01   -5.2889307450E+00    6.6697086605E-02
    2.7199800000E-03    9.7255532033E-01   -5.2391856390E-01   -5.1786431186E+00    6.6392987350E-02
    2.7599800000E-03    9.2876598240E-01   -5.2031078850E-01   -5.0546455182E+00    6.6077235963E-02
    2.7999800000E-03    8.8066367960E-01   -5.0968375157E-01   -4.9164062542E+00    6.5756631210E-02
    2.8399800000E-03    8.2930827187E-01   -4.9043373632E-01   -4.7634308047E+00    6.5440332628E-02
    2.8799800000E-03    7.7633271790E-01   -4.6121799318E-01   -4.5955928954E+00    6.5140557095E-02
    2.9199800000E-03    7.2387544685E-01   -4.2121631770E-01   -4.4131632757E+00    6.4872130134E-02
    2.9599800000E-03    6.7441702987E-01   -3.7032453646E-01   -4.2166889560E+00    6.4644056125E-02
    2.9999800000E-03    6.3065571775E-01   -3.0938443373E-01   -4.0071428783E+00    6.4459315796E-02
    3.0399800000E-03    5.9510090975E-01   -2.4018626142E-01   -3.7858209569E+00    6.4328527945E-02
    3.0799800000E-03    5.6969352341E-01   -1.6526285950E-01   -3.5551495130E+00    6.4266172518E-02
    3.1199800000E-03    5.5551409543E-01   -8.7525844825E-02   -3.3196111905E+00    6.4276363196E-02
    3.1599800000E-03    5.5258205524E-01   -9.4855500614E-03   -3.0843333566E+00    6.4354800980E-02
