 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      4000000
 x0=   5.0000000000000003E-002   0.5740000000000000      
   -3.140000000000000     
 u=    48.20000000000000     
 v_perp=    7390.000000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    6.1265652291E-01   -4.8397417077E-02   -3.1388385021E+00    5.0031633525E-02
    7.9980000000E-05    6.1264975142E-01   -4.8748573888E-02   -3.1398012766E+00    5.0063319385E-02
    1.1998000000E-04    6.1262578118E-01   -4.9771059327E-02   -3.1428873898E+00    5.0094914881E-02
    1.5998000000E-04    6.1258894870E-01   -5.1461424852E-02   -3.1480859842E+00    5.0126293554E-02
    1.9998000000E-04    6.1254632186E-01   -5.3813440677E-02   -3.1553775325E+00    5.0157330152E-02
    2.3998000000E-04    6.1250758920E-01   -5.6818147699E-02   -3.1647340895E+00    5.0187901413E-02
    2.7998000000E-04    6.1248490453E-01   -6.0463935150E-02   -3.1761196505E+00    5.0217886867E-02
    3.1998000000E-04    6.1249269054E-01   -6.4736644288E-02   -3.1894906161E+00    5.0247169647E-02
    3.5998000000E-04    6.1254740348E-01   -6.9619694942E-02   -3.2047963483E+00    5.0275637278E-02
    3.9998000000E-04    6.1266724973E-01   -7.5094223931E-02   -3.2219798032E+00    5.0303182404E-02
    4.3998000000E-04    6.1287192451E-01   -8.1139249091E-02   -3.2409781751E+00    5.0329703384E-02
    4.7998000000E-04    6.1318233164E-01   -8.7731825666E-02   -3.2617235168E+00    5.0355104752E-02
    5.1998000000E-04    6.1362027618E-01   -9.4847170995E-02   -3.2841432738E+00    5.0379297445E-02
    5.5998000000E-04    6.1420814493E-01   -1.0245874066E-01   -3.3081606526E+00    5.0402198756E-02
    5.9998000000E-04    6.1496857116E-01   -1.1053823499E-01   -3.3336947531E+00    5.0423731970E-02
    6.3998000000E-04    6.1592407556E-01   -1.1905552098E-01   -3.3606604126E+00    5.0443825692E-02
