 sig=    1.000000000000000      inputfile=
 /home/rjrj524/Finished/vmec_gc_tracer/revised_251128/nc/wout_pwO_nfp2_A6.nc                                                                                                                             
 dt=   2.0000000000000000E-008
 steps=      4000000
 x0=   5.9999999999999998E-002   -2.530000000000000      
   -3.140000000000000     
 u=   -617.0000000000000     
 v_perp=    13800.00000000000     
 
time(s)         x0(1)       x0(2)        x0(3)      r
    3.9980000000E-05    9.7391752421E-01    6.0921309680E-02   -3.1609176329E+00    6.0096182861E-02
    7.9980000000E-05    9.7493991198E-01    5.7784503437E-02   -3.1762527327E+00    6.0195148048E-02
    1.1998000000E-04    9.7563175735E-01    5.5878395692E-02   -3.1858859709E+00    6.0296126837E-02
    1.5998000000E-04    9.7596433530E-01    5.5213213799E-02   -3.1897500844E+00    6.0398341357E-02
    1.9998000000E-04    9.7592320512E-01    5.5793639606E-02   -3.1878133692E+00    6.0500979923E-02
    2.3998000000E-04    9.7550832784E-01    5.7619434355E-02   -3.1800775878E+00    6.0603231282E-02
    2.7998000000E-04    9.7473459461E-01    6.0684732142E-02   -3.1665792322E+00    6.0704318727E-02
    3.1998000000E-04    9.7363296083E-01    6.4975828615E-02   -3.1473937708E+00    6.0803523592E-02
    3.5998000000E-04    9.7225124048E-01    7.0468665804E-02   -3.1226422252E+00    6.0900188078E-02
    3.9998000000E-04    9.7065457884E-01    7.7125906058E-02   -3.0924980381E+00    6.0993691180E-02
    4.3998000000E-04    9.6892503678E-01    8.4894216471E-02   -3.0571922465E+00    6.1083397508E-02
    4.7998000000E-04    9.6716046269E-01    9.3701615486E-02   -3.0170153925E+00    6.1168593008E-02
    5.1998000000E-04    9.6547227632E-01    1.0345540632E-01   -2.9723163709E+00    6.1248432959E-02
    5.5998000000E-04    9.6398121616E-01    1.1404160010E-01   -2.9234998030E+00    6.1321930298E-02
    5.9998000000E-04    9.6281120230E-01    1.2532554506E-01   -2.8710233231E+00    6.1387995169E-02
    6.3998000000E-04    9.6208200628E-01    1.3715342030E-01   -2.8153950207E+00    6.1445511730E-02
    6.7998000000E-04    9.6190198752E-01    1.4935427836E-01   -2.7571700323E+00    6.1493422600E-02
    7.1998000000E-04    9.6236114528E-01    1.6174339328E-01   -2.6969453219E+00    6.1530796692E-02
    7.5998000000E-04    9.6352495169E-01    1.7412707209E-01   -2.6353526865E+00    6.1556872735E-02
    7.9998000000E-04    9.6542923927E-01    1.8630854633E-01   -2.5730520473E+00    6.1571083436E-02
    8.3998000000E-04    9.6807613094E-01    1.9809427106E-01   -2.5107280256E+00    6.1573067029E-02
    8.7998000000E-04    9.7143081811E-01    2.0930021373E-01   -2.4490913661E+00    6.1562668197E-02
    9.1998000000E-04    9.7541911114E-01    2.1975831637E-01   -2.3888835101E+00    6.1539928473E-02
    9.5998000000E-04    9.7992616703E-01    2.2932363965E-01   -2.3308796517E+00    6.1505070526E-02
    9.9998000000E-04    9.8479740884E-01    2.3788223808E-01   -2.2758849481E+00    6.1458486083E-02
    1.0399800000E-03    9.8984292268E-01    2.4535868500E-01   -2.2247206872E+00    6.1400736494E-02
    1.0799800000E-03    9.9484616326E-01    2.5172110047E-01   -2.1782008919E+00    6.1332567122E-02
    1.1199800000E-03    9.9957668440E-01    2.5698134425E-01   -2.1371030280E+00    6.1254927430E-02
    1.1599800000E-03    1.0038056262E+00    2.6118872384E-01   -2.1021377620E+00    6.1168984495E-02
    1.1999800000E-03    1.0073217153E+00    2.6441753541E-01   -2.0739219987E+00    6.1076120190E-02
    1.2399800000E-03    1.0099447471E+00    2.6675150248E-01   -2.0529576480E+00    6.0977909228E-02
    1.2799800000E-03    1.0115361226E+00    2.6826713336E-01   -2.0396166594E+00    6.0876081138E-02
    1.3199800000E-03    1.0120057055E+00    2.6901945968E-01   -2.0341316005E+00    6.0772471728E-02
    1.3599800000E-03    1.0113167443E+00    2.6903093778E-01   -2.0365905722E+00    6.0668968784E-02
    1.3999800000E-03    1.0094880691E+00    2.6828660958E-01   -2.0469355968E+00    6.0567454449E-02
    1.4399800000E-03    1.0065936077E+00    2.6673645605E-01   -2.0649641515E+00    6.0469747182E-02
    1.4799800000E-03    1.0027587093E+00    2.6430499421E-01   -2.0903339532E+00    6.0377546297E-02
    1.5199800000E-03    9.9815329233E-01    2.6090616692E-01   -2.1225713950E+00    6.0292383687E-02
    1.5599800000E-03    9.9298198755E-01    2.5646058135E-01   -2.1610842884E+00    6.0215587417E-02
    1.5999800000E-03    9.8747145266E-01    2.5091214880E-01   -2.2051796371E+00    6.0148262448E-02
    1.6399800000E-03    9.8185595048E-01    2.4424104757E-01   -2.2540866096E+00    6.0091291566E-02
    1.6799800000E-03    9.7636189301E-01    2.3647182039E-01   -2.3069835764E+00    6.0045354958E-02
    1.7199800000E-03    9.7119359855E-01    2.2767544819E-01   -2.3630263925E+00    6.0010959769E-02
    1.7599800000E-03    9.6652227633E-01    2.1796583078E-01   -2.4213739398E+00    5.9988465997E-02
    1.7999800000E-03    9.6247943124E-01    2.0749231269E-01   -2.4812071054E+00    5.9978097118E-02
    1.8399800000E-03    9.5915462336E-01    1.9643043678E-01   -2.5417391667E+00    5.9979932918E-02
    1.8799800000E-03    9.5659638305E-01    1.8497284595E-01   -2.6022184158E+00    5.9993892524E-02
    1.9199800000E-03    9.5481469515E-01    1.7332135445E-01   -2.6619264728E+00    6.0019720087E-02
    1.9599800000E-03    9.5378402109E-01    1.6168017975E-01   -2.7201767105E+00    6.0056981769E-02
    1.9999800000E-03    9.5344679607E-01    1.5024979319E-01   -2.7763159735E+00    6.0105075006E-02
    2.0399800000E-03    9.5371798538E-01    1.3922101894E-01   -2.8297300857E+00    6.0163246312E-02
    2.0799800000E-03    9.5449114415E-01    1.2876961015E-01   -2.8798511634E+00    6.0230615217E-02
    2.1199800000E-03    9.5564575473E-01    1.1905197115E-01   -2.9261639340E+00    6.0306205735E-02
    2.1599800000E-03    9.5705505289E-01    1.1020259652E-01   -2.9682092389E+00    6.0388987145E-02
    2.1999800000E-03    9.5859322714E-01    1.0233347622E-01   -3.0055847575E+00    6.0477920746E-02
    2.2399800000E-03    9.6014115919E-01    9.5535261755E-02   -3.0379442569E+00    6.0572003866E-02
    2.2799800000E-03    9.6159124680E-01    8.9879070404E-02   -3.0649962176E+00    6.0670300369E-02
    2.3199800000E-03    9.6285117163E-01    8.5418539305E-02   -3.0865023362E+00    6.0771950905E-02
    2.3599800000E-03    9.6384640134E-01    8.2192072501E-02   -3.1022759802E+00    6.0876164277E-02
    2.3999800000E-03    9.6452123859E-01    8.0225396266E-02   -3.1121807211E+00    6.0982198271E-02
    2.4399800000E-03    9.6483890235E-01    7.9534050503E-02   -3.1161290724E+00    6.1089339587E-02
    2.4799800000E-03    9.6478135685E-01    8.0125210344E-02   -3.1140815403E+00    6.1196888772E-02
    2.5199800000E-03    9.6435007948E-01    8.1997812653E-02   -3.1060458423E+00    6.1304147891E-02
    2.5599800000E-03    9.6356671154E-01    8.5141901552E-02   -3.0920768107E+00    6.1410406200E-02
    2.5999800000E-03    9.6247345229E-01    8.9537373957E-02   -3.0722768916E+00    6.1514919868E-02
    2.6399800000E-03    9.6113218458E-01    9.5152946535E-02   -3.0467971603E+00    6.1616887331E-02
    2.6799800000E-03    9.5962354582E-01    1.0194429005E-01   -3.0158380732E+00    6.1715425157E-02
    2.7199800000E-03    9.5804549032E-01    1.0985165972E-01   -2.9796502108E+00    6.1809552787E-02
    2.7599800000E-03    9.5651111831E-01    1.1879717164E-01   -2.9385355563E+00    6.1898195834E-02
    2.7999800000E-03    9.5514485035E-01    1.2868248358E-01   -2.8928497687E+00    6.1980213586E-02
    2.8399800000E-03    9.5407666868E-01    1.3938734024E-01   -2.8430050103E+00    6.2054447543E-02
    2.8799800000E-03    9.5343561160E-01    1.5076876369E-01   -2.7894716810E+00    6.2119779185E-02
    2.9199800000E-03    9.5334310058E-01    1.6266133358E-01   -2.7327776285E+00    6.2175182346E-02
    2.9599800000E-03    9.5390571034E-01    1.7487957279E-01   -2.6735043344E+00    6.2219765958E-02
    2.9999800000E-03    9.5520776186E-01    1.8722249364E-01   -2.6122809198E+00    6.2252810292E-02
    3.0399800000E-03    9.5730414755E-01    1.9947979775E-01   -2.5497785830E+00    6.2273798260E-02
    3.0799800000E-03    9.6021382094E-01    2.1143892640E-01   -2.4867083468E+00    6.2282434998E-02
    3.1199800000E-03    9.6391443727E-01    2.2289237398E-01   -2.4238229889E+00    6.2278644271E-02
    3.1599800000E-03    9.6833823179E-01    2.3364565112E-01   -2.3619207418E+00    6.2262538598E-02
    3.1999800000E-03    9.7336957064E-01    2.4352660595E-01   -2.3018457024E+00    6.2234376841E-02
    3.2399800000E-03    9.7884555005E-01    2.5239586233E-01   -2.2444798272E+00    6.2194533386E-02
    3.2799800000E-03    9.8456084698E-01    2.6015707081E-01   -2.1907241688E+00    6.2143497614E-02
    3.3199800000E-03    9.9027749485E-01    2.6676444647E-01   -2.1414709252E+00    6.2081904190E-02
    3.3599800000E-03    9.9573931961E-01    2.7222456087E-01   -2.0975708680E+00    6.2010577414E-02
    3.3999800000E-03    1.0006892112E+00    2.7659061487E-01   -2.0598015252E+00    6.1930567748E-02
    3.4399800000E-03    1.0048867576E+00    2.7994929400E-01   -2.0288401422E+00    6.1843165559E-02
    3.4799800000E-03    1.0081240652E+00    2.8240214707E-01   -2.0052431682E+00    6.1749888269E-02
    3.5199800000E-03    1.0102374881E+00    2.8404577210E-01   -1.9894321098E+00    6.1652444558E-02
    3.5599800000E-03    1.0111156854E+00    2.8495361277E-01   -1.9816846368E+00    6.1552682032E-02
    3.5999800000E-03    1.0107042699E+00    2.8516255917E-01   -1.9821296972E+00    6.1452525483E-02
    3.6399800000E-03    1.0090079835E+00    2.8466611870E-01   -1.9907456995E+00    6.1353911038E-02
    3.6799800000E-03    1.0060907281E+00    2.8341524284E-01   -2.0073613246E+00    6.1258719386E-02
    3.7199800000E-03    1.0020732494E+00    2.8132684402E-01   -2.0316589941E+00    6.1168711130E-02
